elapsed_s,gpu0_gb,gpu2_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.3279,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
4.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.2489,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0,0.024,0.024,0.0,0.024,0.0,0.0,0,0,0,0.2489,0.024,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0,0.0402,0.0402,0.0,0.0402,0.0,0.0,0,0,0,0.2489,0.0402,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
7.0,0.0,0.0402,0.0402,0.0,0.0402,0.0,0.0,0,0,0,0.256,0.0402,0.0,0.0,0.0,0.0,1,1,0,0,37,0,0,54,0,2,0
8.0,0.0,0.0402,0.0402,0.0,0.0402,0.0,0.0,0,0,0,0.2783,0.0402,0.0,0.0,0.0,0.0,3,1,2,0,37,0,0,167,0,2,0
9.0,0.0,0.1189,0.1189,0.0,0.1189,0.0,0.0,0,0,0,0.2821,0.1189,0.0,0.0,0.0,0.0,3,1,2,0,37,0,0,167,0,2,0
10.0,0.0,0.2878,0.2878,0.0,0.2878,0.0,0.0,0,0,0,0.2821,0.2878,0.0,0.0,0.0,0.0,3,1,2,0,37,0,0,167,0,2,0
11.0,0.0,0.2878,0.2878,0.0,0.2878,0.0,0.0,0,0,0,0.2821,0.2878,0.0,0.0,0.0,0.0,3,1,2,0,37,0,0,167,0,2,0
12.0,0.0,0.3476,0.3476,0.0,0.3476,0.0,0.0,0,0,0,0.3337,0.3476,0.0,0.0,0.0,0.0,6,3,3,0,37,0,0,502,0,2,0
13.0,0.0,0.3476,0.3476,0.0,0.3476,0.0,0.0,0,0,0,0.4785,0.3476,0.0,0.0,0.0,0.0,10,5,5,0,37,0,0,1477,0,2,0
14.0,0.0,0.3762,0.3762,0.0,0.3762,0.0,0.0,0,0,0,0.4968,0.3762,0.0,0.0,0.0,0.0,10,5,5,0,38,0,0,1477,0,2,0
15.0,0.0,0.3762,0.3762,0.0,0.3762,0.0,0.0,0,0,0,0.4968,0.3762,0.0,0.0,0.0,0.0,10,5,5,0,38,0,0,1477,0,2,0
16.0,0.0,0.5211,0.5211,0.0,0.5211,0.0,0.0,0,0,0,0.5559,0.5211,0.0,0.0,0.0,0.0,11,5,6,0,39,0,0,1897,0,2,0
17.0,0.0,0.5211,0.5211,0.0,0.5211,0.0,0.0,0,0,0,0.5559,0.5211,0.0,0.0,0.0,0.0,11,5,6,0,39,0,0,1897,0,2,0
18.0,0.0,0.6593,0.6593,0.0,0.6593,0.0,0.0,0,0,0,0.5559,0.6593,0.0,0.0,0.0,0.0,11,5,6,0,39,0,0,1897,0,2,0
19.0,0.0,0.8918,0.8918,0.0,0.8918,0.0,0.0,0,0,0,0.655,0.8918,0.0,0.0,0.0,0.0,13,6,7,0,39,0,0,2604,0,2,0
20.0,0.0,1.0263,1.0263,0.0,1.0263,0.0,0.0,0,0,0,0.655,1.0263,0.0,0.0,0.0,0.0,13,6,7,0,39,0,0,2604,0,2,0
21.0,0.0,1.0263,1.0263,0.0,1.0263,0.0,0.0,0,0,0,0.771,1.0263,0.0,0.0,0.0,0.0,15,7,8,0,39,0,0,3406,0,2,0
22.0,0.0,1.0263,1.0263,0.0,1.0263,0.0,0.0,0,0,0,0.9963,1.0263,0.0,0.0,0.0,0.0,17,9,8,0,39,0,0,5060,0,2,0
23.0,0.0,1.0263,1.0263,0.0,1.0263,0.0,0.0,0,0,0,1.0422,1.0263,0.0,0.0,0.0,0.0,19,10,9,0,39,0,0,5367,0,2,0
24.0,0.0,1.0263,1.0263,0.0,1.0263,0.0,0.0,0,0,0,1.0422,1.0263,0.0,0.0,0.0,0.0,19,10,9,0,39,0,0,5367,0,2,0
25.0,0.1581,1.0263,1.1844,0.0,1.1844,0.0,0.0,0,0,0,1.0422,1.1844,0.0,0.0,0.0,0.0,19,10,9,0,39,0,0,5367,0,2,0
26.0,0.445,1.0263,1.4713,0.0,1.4713,0.0,0.0,0,0,0,1.0422,1.4713,0.0,0.0,0.0,0.0,19,10,9,0,39,0,0,5367,0,2,0
27.0,0.445,1.0263,1.4713,0.0,1.4713,0.0,0.0,0,0,0,1.0422,1.4713,0.0,0.0,0.0,0.0,19,10,9,0,39,0,0,5367,0,2,0
28.0,0.445,1.0263,1.4713,0.0,1.4713,0.0,0.0,0,0,0,1.0492,1.4713,0.0,0.0,0.0,0.0,20,10,10,0,39,0,0,5405,0,2,0
29.0,0.5055,1.0263,1.5318,0.0,1.5318,0.0,0.0,0,0,0,1.397,1.5318,0.0,0.0,0.0,0.0,23,11,12,0,39,0,0,7944,0,2,0
30.0,0.5055,1.0263,1.5318,0.0,1.5318,0.0,0.0,0,0,0,1.397,1.5318,0.0,0.0,0.0,0.0,23,11,12,0,39,0,0,7944,0,2,0
31.0,0.9307,1.0263,1.957,0.0,1.957,0.0,0.0,0,0,0,1.397,1.957,0.0,0.0,0.0,0.0,23,11,12,0,39,0,0,7944,0,2,0
32.0,1.3107,1.0263,2.337,0.0,2.337,0.0,0.0,0,0,0,1.4436,2.337,0.0,0.0,0.0,0.0,24,12,12,0,40,0,0,8231,0,2,0
33.0,1.3107,1.0263,2.337,0.0,2.337,0.0,0.0,0,0,0,1.4436,2.337,0.0,0.0,0.0,0.0,24,12,12,0,40,0,0,8231,0,2,0
34.0,1.3107,1.0263,2.337,0.0,2.337,0.0,0.0,0,0,0,1.6895,2.337,0.0,0.0,0.0,0.0,25,13,12,0,43,2,0,8701,0,2,0
35.0,1.3107,1.0263,2.337,0.0,2.337,0.0,0.0,0,0,0,4.0204,2.337,0.0,0.0,0.0,0.0,32,19,13,0,52,2,0,15496,0,2,0
36.0,1.3107,1.0263,2.337,0.0,2.337,0.0,0.0,0,0,0,4.546,2.337,0.0,0.0,0.0,0.0,34,20,14,0,52,2,0,16937,0,2,0
37.0,1.3107,1.1737,2.4845,0.0,2.4845,0.0,0.0,0,0,0,4.546,2.4845,0.0,0.0,0.0,0.0,34,20,14,0,52,2,0,16937,0,2,0
38.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.6528,2.6214,0.0,0.0,0.0,0.0,35,21,14,0,52,2,0,17719,0,2,0
39.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.7019,2.6214,0.0,0.0,0.0,0.0,35,21,14,0,54,2,0,17719,0,2,0
40.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.8789,2.6214,0.0,0.0,0.0,0.0,36,21,15,0,55,2,0,18980,0,2,0
41.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.0502,2.6214,0.0,0.0,0.0,0.0,39,23,16,0,55,2,0,20188,0,2,0
42.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.3519,2.6214,0.0,0.0,0.0,0.0,40,24,16,0,55,3,0,21394,0,2,0
43.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.5466,2.6214,0.0,0.0,0.0,0.0,41,25,16,0,55,3,0,22816,0,2,0
44.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.726,2.6214,0.0,0.0,0.0,0.0,42,26,16,0,55,3,0,24157,0,2,0
45.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.9424,2.6214,0.0,0.0,0.0,0.0,44,27,17,0,55,3,0,25763,0,2,0
46.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.9424,2.6214,0.0,0.0,0.0,0.0,44,27,17,0,55,3,0,25763,0,2,0
47.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.9424,2.6214,0.0,0.0,0.0,0.0,44,27,17,0,55,3,0,25763,0,2,0
48.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.9424,2.6214,0.0,0.0,0.0,0.0,44,27,17,0,55,3,0,25763,0,2,0
49.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.2034,2.6214,0.0,0.0,0.0,0.0,44,27,17,0,58,4,0,25763,0,2,0
50.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.5162,2.6214,0.0,0.0,0.0,0.0,45,28,17,0,59,4,0,26203,0,2,0
51.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.8033,2.6214,0.0,0.0,0.0,0.0,46,28,18,0,60,4,0,27226,0,2,0
52.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.066,2.6214,0.0,0.0,0.0,0.0,46,28,18,0,61,5,0,27226,0,2,0
53.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.3349,2.6214,0.0,0.0,0.0,0.0,46,28,18,0,63,5,0,27226,0,2,0
54.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.9411,2.6214,0.0,0.0,0.0,0.0,50,29,21,0,63,5,0,31759,0,2,0
55.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.9411,2.6214,0.0,0.0,0.0,0.0,50,29,21,0,63,5,0,31759,0,2,0
56.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.9443,2.6214,0.0,0.0,0.0,0.0,50,29,21,0,64,5,0,31759,0,2,0
57.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.07,2.6214,0.0,0.0,0.0,0.0,51,29,22,0,65,5,0,32172,0,2,0
58.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.07,2.6214,0.0,0.0,0.0,0.0,51,29,22,0,65,5,0,32172,0,2,0
59.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.181,2.6214,0.0,0.0,0.0,0.0,51,29,22,0,68,5,0,32172,0,2,0
60.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.2813,2.6214,0.0,0.0,0.0,0.0,51,29,22,0,70,5,0,32172,0,2,0
61.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.8904,2.6214,0.0,0.0,0.0,0.0,51,29,22,0,73,5,0,32172,0,2,0
62.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.9858,2.6214,0.0,0.0,0.0,0.0,51,29,22,0,75,5,0,32172,0,2,0
63.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.5676,2.6214,0.0,0.0,0.0,0.0,55,31,24,0,75,5,0,36038,0,2,0
64.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.9408,2.6214,0.0,0.0,0.0,0.0,57,32,25,0,75,5,0,37920,0,2,0
65.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.9408,2.6214,0.0,0.0,0.0,0.0,57,32,25,0,75,5,0,37920,0,2,0
66.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.9414,2.6214,0.0,0.0,0.0,0.0,57,32,25,0,76,5,0,37920,0,2,0
67.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,10.4062,2.6214,0.0,0.0,0.0,0.0,58,33,25,0,77,5,0,40002,0,2,0
68.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,10.4571,2.6214,0.0,0.0,0.0,0.0,58,33,25,0,80,5,0,40002,0,2,0
69.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,11.0878,2.6214,0.0,0.0,0.0,0.0,58,33,25,0,83,6,0,40002,0,2,0
70.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,11.1627,2.6214,0.0,0.0,0.0,0.0,59,34,25,0,84,6,0,40028,0,2,0
71.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,11.1627,2.6214,0.0,0.0,0.0,0.0,59,34,25,0,84,6,0,40028,0,2,0
72.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,11.5592,2.6214,0.0,0.0,0.0,0.0,61,35,26,0,84,6,0,42757,0,2,0
