elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.2998,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
4.0,0.0,0.0,0.0014,0.0071,0.0085,0.0,0.0085,0.0,0.0,0,0,0,0.249,0.0014,0.0071,0.0,0.0,0.8308,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0,0.0,0.024,0.0071,0.0311,0.0,0.0311,0.0,0.0,0,0,0,0.249,0.024,0.0071,0.0,0.0,0.2278,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0,0.0,0.0786,0.0071,0.0857,0.0,0.0857,0.0,0.0,0,0,0,0.249,0.0786,0.0071,0.0,0.0,0.0826,0,0,0,0,37,0,0,0,0,2,0
7.0,0.0,0.0,0.1041,0.0071,0.1111,0.0,0.1111,0.0,0.0,0,0,0,0.2534,0.1041,0.0071,0.0,0.0,0.0637,1,0,1,0,37,0,0,2,0,2,0
8.0,0.0,0.0,0.1202,0.0071,0.1273,0.0,0.1273,0.0,0.0,0,0,0,0.2688,0.1202,0.0071,0.0,0.0,0.0556,3,1,2,0,37,0,0,63,0,2,0
9.0,0.0,0.0,0.1809,0.0071,0.188,0.0,0.188,0.0,0.0,0,0,0,0.3369,0.1809,0.0071,0.0,0.0,0.0377,6,4,2,0,37,0,0,354,0,2,0
10.0,0.0,0.0,0.2338,0.0071,0.2409,0.0,0.2409,0.0,0.0,0,0,0,0.3627,0.2338,0.0071,0.0,0.0,0.0294,7,4,3,0,37,0,0,494,0,2,0
11.0,0.0,0.0,0.3421,0.0071,0.3492,0.0,0.3492,0.0,0.0,0,0,0,0.3802,0.3421,0.0071,0.0,0.0,0.0203,8,5,3,0,37,0,0,581,0,2,0
12.0,0.0,0.0,0.4955,0.0071,0.5025,0.0,0.5025,0.0,0.0,0,0,0,0.4405,0.4955,0.0071,0.0,0.0,0.0141,10,6,4,0,37,0,0,934,0,2,0
13.0,0.0,0.0,0.4955,0.0071,0.5025,0.0,0.5025,0.0,0.0,0,0,0,0.464,0.4955,0.0071,0.0,0.0,0.0141,12,7,5,0,37,0,0,1079,0,2,0
14.0,0.0,0.0,0.551,0.0071,0.5581,0.0,0.5581,0.0,0.0,0,0,0,0.5669,0.551,0.0071,0.0,0.0,0.0127,14,9,5,0,37,0,0,1833,0,2,0
15.0,0.2775,0.0,0.551,0.0071,0.8356,0.0,0.8356,0.0,0.0,0,0,0,0.7632,0.8285,0.0071,0.0,0.0,0.0085,17,10,7,0,38,0,0,2728,0,2,0
16.0,0.3355,0.0,0.551,0.0071,0.8936,0.0,0.8936,0.0,0.0,0,0,0,0.7632,0.8866,0.0071,0.0,0.0,0.0079,17,10,7,0,38,0,0,2728,0,2,0
17.0,0.4848,0.0,0.5842,0.0071,1.0761,0.0,1.0761,0.0,0.0,0,0,0,0.8733,1.069,0.0071,0.0,0.0,0.0066,19,10,9,0,38,0,0,3534,0,2,0
18.0,0.6943,0.0,0.5842,0.0071,1.2856,0.0,1.2856,0.0,0.0,0,0,0,0.9528,1.2785,0.0071,0.0,0.0,0.0055,21,12,9,0,38,0,0,4083,0,2,0
19.0,0.8796,0.0,0.6628,0.0071,1.5495,0.0,1.5495,0.0,0.0,0,0,0,1.1243,1.5425,0.0071,0.0,0.0,0.0046,24,14,10,0,39,0,0,5253,0,2,0
