elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,135488.0,26606.0,41296.0,26336.0,41250.0,67790.3,55969.8,15039.8,13045.3,0.0,23473.9,0.0,16089.4,25042.0,18624.6,45080.0,107105.1,128652.3,91264.2,148
1.1,135488.0,26606.0,41296.0,26336.0,41250.0,67790.5,55970.0,15040.0,13045.5,0.0,23473.9,0.0,16858.0,25042.0,19398.2,45853.5,106331.5,128652.3,91264.4,148
2.1,135962.0,26876.0,41296.0,26494.0,41296.0,67790.7,55970.2,15040.1,13045.7,0.0,23473.9,0.0,17454.2,25042.0,19995.9,46451.3,105733.8,128652.3,91264.6,148
3.2,136008.0,26876.0,41342.0,26494.0,41296.0,68030.8,56033.3,15277.5,13108.8,0.0,23474.0,0.0,16663.9,25042.1,19441.9,45897.4,106287.7,128652.3,91504.8,148
4.2,136008.0,26876.0,41342.0,26494.0,41296.0,68038.4,56034.6,15284.9,13110.0,0.0,23474.1,0.0,16665.0,25042.4,19413.8,45869.6,106315.9,128652.3,91512.5,148
5.3,136048.0,26916.0,41342.0,26494.0,41296.0,68038.8,56034.8,15285.3,13110.3,0.0,23474.3,0.0,16665.7,25042.6,19417.4,45873.4,106312.3,128652.3,91513.1,148
6.4,136050.0,26918.0,41342.0,26494.0,41296.0,68042.4,56038.4,15288.8,13113.8,0.0,23474.3,0.0,16669.6,25042.6,19416.2,45872.2,106313.5,128652.3,91516.7,148
7.4,136098.0,26918.0,41342.0,26496.0,41342.0,68043.7,56039.5,15289.9,13114.9,0.0,23474.3,0.0,16670.4,25042.7,19420.0,45876.1,106309.6,128652.3,91518.0,148
8.4,136098.0,26918.0,41342.0,26496.0,41342.0,68051.9,56041.6,15297.9,13117.0,0.0,23474.3,0.0,16672.2,25042.6,19428.3,45884.3,106301.4,128652.3,91526.2,148
9.5,136098.0,26918.0,41342.0,26496.0,41342.0,68052.2,56041.9,15298.2,13117.3,0.0,23474.3,0.0,16672.9,25042.6,19433.7,45889.7,106296.0,128652.3,91526.5,148
10.5,136098.0,26918.0,41342.0,26496.0,41342.0,68052.2,56041.9,15298.3,13117.4,0.0,23474.3,0.0,16673.0,25042.6,19435.7,45891.7,106294.0,128652.3,91526.6,148
11.5,136098.0,26918.0,41342.0,26496.0,41342.0,68055.1,56044.5,15300.9,13120.0,0.0,23474.3,0.0,16675.1,25042.6,19441.7,45897.8,106287.9,128652.3,91529.5,148
12.6,136118.0,26918.0,41342.0,26496.0,41362.0,68055.7,56045.1,15301.5,13120.6,0.0,23474.4,0.0,16676.1,25042.3,19442.5,45898.2,106287.2,128652.3,91530.0,148
13.6,136138.0,26918.0,41342.0,26496.0,41382.0,68056.5,56046.0,15302.4,13121.4,0.0,23474.4,0.0,16677.1,25042.4,19446.3,45902.1,106283.3,128652.3,91531.0,148
14.7,136162.0,26922.0,41362.0,26496.0,41382.0,68058.8,56048.2,15304.6,13123.7,0.0,23474.4,0.0,16678.0,25042.0,19446.9,45902.3,106282.7,128652.3,91533.2,148
15.7,136182.0,26922.0,41382.0,26496.0,41382.0,68059.0,56048.4,15304.8,13123.9,0.0,23474.4,0.0,16679.7,25042.0,19445.3,45900.7,106284.4,128652.3,91533.4,148
16.8,136182.0,26922.0,41382.0,26496.0,41382.0,68059.3,56048.7,15305.1,13124.2,0.0,23474.5,0.0,16680.2,25042.5,19450.0,45905.9,106279.7,128652.3,91533.7,148
17.8,136182.0,26922.0,41382.0,26496.0,41382.0,68059.5,56048.9,15305.3,13124.4,0.0,23474.5,0.0,16680.5,25042.4,19449.3,45905.1,106280.4,128652.3,91533.9,148
18.8,136182.0,26922.0,41382.0,26496.0,41382.0,68059.6,56049.1,15305.4,13124.5,0.0,23474.5,0.0,16680.8,25042.0,19453.6,45909.0,106276.1,128652.3,91534.1,148
19.9,136182.0,26922.0,41382.0,26496.0,41382.0,68062.9,56052.4,15308.7,13127.8,0.0,23474.5,0.0,16684.5,25042.0,19456.6,45912.0,106273.1,128652.3,91537.4,148
