elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,135620.0,26606.0,41340.0,26336.0,41338.0,67897.3,56060.9,15140.9,13139.7,0.0,23492.5,0.0,16064.1,25062.2,18642.5,45119.3,107086.0,128652.3,91389.8,148
1.1,135620.0,26606.0,41340.0,26336.0,41338.0,67897.6,56061.2,15141.1,13140.0,0.0,23492.5,0.0,16927.5,25062.4,19507.9,45984.9,106220.6,128652.3,91390.1,148
2.1,136200.0,27010.0,41340.0,26512.0,41338.0,67897.9,56061.5,15141.3,13140.3,0.0,23492.5,0.0,17533.5,25062.4,20114.9,46591.9,105613.6,128652.3,91390.4,148
3.3,136068.0,26874.0,41342.0,26512.0,41340.0,68062.5,56118.9,15303.0,13197.7,0.0,23492.5,0.0,16732.6,25062.7,19443.2,45920.5,106285.3,128652.3,91555.0,148
4.3,136068.0,26874.0,41342.0,26512.0,41340.0,68137.1,56121.0,15377.3,13199.7,0.0,23492.6,0.0,16739.1,25062.3,19517.7,45994.6,106210.8,128652.3,91629.7,148
5.3,136068.0,26874.0,41342.0,26512.0,41340.0,68137.3,56121.2,15377.5,13200.0,0.0,23492.8,0.0,16740.1,25062.5,19518.8,45995.9,106209.7,128652.3,91630.1,148
6.3,136092.0,26898.0,41342.0,26512.0,41340.0,68137.5,56121.4,15377.7,13200.2,0.0,23492.8,0.0,16740.2,25062.5,19520.1,45997.2,106208.4,128652.3,91630.2,148
7.3,136096.0,26898.0,41342.0,26514.0,41342.0,68140.5,56124.1,15380.3,13202.8,0.0,23492.8,0.0,16744.2,25062.5,19531.3,46008.4,106197.2,128652.3,91633.3,148
8.3,136096.0,26898.0,41342.0,26514.0,41342.0,68144.9,56124.5,15384.7,13203.2,0.0,23492.8,0.0,16747.4,25062.2,19542.8,46019.6,106185.7,128652.3,91637.7,148
9.4,136096.0,26898.0,41342.0,26514.0,41342.0,68145.0,56124.6,15384.8,13203.3,0.0,23492.8,0.0,16747.0,25062.2,19544.5,46021.3,106183.9,128652.3,91637.8,148
10.4,136100.0,26902.0,41342.0,26514.0,41342.0,68145.2,56124.6,15384.9,13203.4,0.0,23492.8,0.0,16747.3,25062.2,19545.8,46022.6,106182.7,128652.3,91638.0,148
11.5,136100.0,26902.0,41342.0,26514.0,41342.0,68150.3,56129.8,15390.1,13208.6,0.0,23492.8,0.0,16752.5,25061.9,19556.1,46032.6,106172.4,128652.3,91643.2,148
12.5,136120.0,26902.0,41362.0,26514.0,41342.0,68150.7,56130.1,15390.4,13208.9,0.0,23492.8,0.0,16752.9,25061.8,19555.9,46032.3,106172.6,128652.3,91643.5,148
13.5,136140.0,26902.0,41362.0,26514.0,41362.0,68150.9,56130.4,15390.7,13209.2,0.0,23492.8,0.0,16753.2,25061.8,19554.9,46031.3,106173.6,128652.3,91643.7,148
14.5,136142.0,26902.0,41362.0,26516.0,41362.0,68151.1,56130.5,15390.8,13209.2,0.0,23492.8,0.0,16753.4,25061.8,19556.2,46032.6,106172.2,128652.3,91643.9,148
15.5,136142.0,26902.0,41362.0,26516.0,41362.0,68151.2,56130.6,15390.9,13209.4,0.0,23492.8,0.0,16754.1,25061.9,19556.8,46033.3,106171.7,128652.3,91644.1,148
16.6,136142.0,26902.0,41362.0,26516.0,41362.0,68151.4,56130.8,15391.1,13209.6,0.0,23492.8,0.0,16753.9,25062.3,19561.0,46038.0,106167.5,128652.3,91644.3,148
17.7,136142.0,26902.0,41362.0,26516.0,41362.0,68151.6,56131.0,15391.3,13209.8,0.0,23492.9,0.0,16754.1,25062.1,19564.0,46040.7,106164.5,128652.3,91644.6,148
18.7,136144.0,26902.0,41362.0,26518.0,41362.0,68152.8,56132.2,15392.5,13211.0,0.0,23492.9,0.0,16755.3,25062.6,19564.4,46041.6,106164.1,128652.3,91645.8,148
19.8,136198.0,26956.0,41362.0,26518.0,41362.0,68155.3,56134.7,15395.0,13213.5,0.0,23493.0,0.0,16757.7,25062.8,19565.2,46042.6,106163.2,128652.3,91648.3,148
20.8,136198.0,26956.0,41362.0,26518.0,41362.0,68155.7,56135.1,15395.4,13213.8,0.0,23493.0,0.0,16758.4,25063.0,19565.5,46043.1,106162.9,128652.3,91648.7,148
21.8,136198.0,26956.0,41362.0,26518.0,41362.0,68155.9,56135.3,15395.6,13214.1,0.0,23493.0,0.0,16758.7,25062.8,19568.3,46045.7,106160.2,128652.3,91648.9,148
22.8,136198.0,26956.0,41362.0,26518.0,41362.0,68156.0,56135.4,15395.7,13214.2,0.0,23493.0,0.0,16758.9,25062.8,19567.0,46044.4,106161.5,128652.3,91649.0,148
23.9,136198.0,26956.0,41362.0,26518.0,41362.0,68156.1,56135.5,15395.8,13214.2,0.0,23493.0,0.0,16759.0,25062.8,19569.0,46046.4,106159.5,128652.3,91649.1,148
24.9,136198.0,26956.0,41362.0,26518.0,41362.0,68159.2,56138.6,15398.9,13217.4,0.0,23493.0,0.0,16759.1,25062.6,19569.7,46046.9,106158.8,128652.3,91652.2,148
26.0,136198.0,26956.0,41362.0,26518.0,41362.0,68161.4,56140.8,15401.1,13219.5,0.0,23493.0,0.0,16764.2,25062.5,19581.0,46058.2,106147.4,128652.3,91654.4,148
27.0,136198.0,26956.0,41362.0,26518.0,41362.0,68164.6,56144.0,15404.2,13222.7,0.0,23493.0,0.0,16766.5,25062.7,19582.7,46060.0,106145.8,128652.3,91657.6,148
28.1,136198.0,26956.0,41362.0,26518.0,41362.0,68165.1,56144.5,15404.7,13223.2,0.0,23493.0,0.0,16768.0,25062.9,19584.8,46062.4,106143.6,128652.3,91658.1,148
29.2,136198.0,26956.0,41362.0,26518.0,41362.0,68165.2,56144.6,15404.9,13223.4,0.0,23493.0,0.0,16768.5,25063.2,19587.5,46065.4,106140.9,128652.3,91658.2,148
30.2,136198.0,26956.0,41362.0,26518.0,41362.0,68165.2,56144.6,15404.9,13223.4,0.0,23493.0,0.0,16768.5,25063.2,19589.2,46067.0,106139.3,128652.3,91658.3,148
31.3,136286.0,27044.0,41362.0,26518.0,41362.0,68166.7,56146.1,15406.4,13224.9,0.0,23493.0,0.0,16769.6,25062.8,19579.5,46056.9,106148.9,128652.3,91659.8,148
32.4,136326.0,27044.0,41382.0,26518.0,41382.0,68170.3,56149.7,15409.9,13228.4,0.0,23493.1,0.0,16773.5,25062.5,19579.0,46056.2,106149.4,128652.3,91663.3,148
33.5,136326.0,27044.0,41382.0,26518.0,41382.0,68176.4,56155.8,15416.1,13234.6,0.0,23493.2,0.0,16780.0,25063.2,19590.1,46067.9,106138.3,128652.3,91669.6,148
34.5,136326.0,27044.0,41382.0,26518.0,41382.0,68177.7,56157.1,15417.3,13235.8,0.0,23493.2,0.0,16780.1,25062.9,19591.2,46068.7,106137.3,128652.3,91670.9,148
35.6,136326.0,27044.0,41382.0,26518.0,41382.0,68177.9,56157.3,15417.6,13236.1,0.0,23493.2,0.0,16781.4,25062.5,19595.8,46073.0,106132.6,128652.3,91671.2,148
36.7,136326.0,27044.0,41382.0,26518.0,41382.0,68178.1,56157.5,15417.7,13236.2,0.0,23493.2,0.0,16781.5,25062.2,19594.6,46071.4,106133.8,128652.3,91671.3,148
37.7,136326.0,27044.0,41382.0,26518.0,41382.0,68178.2,56157.6,15417.9,13236.4,0.0,23493.2,0.0,16782.3,25062.1,19595.7,46072.5,106132.7,128652.3,91671.5,148
38.8,136326.0,27044.0,41382.0,26518.0,41382.0,68178.5,56157.8,15418.1,13236.6,0.0,23493.2,0.0,16793.9,25062.4,19624.8,46101.8,106103.6,128652.3,91671.7,148
39.8,136326.0,27044.0,41382.0,26518.0,41382.0,68178.5,56157.9,15418.2,13236.7,0.0,23493.3,0.0,16782.2,25062.3,19614.1,46091.0,106114.3,128652.3,91671.8,148
40.9,136326.0,27044.0,41382.0,26518.0,41382.0,68178.5,56157.9,15418.2,13236.7,0.0,23493.3,0.0,16782.0,25062.3,19614.2,46091.1,106114.2,128652.3,91671.8,148
42.0,136326.0,27044.0,41382.0,26518.0,41382.0,68178.8,56158.1,15418.4,13236.9,0.0,23493.3,0.0,16782.3,25062.3,19602.9,46079.8,106125.6,128652.3,91672.0,148
43.1,136326.0,27044.0,41382.0,26518.0,41382.0,68178.9,56158.3,15418.6,13237.1,0.0,23493.3,0.0,16782.5,25062.6,19605.5,46082.8,106122.9,128652.3,91672.2,148
44.1,136326.0,27044.0,41382.0,26518.0,41382.0,68179.1,56158.5,15418.8,13237.3,0.0,23493.3,0.0,16782.8,25062.4,19597.2,46074.3,106131.2,128652.3,91672.4,148
45.1,136326.0,27044.0,41382.0,26518.0,41382.0,68182.8,56162.2,15422.5,13241.0,0.0,23493.3,0.0,16782.9,25062.7,19596.5,46073.9,106131.9,128652.3,91676.1,148
46.1,136326.0,27044.0,41382.0,26518.0,41382.0,68183.2,56162.6,15422.9,13241.4,0.0,23493.3,0.0,16787.0,25062.8,19600.3,46077.7,106128.1,128652.3,91676.5,148
47.2,136326.0,27044.0,41382.0,26518.0,41382.0,68183.2,56162.6,15422.9,13241.4,0.0,23493.4,0.0,16787.1,25062.4,19599.3,46076.4,106129.1,128652.3,91676.6,148
48.2,136326.0,27044.0,41382.0,26518.0,41382.0,68183.3,56162.7,15422.9,13241.4,0.0,23493.4,0.0,16787.1,25062.4,19600.0,46077.1,106128.4,128652.3,91676.6,148
49.3,136326.0,27044.0,41382.0,26518.0,41382.0,68183.6,56163.0,15423.3,13241.8,0.0,23493.4,0.0,16787.3,25062.4,19598.3,46075.4,106130.1,128652.3,91677.0,148
50.3,136326.0,27044.0,41382.0,26518.0,41382.0,68183.7,56163.1,15423.4,13241.9,0.0,23493.5,0.0,16787.7,25063.2,19600.6,46078.5,106127.8,128652.3,91677.2,148
51.3,136416.0,27134.0,41382.0,26518.0,41382.0,68184.4,56163.8,15424.1,13242.6,0.0,23493.5,0.0,16788.7,25063.1,19604.2,46082.0,106124.2,128652.3,91677.9,148
52.4,136416.0,27134.0,41382.0,26518.0,41382.0,68184.7,56164.1,15424.4,13242.9,0.0,23493.5,0.0,16788.8,25063.0,19602.0,46079.6,106126.4,128652.3,91678.3,148
53.4,136416.0,27134.0,41382.0,26518.0,41382.0,68185.0,56164.3,15424.6,13243.1,0.0,23493.5,0.0,16789.5,25062.1,19599.0,46075.7,106129.5,128652.3,91678.5,148
54.5,136416.0,27134.0,41382.0,26518.0,41382.0,68185.0,56164.4,15424.7,13243.1,0.0,23493.5,0.0,16789.6,25062.1,19602.3,46079.0,106126.1,128652.3,91678.5,148
55.6,136416.0,27134.0,41382.0,26518.0,41382.0,68185.0,56164.4,15424.7,13243.1,0.0,23493.5,0.0,16789.9,25062.3,19602.4,46079.4,106126.0,128652.3,91678.5,148
56.6,136416.0,27134.0,41382.0,26518.0,41382.0,68185.2,56164.6,15424.9,13243.4,0.0,23493.5,0.0,16790.0,25062.6,19602.9,46080.1,106125.5,128652.3,91678.7,148
57.6,136416.0,27134.0,41382.0,26518.0,41382.0,68185.5,56164.9,15425.2,13243.6,0.0,23493.6,0.0,16790.2,25062.3,19602.3,46079.3,106126.1,128652.3,91679.0,148
58.7,136416.0,27134.0,41382.0,26518.0,41382.0,68185.5,56164.9,15425.2,13243.7,0.0,23493.6,0.0,16791.2,25062.5,19602.2,46079.4,106126.3,128652.3,91679.1,148
59.7,136416.0,27134.0,41382.0,26518.0,41382.0,68185.8,56165.2,15425.5,13244.0,0.0,23493.6,0.0,16791.6,25062.6,19604.0,46081.2,106124.4,128652.3,91679.4,148
60.7,136416.0,27134.0,41382.0,26518.0,41382.0,68185.8,56165.2,15425.5,13244.0,0.0,23493.6,0.0,16792.2,25062.1,19603.6,46080.3,106124.8,128652.3,91679.4,148
61.7,136416.0,27134.0,41382.0,26518.0,41382.0,68186.0,56165.4,15425.7,13244.2,0.0,23493.6,0.0,16791.9,25062.1,19607.8,46084.5,106120.6,128652.3,91679.6,148
62.9,136416.0,27134.0,41382.0,26518.0,41382.0,68186.2,56165.6,15425.9,13244.4,0.0,23493.6,0.0,16792.1,25062.5,19613.6,46090.8,106114.8,128652.3,91679.8,148
63.9,136418.0,27134.0,41382.0,26518.0,41384.0,68194.9,56174.2,15434.6,13253.0,0.0,23493.6,0.0,16798.5,25063.0,19623.2,46100.9,106105.2,128652.3,91688.5,148
65.0,136418.0,27134.0,41382.0,26518.0,41384.0,68199.4,56178.8,15439.1,13257.6,0.0,23493.6,0.0,16805.5,25063.1,19621.8,46099.6,106106.6,128652.3,91693.1,148
66.0,136418.0,27134.0,41382.0,26518.0,41384.0,68199.5,56178.9,15439.2,13257.6,0.0,23493.6,0.0,16805.5,25062.9,19622.0,46099.6,106106.4,128652.3,91693.1,148
67.1,136418.0,27134.0,41382.0,26518.0,41384.0,68224.3,56200.3,15464.0,13279.0,0.0,23493.6,0.0,16826.6,25062.4,19643.6,46120.6,106084.8,128652.3,91718.0,148
68.2,136418.0,27134.0,41382.0,26518.0,41384.0,68224.3,56200.3,15464.1,13279.1,0.0,23493.6,0.0,16826.8,25062.4,19645.0,46122.0,106083.4,128652.3,91718.0,148
69.2,136418.0,27134.0,41382.0,26518.0,41384.0,68224.4,56200.3,15464.1,13279.1,0.0,23493.6,0.0,16823.9,25062.5,19642.1,46119.3,106086.3,128652.3,91718.0,148
70.3,136420.0,27134.0,41384.0,26518.0,41384.0,68232.1,56208.0,15471.8,13286.8,0.0,23493.8,0.0,16831.1,25062.5,19646.5,46123.7,106081.9,128652.3,91725.9,148
71.4,136420.0,27134.0,41384.0,26518.0,41384.0,68281.8,56254.4,15518.1,13333.1,0.0,23493.8,0.0,16850.5,25062.2,19663.3,46140.2,106065.1,128652.3,91775.6,148
72.5,136420.0,27134.0,41384.0,26518.0,41384.0,68282.1,56254.6,15518.4,13333.4,0.0,23493.8,0.0,16878.6,25062.2,19692.4,46169.2,106036.0,128652.3,91775.9,148
73.6,136420.0,27134.0,41384.0,26518.0,41384.0,68282.3,56254.9,15518.6,13333.6,0.0,23493.8,0.0,16878.8,25062.3,19690.2,46167.1,106038.2,128652.3,91776.1,148
74.6,136420.0,27134.0,41384.0,26518.0,41384.0,68286.6,56259.1,15522.9,13337.9,0.0,23493.8,0.0,16883.2,25062.9,19693.2,46170.7,106035.2,128652.3,91780.4,148
75.6,136420.0,27134.0,41384.0,26518.0,41384.0,68286.6,56259.1,15522.9,13337.9,0.0,23493.8,0.0,16883.2,25062.3,19695.3,46172.3,106033.1,128652.3,91780.4,148
