t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0007,25,0,60000,0.0004,0.4310,0.0023,132,0,60000,0.0022,0.0000,,,,,,,,,,,,
3.00,0.0149,878,0,60000,0.0146,0.6923,0.0236,1412,0,60000,0.0235,0.5434,,,,,,,,,,,,
3.50,0.0149,878,0,60000,0.0146,0.6923,0.0236,1412,0,60000,0.0235,0.5434,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0149,878,0,60000,0.0146,0.6923,0.0236,1412,0,60000,0.0235,0.5434,0.0105,1942,16,185482,0.0105,0.0000,0.0088,1625,14,185482,0.0088,0.0000
4.50,0.0149,878,0,60000,0.0146,0.6923,0.0236,1412,0,60000,0.0235,0.5434,0.0105,1942,16,185482,0.0105,0.0000,0.0118,2185,14,185482,0.0118,0.0000
5.00,0.0149,878,0,60000,0.0146,0.6923,0.0236,1412,0,60000,0.0235,0.5434,0.0126,2334,14,185482,0.0126,0.0000,0.0118,2185,14,185482,0.0118,0.0000
5.50,0.0149,878,0,60000,0.0146,0.6923,0.0236,1412,0,60000,0.0235,0.5434,0.0126,2334,14,185482,0.0126,0.0000,0.0118,2185,14,185482,0.0118,0.0000
6.00,0.0149,878,0,60000,0.0146,0.6923,0.0236,1412,0,60000,0.0235,0.5434,0.0156,2894,14,185482,0.0156,0.0000,0.0131,2438,12,185482,0.0131,0.0000
6.50,0.0140,71,0,60000,0.0012,0.1749,0.0236,1412,0,60000,0.0235,0.5434,0.0156,2894,14,185482,0.0156,0.0000,0.0131,2438,12,185482,0.0131,0.0000
7.00,0.0205,90,0,60000,0.0015,0.7087,0.0185,75,0,60000,0.0013,0.7075,0.0215,3990,16,185482,0.0215,0.0000,0.0146,2715,11,185482,0.0146,0.0000
7.50,0.0217,82,0,60000,0.0014,0.8039,0.0185,75,0,60000,0.0013,0.7075,0.0215,3990,16,185482,0.0215,0.0000,0.0184,3418,13,185482,0.0184,0.0000
8.00,0.0217,82,0,60000,0.0014,0.8039,0.0204,123,0,60000,0.0021,0.8092,0.0250,4630,16,185482,0.0250,0.0000,0.0184,3418,13,185482,0.0184,0.0000
8.50,0.0217,82,0,60000,0.0014,0.8039,0.0226,137,0,60000,0.0023,0.4613,0.0250,4630,16,185482,0.0250,0.0000,0.0184,3418,13,185482,0.0184,0.0000
9.00,0.0217,82,0,60000,0.0014,0.8039,0.0226,137,0,60000,0.0023,0.4613,0.0291,5405,16,185482,0.0291,0.0000,0.0203,3768,12,185482,0.0203,0.0000
9.50,0.0246,190,0,60000,0.0032,0.8297,0.0226,137,0,60000,0.0023,0.4613,0.0291,5405,16,185482,0.0291,0.0000,0.0203,3768,12,185482,0.0203,0.0000
10.00,0.0246,190,0,60000,0.0032,0.8297,0.0226,137,0,60000,0.0023,0.4613,0.0281,5215,14,185482,0.0281,0.0000,0.0230,4264,11,185482,0.0230,0.0000
10.50,0.0246,190,0,60000,0.0032,0.8297,0.0226,137,0,60000,0.0023,0.4613,0.0281,5215,14,185482,0.0281,0.0000,0.0230,4264,11,185482,0.0230,0.0000
11.00,0.0246,190,0,60000,0.0032,0.8297,0.0268,155,0,60000,0.0026,0.8564,0.0320,5942,14,185482,0.0320,0.0000,0.0256,4744,12,185482,0.0256,0.0000
11.50,0.0260,149,0,60000,0.0025,0.9030,0.0282,166,0,60000,0.0028,0.7793,0.0320,5942,14,185482,0.0320,0.0000,0.0256,4744,12,185482,0.0256,0.0000
12.00,0.0260,149,0,60000,0.0025,0.9030,0.0282,166,0,60000,0.0028,0.7793,0.0320,5942,14,185482,0.0320,0.0000,0.0249,4622,11,185482,0.0249,0.0000
12.50,0.0332,452,0,60000,0.0075,0.9720,0.0341,315,0,60000,0.0053,0.7955,0.0338,6267,15,185482,0.0338,0.0000,0.0249,4622,11,185482,0.0249,0.0000
13.00,0.0332,452,0,60000,0.0075,0.9720,0.0354,396,0,60000,0.0066,0.2057,0.0338,6267,15,185482,0.0338,0.0000,0.0269,4991,9,185482,0.0269,0.0000
13.50,0.0332,452,0,60000,0.0075,0.9720,0.0354,396,0,60000,0.0066,0.2057,0.0363,6740,15,185482,0.0363,0.0000,0.0269,4991,9,185482,0.0269,0.0000
14.00,0.0442,358,0,60000,0.0060,0.9521,0.0354,396,0,60000,0.0066,0.2057,0.0363,6740,15,185482,0.0363,0.0000,0.0233,4318,8,185482,0.0233,0.0000
14.50,0.0442,358,0,60000,0.0060,0.9521,0.0354,396,0,60000,0.0066,0.2057,0.0374,6944,14,185482,0.0374,0.0000,0.0233,4318,8,185482,0.0233,0.0000
15.00,0.0502,512,0,60000,0.0085,0.8366,0.0354,396,0,60000,0.0066,0.2057,0.0374,6944,14,185482,0.0374,0.0000,0.0223,4139,8,185482,0.0223,0.0000
15.50,0.0579,409,0,60000,0.0068,0.9646,0.0437,412,0,60000,0.0069,0.8785,0.0410,7603,14,185482,0.0410,0.0000,0.0223,4139,8,185482,0.0223,0.0000
16.00,0.0579,409,0,60000,0.0068,0.9646,0.0578,928,0,60000,0.0155,0.9533,0.0410,7603,14,185482,0.0410,0.0000,0.0274,5085,9,185482,0.0274,0.0000
16.50,0.0659,499,0,60000,0.0083,0.8663,0.0631,779,0,60000,0.0130,0.9264,0.0422,7831,14,185482,0.0422,0.0000,0.0274,5085,9,185482,0.0274,0.0000
17.00,0.0699,293,0,60000,0.0049,0.8879,0.0631,779,0,60000,0.0130,0.9264,0.0422,7831,14,185482,0.0422,0.0000,0.0316,5859,10,185482,0.0316,0.0000
17.50,0.0699,293,0,60000,0.0049,0.8879,0.0709,474,0,60000,0.0079,0.9654,0.0446,8275,14,185482,0.0446,0.0000,0.0316,5859,10,185482,0.0316,0.0000
18.00,0.0741,253,0,60000,0.0042,0.8972,0.0787,530,0,60000,0.0088,0.9170,0.0446,8275,14,185482,0.0446,0.0000,0.0297,5500,10,185482,0.0297,0.0000
18.50,0.0827,523,0,60000,0.0087,0.9614,0.0872,518,0,60000,0.0086,0.9628,0.0471,8743,14,185482,0.0471,0.0000,0.0297,5500,10,185482,0.0297,0.0000
19.00,0.0827,523,0,60000,0.0087,0.9614,0.0872,518,0,60000,0.0086,0.9628,0.0471,8743,14,185482,0.0471,0.0000,0.0328,6088,11,185482,0.0328,0.0000
19.50,0.0894,787,0,60000,0.0131,0.6946,0.0962,554,0,60000,0.0092,0.9754,0.0517,9584,13,185482,0.0517,0.0000,0.0328,6088,11,185482,0.0328,0.0000
20.00,0.1049,617,0,60000,0.0103,0.9306,0.1054,577,0,60000,0.0096,0.9780,0.0517,9584,13,185482,0.0517,0.0000,0.0341,6332,9,185482,0.0341,0.0000
20.50,0.1150,598,0,60000,0.0100,0.8446,0.1054,577,0,60000,0.0096,0.9780,0.0539,9998,14,185482,0.0539,0.0000,0.0341,6332,9,185482,0.0341,0.0000
21.00,0.1264,1029,0,60000,0.0171,0.9563,0.1153,651,0,60000,0.0109,0.9490,0.0539,9998,14,185482,0.0539,0.0000,0.0460,8526,11,185482,0.0460,0.0000
21.50,0.1264,1029,0,60000,0.0171,0.9563,0.1153,651,0,60000,0.0109,0.9490,0.0549,10177,14,185482,0.0549,0.0000,0.0460,8526,11,185482,0.0460,0.0000
22.00,0.1312,706,0,60000,0.0118,0.9819,0.1153,651,0,60000,0.0109,0.9490,0.0549,10177,14,185482,0.0549,0.0000,0.0524,9712,12,185482,0.0524,0.0000
22.50,0.1312,706,0,60000,0.0118,0.9819,0.1336,335,0,60000,0.0056,0.9178,0.0549,10177,14,185482,0.0549,0.0000,0.0524,9712,12,185482,0.0524,0.0000
23.00,0.1312,706,0,60000,0.0118,0.9819,0.1336,335,0,60000,0.0056,0.9178,0.0617,11445,15,185482,0.0617,0.0000,0.0538,9970,13,185482,0.0538,0.0000
23.50,0.1348,814,0,60000,0.0136,0.9282,0.1336,335,0,60000,0.0056,0.9178,0.0617,11445,15,185482,0.0617,0.0000,0.0538,9970,13,185482,0.0538,0.0000
24.00,0.1348,814,0,60000,0.0136,0.9282,0.1336,335,0,60000,0.0056,0.9178,0.0556,10310,13,185482,0.0556,0.0000,0.0548,10163,12,185482,0.0548,0.0000
24.50,0.1416,381,0,60000,0.0063,0.3473,0.1336,335,0,60000,0.0056,0.9178,0.0556,10310,13,185482,0.0556,0.0000,0.0548,10163,12,185482,0.0548,0.0000
25.00,0.1416,381,0,60000,0.0063,0.3473,0.1379,617,0,60000,0.0103,0.9434,0.0643,11935,14,185482,0.0643,0.0000,0.0566,10507,11,185482,0.0566,0.0000
25.50,0.1416,381,0,60000,0.0063,0.3473,0.1379,617,0,60000,0.0103,0.9434,0.0643,11935,14,185482,0.0643,0.0000,0.0566,10507,11,185482,0.0566,0.0000
26.00,0.1554,443,0,60000,0.0074,0.9307,0.1512,827,0,60000,0.0138,0.9869,0.0674,12495,14,185482,0.0674,0.0000,0.0619,11476,13,185482,0.0619,0.0000
26.50,0.1554,443,0,60000,0.0074,0.9307,0.1668,876,0,60000,0.0146,0.9799,0.0674,12495,14,185482,0.0674,0.0000,0.0619,11476,13,185482,0.0619,0.0000
27.00,0.1554,443,0,60000,0.0074,0.9307,0.1677,1261,0,60000,0.0210,0.9618,0.0752,13951,16,185482,0.0752,0.0000,0.0619,11476,13,185482,0.0619,0.0000
27.50,0.1554,443,0,60000,0.0074,0.9307,0.1677,1261,0,60000,0.0210,0.9618,0.0752,13951,16,185482,0.0752,0.0000,0.0738,13687,15,185482,0.0738,0.0000
28.00,0.1554,443,0,60000,0.0074,0.9307,0.1712,781,0,60000,0.0130,0.9606,0.0738,13687,15,185482,0.0738,0.0000,0.0738,13687,15,185482,0.0738,0.0000
28.50,0.1554,443,0,60000,0.0074,0.9307,0.1712,781,0,60000,0.0130,0.9606,0.0738,13687,15,185482,0.0738,0.0000,0.0690,12807,13,185482,0.0690,0.0000
29.00,0.1554,443,0,60000,0.0074,0.9307,0.1712,781,0,60000,0.0130,0.9606,0.0770,14287,15,185482,0.0770,0.0000,0.0690,12807,13,185482,0.0690,0.0000
29.50,0.1560,36,0,60000,0.0006,0.4286,0.1712,781,0,60000,0.0130,0.9606,0.0770,14287,15,185482,0.0770,0.0000,0.0535,9920,10,185482,0.0535,0.0000
30.00,0.1560,36,0,60000,0.0006,0.4286,0.1712,781,0,60000,0.0130,0.9606,0.0770,14287,15,185482,0.0770,0.0000,0.0535,9920,10,185482,0.0535,0.0000
30.50,0.1560,36,0,60000,0.0006,0.4286,0.1712,781,0,60000,0.0130,0.9606,0.0803,14887,15,185482,0.0803,0.0000,0.0381,7072,8,185482,0.0381,0.0000
31.00,0.1568,376,0,60000,0.0063,0.4146,0.1717,419,0,60000,0.0070,0.8675,0.0803,14887,15,185482,0.0803,0.0000,0.0381,7072,8,185482,0.0381,0.0000
31.50,0.1656,1295,0,60000,0.0216,0.4604,0.1778,344,0,60000,0.0057,0.3719,0.0689,12777,12,185482,0.0689,0.0000,0.0437,8111,8,185482,0.0437,0.0000
32.00,0.1739,877,0,60000,0.0146,0.7761,0.1778,344,0,60000,0.0057,0.3719,0.0689,12777,12,185482,0.0689,0.0000,0.0437,8111,8,185482,0.0437,0.0000
32.50,0.1739,877,0,60000,0.0146,0.7761,0.2134,1592,0,60000,0.0265,0.5373,0.0778,14433,14,185482,0.0778,0.0000,0.0457,8470,9,185482,0.0457,0.0000
