t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0007,25,0,60000,0.0004,0.4386,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0150,887,0,60000,0.0148,0.5960,0.0252,1507,0,60000,0.0251,0.5538,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
3.50,0.0150,887,0,60000,0.0148,0.5960,0.0252,1507,0,60000,0.0251,0.5538,0.0104,1715,16,165101,0.0104,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0150,887,0,60000,0.0148,0.5960,0.0252,1507,0,60000,0.0251,0.5538,0.0104,1715,16,165101,0.0104,0.0000,0.0111,1827,15,165101,0.0111,0.0000
4.50,0.0150,887,0,60000,0.0148,0.5960,0.0252,1507,0,60000,0.0251,0.5538,0.0123,2029,13,165101,0.0123,0.0000,0.0111,1827,15,165101,0.0111,0.0000
5.00,0.0150,887,0,60000,0.0148,0.5960,0.0252,1507,0,60000,0.0251,0.5538,0.0123,2029,13,165101,0.0123,0.0000,0.0147,2427,15,165101,0.0147,0.0000
5.50,0.0150,887,0,60000,0.0148,0.5960,0.0252,1507,0,60000,0.0251,0.5538,0.0145,2400,12,165101,0.0145,0.0000,0.0147,2427,15,165101,0.0147,0.0000
6.00,0.0150,887,0,60000,0.0148,0.5960,0.0252,1507,0,60000,0.0251,0.5538,0.0145,2400,12,165101,0.0145,0.0000,0.0183,3027,15,165101,0.0183,0.0000
6.50,0.0150,887,0,60000,0.0148,0.5960,0.0252,1507,0,60000,0.0251,0.5538,0.0174,2880,12,165101,0.0174,0.0000,0.0183,3027,15,165101,0.0183,0.0000
7.00,0.0159,75,0,60000,0.0013,0.7075,0.0165,88,0,60000,0.0015,0.7040,0.0174,2880,12,165101,0.0174,0.0000,0.0220,3627,15,165101,0.0220,0.0000
7.50,0.0174,90,0,60000,0.0015,0.3600,0.0177,82,0,60000,0.0014,0.8039,0.0214,3527,14,165101,0.0214,0.0000,0.0220,3627,15,165101,0.0220,0.0000
8.00,0.0215,125,0,60000,0.0021,0.8117,0.0177,82,0,60000,0.0014,0.8039,0.0214,3527,14,165101,0.0214,0.0000,0.0272,4495,16,165101,0.0272,0.0000
8.50,0.0215,125,0,60000,0.0021,0.8117,0.0177,82,0,60000,0.0014,0.8039,0.0214,3527,14,165101,0.0214,0.0000,0.0272,4495,16,165101,0.0272,0.0000
9.00,0.0215,125,0,60000,0.0021,0.8117,0.0177,82,0,60000,0.0014,0.8039,0.0238,3926,13,165101,0.0238,0.0000,0.0265,4381,14,165101,0.0265,0.0000
9.50,0.0215,125,0,60000,0.0021,0.8117,0.0177,82,0,60000,0.0014,0.8039,0.0238,3926,13,165101,0.0238,0.0000,0.0265,4381,14,165101,0.0265,0.0000
10.00,0.0246,196,0,60000,0.0033,0.8340,0.0177,82,0,60000,0.0014,0.8039,0.0243,4005,11,165101,0.0243,0.0000,0.0314,5179,15,165101,0.0314,0.0000
10.50,0.0246,196,0,60000,0.0033,0.8340,0.0177,82,0,60000,0.0014,0.8039,0.0243,4005,11,165101,0.0243,0.0000,0.0314,5179,15,165101,0.0314,0.0000
11.00,0.0246,196,0,60000,0.0033,0.8340,0.0177,82,0,60000,0.0014,0.8039,0.0269,4445,11,165101,0.0269,0.0000,0.0329,5431,14,165101,0.0329,0.0000
11.50,0.0347,291,0,60000,0.0049,0.7823,0.0202,166,0,60000,0.0028,0.7793,0.0269,4445,11,165101,0.0269,0.0000,0.0329,5431,14,165101,0.0329,0.0000
12.00,0.0387,194,0,60000,0.0032,0.8818,0.0202,166,0,60000,0.0028,0.7793,0.0296,4894,12,165101,0.0296,0.0000,0.0387,6392,15,165101,0.0387,0.0000
12.50,0.0387,194,0,60000,0.0032,0.8818,0.0233,201,0,60000,0.0034,0.9178,0.0296,4894,12,165101,0.0296,0.0000,0.0387,6392,15,165101,0.0387,0.0000
13.00,0.0387,194,0,60000,0.0032,0.8818,0.0237,36,0,60000,0.0006,0.2057,0.0341,5624,13,165101,0.0341,0.0000,0.0385,6360,15,165101,0.0385,0.0000
13.50,0.0387,194,0,60000,0.0032,0.8818,0.0237,36,0,60000,0.0006,0.2057,0.0341,5624,13,165101,0.0341,0.0000,0.0385,6360,15,165101,0.0385,0.0000
14.00,0.0387,194,0,60000,0.0032,0.8818,0.0362,358,0,60000,0.0060,0.9521,0.0333,5502,12,165101,0.0333,0.0000,0.0441,7281,15,165101,0.0441,0.0000
14.50,0.0387,194,0,60000,0.0032,0.8818,0.0362,358,0,60000,0.0060,0.9521,0.0333,5502,12,165101,0.0333,0.0000,0.0441,7281,15,165101,0.0441,0.0000
15.00,0.0457,435,0,60000,0.0073,0.8496,0.0362,358,0,60000,0.0060,0.9521,0.0362,5982,12,165101,0.0362,0.0000,0.0471,7777,15,165101,0.0471,0.0000
15.50,0.0470,38,0,60000,0.0006,0.6786,0.0425,412,0,60000,0.0069,0.8785,0.0362,5982,12,165101,0.0362,0.0000,0.0471,7777,15,165101,0.0471,0.0000
16.00,0.0538,437,0,60000,0.0073,0.9626,0.0425,412,0,60000,0.0069,0.8785,0.0303,5007,8,165101,0.0303,0.0000,0.0455,7504,14,165101,0.0455,0.0000
16.50,0.0631,576,0,60000,0.0096,0.8521,0.0425,412,0,60000,0.0069,0.8785,0.0303,5007,8,165101,0.0303,0.0000,0.0455,7504,14,165101,0.0455,0.0000
17.00,0.0631,576,0,60000,0.0096,0.8521,0.0425,412,0,60000,0.0069,0.8785,0.0269,4447,8,165101,0.0269,0.0000,0.0495,8169,14,165101,0.0495,0.0000
17.50,0.0677,413,0,60000,0.0069,0.9344,0.0425,412,0,60000,0.0069,0.8785,0.0269,4447,8,165101,0.0269,0.0000,0.0495,8169,14,165101,0.0495,0.0000
18.00,0.0852,511,0,60000,0.0085,0.9733,0.0513,509,0,60000,0.0085,0.9604,0.0285,4707,8,165101,0.0285,0.0000,0.0495,8169,14,165101,0.0495,0.0000
18.50,0.0976,563,0,60000,0.0094,0.9214,0.0513,509,0,60000,0.0085,0.9604,0.0285,4707,8,165101,0.0285,0.0000,0.0541,8937,15,165101,0.0541,0.0000
19.00,0.0976,563,0,60000,0.0094,0.9214,0.0759,956,0,60000,0.0159,0.9531,0.0300,4960,8,165101,0.0300,0.0000,0.0541,8937,15,165101,0.0541,0.0000
19.50,0.0976,563,0,60000,0.0094,0.9214,0.0853,566,0,60000,0.0094,0.8373,0.0300,4960,8,165101,0.0300,0.0000,0.0694,11451,18,165101,0.0694,0.0000
20.00,0.1014,402,0,60000,0.0067,0.9157,0.0853,566,0,60000,0.0094,0.8373,0.0388,6401,10,165101,0.0388,0.0000,0.0694,11451,18,165101,0.0694,0.0000
20.50,0.1020,72,0,60000,0.0012,0.1084,0.0977,669,0,60000,0.0112,0.9809,0.0388,6401,10,165101,0.0388,0.0000,0.0756,12480,17,165101,0.0756,0.0000
21.00,0.1020,72,0,60000,0.0012,0.1084,0.1072,613,0,60000,0.0102,0.9684,0.0450,7434,10,165101,0.0450,0.0000,0.0756,12480,17,165101,0.0756,0.0000
21.50,0.1220,661,0,60000,0.0110,0.9735,0.1072,613,0,60000,0.0102,0.9684,0.0450,7434,10,165101,0.0450,0.0000,0.0884,14598,20,165101,0.0884,0.0000
22.00,0.1220,661,0,60000,0.0110,0.9735,0.1072,613,0,60000,0.0102,0.9684,0.0477,7874,11,165101,0.0477,0.0000,0.0884,14598,20,165101,0.0884,0.0000
22.50,0.1220,661,0,60000,0.0110,0.9735,0.1072,613,0,60000,0.0102,0.9684,0.0477,7874,11,165101,0.0477,0.0000,0.0796,13137,17,165101,0.0796,0.0000
23.00,0.1231,334,0,60000,0.0056,0.9176,0.1072,613,0,60000,0.0102,0.9684,0.0504,8314,11,165101,0.0504,0.0000,0.0796,13137,17,165101,0.0796,0.0000
23.50,0.1231,334,0,60000,0.0056,0.9176,0.1072,613,0,60000,0.0102,0.9684,0.0504,8314,11,165101,0.0504,0.0000,0.0861,14209,18,165101,0.0861,0.0000
24.00,0.1231,334,0,60000,0.0056,0.9176,0.1072,613,0,60000,0.0102,0.9684,0.0482,7965,10,165101,0.0482,0.0000,0.0861,14209,18,165101,0.0861,0.0000
24.50,0.1231,334,0,60000,0.0056,0.9176,0.1072,613,0,60000,0.0102,0.9684,0.0482,7965,10,165101,0.0482,0.0000,0.0861,14209,18,165101,0.0861,0.0000
25.00,0.1231,334,0,60000,0.0056,0.9176,0.1199,780,0,60000,0.0130,0.9836,0.0516,8517,9,165101,0.0516,0.0000,0.0806,13300,16,165101,0.0806,0.0000
25.50,0.1367,824,0,60000,0.0137,0.9786,0.1199,780,0,60000,0.0130,0.9836,0.0516,8517,9,165101,0.0516,0.0000,0.0806,13300,16,165101,0.0806,0.0000
26.00,0.1367,824,0,60000,0.0137,0.9786,0.1199,780,0,60000,0.0130,0.9836,0.0540,8914,10,165101,0.0540,0.0000,0.0819,13529,16,165101,0.0819,0.0000
26.50,0.1367,824,0,60000,0.0137,0.9786,0.1199,780,0,60000,0.0130,0.9836,0.0540,8914,10,165101,0.0540,0.0000,0.0819,13529,16,165101,0.0819,0.0000
27.00,0.1535,605,0,60000,0.0101,0.9665,0.1199,780,0,60000,0.0130,0.9836,0.0586,9675,10,165101,0.0586,0.0000,0.0858,14169,16,165101,0.0858,0.0000
27.50,0.1729,1177,0,60000,0.0196,0.9849,0.1199,780,0,60000,0.0130,0.9836,0.0586,9675,10,165101,0.0586,0.0000,0.0858,14169,16,165101,0.0858,0.0000
28.00,0.1849,985,0,60000,0.0164,0.9399,0.1201,36,0,60000,0.0006,0.4286,0.0747,12338,13,165101,0.0747,0.0000,0.0798,13174,15,165101,0.0798,0.0000
28.50,0.1849,985,0,60000,0.0164,0.9399,0.1201,36,0,60000,0.0006,0.4286,0.0747,12338,13,165101,0.0747,0.0000,0.0798,13174,15,165101,0.0798,0.0000
29.00,0.1849,985,0,60000,0.0164,0.9399,0.1216,830,0,60000,0.0138,0.9629,0.0749,12361,12,165101,0.0749,0.0000,0.0841,13881,15,165101,0.0841,0.0000
29.50,0.1849,985,0,60000,0.0164,0.9399,0.1216,830,0,60000,0.0138,0.9629,0.0749,12361,12,165101,0.0749,0.0000,0.0841,13881,15,165101,0.0841,0.0000
30.00,0.1849,985,0,60000,0.0164,0.9399,0.1216,830,0,60000,0.0138,0.9629,0.0749,12361,12,165101,0.0749,0.0000,0.0841,13881,15,165101,0.0841,0.0000
30.50,0.1849,985,0,60000,0.0164,0.9399,0.1216,830,0,60000,0.0138,0.9629,0.0515,8505,9,165101,0.0515,0.0000,0.0707,11670,12,165101,0.0707,0.0000
31.00,0.1849,985,0,60000,0.0164,0.9399,0.1275,1328,0,60000,0.0221,0.8691,0.0515,8505,9,165101,0.0515,0.0000,0.0707,11670,12,165101,0.0707,0.0000
31.50,0.1867,461,0,60000,0.0077,0.9564,0.1275,1328,0,60000,0.0221,0.8691,0.0537,8865,9,165101,0.0537,0.0000,0.0723,11942,11,165101,0.0723,0.0000
32.00,0.1867,461,0,60000,0.0077,0.9564,0.1569,1794,0,60000,0.0299,0.9191,0.0537,8865,9,165101,0.0537,0.0000,0.0723,11942,11,165101,0.0723,0.0000
