elapsed_s,gpu0_gb,gpu2_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.3029,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,32,0,0,0,0,2,0
4.0,0.0093,0.0014,0.0107,0.0,0.0107,0.0,0.0,0,0,0,0.2489,0.0107,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0417,0.0014,0.0431,0.0,0.0431,0.0,0.0,0,0,0,0.2489,0.0431,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0578,0.0014,0.0592,0.0,0.0592,0.0,0.0,0,0,0,0.2489,0.0592,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
7.0,0.1007,0.0014,0.1021,0.0,0.1021,0.0,0.0,0,0,0,0.2945,0.1021,0.0,0.0,0.0,0.0,1,1,0,0,37,0,0,13,0,2,0
8.0,0.1007,0.0014,0.1021,0.0,0.1021,0.0,0.0,0,0,0,0.3224,0.1021,0.0,0.0,0.0,0.0,4,3,1,0,37,0,0,138,0,2,0
9.0,0.142,0.0218,0.1637,0.0,0.1637,0.0,0.0,0,0,0,0.3717,0.1637,0.0,0.0,0.0,0.0,6,3,3,0,37,0,0,325,0,2,0
10.0,0.2683,0.0218,0.2901,0.0,0.2901,0.0,0.0,0,0,0,0.397,0.2901,0.0,0.0,0.0,0.0,7,4,3,0,37,0,0,479,0,2,0
11.0,0.2683,0.0218,0.2901,0.0,0.2901,0.0,0.0,0,0,0,0.397,0.2901,0.0,0.0,0.0,0.0,7,4,3,0,37,0,0,479,0,2,0
12.0,0.2683,0.1138,0.3821,0.0,0.3821,0.0,0.0,0,0,0,0.4209,0.3821,0.0,0.0,0.0,0.0,9,6,3,0,37,0,0,619,0,2,0
13.0,0.3894,0.1674,0.5568,0.0,0.5568,0.0,0.0,0,0,0,0.5416,0.5568,0.0,0.0,0.0,0.0,13,7,6,0,37,0,0,1381,0,2,0
14.0,0.6273,0.194,0.8213,0.0,0.8213,0.0,0.0,0,0,0,0.647,0.8213,0.0,0.0,0.0,0.0,15,7,8,0,38,0,0,2011,0,2,0
15.0,0.6273,0.2945,0.9218,0.0,0.9218,0.0,0.0,0,0,0,0.647,0.9218,0.0,0.0,0.0,0.0,15,7,8,0,38,0,0,2011,0,2,0
16.0,0.6273,0.5336,1.1609,0.0,1.1609,0.0,0.0,0,0,0,0.8083,1.1609,0.0,0.0,0.0,0.0,18,8,10,0,38,0,0,3070,0,2,0
17.0,0.8031,0.5336,1.3367,0.0,1.3367,0.0,0.0,0,0,0,1.0283,1.3367,0.0,0.0,0.0,0.0,22,9,13,0,38,0,0,4608,0,2,0
18.0,1.1017,0.6901,1.7918,0.0,1.7918,0.0,0.0,0,0,0,1.18,1.7918,0.0,0.0,0.0,0.0,25,11,14,0,38,0,0,5664,0,2,0
19.0,1.1017,0.6901,1.7918,0.0,1.7918,0.0,0.0,0,0,0,1.3419,1.7918,0.0,0.0,0.0,0.0,28,12,16,0,38,0,0,6829,0,2,0
20.0,1.3107,0.6901,2.0008,0.0,2.0008,0.0,0.0,0,0,0,1.5794,2.0008,0.0,0.0,0.0,0.0,31,14,17,0,38,0,0,8268,0,2,0
21.0,1.3107,0.6901,2.0008,0.0,2.0008,0.0,0.0,0,0,0,1.7495,2.0008,0.0,0.0,0.0,0.0,33,15,18,0,38,0,0,9410,0,2,0
22.0,1.3107,0.8317,2.1424,0.0,2.1424,0.0,0.0,0,0,0,1.945,2.1424,0.0,0.0,0.0,0.0,36,17,19,0,38,0,0,10806,0,2,0
23.0,1.3107,0.9125,2.2232,0.0,2.2232,0.0,0.0,0,0,0,2.0885,2.2232,0.0,0.0,0.0,0.0,39,17,22,0,38,0,0,11832,0,2,0
24.0,1.3107,0.9125,2.2232,0.0,2.2232,0.0,0.0,0,0,0,2.1232,2.2232,0.0,0.0,0.0,0.0,40,18,22,0,38,0,0,12034,0,2,0
25.0,1.3107,0.9653,2.2761,0.0,2.2761,0.0,0.0,0,0,0,2.2623,2.2761,0.0,0.0,0.0,0.0,41,18,23,0,38,0,0,12379,0,2,0
26.0,1.3107,1.0677,2.3784,0.0,2.3784,0.0,0.0,0,0,0,2.3155,2.3784,0.0,0.0,0.0,0.0,43,20,23,0,38,0,0,12715,0,2,0
27.0,1.3107,1.0677,2.3784,0.0,2.3784,0.0,0.0,0,0,0,2.5478,2.3784,0.0,0.0,0.0,0.0,47,21,26,0,39,0,0,14399,0,2,0
28.0,1.3107,1.0677,2.3784,0.0,2.3784,0.0,0.0,0,0,0,2.577,2.3784,0.0,0.0,0.0,0.0,48,22,26,0,39,0,0,14590,0,2,0
29.0,1.3107,1.0677,2.3784,0.0,2.3784,0.0,0.0,0,0,0,2.577,2.3784,0.0,0.0,0.0,0.0,48,22,26,0,39,0,0,14590,0,2,0
30.0,1.3107,1.0677,2.3784,0.0,2.3784,0.0,0.0,0,0,0,2.5833,2.3784,0.0,0.0,0.0,0.0,48,22,26,0,40,0,0,14590,0,2,0
31.0,1.3107,1.0677,2.3784,0.0,2.3784,0.0,0.0,0,0,0,2.6529,2.3784,0.0,0.0,0.0,0.0,48,22,26,0,40,1,0,14590,0,2,0
32.0,1.3107,1.0677,2.3784,0.0,2.3784,0.0,0.0,0,0,0,2.8418,2.3784,0.0,0.0,0.0,0.0,49,23,26,0,40,3,0,14889,0,2,0
33.0,1.3107,1.0677,2.3784,0.0,2.3784,0.0,0.0,0,0,0,3.0829,2.3784,0.0,0.0,0.0,0.0,49,23,26,0,43,3,0,14889,0,2,0
34.0,1.3107,1.2064,2.5171,0.0,2.5171,0.0,0.0,0,0,0,3.6857,2.5171,0.0,0.0,0.0,0.0,53,25,28,0,45,3,0,17995,0,2,0
35.0,1.3107,1.2064,2.5171,0.0,2.5171,0.0,0.0,0,0,0,4.1029,2.5171,0.0,0.0,0.0,0.0,56,27,29,0,45,3,0,20900,0,2,0
36.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.1029,2.6214,0.0,0.0,0.0,0.0,56,27,29,0,45,3,0,20900,0,2,0
37.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.3381,2.6214,0.0,0.0,0.0,0.0,59,28,31,0,46,3,0,22369,0,2,0
38.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.3922,2.6214,0.0,0.0,0.0,0.0,59,28,31,0,47,3,0,22369,0,2,0
39.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.5348,2.6214,0.0,0.0,0.0,0.0,60,28,32,0,47,3,0,23407,0,2,0
40.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.676,2.6214,0.0,0.0,0.0,0.0,63,30,33,0,47,3,0,24389,0,2,0
41.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.7544,2.6214,0.0,0.0,0.0,0.0,64,30,34,0,48,3,0,24958,0,2,0
42.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.0281,2.6214,0.0,0.0,0.0,0.0,66,31,35,0,48,3,0,26978,0,2,0
43.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.0333,2.6214,0.0,0.0,0.0,0.0,67,32,35,0,48,3,0,26979,0,2,0
44.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.1785,2.6214,0.0,0.0,0.0,0.0,69,33,36,0,48,3,0,28029,0,2,0
45.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.2292,2.6214,0.0,0.0,0.0,0.0,70,34,36,0,48,3,0,28403,0,2,0
46.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.3345,2.6214,0.0,0.0,0.0,0.0,71,34,37,0,48,3,0,29173,0,2,0
47.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.5654,2.6214,0.0,0.0,0.0,0.0,72,34,38,0,49,3,0,30036,0,2,0
48.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.7555,2.6214,0.0,0.0,0.0,0.0,73,35,38,0,49,3,0,31473,0,2,0
49.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.1545,2.6214,0.0,0.0,0.0,0.0,77,36,41,0,49,3,0,34113,0,2,0
50.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.2225,2.6214,0.0,0.0,0.0,0.0,78,37,41,0,49,3,0,34615,0,2,0
51.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.3329,2.6214,0.0,0.0,0.0,0.0,79,38,41,0,49,3,0,35435,0,2,0
52.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.511,2.6214,0.0,0.0,0.0,0.0,81,39,42,0,49,3,0,36755,0,2,0
53.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.7168,2.6214,0.0,0.0,0.0,0.0,82,40,42,0,50,3,0,38294,0,2,0
54.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.8007,2.6214,0.0,0.0,0.0,0.0,83,40,43,0,50,3,0,38911,0,2,0
55.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.8923,2.6214,0.0,0.0,0.0,0.0,84,41,43,0,50,3,0,39561,0,2,0
56.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.2073,2.6214,0.0,0.0,0.0,0.0,84,41,43,0,52,3,0,39561,0,2,0
57.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.2637,2.6214,0.0,0.0,0.0,0.0,84,41,43,0,53,3,0,39561,0,2,0
58.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.5205,2.6214,0.0,0.0,0.0,0.0,84,41,43,0,55,3,0,39561,0,2,0
59.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.1401,2.6214,0.0,0.0,0.0,0.0,87,44,43,0,58,3,0,42472,0,2,0
60.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.4088,2.6214,0.0,0.0,0.0,0.0,88,45,43,0,58,3,0,44389,0,2,0
61.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.6878,2.6214,0.0,0.0,0.0,0.0,92,48,44,0,59,3,0,46379,0,2,0
62.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.8253,2.6214,0.0,0.0,0.0,0.0,93,49,44,0,59,3,0,47415,0,2,0
63.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.0739,2.6214,0.0,0.0,0.0,0.0,94,50,44,0,59,3,0,49292,0,2,0
64.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.0739,2.6214,0.0,0.0,0.0,0.0,94,50,44,0,59,3,0,49292,0,2,0
65.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.2638,2.6214,0.0,0.0,0.0,0.0,95,51,44,0,61,3,0,49870,0,2,0
66.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.5,2.6214,0.0,0.0,0.0,0.0,96,51,45,0,61,4,0,51520,0,2,0
67.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.5,2.6214,0.0,0.0,0.0,0.0,96,51,45,0,61,4,0,51520,0,2,0
68.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.8864,2.6214,0.0,0.0,0.0,0.0,99,53,46,0,61,4,0,54374,0,2,0
69.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.8864,2.6214,0.0,0.0,0.0,0.0,99,53,46,0,61,4,0,54374,0,2,0
70.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.9387,2.6214,0.0,0.0,0.0,0.0,100,54,46,0,61,4,0,54732,0,2,0
71.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.9415,2.6214,0.0,0.0,0.0,0.0,100,54,46,0,62,4,0,54732,0,2,0
72.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,10.0872,2.6214,0.0,0.0,0.0,0.0,101,55,46,0,62,4,0,55772,0,2,0
