elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.2074,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,23,0,0,0,0,2,0
4.0,0.0,0.0214,0.0014,0.0,0.0228,0.0,0.0228,0.0,0.0,0,0,0,0.2488,0.0014,0.0214,0.0,0.0,0.9368,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0,0.0439,0.0014,0.0,0.0454,0.0,0.0454,0.0,0.0,0,0,0,0.2488,0.0014,0.0439,0.0,0.0,0.9682,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0,0.0603,0.0014,0.0,0.0617,0.0,0.0617,0.0,0.0,0,0,0,0.2488,0.0014,0.0603,0.0,0.0,0.9766,0,0,0,0,37,0,0,0,0,2,0
7.0,0.0257,0.0603,0.0014,0.0,0.0874,0.0,0.0874,0.0,0.0,0,0,0,0.2641,0.0271,0.0603,0.0,0.0,0.6897,2,0,2,0,37,0,0,49,0,2,0
8.0,0.0257,0.0603,0.0014,0.0,0.0874,0.0,0.0874,0.0,0.0,0,0,0,0.3144,0.0271,0.0603,0.0,0.0,0.6897,5,0,5,0,37,0,0,224,0,2,0
9.0,0.0257,0.1416,0.0809,0.0,0.2481,0.0,0.2481,0.0,0.0,0,0,0,0.3144,0.1066,0.1416,0.0,0.0,0.5705,5,0,5,0,37,0,0,224,0,2,0
10.0,0.0257,0.1416,0.1072,0.0,0.2745,0.0,0.2745,0.0,0.0,0,0,0,0.3144,0.1329,0.1416,0.0,0.0,0.5158,5,0,5,0,37,0,0,224,0,2,0
11.0,0.0257,0.1416,0.1072,0.0,0.2745,0.0,0.2745,0.0,0.0,0,0,0,0.3405,0.1329,0.1416,0.0,0.0,0.5158,6,1,5,0,37,0,0,384,0,2,0
12.0,0.0257,0.1416,0.1982,0.0,0.3654,0.0,0.3654,0.0,0.0,0,0,0,0.4481,0.2239,0.1416,0.0,0.0,0.3874,10,2,8,0,37,0,0,1048,0,2,0
13.0,0.0257,0.1416,0.3092,0.0,0.4764,0.0,0.4764,0.0,0.0,0,0,0,0.4935,0.3349,0.1416,0.0,0.0,0.2971,12,3,9,0,37,0,0,1350,0,2,0
14.0,0.0257,0.1416,0.3951,0.0,0.5623,0.0,0.5623,0.0,0.0,0,0,0,0.5117,0.4207,0.1416,0.0,0.0,0.2517,12,3,9,0,38,0,0,1350,0,2,0
15.0,0.0257,0.1957,0.4705,0.0,0.6919,0.0,0.6919,0.0,0.0,0,0,0,0.6571,0.4962,0.1957,0.0,0.0,0.2828,15,5,10,0,38,0,0,2347,0,2,0
16.0,0.0257,0.512,0.4705,0.0,1.0082,0.0,1.0082,0.0,0.0,0,0,0,0.7138,0.4962,0.512,0.0,0.0,0.5078,16,6,10,0,39,0,0,2705,0,2,0
17.0,0.0257,0.8804,0.4705,0.0,1.3766,0.0,1.3766,0.0,0.0,0,0,0,0.8508,0.4962,0.8804,0.0,0.0,0.6395,18,6,12,0,39,0,0,3633,0,2,0
18.0,0.0257,1.1312,0.4705,0.0,1.6274,0.0,1.6274,0.0,0.0,0,0,0,1.0781,0.4962,1.1312,0.0,0.0,0.6951,22,6,16,0,39,0,0,5290,0,2,0
19.0,0.0257,1.2178,0.4705,0.0,1.714,0.0,1.714,0.0,0.0,0,0,0,1.18,0.4962,1.2178,0.0,0.0,0.7105,24,6,18,0,39,0,0,5991,0,2,0
20.0,0.0257,1.2178,0.4705,0.0,1.714,0.0,1.714,0.0,0.0,0,0,0,1.4877,0.4962,1.2178,0.0,0.0,0.7105,28,6,22,0,39,0,0,8123,0,2,0
21.0,0.0257,1.2616,0.4705,0.0,1.7578,0.0,1.7578,0.0,0.0,0,0,0,1.6499,0.4962,1.2616,0.0,0.0,0.7177,29,6,23,0,39,1,0,8756,0,2,0
22.0,0.0257,1.2616,0.4705,0.0,1.7578,0.0,1.7578,0.0,0.0,0,0,0,1.8071,0.4962,1.2616,0.0,0.0,0.7177,31,6,25,0,39,1,0,9917,0,2,0
23.0,0.0257,1.3638,0.4705,0.1884,2.0484,0.0,2.0484,0.0,0.0,0,0,0,1.818,0.4962,1.5522,0.0,0.0,0.7577,32,6,26,0,39,1,0,9970,0,2,0
24.0,0.0257,1.3638,0.4705,0.1884,2.0484,0.0,2.0484,0.0,0.0,0,0,0,1.818,0.4962,1.5522,0.0,0.0,0.7577,32,6,26,0,39,1,0,9970,0,2,0
25.0,0.0257,1.3638,0.4705,0.5772,2.4373,0.0,2.4373,0.0,0.0,0,0,0,1.818,0.4962,1.941,0.0,0.0,0.7964,32,6,26,0,39,1,0,9970,0,2,0
26.0,0.0257,1.3638,0.4705,0.8226,2.6827,0.0,2.6827,0.0,0.0,0,0,0,2.022,0.4962,2.1864,0.0,0.0,0.815,35,6,29,0,39,1,0,11459,0,2,0
27.0,0.0257,1.3638,0.4705,0.9314,2.7914,0.0,2.7914,0.0,0.0,0,0,0,2.022,0.4962,2.2952,0.0,0.0,0.8222,35,6,29,0,39,1,0,11459,0,2,0
28.0,0.0257,1.3638,0.4705,1.0554,2.9154,0.0,2.9154,0.0,0.0,0,0,0,2.313,0.4962,2.4192,0.0,0.0,0.8298,39,6,33,0,40,1,0,13551,0,2,0
29.0,0.0257,1.3638,0.5951,1.2899,3.2744,0.0,3.2744,0.0,0.0,0,0,0,2.4137,0.6208,2.6537,0.0,0.0,0.8104,41,6,35,0,40,1,0,14235,0,2,0
30.0,0.0257,1.371,1.262,1.2899,3.9485,0.0,3.9485,0.0,0.0,0,0,0,2.4227,1.2877,2.6609,0.0,0.0,0.6739,42,6,36,0,40,1,0,14272,0,2,0
31.0,0.0257,1.371,1.262,1.2899,3.9485,0.0,3.9485,0.0,0.0,0,0,0,2.4227,1.2877,2.6609,0.0,0.0,0.6739,42,6,36,0,40,1,0,14272,0,2,0
32.0,0.0257,1.371,1.262,1.2899,3.9485,0.0,3.9485,0.0,0.0,0,0,0,2.726,1.2877,2.6609,0.0,0.0,0.6739,46,8,38,0,40,1,0,16204,0,2,0
33.0,0.0257,1.371,1.262,1.3107,3.9694,0.0,3.9694,0.0,0.0,0,0,0,3.3435,1.2877,2.6817,0.0,0.0,0.6756,50,10,40,0,40,2,0,18763,0,2,0
34.0,0.0257,1.6688,1.262,1.3107,4.2672,0.0,4.2672,0.0,0.0,0,0,0,3.8201,1.2877,2.9795,0.0,0.0,0.6982,54,10,44,0,41,2,0,21936,0,2,0
35.0,0.0257,1.8182,1.262,1.3107,4.4166,0.0,4.4166,0.0,0.0,0,0,0,4.0825,1.2877,3.129,0.0,0.0,0.7085,56,10,46,0,41,2,0,23885,0,2,0
36.0,0.0257,1.948,1.262,1.3107,4.5464,0.0,4.5464,0.0,0.0,0,0,0,4.3015,1.2877,3.2587,0.0,0.0,0.7168,58,10,48,0,42,2,0,24961,0,2,0
