elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,131014.0,24805.0,40701.0,24807.0,40701.0,84782.0,73760.5,32057.6,30856.6,0.0,21905.2,0.6,33796.4,23467.3,35778.3,60597.4,90013.0,128652.3,106687.2,148
1.2,131014.0,24805.0,40701.0,24807.0,40701.0,84782.2,73760.7,32057.8,30856.8,0.0,21905.0,0.6,34678.1,23467.0,36663.9,61482.7,89127.4,128652.3,106687.2,148
2.3,131062.0,24851.0,40701.0,24809.0,40701.0,84795.1,73771.9,32069.0,30868.0,0.0,21905.0,0.6,34592.2,23467.1,36584.1,61403.0,89207.2,128652.3,106700.1,148
3.5,131062.0,24851.0,40701.0,24809.0,40701.0,84822.0,73796.6,32094.5,30892.7,0.0,21926.2,0.6,34396.1,23487.6,36394.3,61233.7,89397.0,128652.3,106748.2,148
4.6,131062.0,24851.0,40701.0,24809.0,40701.0,84822.4,73797.0,32094.9,30893.1,0.0,21926.3,0.6,34397.4,23487.7,36397.7,61237.2,89393.6,128652.3,106748.8,148
5.7,131062.0,24851.0,40701.0,24809.0,40701.0,84822.7,73797.2,32095.1,30893.3,0.0,21926.3,0.6,34397.0,23487.7,36398.3,61237.8,89393.0,128652.3,106749.0,148
6.9,131062.0,24851.0,40701.0,24809.0,40701.0,84824.9,73799.5,32097.4,30895.6,0.0,21952.1,0.6,34399.7,23513.7,36404.9,61270.4,89386.4,128652.3,106777.0,148
8.1,131062.0,24851.0,40701.0,24809.0,40701.0,84828.3,73802.7,32100.6,30898.8,0.0,21961.3,0.6,34402.7,23523.0,36407.9,61282.6,89383.4,128652.3,106789.7,148
9.2,131062.0,24851.0,40701.0,24809.0,40701.0,84828.4,73802.8,32100.7,30898.9,0.0,21961.4,0.6,34403.1,23523.0,36405.5,61280.2,89385.8,128652.3,106789.8,148
10.3,131062.0,24851.0,40701.0,24809.0,40701.0,84828.5,73802.9,32100.8,30899.0,0.0,21961.4,75.4,34403.1,23523.0,36410.7,61285.5,89380.6,128652.3,106789.9,148
11.5,131062.0,24851.0,40701.0,24809.0,40701.0,84834.0,73808.4,32106.2,30904.5,0.0,21980.6,75.4,34408.2,23542.0,36415.3,61309.2,89376.0,128652.3,106814.5,148
12.6,131160.0,24851.0,40701.0,24907.0,40701.0,84835.7,73810.1,32108.0,30906.2,0.0,22001.6,75.4,34410.4,23563.1,36419.3,61334.2,89372.0,128652.3,106837.3,148
13.8,131160.0,24851.0,40701.0,24907.0,40701.0,84839.9,73814.2,32112.1,30910.3,0.0,22045.9,75.4,34413.9,23607.4,36422.2,61381.4,89369.1,128652.3,106885.8,148
15.0,131160.0,24851.0,40701.0,24907.0,40701.0,84860.4,73834.7,32132.6,30930.8,0.0,22141.3,75.4,34431.4,23702.6,36443.5,61498.0,89347.8,128652.3,107001.7,148
16.2,131160.0,24851.0,40701.0,24907.0,40701.0,84860.6,73834.9,32132.8,30931.0,0.0,22229.2,75.4,34435.4,23791.3,36446.4,61589.5,89344.9,128652.3,107089.8,148
17.3,131160.0,24851.0,40701.0,24907.0,40701.0,84860.7,73835.0,32132.9,30931.1,0.0,22229.3,75.4,34435.4,23791.4,36448.3,61591.5,89343.0,128652.3,107090.0,148
18.5,131160.0,24851.0,40701.0,24907.0,40701.0,84860.9,73835.2,32133.1,30931.3,0.0,22293.9,75.4,34435.7,23856.1,36448.7,61656.5,89342.6,128652.3,107154.8,148
19.7,131214.0,24905.0,40701.0,24907.0,40701.0,84862.4,73836.7,32134.6,30932.8,0.0,22366.3,75.4,34436.2,23928.2,36449.1,61729.2,89342.1,128652.3,107228.6,148
20.9,131256.0,24905.0,40701.0,24949.0,40701.0,84863.4,73837.6,32135.5,30933.7,0.0,22501.7,680.2,34437.3,24063.9,36446.6,61862.4,89344.7,128652.3,107365.1,148
22.0,131256.0,24905.0,40701.0,24949.0,40701.0,84864.4,73838.7,32136.6,30934.8,0.0,22583.9,680.2,34438.2,24146.6,36449.1,61947.5,89342.2,128652.3,107448.3,148
23.2,131256.0,24905.0,40701.0,24949.0,40701.0,84864.5,73838.8,32136.7,30934.9,0.0,22583.9,680.2,34438.3,24146.5,36449.3,61947.6,89342.0,128652.3,107448.4,148
24.3,131256.0,24905.0,40701.0,24949.0,40701.0,84870.4,73844.7,32142.5,30940.8,0.0,22655.2,680.2,34444.3,24217.9,36456.3,62026.0,89335.0,128652.3,107525.6,148
25.4,131256.0,24905.0,40701.0,24949.0,40701.0,84870.4,73844.7,32142.6,30940.8,0.0,22655.6,680.2,34444.5,24218.3,36456.4,62026.5,89334.9,128652.3,107526.0,148
26.6,131256.0,24905.0,40701.0,24949.0,40701.0,84870.6,73844.9,32142.8,30941.0,0.0,22661.4,680.2,34444.6,24224.1,36455.6,62031.5,89335.7,128652.3,107532.0,148
27.7,131256.0,24905.0,40701.0,24949.0,40701.0,84870.7,73844.9,32142.8,30941.1,0.0,22661.4,680.2,34445.3,24224.1,36458.6,62034.5,89332.7,128652.3,107532.1,148
28.9,131256.0,24905.0,40701.0,24949.0,40701.0,84870.7,73844.9,32142.8,30941.1,0.0,22661.5,680.2,34444.8,24224.3,36458.8,62034.8,89332.5,128652.3,107532.2,148
30.0,131428.0,24965.0,40701.0,25061.0,40701.0,84870.7,73845.0,32142.8,30941.1,0.0,22661.5,680.2,34445.0,24224.3,36458.6,62034.7,89332.7,128652.3,107532.2,148
31.2,131428.0,24965.0,40701.0,25061.0,40701.0,84896.4,73854.6,32168.6,30950.8,0.0,22903.0,1107.8,34452.9,24465.9,36467.4,62285.1,89323.9,128652.3,107799.5,148
32.3,131428.0,24965.0,40701.0,25061.0,40701.0,84924.1,73866.2,32196.2,30962.3,0.0,23053.6,1107.8,34466.0,24616.6,36522.9,62491.3,89268.3,128652.3,107977.7,148
33.6,131428.0,24965.0,40701.0,25061.0,40701.0,84927.7,73869.8,32199.8,30965.9,0.0,23298.6,1107.8,34469.3,24862.0,36528.0,62741.8,89263.3,128652.3,108226.3,148
34.7,131428.0,24965.0,40701.0,25061.0,40701.0,84927.7,73869.9,32199.8,30966.0,0.0,23299.8,1107.8,34469.7,24863.2,36528.2,62743.1,89263.1,128652.3,108227.5,148
35.9,131428.0,24965.0,40701.0,25061.0,40701.0,84928.3,73870.5,32200.4,30966.6,0.0,23375.8,1107.8,34470.5,24939.2,36524.8,62815.9,89266.4,128652.3,108304.1,148
37.1,131506.0,25043.0,40701.0,25061.0,40701.0,84929.3,73871.5,32201.5,30967.6,0.0,23379.5,1107.8,34471.2,24943.0,36527.2,62822.0,89264.1,128652.3,108308.9,148
38.3,131508.0,25043.0,40701.0,25063.0,40701.0,84931.9,73874.1,32204.1,30970.2,0.0,23540.7,1107.8,34474.1,25104.4,36537.4,62993.7,89253.8,128652.3,108472.6,148
39.5,131508.0,25043.0,40701.0,25063.0,40701.0,84932.5,73874.7,32204.6,30970.8,0.0,23636.2,1107.8,34474.7,25200.1,36536.9,63088.8,89254.3,128652.3,108568.8,148
40.6,131510.0,25043.0,40701.0,25063.0,40703.0,84932.6,73874.7,32204.7,30970.8,0.0,23647.0,1107.8,34474.8,25211.2,36532.4,63095.4,89258.8,128652.3,108579.6,148
