elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,140606.0,29164.0,41296.0,28898.0,41248.0,67692.2,55949.0,14945.4,13028.6,0.0,21969.9,0.0,15924.5,23541.9,18386.6,43287.0,107397.9,128652.3,89662.1,148
1.0,140608.0,29164.0,41296.0,28898.0,41250.0,67811.4,55964.7,15063.8,13044.4,0.0,21969.9,0.0,16778.1,23540.8,19354.4,44253.7,106430.2,128652.3,89781.3,148
2.1,140970.0,29506.0,41296.0,28918.0,41250.0,67811.8,55965.1,15064.9,13044.8,0.0,21969.9,0.0,17366.0,23541.0,19955.4,44854.9,105829.2,128652.3,89781.6,148
3.2,141018.0,29506.0,41296.0,28920.0,41296.0,68024.1,55999.2,15223.3,13097.0,0.0,21970.1,0.0,16603.9,23541.3,19315.9,44215.7,106468.7,128652.3,89994.2,148
4.2,141018.0,29506.0,41296.0,28920.0,41296.0,68032.2,56000.8,15231.1,13098.5,0.0,21970.7,0.0,16604.5,23541.9,19322.8,44223.2,106461.8,128652.3,90002.9,148
5.2,141018.0,29506.0,41296.0,28920.0,41296.0,68032.4,56001.0,15231.4,13098.8,0.0,21970.9,0.0,16604.8,23542.1,19323.4,44224.0,106461.1,128652.3,90003.4,148
6.2,141018.0,29506.0,41296.0,28920.0,41296.0,68032.6,56001.2,15231.6,13099.0,0.0,21970.9,0.0,16605.2,23542.1,19323.3,44223.9,106461.3,128652.3,90003.6,148
7.3,141018.0,29506.0,41296.0,28920.0,41296.0,68041.5,56009.1,15239.5,13106.8,0.0,21971.0,0.0,16612.3,23542.1,19335.4,44236.0,106449.1,128652.3,90012.5,148
8.3,141018.0,29506.0,41296.0,28920.0,41296.0,68041.7,56009.2,15239.6,13107.0,0.0,21971.0,0.0,16613.8,23542.1,19336.7,44237.4,106447.8,128652.3,90012.6,148
9.3,141018.0,29506.0,41296.0,28920.0,41296.0,68041.8,56009.3,15239.7,13107.1,0.0,21971.0,0.0,16613.4,23542.1,19334.7,44235.3,106449.9,128652.3,90012.8,148
10.3,141018.0,29506.0,41296.0,28920.0,41296.0,68041.9,56009.4,15239.8,13107.2,0.0,21971.1,0.0,16613.6,23542.2,19335.3,44236.0,106449.2,128652.3,90013.0,148
11.3,141018.0,29506.0,41296.0,28920.0,41296.0,68045.9,56013.4,15243.8,13111.1,0.0,21971.1,0.0,16617.6,23542.2,19337.4,44238.2,106447.1,128652.3,90017.0,148
12.4,141020.0,29508.0,41296.0,28920.0,41296.0,68050.8,56018.2,15248.6,13115.9,0.0,21971.1,0.0,16622.0,23542.1,19343.1,44243.8,106441.4,128652.3,90021.9,148
13.4,141020.0,29508.0,41296.0,28920.0,41296.0,68051.0,56018.3,15248.8,13116.1,0.0,21971.1,0.0,16622.6,23542.1,19342.5,44243.2,106442.0,128652.3,90022.1,148
14.4,141020.0,29508.0,41296.0,28920.0,41296.0,68054.3,56021.6,15252.1,13119.4,0.0,21971.1,0.0,16623.7,23542.1,19345.5,44246.1,106439.0,128652.3,90025.4,148
15.4,141060.0,29508.0,41296.0,28960.0,41296.0,68054.5,56021.7,15252.2,13119.5,0.0,21971.1,0.0,16626.1,23542.1,19344.4,44245.1,106440.1,128652.3,90025.6,148
16.4,141100.0,29508.0,41316.0,28960.0,41316.0,68058.3,56025.6,15256.1,13123.3,0.0,21971.1,0.0,16629.2,23542.1,19345.7,44246.3,106438.9,128652.3,90029.4,148
17.4,141100.0,29508.0,41316.0,28960.0,41316.0,68058.4,56025.7,15256.2,13123.4,0.0,21971.1,0.0,16630.6,23542.1,19347.1,44247.7,106437.5,128652.3,90029.5,148
18.5,141100.0,29508.0,41316.0,28960.0,41316.0,68058.5,56025.8,15256.3,13123.5,0.0,21971.1,0.0,16630.9,23542.1,19348.9,44249.5,106435.6,128652.3,90029.6,148
19.5,141096.0,29434.0,41316.0,28964.0,41382.0,68058.6,56025.8,15256.4,13123.6,0.0,21971.1,0.0,16630.3,23542.1,19349.4,44250.1,106435.1,128652.3,90029.8,148
20.5,141096.0,29434.0,41316.0,28964.0,41382.0,68129.5,56026.8,15327.2,13124.5,0.0,21971.1,0.0,16630.9,23542.1,19428.5,44329.2,106356.0,128652.3,90100.7,148
21.5,141098.0,29436.0,41316.0,28964.0,41382.0,68129.8,56027.0,15327.5,13124.8,0.0,21971.2,0.0,16631.8,23542.1,19429.1,44329.8,106355.4,128652.3,90101.0,148
22.5,141098.0,29436.0,41316.0,28964.0,41382.0,68130.0,56027.2,15327.7,13125.0,0.0,21971.2,0.0,16632.0,23542.3,19433.4,44334.2,106351.2,128652.3,90101.2,148
23.6,141098.0,29436.0,41316.0,28964.0,41382.0,68137.1,56034.4,15334.9,13132.1,0.0,21971.2,0.0,16639.7,23542.2,19439.7,44340.4,106344.9,128652.3,90108.3,148
24.6,141098.0,29436.0,41316.0,28964.0,41382.0,68137.2,56034.4,15334.9,13132.2,0.0,21971.2,0.0,16639.6,23542.2,19439.3,44340.0,106345.3,128652.3,90108.4,148
25.6,141098.0,29436.0,41316.0,28964.0,41382.0,68137.3,56034.5,15335.0,13132.3,0.0,21971.2,0.0,16639.4,23542.2,19440.8,44341.5,106343.8,128652.3,90108.5,148
26.7,141098.0,29436.0,41316.0,28964.0,41382.0,68137.5,56034.7,15335.2,13132.4,0.0,21971.2,0.0,16639.5,23542.2,19441.3,44342.0,106343.2,128652.3,90108.6,148
27.7,141098.0,29436.0,41316.0,28964.0,41382.0,68137.5,56034.8,15335.3,13132.5,0.0,21971.2,0.0,16639.6,23542.2,19441.2,44341.9,106343.3,128652.3,90108.7,148
28.7,141098.0,29436.0,41316.0,28964.0,41382.0,68137.7,56034.9,15335.4,13132.6,0.0,21971.2,0.0,16639.7,23542.2,19441.0,44341.7,106343.5,128652.3,90108.8,148
29.7,141164.0,29436.0,41382.0,28964.0,41382.0,68137.8,56035.0,15335.5,13132.8,0.0,21971.2,0.0,16639.9,23542.2,19439.5,44340.2,106345.1,128652.3,90109.0,148
30.7,141164.0,29436.0,41382.0,28964.0,41382.0,68143.9,56035.2,15341.6,13132.9,0.0,21971.2,0.0,16640.5,23542.2,19445.6,44346.4,106338.9,128652.3,90115.1,148
31.7,141164.0,29436.0,41382.0,28964.0,41382.0,68144.6,56035.8,15342.2,13133.5,0.0,21971.3,0.0,16640.8,23542.2,19447.8,44348.5,106336.8,128652.3,90115.9,148
32.7,141164.0,29436.0,41382.0,28964.0,41382.0,68147.1,56038.2,15344.7,13136.0,0.0,21971.3,0.0,16641.2,23542.3,19448.7,44349.6,106335.8,128652.3,90118.4,148
33.8,141164.0,29436.0,41382.0,28964.0,41382.0,68154.0,56045.2,15351.6,13142.9,0.0,21971.3,0.0,16650.4,23542.1,19458.9,44359.6,106325.6,128652.3,90125.4,148
34.9,141164.0,29436.0,41382.0,28964.0,41382.0,68154.3,56045.4,15351.8,13143.1,0.0,21971.3,0.0,16650.7,23541.8,19459.5,44359.8,106325.0,128652.3,90125.6,148
35.9,141164.0,29436.0,41382.0,28964.0,41382.0,68156.1,56047.2,15353.6,13144.9,0.0,21971.4,0.0,16652.7,23541.9,19461.3,44361.7,106323.3,128652.3,90127.4,148
37.0,141164.0,29436.0,41382.0,28964.0,41382.0,68156.3,56047.4,15353.9,13145.2,0.0,21971.4,0.0,16653.0,23542.4,19464.3,44365.2,106320.2,128652.3,90127.7,148
38.0,141166.0,29438.0,41382.0,28964.0,41382.0,68156.4,56047.5,15354.0,13145.3,0.0,21971.4,0.0,16652.9,23542.5,19464.1,44365.2,106320.4,128652.3,90127.8,148
39.0,141166.0,29438.0,41382.0,28964.0,41382.0,68156.5,56047.6,15354.0,13145.3,0.0,21971.4,0.0,16653.0,23542.5,19464.2,44365.3,106320.3,128652.3,90127.9,148
40.1,141166.0,29438.0,41382.0,28964.0,41382.0,68156.6,56047.7,15354.2,13145.5,0.0,21971.4,0.0,16653.2,23542.5,19469.7,44370.7,106314.8,128652.3,90128.0,148
41.1,141166.0,29438.0,41382.0,28964.0,41382.0,68156.6,56047.7,15354.2,13145.5,0.0,21971.4,0.0,16651.4,23542.5,19470.0,44371.0,106314.5,128652.3,90128.1,148
42.1,141166.0,29438.0,41382.0,28964.0,41382.0,68157.5,56048.4,15354.9,13146.2,0.0,21971.4,0.0,16652.0,23542.5,19465.1,44366.2,106319.4,128652.3,90128.9,148
43.2,141166.0,29438.0,41382.0,28964.0,41382.0,68157.7,56048.6,15355.0,13146.3,0.0,21971.4,0.0,16652.5,23542.4,19466.1,44367.1,106318.4,128652.3,90129.1,148
44.2,141166.0,29438.0,41382.0,28964.0,41382.0,68157.7,56048.6,15355.1,13146.4,0.0,21971.4,0.0,16652.4,23542.5,19466.1,44367.1,106318.4,128652.3,90129.2,148
45.2,141166.0,29438.0,41382.0,28964.0,41382.0,68157.7,56048.6,15355.1,13146.4,0.0,21971.4,0.0,16652.4,23542.5,19466.7,44367.7,106317.8,128652.3,90129.2,148
46.3,141166.0,29438.0,41382.0,28964.0,41382.0,68160.6,56051.5,15357.9,13149.2,0.0,21971.5,0.0,16654.5,23542.6,19477.3,44378.4,106307.2,128652.3,90132.1,148
47.3,141166.0,29438.0,41382.0,28964.0,41382.0,68160.6,56051.5,15358.0,13149.3,0.0,21971.6,0.0,16655.3,23542.6,19476.1,44377.3,106308.4,128652.3,90132.2,148
48.3,141166.0,29438.0,41382.0,28964.0,41382.0,68162.9,56053.8,15360.3,13151.6,0.0,21971.6,0.0,16655.4,23542.5,19472.9,44374.0,106311.6,128652.3,90134.5,148
49.3,141166.0,29438.0,41382.0,28964.0,41382.0,68163.0,56053.9,15360.4,13151.7,0.0,21971.6,0.0,16657.8,23542.5,19476.0,44377.1,106308.5,128652.3,90134.6,148
50.3,141166.0,29438.0,41382.0,28964.0,41382.0,68165.0,56056.0,15362.4,13153.7,0.0,21971.6,0.0,16659.7,23542.4,19475.8,44376.7,106308.7,128652.3,90136.6,148
51.3,141166.0,29438.0,41382.0,28964.0,41382.0,68165.8,56056.7,15363.1,13154.4,0.0,21971.6,0.0,16659.8,23542.0,19475.4,44376.0,106309.1,128652.3,90137.3,148
52.3,141166.0,29438.0,41382.0,28964.0,41382.0,68165.8,56056.7,15363.2,13154.5,0.0,21971.6,0.0,16660.7,23541.8,19476.7,44377.1,106307.8,128652.3,90137.4,148
53.3,141166.0,29438.0,41382.0,28964.0,41382.0,68166.0,56056.9,15363.4,13154.7,0.0,21971.6,0.0,16660.7,23541.8,19477.5,44377.9,106307.1,128652.3,90137.6,148
54.3,141166.0,29438.0,41382.0,28964.0,41382.0,68166.3,56057.2,15363.6,13154.9,0.0,21971.6,0.0,16661.0,23542.1,19476.5,44377.2,106308.0,128652.3,90137.9,148
55.4,141166.0,29438.0,41382.0,28964.0,41382.0,68166.4,56057.4,15363.8,13155.1,0.0,21971.6,0.0,16661.3,23541.9,19472.7,44373.2,106311.8,128652.3,90138.0,148
56.4,141166.0,29438.0,41382.0,28964.0,41382.0,68166.6,56057.6,15364.0,13155.3,0.0,21971.6,0.0,16661.6,23541.8,19481.5,44381.9,106303.0,128652.3,90138.2,148
57.5,141166.0,29438.0,41382.0,28964.0,41382.0,68166.8,56057.8,15364.2,13155.5,0.0,21971.6,0.0,16661.6,23541.8,19480.5,44380.8,106304.0,128652.3,90138.4,148
58.5,141166.0,29438.0,41382.0,28964.0,41382.0,68166.9,56057.9,15364.3,13155.6,0.0,21971.6,0.0,16662.3,23541.8,19480.8,44381.2,106303.7,128652.3,90138.5,148
