elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,135620.0,26604.0,41340.0,26338.0,41338.0,67864.5,56045.1,15127.8,13126.1,0.0,21988.1,0.0,16046.5,23557.5,18645.5,43562.6,107138.0,128652.3,89852.6,148
1.1,135620.0,26604.0,41340.0,26338.0,41338.0,67864.9,56045.5,15128.2,13126.5,0.0,21988.1,0.0,16841.7,23557.7,19443.6,44360.8,106339.9,128652.3,89853.0,148
2.1,135968.0,26898.0,41340.0,26392.0,41338.0,67865.1,56045.7,15128.4,13126.6,0.0,21988.2,0.0,17421.4,23557.7,20025.5,44942.7,105758.0,128652.3,89853.2,148
3.1,135968.0,26898.0,41340.0,26392.0,41338.0,67999.1,56074.0,15260.4,13154.9,0.0,21988.2,0.0,16638.3,23558.4,19364.7,44282.7,106418.8,128652.3,89987.3,148
4.1,135968.0,26898.0,41340.0,26392.0,41338.0,68000.3,56074.7,15261.5,13155.7,0.0,21988.2,0.0,16638.6,23558.4,19366.5,44284.5,106417.0,128652.3,89988.5,148
5.2,135968.0,26898.0,41340.0,26392.0,41338.0,68000.5,56075.0,15261.8,13155.9,0.0,21988.5,0.0,16639.1,23558.6,19366.6,44284.8,106416.9,128652.3,89989.0,148
6.2,135968.0,26898.0,41340.0,26392.0,41338.0,68000.9,56075.4,15262.2,13156.3,0.0,21988.5,0.0,16639.4,23558.7,19370.0,44288.3,106413.5,128652.3,89989.4,148
7.2,135968.0,26898.0,41340.0,26392.0,41338.0,68001.1,56075.5,15262.3,13156.5,0.0,21988.5,0.0,16640.1,23558.7,19371.1,44289.4,106412.4,128652.3,89989.6,148
8.3,135968.0,26898.0,41340.0,26392.0,41338.0,68001.2,56075.7,15262.5,13156.6,0.0,21988.6,0.0,16639.8,23558.9,19372.8,44291.2,106410.7,128652.3,89989.8,148
9.3,135968.0,26898.0,41340.0,26392.0,41338.0,68001.5,56075.9,15262.7,13156.9,0.0,21988.6,0.0,16639.9,23558.9,19373.5,44292.0,106410.0,128652.3,89990.0,148
