elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,135620.0,26606.0,41340.0,26336.0,41338.0,67875.2,56045.8,15127.0,13125.7,0.0,22007.0,0.0,16058.6,23577.5,18658.7,43596.9,107123.7,128652.3,89882.2,148
1.1,135620.0,26606.0,41340.0,26336.0,41338.0,67875.6,56046.1,15127.4,13126.0,0.0,22007.0,0.0,16871.3,23577.5,19474.9,44413.1,106307.5,128652.3,89882.6,148
2.1,135974.0,26896.0,41340.0,26400.0,41338.0,67876.0,56046.4,15127.7,13126.4,0.0,22007.0,0.0,17460.9,23577.5,20066.8,45005.0,105715.6,128652.3,89882.9,148
3.1,135974.0,26896.0,41340.0,26400.0,41338.0,68018.9,56083.8,15268.7,13163.7,0.0,22007.0,0.0,16675.8,23576.8,19400.5,44338.2,106381.7,128652.3,90025.9,148
4.1,135974.0,26896.0,41340.0,26400.0,41338.0,68019.9,56084.3,15269.6,13164.2,0.0,22074.0,0.0,16679.8,23643.4,19403.0,44416.5,106370.0,128652.3,90093.9,148
5.1,135976.0,26896.0,41340.0,26400.0,41340.0,68020.5,56084.6,15270.1,13164.6,0.0,22074.8,0.0,16676.9,23644.3,19407.9,44422.5,106364.8,128652.3,90095.3,148
6.2,135976.0,26896.0,41340.0,26400.0,41340.0,68020.6,56084.8,15270.3,13164.8,0.0,22074.8,0.0,16677.3,23644.3,19409.7,44424.3,106363.0,128652.3,90095.4,148
7.2,135978.0,26896.0,41340.0,26402.0,41340.0,68020.8,56085.0,15270.5,13164.9,0.0,22074.8,0.0,16677.3,23644.3,19409.8,44424.5,106362.9,128652.3,90095.6,148
8.3,135978.0,26896.0,41340.0,26402.0,41340.0,68025.8,56088.9,15274.6,13168.9,0.0,22074.8,0.0,16677.7,23644.3,19409.9,44424.6,106362.8,128652.3,90100.6,148
9.3,135978.0,26896.0,41340.0,26402.0,41340.0,68025.9,56089.0,15274.6,13168.9,0.0,22074.9,0.0,16681.7,23644.2,19415.9,44430.5,106356.8,128652.3,90100.8,148
10.3,135978.0,26896.0,41340.0,26402.0,41340.0,68025.9,56089.1,15274.7,13169.0,0.0,22074.9,0.0,16681.8,23644.2,19416.0,44430.6,106356.7,128652.3,90100.9,148
11.3,135978.0,26896.0,41340.0,26402.0,41340.0,68028.8,56091.8,15277.4,13171.7,0.0,22074.9,0.0,16684.4,23644.2,19416.4,44430.9,106356.4,128652.3,90103.7,148
12.4,135978.0,26896.0,41340.0,26402.0,41340.0,68028.9,56091.9,15277.5,13171.8,0.0,22074.9,0.0,16684.8,23644.2,19416.7,44431.3,106356.0,128652.3,90103.8,148
13.4,135978.0,26896.0,41340.0,26402.0,41340.0,68034.9,56097.9,15283.5,13177.8,0.0,22085.5,0.0,16701.4,23654.7,19428.6,44453.9,106344.0,128652.3,90120.3,148
14.5,136018.0,26896.0,41360.0,26402.0,41360.0,68034.9,56098.0,15283.6,13177.9,0.0,22085.6,0.0,16693.9,23654.4,19426.4,44451.3,106346.2,128652.3,90120.5,148
15.6,136018.0,26896.0,41360.0,26402.0,41360.0,68039.0,56098.0,15287.6,13178.0,0.0,22085.6,0.0,16694.0,23654.5,19429.6,44454.7,106342.9,128652.3,90124.7,148
