elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,140694.0,29208.0,41296.0,28942.0,41248.0,67618.9,55961.8,14876.9,13048.3,0.0,23325.7,0.0,16089.1,24896.8,18479.4,44780.5,107259.4,128652.3,90944.7,148
1.1,140696.0,29208.0,41296.0,28942.0,41250.0,67737.8,55977.3,14995.7,13063.8,0.0,23325.8,0.0,16969.6,24896.9,19471.6,45772.8,106267.2,128652.3,91063.6,148
2.1,141048.0,29520.0,41296.0,28982.0,41250.0,67738.3,55977.8,14996.2,13064.3,0.0,23325.8,0.0,17549.1,24896.9,20053.2,46354.4,105685.6,128652.3,91064.1,148
3.1,141096.0,29522.0,41342.0,28982.0,41250.0,67879.1,56013.0,15135.1,13099.4,0.0,23325.8,0.0,16745.0,24896.4,19372.5,45673.2,106366.3,128652.3,91204.9,148
4.2,141096.0,29522.0,41342.0,28982.0,41250.0,67886.3,56013.6,15142.2,13100.1,0.0,23325.8,0.0,16750.8,24895.7,19383.0,45683.0,106355.8,128652.3,91212.1,148
5.2,141142.0,29522.0,41342.0,28982.0,41296.0,67893.5,56014.7,15149.3,13101.2,0.0,23326.0,0.0,16750.9,24895.9,19388.2,45688.3,106350.7,128652.3,91219.5,148
6.2,141142.0,29522.0,41342.0,28982.0,41296.0,67893.6,56014.8,15149.4,13101.3,0.0,23326.0,0.0,16752.1,24895.9,19394.6,45694.8,106344.2,128652.3,91219.6,148
7.2,141142.0,29522.0,41342.0,28982.0,41296.0,67894.6,56015.8,15150.4,13102.3,0.0,23326.0,0.0,16752.9,24895.9,19394.2,45694.4,106344.6,128652.3,91220.7,148
8.3,141142.0,29522.0,41342.0,28982.0,41296.0,67900.4,56020.6,15155.2,13107.1,0.0,23326.0,0.0,16753.0,24895.9,19394.6,45694.8,106344.2,128652.3,91226.4,148
9.3,141190.0,29524.0,41342.0,28982.0,41342.0,67900.5,56020.7,15155.3,13107.2,0.0,23326.0,0.0,16758.2,24895.9,19400.4,45700.6,106338.4,128652.3,91226.5,148
10.4,141192.0,29524.0,41342.0,28984.0,41342.0,67906.9,56021.1,15161.7,13107.6,0.0,23326.0,0.0,16758.3,24895.9,19407.6,45707.7,106331.3,128652.3,91232.9,148
11.4,141192.0,29524.0,41342.0,28984.0,41342.0,67908.4,56022.5,15163.2,13109.0,0.0,23326.0,0.0,16760.0,24895.8,19410.7,45710.8,106328.2,128652.3,91234.4,148
12.4,141192.0,29524.0,41342.0,28984.0,41342.0,67908.8,56022.9,15163.6,13109.4,0.0,23326.0,0.0,16760.2,24895.9,19411.5,45711.7,106327.3,128652.3,91234.8,148
13.5,141192.0,29524.0,41342.0,28984.0,41342.0,67914.0,56027.9,15168.6,13114.4,0.0,23326.0,0.0,16762.0,24895.9,19412.7,45712.9,106326.1,128652.3,91240.0,148
14.5,141232.0,29524.0,41342.0,29004.0,41362.0,67917.4,56031.4,15172.0,13117.9,0.0,23326.0,0.0,16769.0,24895.9,19423.4,45723.5,106315.4,128652.3,91243.5,148
15.6,141236.0,29528.0,41342.0,29004.0,41362.0,67917.8,56031.7,15172.4,13118.2,0.0,23326.0,0.0,16769.1,24895.9,19425.1,45725.2,106313.7,128652.3,91243.8,148
16.7,141256.0,29528.0,41342.0,29004.0,41382.0,67918.3,56032.2,15172.8,13118.7,0.0,23326.1,0.0,16769.6,24895.9,19426.4,45726.6,106312.4,128652.3,91244.4,148
17.7,141256.0,29528.0,41342.0,29004.0,41382.0,67918.5,56032.4,15173.0,13118.8,0.0,23326.1,0.0,16770.5,24895.9,19424.7,45724.9,106314.1,128652.3,91244.6,148
18.8,141256.0,29528.0,41342.0,29004.0,41382.0,67918.7,56032.6,15173.2,13119.0,0.0,23326.2,0.0,16770.2,24896.0,19427.9,45728.3,106310.9,128652.3,91244.9,148
19.8,141260.0,29528.0,41342.0,29008.0,41382.0,67920.4,56034.2,15174.9,13120.7,0.0,23326.2,0.0,16771.4,24896.0,19429.3,45729.6,106309.5,128652.3,91246.6,148
20.8,141260.0,29528.0,41342.0,29008.0,41382.0,67920.5,56034.3,15175.0,13120.8,0.0,23326.2,0.0,16772.0,24895.6,19429.9,45729.8,106308.9,128652.3,91246.7,148
21.8,141260.0,29528.0,41342.0,29008.0,41382.0,67921.3,56035.1,15175.8,13121.6,0.0,23326.2,0.0,16772.9,24895.7,19429.8,45729.7,106309.0,128652.3,91247.5,148
22.8,141260.0,29528.0,41342.0,29008.0,41382.0,67921.4,56035.2,15175.9,13121.7,0.0,23326.2,0.0,16773.1,24895.7,19432.2,45732.1,106306.6,128652.3,91247.6,148
23.8,141260.0,29528.0,41342.0,29008.0,41382.0,67921.5,56035.3,15176.0,13121.8,0.0,23326.2,0.0,16773.2,24895.7,19433.9,45733.9,106304.9,128652.3,91247.8,148
24.8,141260.0,29528.0,41342.0,29008.0,41382.0,67921.6,56035.4,15176.0,13121.8,0.0,23326.2,0.0,16773.3,24895.7,19435.4,45735.4,106303.4,128652.3,91247.8,148
25.8,141260.0,29528.0,41342.0,29008.0,41382.0,67921.6,56035.4,15176.1,13121.9,0.0,23326.3,0.0,16773.4,24895.7,19435.5,45735.5,106303.3,128652.3,91247.9,148
26.9,141260.0,29528.0,41342.0,29008.0,41382.0,67928.1,56041.9,15182.5,13128.4,0.0,23326.3,0.0,16779.8,24895.7,19442.0,45742.0,106296.8,128652.3,91254.4,148
27.9,141300.0,29548.0,41362.0,29008.0,41382.0,67928.2,56042.0,15182.7,13128.5,0.0,23326.3,0.0,16780.1,24895.7,19442.1,45742.1,106296.7,128652.3,91254.5,148
28.9,141300.0,29548.0,41362.0,29008.0,41382.0,67928.5,56042.3,15183.0,13128.8,0.0,23326.3,0.0,16780.1,24895.7,19443.8,45743.8,106295.0,128652.3,91254.8,148
29.9,141300.0,29548.0,41362.0,29008.0,41382.0,67928.5,56042.3,15183.0,13128.8,0.0,23326.3,0.0,16780.3,24895.7,19443.9,45743.9,106294.9,128652.3,91254.8,148
30.9,141300.0,29548.0,41362.0,29008.0,41382.0,67931.2,56045.0,15185.7,13131.5,0.0,23326.3,0.0,16780.4,24895.7,19444.7,45744.7,106294.1,128652.3,91257.5,148
32.0,141300.0,29548.0,41362.0,29008.0,41382.0,67933.2,56047.0,15187.7,13133.5,0.0,23326.3,0.0,16784.8,24895.7,19454.8,45754.8,106284.0,128652.3,91259.5,148
33.0,141300.0,29548.0,41362.0,29008.0,41382.0,67933.3,56047.1,15187.8,13133.6,0.0,23326.3,0.0,16785.2,24895.7,19452.3,45752.2,106286.5,128652.3,91259.6,148
34.0,141300.0,29548.0,41362.0,29008.0,41382.0,67936.3,56050.1,15190.8,13136.6,0.0,23326.4,0.0,16787.7,24896.1,19455.8,45756.1,106283.0,128652.3,91262.7,148
35.0,141300.0,29548.0,41362.0,29008.0,41382.0,67936.6,56050.3,15191.0,13136.8,0.0,23326.4,0.0,16788.6,24895.8,19458.8,45758.9,106280.0,128652.3,91263.0,148
36.0,141300.0,29548.0,41362.0,29008.0,41382.0,67936.6,56050.4,15191.0,13136.9,0.0,23326.4,0.0,16788.9,24895.8,19459.2,45759.4,106279.6,128652.3,91263.1,148
37.0,141300.0,29548.0,41362.0,29008.0,41382.0,67936.7,56050.4,15191.1,13136.9,0.0,23326.4,0.0,16789.2,24895.8,19458.6,45758.7,106280.2,128652.3,91263.1,148
38.0,141300.0,29548.0,41362.0,29008.0,41382.0,67936.9,56050.6,15191.3,13137.1,0.0,23326.4,0.0,16789.3,24895.8,19458.3,45758.5,106280.5,128652.3,91263.3,148
39.0,141300.0,29548.0,41362.0,29008.0,41382.0,67937.0,56050.7,15191.3,13137.2,0.0,23326.4,0.0,16789.6,24895.6,19462.5,45762.4,106276.3,128652.3,91263.4,148
40.0,141300.0,29548.0,41362.0,29008.0,41382.0,67937.0,56050.7,15191.4,13137.2,0.0,23326.4,0.0,16789.3,24895.6,19463.1,45763.0,106275.7,128652.3,91263.4,148
41.0,141300.0,29548.0,41362.0,29008.0,41382.0,67940.4,56054.1,15194.8,13140.6,0.0,23326.5,0.0,16789.1,24895.6,19463.1,45763.0,106275.7,128652.3,91266.8,148
42.0,141300.0,29548.0,41362.0,29008.0,41382.0,67940.4,56054.1,15194.8,13140.6,0.0,23326.5,0.0,16792.7,24895.7,19465.1,45765.1,106273.7,128652.3,91266.9,148
43.0,141300.0,29548.0,41362.0,29008.0,41382.0,67940.4,56054.2,15194.8,13140.7,0.0,23326.5,0.0,16792.6,24895.9,19467.3,45767.5,106271.5,128652.3,91266.9,148
