t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:token_usage D1:token_usage
0.00,0.0001,0,0,60000,0.0000,0.0001,0,0,60000,0.0000,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0001,0,0,60000,0.0000,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0001,0,0,60000,0.0000,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0001,0,0,60000,0.0000,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0001,0,0,60000,0.0000,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0007,25,0,60000,0.0004,,,,,,,,,,
3.00,0.0041,135,0,60000,0.0022,0.0015,57,0,60000,0.0009,,,,,,,,,,
3.50,0.0041,135,0,60000,0.0022,0.0015,57,0,60000,0.0009,0.0034,622,7,185484,0.0034,,,,,
4.00,0.0041,135,0,60000,0.0022,0.0015,57,0,60000,0.0009,0.0034,622,7,185484,0.0034,0.0045,843,9,185484,0.0045
4.50,0.0041,135,0,60000,0.0022,0.0015,57,0,60000,0.0009,0.0042,787,6,185484,0.0042,0.0045,843,9,185484,0.0045
5.00,0.0041,135,0,60000,0.0022,0.0015,57,0,60000,0.0009,0.0042,787,6,185484,0.0042,0.0065,1203,9,185484,0.0065
5.50,0.0041,135,0,60000,0.0022,0.0015,57,0,60000,0.0009,0.0047,863,5,185484,0.0047,0.0084,1563,9,185484,0.0084
6.00,0.0041,135,0,60000,0.0022,0.0015,57,0,60000,0.0009,0.0047,863,5,185484,0.0047,0.0084,1563,9,185484,0.0084
6.50,0.0041,135,0,60000,0.0022,0.0015,57,0,60000,0.0009,0.0057,1063,5,185484,0.0057,0.0104,1923,9,185484,0.0104
7.00,0.0062,49,0,60000,0.0008,0.0015,57,0,60000,0.0009,0.0057,1063,5,185484,0.0057,0.0104,1923,9,185484,0.0104
7.50,0.0062,49,0,60000,0.0008,0.0015,57,0,60000,0.0009,0.0068,1263,5,185484,0.0068,0.0130,2419,10,185484,0.0130
8.00,0.0071,36,0,60000,0.0006,0.0015,57,0,60000,0.0009,0.0068,1263,5,185484,0.0068,0.0130,2419,10,185484,0.0130
8.50,0.0071,36,0,60000,0.0006,0.0015,57,0,60000,0.0009,0.0079,1463,5,185484,0.0079,0.0160,2968,10,185484,0.0160
9.00,0.0071,36,0,60000,0.0006,0.0015,57,0,60000,0.0009,0.0079,1463,5,185484,0.0079,0.0160,2968,10,185484,0.0160
9.50,0.0071,36,0,60000,0.0006,0.0015,57,0,60000,0.0009,0.0073,1351,4,185484,0.0073,0.0182,3368,10,185484,0.0182
10.00,0.0071,36,0,60000,0.0006,0.0015,57,0,60000,0.0009,0.0081,1511,4,185484,0.0081,0.0182,3368,10,185484,0.0182
