t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0013,75,0,60000,0.0013,0.0000,0.0010,45,0,60000,0.0008,0.4112,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
3.50,0.0013,75,0,60000,0.0013,0.0000,0.0010,45,0,60000,0.0008,0.4112,,,,,,,0.0055,1017,11,185482,0.0055,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0013,75,0,60000,0.0013,0.0000,0.0010,45,0,60000,0.0008,0.4112,0.0023,431,5,185482,0.0023,0.0000,0.0055,1017,11,185482,0.0055,0.0000
4.50,0.0013,75,0,60000,0.0013,0.0000,0.0010,45,0,60000,0.0008,0.4112,0.0023,431,5,185482,0.0023,0.0000,0.0072,1344,10,185482,0.0072,0.0000
5.00,0.0013,75,0,60000,0.0013,0.0000,0.0010,45,0,60000,0.0008,0.4112,0.0027,510,4,185482,0.0027,0.0000,0.0072,1344,10,185482,0.0072,0.0000
5.50,0.0013,75,0,60000,0.0013,0.0000,0.0010,45,0,60000,0.0008,0.4112,0.0027,510,4,185482,0.0027,0.0000,0.0094,1744,10,185482,0.0094,0.0000
6.00,0.0013,75,0,60000,0.0013,0.0000,0.0010,45,0,60000,0.0008,0.4112,0.0036,670,4,185482,0.0036,0.0000,0.0094,1744,10,185482,0.0094,0.0000
6.50,0.0013,75,0,60000,0.0013,0.0000,0.0010,45,0,60000,0.0008,0.4112,0.0036,670,4,185482,0.0036,0.0000,0.0116,2144,10,185482,0.0116,0.0000
7.00,0.0062,83,0,60000,0.0014,0.8058,0.0010,45,0,60000,0.0008,0.4112,0.0045,830,4,185482,0.0045,0.0000,0.0116,2144,10,185482,0.0116,0.0000
7.50,0.0071,90,0,60000,0.0015,0.3600,0.0010,45,0,60000,0.0008,0.4112,0.0045,830,4,185482,0.0045,0.0000,0.0151,2803,11,185482,0.0151,0.0000
8.00,0.0071,90,0,60000,0.0015,0.3600,0.0010,45,0,60000,0.0008,0.4112,0.0061,1126,5,185482,0.0061,0.0000,0.0151,2803,11,185482,0.0151,0.0000
8.50,0.0071,90,0,60000,0.0015,0.3600,0.0010,45,0,60000,0.0008,0.4112,0.0061,1126,5,185482,0.0061,0.0000,0.0175,3243,11,185482,0.0175,0.0000
9.00,0.0071,90,0,60000,0.0015,0.3600,0.0010,45,0,60000,0.0008,0.4112,0.0062,1150,4,185482,0.0062,0.0000,0.0175,3243,11,185482,0.0175,0.0000
9.50,0.0071,90,0,60000,0.0015,0.3600,0.0010,45,0,60000,0.0008,0.4112,0.0062,1150,4,185482,0.0062,0.0000,0.0199,3683,11,185482,0.0199,0.0000
10.00,0.0071,90,0,60000,0.0015,0.3600,0.0010,45,0,60000,0.0008,0.4112,0.0054,994,3,185482,0.0054,0.0000,0.0199,3683,11,185482,0.0199,0.0000
10.50,0.0071,90,0,60000,0.0015,0.3600,0.0010,45,0,60000,0.0008,0.4112,0.0060,1114,3,185482,0.0060,0.0000,0.0222,4123,11,185482,0.0222,0.0000
11.00,0.0071,90,0,60000,0.0015,0.3600,0.0010,45,0,60000,0.0008,0.4112,0.0060,1114,3,185482,0.0060,0.0000,0.0222,4123,11,185482,0.0222,0.0000
11.50,0.0106,150,0,60000,0.0025,0.9036,0.0010,45,0,60000,0.0008,0.4112,0.0076,1415,4,185482,0.0076,0.0000,0.0246,4563,11,185482,0.0246,0.0000
12.00,0.0106,150,0,60000,0.0025,0.9036,0.0010,45,0,60000,0.0008,0.4112,0.0076,1415,4,185482,0.0076,0.0000,0.0246,4563,11,185482,0.0246,0.0000
12.50,0.0211,307,0,60000,0.0051,0.9475,0.0010,45,0,60000,0.0008,0.4112,0.0090,1678,3,185482,0.0090,0.0000,0.0263,4872,11,185482,0.0263,0.0000
13.00,0.0211,307,0,60000,0.0051,0.9475,0.0010,45,0,60000,0.0008,0.4112,0.0090,1678,3,185482,0.0090,0.0000,0.0263,4872,11,185482,0.0263,0.0000
13.50,0.0211,307,0,60000,0.0051,0.9475,0.0010,45,0,60000,0.0008,0.4112,0.0099,1837,4,185482,0.0099,0.0000,0.0235,4357,9,185482,0.0235,0.0000
14.00,0.0211,307,0,60000,0.0051,0.9475,0.0010,45,0,60000,0.0008,0.4112,0.0099,1837,4,185482,0.0099,0.0000,0.0235,4357,9,185482,0.0235,0.0000
14.50,0.0272,479,0,60000,0.0080,0.9736,0.0010,45,0,60000,0.0008,0.4112,0.0108,1997,4,185482,0.0108,0.0000,0.0254,4717,9,185482,0.0254,0.0000
15.00,0.0272,479,0,60000,0.0080,0.9736,0.0010,45,0,60000,0.0008,0.4112,0.0108,1997,4,185482,0.0108,0.0000,0.0254,4717,9,185482,0.0254,0.0000
15.50,0.0272,479,0,60000,0.0080,0.9736,0.0010,45,0,60000,0.0008,0.4112,0.0116,2157,4,185482,0.0116,0.0000,0.0302,5605,10,185482,0.0302,0.0000
16.00,0.0272,479,0,60000,0.0080,0.9736,0.0100,453,0,60000,0.0076,0.5749,0.0116,2157,4,185482,0.0116,0.0000,0.0302,5605,10,185482,0.0302,0.0000
16.50,0.0272,479,0,60000,0.0080,0.9736,0.0227,462,0,60000,0.0077,0.9706,0.0151,2793,4,185482,0.0151,0.0000,0.0368,6818,11,185482,0.0368,0.0000
17.00,0.0272,479,0,60000,0.0080,0.9736,0.0227,462,0,60000,0.0077,0.9706,0.0151,2793,4,185482,0.0151,0.0000,0.0368,6818,11,185482,0.0368,0.0000
17.50,0.0272,479,0,60000,0.0080,0.9736,0.0227,462,0,60000,0.0077,0.9706,0.0125,2327,4,185482,0.0125,0.0000,0.0320,5932,9,185482,0.0320,0.0000
18.00,0.0272,479,0,60000,0.0080,0.9736,0.0227,462,0,60000,0.0077,0.9706,0.0125,2327,4,185482,0.0125,0.0000,0.0320,5932,9,185482,0.0320,0.0000
18.50,0.0272,479,0,60000,0.0080,0.9736,0.0227,462,0,60000,0.0077,0.9706,0.0134,2487,4,185482,0.0134,0.0000,0.0339,6292,9,185482,0.0339,0.0000
19.00,0.0272,479,0,60000,0.0080,0.9736,0.0227,462,0,60000,0.0077,0.9706,0.0134,2487,4,185482,0.0134,0.0000,0.0339,6292,9,185482,0.0339,0.0000
19.50,0.0272,479,0,60000,0.0080,0.9736,0.0227,462,0,60000,0.0077,0.9706,0.0143,2647,4,185482,0.0143,0.0000,0.0320,5929,8,185482,0.0320,0.0000
20.00,0.0379,663,0,60000,0.0111,0.8959,0.0443,645,0,60000,0.0107,0.9334,0.0143,2647,4,185482,0.0143,0.0000,0.0320,5929,8,185482,0.0320,0.0000
20.50,0.0379,663,0,60000,0.0111,0.8959,0.0443,645,0,60000,0.0107,0.9334,0.0190,3523,5,185482,0.0190,0.0000,0.0333,6183,8,185482,0.0333,0.0000
21.00,0.0379,663,0,60000,0.0111,0.8959,0.0443,645,0,60000,0.0107,0.9334,0.0190,3523,5,185482,0.0190,0.0000,0.0333,6183,8,185482,0.0333,0.0000
21.50,0.0379,663,0,60000,0.0111,0.8959,0.0443,645,0,60000,0.0107,0.9334,0.0201,3723,5,185482,0.0201,0.0000,0.0351,6503,8,185482,0.0351,0.0000
22.00,0.0498,699,0,60000,0.0117,0.9749,0.0443,645,0,60000,0.0107,0.9334,0.0201,3723,5,185482,0.0201,0.0000,0.0351,6503,8,185482,0.0351,0.0000
22.50,0.0498,699,0,60000,0.0117,0.9749,0.0443,645,0,60000,0.0107,0.9334,0.0212,3923,5,185482,0.0212,0.0000,0.0407,7558,9,185482,0.0407,0.0000
23.00,0.0498,699,0,60000,0.0117,0.9749,0.0443,645,0,60000,0.0107,0.9334,0.0222,4123,5,185482,0.0222,0.0000,0.0407,7558,9,185482,0.0407,0.0000
23.50,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0222,4123,5,185482,0.0222,0.0000,0.0427,7918,9,185482,0.0427,0.0000
24.00,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0321,5947,7,185482,0.0321,0.0000,0.0427,7918,9,185482,0.0427,0.0000
24.50,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0321,5947,7,185482,0.0321,0.0000,0.0446,8278,9,185482,0.0446,0.0000
25.00,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0336,6227,7,185482,0.0336,0.0000,0.0446,8278,9,185482,0.0446,0.0000
25.50,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0336,6227,7,185482,0.0336,0.0000,0.0466,8638,9,185482,0.0466,0.0000
26.00,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0303,5614,6,185482,0.0303,0.0000,0.0466,8638,9,185482,0.0466,0.0000
26.50,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0303,5614,6,185482,0.0303,0.0000,0.0466,8638,9,185482,0.0466,0.0000
27.00,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0316,5854,6,185482,0.0316,0.0000,0.0485,8998,9,185482,0.0485,0.0000
27.50,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0316,5854,6,185482,0.0316,0.0000,0.0485,8998,9,185482,0.0485,0.0000
28.00,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0270,5003,5,185482,0.0270,0.0000,0.0505,9358,9,185482,0.0505,0.0000
28.50,0.0587,765,0,60000,0.0127,0.9770,0.0568,757,0,60000,0.0126,0.9730,0.0270,5003,5,185482,0.0270,0.0000,0.0505,9358,9,185482,0.0505,0.0000
29.00,0.0587,765,0,60000,0.0127,0.9770,0.0713,886,0,60000,0.0148,0.9726,0.0330,6114,5,185482,0.0330,0.0000,0.0290,5376,5,185482,0.0290,0.0000
29.50,0.0587,765,0,60000,0.0127,0.9770,0.0713,886,0,60000,0.0148,0.9726,0.0330,6114,5,185482,0.0330,0.0000,0.0290,5376,5,185482,0.0290,0.0000
30.00,0.0587,765,0,60000,0.0127,0.9770,0.0713,886,0,60000,0.0148,0.9726,0.0342,6347,6,185482,0.0342,0.0000,0.0301,5576,5,185482,0.0301,0.0000
30.50,0.0587,765,0,60000,0.0127,0.9770,0.0713,886,0,60000,0.0148,0.9726,0.0342,6347,6,185482,0.0342,0.0000,0.0301,5576,5,185482,0.0301,0.0000
31.00,0.0587,765,0,60000,0.0127,0.9770,0.0892,1086,0,60000,0.0181,0.9891,0.0234,4339,4,185482,0.0234,0.0000,0.0251,4648,4,185482,0.0251,0.0000
31.50,0.0939,2132,0,60000,0.0355,0.9792,0.1065,1067,0,60000,0.0178,0.9798,0.0234,4339,4,185482,0.0234,0.0000,0.0251,4648,4,185482,0.0251,0.0000
32.00,0.0939,2132,0,60000,0.0355,0.9792,0.1245,1097,0,60000,0.0183,0.9682,0.0243,4499,4,185482,0.0243,0.0000,0.0558,10348,7,185482,0.0558,0.0000
