t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,,,,,,,,,,,,
3.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0060,986,11,165101,0.0060,0.0000,0.0029,486,5,165101,0.0029,0.0000
4.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0086,1426,11,165101,0.0086,0.0000,0.0029,486,5,165101,0.0029,0.0000
5.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0086,1426,11,165101,0.0086,0.0000,0.0042,686,5,165101,0.0042,0.0000
5.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0113,1866,11,165101,0.0113,0.0000,0.0042,686,5,165101,0.0042,0.0000
6.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0113,1866,11,165101,0.0113,0.0000,0.0054,886,5,165101,0.0054,0.0000
6.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0140,2306,11,165101,0.0140,0.0000,0.0066,1086,5,165101,0.0066,0.0000
7.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0140,2306,11,165101,0.0140,0.0000,0.0066,1086,5,165101,0.0066,0.0000
7.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0166,2746,11,165101,0.0166,0.0000,0.0078,1286,5,165101,0.0078,0.0000
8.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0166,2746,11,165101,0.0166,0.0000,0.0078,1286,5,165101,0.0078,0.0000
8.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0193,3186,11,165101,0.0193,0.0000,0.0090,1486,5,165101,0.0090,0.0000
9.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0193,3186,11,165101,0.0193,0.0000,0.0090,1486,5,165101,0.0090,0.0000
9.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0220,3626,11,165101,0.0220,0.0000,0.0102,1686,5,165101,0.0102,0.0000
10.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0220,3626,11,165101,0.0220,0.0000,0.0102,1686,5,165101,0.0102,0.0000
10.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0246,4066,11,165101,0.0246,0.0000,0.0114,1886,5,165101,0.0114,0.0000
11.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0246,4066,11,165101,0.0246,0.0000,0.0114,1886,5,165101,0.0114,0.0000
11.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0273,4506,11,165101,0.0273,0.0000,0.0126,2086,5,165101,0.0126,0.0000
12.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0273,4506,11,165101,0.0273,0.0000,0.0126,2086,5,165101,0.0126,0.0000
12.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0300,4946,11,165101,0.0300,0.0000,0.0112,1852,4,165101,0.0112,0.0000
13.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0300,4946,11,165101,0.0300,0.0000,0.0112,1852,4,165101,0.0112,0.0000
13.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0326,5386,11,165101,0.0326,0.0000,0.0090,1482,3,165101,0.0090,0.0000
14.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0326,5386,11,165101,0.0326,0.0000,0.0090,1482,3,165101,0.0090,0.0000
14.50,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0316,5224,10,165101,0.0316,0.0000,0.0066,1088,2,165101,0.0066,0.0000
15.00,0.0018,103,0,60000,0.0017,0.0000,0.0015,75,0,60000,0.0013,0.4129,0.0316,5224,10,165101,0.0316,0.0000,0.0066,1088,2,165101,0.0066,0.0000
15.50,0.0018,103,0,60000,0.0017,0.0000,0.0123,423,0,60000,0.0070,0.9658,0.0341,5624,10,165101,0.0341,0.0000,0.0097,1606,2,165101,0.0097,0.0000
16.00,0.0097,520,0,60000,0.0087,0.8710,0.0123,423,0,60000,0.0070,0.9658,0.0341,5624,10,165101,0.0341,0.0000,0.0097,1606,2,165101,0.0097,0.0000
16.50,0.0097,520,0,60000,0.0087,0.8710,0.0123,423,0,60000,0.0070,0.9658,0.0402,6634,11,165101,0.0402,0.0000,0.0105,1726,3,165101,0.0105,0.0000
17.00,0.0097,520,0,60000,0.0087,0.8710,0.0200,494,0,60000,0.0082,0.9724,0.0402,6634,11,165101,0.0402,0.0000,0.0103,1696,3,165101,0.0103,0.0000
17.50,0.0097,520,0,60000,0.0087,0.8710,0.0279,592,0,60000,0.0099,0.9785,0.0465,7685,12,165101,0.0465,0.0000,0.0103,1696,3,165101,0.0103,0.0000
18.00,0.0097,520,0,60000,0.0087,0.8710,0.0279,592,0,60000,0.0099,0.9785,0.0465,7685,12,165101,0.0465,0.0000,0.0110,1816,3,165101,0.0110,0.0000
18.50,0.0097,520,0,60000,0.0087,0.8710,0.0279,592,0,60000,0.0099,0.9785,0.0495,8165,12,165101,0.0495,0.0000,0.0110,1816,3,165101,0.0110,0.0000
19.00,0.0097,520,0,60000,0.0087,0.8710,0.0279,592,0,60000,0.0099,0.9785,0.0495,8165,12,165101,0.0495,0.0000,0.0117,1936,3,165101,0.0117,0.0000
19.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0524,8645,12,165101,0.0524,0.0000,0.0117,1936,3,165101,0.0117,0.0000
20.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0524,8645,12,165101,0.0524,0.0000,0.0167,2756,4,165101,0.0167,0.0000
20.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0524,8645,12,165101,0.0524,0.0000,0.0167,2756,4,165101,0.0167,0.0000
21.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0553,9125,12,165101,0.0553,0.0000,0.0177,2916,4,165101,0.0177,0.0000
21.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0553,9125,12,165101,0.0553,0.0000,0.0177,2916,4,165101,0.0177,0.0000
22.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0582,9605,12,165101,0.0582,0.0000,0.0186,3076,4,165101,0.0186,0.0000
22.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0582,9605,12,165101,0.0582,0.0000,0.0186,3076,4,165101,0.0186,0.0000
23.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0611,10085,12,165101,0.0611,0.0000,0.0196,3236,4,165101,0.0196,0.0000
23.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0611,10085,12,165101,0.0611,0.0000,0.0196,3236,4,165101,0.0196,0.0000
24.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0640,10565,12,165101,0.0640,0.0000,0.0206,3396,4,165101,0.0206,0.0000
24.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0640,10565,12,165101,0.0640,0.0000,0.0206,3396,4,165101,0.0206,0.0000
25.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0669,11045,12,165101,0.0669,0.0000,0.0215,3556,4,165101,0.0215,0.0000
25.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0669,11045,12,165101,0.0669,0.0000,0.0215,3556,4,165101,0.0215,0.0000
26.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0698,11525,12,165101,0.0698,0.0000,0.0225,3716,4,165101,0.0225,0.0000
26.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0698,11525,12,165101,0.0698,0.0000,0.0225,3716,4,165101,0.0225,0.0000
27.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0727,12005,12,165101,0.0727,0.0000,0.0235,3876,4,165101,0.0235,0.0000
27.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0727,12005,12,165101,0.0727,0.0000,0.0235,3876,4,165101,0.0235,0.0000
28.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0756,12485,12,165101,0.0756,0.0000,0.0178,2934,3,165101,0.0178,0.0000
28.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0756,12485,12,165101,0.0756,0.0000,0.0178,2934,3,165101,0.0178,0.0000
29.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0130,2141,2,165101,0.0130,0.0000,0.0185,3054,3,165101,0.0185,0.0000
29.50,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0130,2141,2,165101,0.0130,0.0000,0.0129,2136,2,165101,0.0129,0.0000
30.00,0.0097,520,0,60000,0.0087,0.8710,0.0374,636,0,60000,0.0106,0.9326,0.0135,2221,2,165101,0.0135,0.0000,0.0129,2136,2,165101,0.0129,0.0000
30.50,0.0116,74,0,60000,0.0012,0.0654,0.0374,636,0,60000,0.0106,0.9326,0.0135,2221,2,165101,0.0135,0.0000,0.0134,2216,2,165101,0.0134,0.0000
31.00,0.0116,74,0,60000,0.0012,0.0654,0.0374,636,0,60000,0.0106,0.9326,0.0208,3437,3,165101,0.0208,0.0000,0.0134,2216,2,165101,0.0134,0.0000
31.50,0.0116,74,0,60000,0.0012,0.0654,0.0374,636,0,60000,0.0106,0.9326,0.0208,3437,3,165101,0.0208,0.0000,0.0071,1180,1,165101,0.0071,0.0000
32.00,0.1175,5382,0,60000,0.0897,0.8975,0.1242,5258,0,60000,0.0876,0.9401,0.0552,9107,3,165101,0.0552,0.0000,0.0071,1180,1,165101,0.0071,0.0000
32.50,0.1175,5382,0,60000,0.0897,0.8975,0.1374,1026,0,60000,0.0171,0.9818,0.0552,9107,3,165101,0.0552,0.0000,0.0437,7215,6,165101,0.0437,0.0000
