t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,,,,,,,,,,,,
3.50,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0056,927,10,165101,0.0056,0.0000,0.0033,544,6,165101,0.0033,0.0000
4.50,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0056,927,10,165101,0.0056,0.0000,0.0033,544,6,165101,0.0033,0.0000
5.00,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0080,1327,10,165101,0.0080,0.0000,0.0047,784,6,165101,0.0047,0.0000
5.50,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0080,1327,10,165101,0.0080,0.0000,0.0047,784,6,165101,0.0047,0.0000
6.00,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0095,1566,9,165101,0.0095,0.0000,0.0062,1024,6,165101,0.0062,0.0000
6.50,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0095,1566,9,165101,0.0095,0.0000,0.0062,1024,6,165101,0.0062,0.0000
7.00,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0117,1926,9,165101,0.0117,0.0000,0.0077,1264,6,165101,0.0077,0.0000
7.50,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0117,1926,9,165101,0.0117,0.0000,0.0091,1504,6,165101,0.0091,0.0000
8.00,0.0011,51,0,60000,0.0008,0.3836,0.0010,57,0,60000,0.0009,0.0000,0.0138,2286,9,165101,0.0138,0.0000,0.0091,1504,6,165101,0.0091,0.0000
8.50,0.0011,51,0,60000,0.0008,0.3836,0.0060,136,0,60000,0.0023,0.4595,0.0138,2286,9,165101,0.0138,0.0000,0.0124,2042,7,165101,0.0124,0.0000
9.00,0.0011,51,0,60000,0.0008,0.3836,0.0060,136,0,60000,0.0023,0.4595,0.0144,2373,8,165101,0.0144,0.0000,0.0124,2042,7,165101,0.0124,0.0000
9.50,0.0011,51,0,60000,0.0008,0.3836,0.0060,136,0,60000,0.0023,0.4595,0.0144,2373,8,165101,0.0144,0.0000,0.0141,2322,7,165101,0.0141,0.0000
10.00,0.0011,51,0,60000,0.0008,0.3836,0.0060,136,0,60000,0.0023,0.4595,0.0163,2693,8,165101,0.0163,0.0000,0.0141,2322,7,165101,0.0141,0.0000
10.50,0.0011,51,0,60000,0.0008,0.3836,0.0060,136,0,60000,0.0023,0.4595,0.0163,2693,8,165101,0.0163,0.0000,0.0158,2602,7,165101,0.0158,0.0000
11.00,0.0011,51,0,60000,0.0008,0.3836,0.0060,136,0,60000,0.0023,0.4595,0.0156,2573,7,165101,0.0156,0.0000,0.0158,2602,7,165101,0.0158,0.0000
11.50,0.0011,51,0,60000,0.0008,0.3836,0.0121,251,0,60000,0.0042,0.9366,0.0156,2573,7,165101,0.0156,0.0000,0.0191,3154,8,165101,0.0191,0.0000
12.00,0.0011,51,0,60000,0.0008,0.3836,0.0121,251,0,60000,0.0042,0.9366,0.0173,2853,7,165101,0.0173,0.0000,0.0191,3154,8,165101,0.0191,0.0000
12.50,0.0011,51,0,60000,0.0008,0.3836,0.0121,251,0,60000,0.0042,0.9366,0.0173,2853,7,165101,0.0173,0.0000,0.0210,3474,8,165101,0.0210,0.0000
13.00,0.0011,51,0,60000,0.0008,0.3836,0.0121,251,0,60000,0.0042,0.9366,0.0190,3133,7,165101,0.0190,0.0000,0.0210,3474,8,165101,0.0210,0.0000
13.50,0.0011,51,0,60000,0.0008,0.3836,0.0173,423,0,60000,0.0070,0.9702,0.0190,3133,7,165101,0.0190,0.0000,0.0256,4230,8,165101,0.0256,0.0000
14.00,0.0011,51,0,60000,0.0008,0.3836,0.0173,423,0,60000,0.0070,0.9702,0.0207,3413,7,165101,0.0207,0.0000,0.0256,4230,8,165101,0.0256,0.0000
14.50,0.0011,51,0,60000,0.0008,0.3836,0.0173,423,0,60000,0.0070,0.9702,0.0207,3413,7,165101,0.0207,0.0000,0.0278,4588,9,165101,0.0278,0.0000
15.00,0.0011,51,0,60000,0.0008,0.3836,0.0173,423,0,60000,0.0070,0.9702,0.0193,3181,6,165101,0.0193,0.0000,0.0278,4588,9,165101,0.0278,0.0000
15.50,0.0011,51,0,60000,0.0008,0.3836,0.0173,423,0,60000,0.0070,0.9702,0.0174,2865,6,165101,0.0174,0.0000,0.0263,4335,8,165101,0.0263,0.0000
16.00,0.0011,51,0,60000,0.0008,0.3836,0.0173,423,0,60000,0.0070,0.9702,0.0174,2865,6,165101,0.0174,0.0000,0.0263,4335,8,165101,0.0263,0.0000
16.50,0.0011,51,0,60000,0.0008,0.3836,0.0173,423,0,60000,0.0070,0.9702,0.0148,2442,4,165101,0.0148,0.0000,0.0282,4655,8,165101,0.0282,0.0000
17.00,0.0011,51,0,60000,0.0008,0.3836,0.0173,423,0,60000,0.0070,0.9702,0.0148,2442,4,165101,0.0148,0.0000,0.0282,4655,8,165101,0.0282,0.0000
17.50,0.0011,51,0,60000,0.0008,0.3836,0.0252,504,0,60000,0.0084,0.9600,0.0158,2602,4,165101,0.0158,0.0000,0.0301,4975,8,165101,0.0301,0.0000
18.00,0.0011,51,0,60000,0.0008,0.3836,0.0252,504,0,60000,0.0084,0.9600,0.0158,2602,4,165101,0.0158,0.0000,0.0301,4975,8,165101,0.0301,0.0000
18.50,0.0124,604,0,60000,0.0101,0.8869,0.0252,504,0,60000,0.0084,0.9600,0.0209,3449,5,165101,0.0209,0.0000,0.0354,5852,9,165101,0.0354,0.0000
19.00,0.0221,554,0,60000,0.0092,0.9754,0.0343,600,0,60000,0.0100,0.9288,0.0209,3449,5,165101,0.0209,0.0000,0.0354,5852,9,165101,0.0354,0.0000
19.50,0.0221,554,0,60000,0.0092,0.9754,0.0343,600,0,60000,0.0100,0.9288,0.0178,2932,4,165101,0.0178,0.0000,0.0452,7461,11,165101,0.0452,0.0000
20.00,0.0221,554,0,60000,0.0092,0.9754,0.0343,600,0,60000,0.0100,0.9288,0.0178,2932,4,165101,0.0178,0.0000,0.0452,7461,11,165101,0.0452,0.0000
20.50,0.0221,554,0,60000,0.0092,0.9754,0.0343,600,0,60000,0.0100,0.9288,0.0187,3092,4,165101,0.0187,0.0000,0.0479,7901,11,165101,0.0479,0.0000
21.00,0.0221,554,0,60000,0.0092,0.9754,0.0343,600,0,60000,0.0100,0.9288,0.0187,3092,4,165101,0.0187,0.0000,0.0479,7901,11,165101,0.0479,0.0000
21.50,0.0221,554,0,60000,0.0092,0.9754,0.0343,600,0,60000,0.0100,0.9288,0.0197,3252,4,165101,0.0197,0.0000,0.0505,8341,11,165101,0.0505,0.0000
22.00,0.0221,554,0,60000,0.0092,0.9754,0.0457,686,0,60000,0.0114,0.8618,0.0197,3252,4,165101,0.0197,0.0000,0.0505,8341,11,165101,0.0505,0.0000
22.50,0.0221,554,0,60000,0.0092,0.9754,0.0457,686,0,60000,0.0114,0.8618,0.0256,4229,5,165101,0.0256,0.0000,0.0480,7923,10,165101,0.0480,0.0000
23.00,0.0221,554,0,60000,0.0092,0.9754,0.0457,686,0,60000,0.0114,0.8618,0.0256,4229,5,165101,0.0256,0.0000,0.0480,7923,10,165101,0.0480,0.0000
23.50,0.0221,554,0,60000,0.0092,0.9754,0.0457,686,0,60000,0.0114,0.8618,0.0268,4429,5,165101,0.0268,0.0000,0.0504,8323,10,165101,0.0504,0.0000
24.00,0.0221,554,0,60000,0.0092,0.9754,0.0457,686,0,60000,0.0114,0.8618,0.0268,4429,5,165101,0.0268,0.0000,0.0504,8323,10,165101,0.0504,0.0000
24.50,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0280,4629,5,165101,0.0280,0.0000,0.0528,8723,10,165101,0.0528,0.0000
25.00,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0280,4629,5,165101,0.0280,0.0000,0.0528,8723,10,165101,0.0528,0.0000
25.50,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0345,5694,6,165101,0.0345,0.0000,0.0553,9123,10,165101,0.0553,0.0000
26.00,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0345,5694,6,165101,0.0345,0.0000,0.0553,9123,10,165101,0.0553,0.0000
26.50,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0298,4926,5,165101,0.0298,0.0000,0.0577,9523,10,165101,0.0577,0.0000
27.00,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0298,4926,5,165101,0.0298,0.0000,0.0577,9523,10,165101,0.0577,0.0000
27.50,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0310,5126,5,165101,0.0310,0.0000,0.0577,9523,10,165101,0.0577,0.0000
28.00,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0310,5126,5,165101,0.0310,0.0000,0.0486,8017,8,165101,0.0486,0.0000
28.50,0.0221,554,0,60000,0.0092,0.9754,0.0563,823,0,60000,0.0137,0.9786,0.0130,2144,2,165101,0.0130,0.0000,0.0486,8017,8,165101,0.0486,0.0000
29.00,0.0383,995,0,60000,0.0166,0.9784,0.0563,823,0,60000,0.0137,0.9786,0.0130,2144,2,165101,0.0130,0.0000,0.0177,2926,3,165101,0.0177,0.0000
29.50,0.0383,995,0,60000,0.0166,0.9784,0.0563,823,0,60000,0.0137,0.9786,0.0135,2224,2,165101,0.0135,0.0000,0.0177,2926,3,165101,0.0177,0.0000
30.00,0.0542,966,0,60000,0.0161,0.9867,0.0563,823,0,60000,0.0137,0.9786,0.0135,2224,2,165101,0.0135,0.0000,0.0247,4083,4,165101,0.0247,0.0000
30.50,0.0696,946,0,60000,0.0158,0.9743,0.0669,891,0,60000,0.0149,0.9856,0.0199,3290,3,165101,0.0199,0.0000,0.0247,4083,4,165101,0.0247,0.0000
31.00,0.0696,946,0,60000,0.0158,0.9743,0.0669,891,0,60000,0.0149,0.9856,0.0199,3290,3,165101,0.0199,0.0000,0.0372,6139,6,165101,0.0372,0.0000
31.50,0.1224,2140,0,60000,0.0357,0.9827,0.1424,3502,0,60000,0.0584,0.9808,0.0207,3410,3,165101,0.0207,0.0000,0.0372,6139,6,165101,0.0372,0.0000
32.00,0.1224,2140,0,60000,0.0357,0.9827,0.1424,3502,0,60000,0.0584,0.9808,0.0207,3410,3,165101,0.0207,0.0000,0.0588,9709,8,165101,0.0588,0.0000
32.50,0.1224,2140,0,60000,0.0357,0.9827,0.1424,3502,0,60000,0.0584,0.9808,0.0503,8302,7,165101,0.0503,0.0000,0.0588,9709,8,165101,0.0588,0.0000
