t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0007,25,0,60000,0.0004,0.3333,,,,,,,,,,,,
3.00,0.0010,57,0,60000,0.0009,0.0000,0.0015,75,0,60000,0.0013,0.3853,,,,,,,,,,,,
3.50,0.0010,57,0,60000,0.0009,0.0000,0.0015,75,0,60000,0.0013,0.3853,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0010,57,0,60000,0.0009,0.0000,0.0015,75,0,60000,0.0013,0.3853,0.0022,411,4,185482,0.0022,0.0000,0.0058,1085,12,185482,0.0058,0.0000
4.50,0.0010,57,0,60000,0.0009,0.0000,0.0015,75,0,60000,0.0013,0.3853,0.0022,411,4,185482,0.0022,0.0000,0.0058,1085,12,185482,0.0058,0.0000
5.00,0.0010,57,0,60000,0.0009,0.0000,0.0015,75,0,60000,0.0013,0.3853,0.0024,450,3,185482,0.0024,0.0000,0.0084,1565,12,185482,0.0084,0.0000
5.50,0.0010,57,0,60000,0.0009,0.0000,0.0015,75,0,60000,0.0013,0.3853,0.0024,450,3,185482,0.0024,0.0000,0.0084,1565,12,185482,0.0084,0.0000
6.00,0.0010,57,0,60000,0.0009,0.0000,0.0015,75,0,60000,0.0013,0.3853,0.0031,570,3,185482,0.0031,0.0000,0.0101,1882,11,185482,0.0101,0.0000
6.50,0.0010,57,0,60000,0.0009,0.0000,0.0015,75,0,60000,0.0013,0.3853,0.0031,570,3,185482,0.0031,0.0000,0.0101,1882,11,185482,0.0101,0.0000
7.00,0.0010,57,0,60000,0.0009,0.0000,0.0066,83,0,60000,0.0014,0.8058,0.0037,690,3,185482,0.0037,0.0000,0.0125,2322,11,185482,0.0125,0.0000
7.50,0.0010,57,0,60000,0.0009,0.0000,0.0066,83,0,60000,0.0014,0.8058,0.0037,690,3,185482,0.0037,0.0000,0.0125,2322,11,185482,0.0125,0.0000
8.00,0.0010,57,0,60000,0.0009,0.0000,0.0066,83,0,60000,0.0014,0.8058,0.0051,940,4,185482,0.0051,0.0000,0.0149,2762,11,185482,0.0149,0.0000
8.50,0.0045,137,0,60000,0.0023,0.4613,0.0066,83,0,60000,0.0014,0.8058,0.0051,940,4,185482,0.0051,0.0000,0.0149,2762,11,185482,0.0149,0.0000
9.00,0.0045,137,0,60000,0.0023,0.4613,0.0066,83,0,60000,0.0014,0.8058,0.0050,930,3,185482,0.0050,0.0000,0.0189,3514,12,185482,0.0189,0.0000
9.50,0.0045,137,0,60000,0.0023,0.4613,0.0066,83,0,60000,0.0014,0.8058,0.0050,930,3,185482,0.0050,0.0000,0.0189,3514,12,185482,0.0189,0.0000
10.00,0.0045,137,0,60000,0.0023,0.4613,0.0066,83,0,60000,0.0014,0.8058,0.0057,1050,3,185482,0.0057,0.0000,0.0198,3679,11,185482,0.0198,0.0000
10.50,0.0045,137,0,60000,0.0023,0.4613,0.0066,83,0,60000,0.0014,0.8058,0.0057,1050,3,185482,0.0057,0.0000,0.0198,3679,11,185482,0.0198,0.0000
11.00,0.0045,137,0,60000,0.0023,0.4613,0.0066,83,0,60000,0.0014,0.8058,0.0043,800,2,185482,0.0043,0.0000,0.0222,4119,11,185482,0.0222,0.0000
11.50,0.0089,150,0,60000,0.0025,0.9036,0.0066,83,0,60000,0.0014,0.8058,0.0021,396,1,185482,0.0021,0.0000,0.0222,4119,11,185482,0.0222,0.0000
12.00,0.0089,150,0,60000,0.0025,0.9036,0.0066,83,0,60000,0.0014,0.8058,0.0021,396,1,185482,0.0021,0.0000,0.0256,4745,12,185482,0.0256,0.0000
12.50,0.0089,150,0,60000,0.0025,0.9036,0.0066,83,0,60000,0.0014,0.8058,0.0021,396,1,185482,0.0021,0.0000,0.0256,4745,12,185482,0.0256,0.0000
13.00,0.0089,150,0,60000,0.0025,0.9036,0.0170,652,0,60000,0.0109,0.9475,0.0021,396,1,185482,0.0021,0.0000,0.0285,5277,13,185482,0.0285,0.0000
13.50,0.0089,150,0,60000,0.0025,0.9036,0.0170,652,0,60000,0.0109,0.9475,0.0021,396,1,185482,0.0021,0.0000,0.0285,5277,13,185482,0.0285,0.0000
14.00,0.0147,367,0,60000,0.0061,0.5228,0.0227,457,0,60000,0.0076,0.9723,0.0038,708,1,185482,0.0038,0.0000,0.0282,5224,11,185482,0.0282,0.0000
14.50,0.0147,367,0,60000,0.0061,0.5228,0.0227,457,0,60000,0.0076,0.9723,0.0038,708,1,185482,0.0038,0.0000,0.0282,5224,11,185482,0.0282,0.0000
15.00,0.0147,367,0,60000,0.0061,0.5228,0.0227,457,0,60000,0.0076,0.9723,0.0067,1248,2,185482,0.0067,0.0000,0.0277,5147,10,185482,0.0277,0.0000
15.50,0.0147,367,0,60000,0.0061,0.5228,0.0295,429,0,60000,0.0072,0.9533,0.0067,1248,2,185482,0.0067,0.0000,0.0277,5147,10,185482,0.0277,0.0000
16.00,0.0269,435,0,60000,0.0073,0.9667,0.0295,429,0,60000,0.0072,0.9533,0.0072,1328,2,185482,0.0072,0.0000,0.0318,5905,10,185482,0.0318,0.0000
16.50,0.0351,512,0,60000,0.0085,0.8693,0.0295,429,0,60000,0.0072,0.9533,0.0072,1328,2,185482,0.0072,0.0000,0.0318,5905,10,185482,0.0318,0.0000
17.00,0.0351,512,0,60000,0.0085,0.8693,0.0295,429,0,60000,0.0072,0.9533,0.0108,2004,3,185482,0.0108,0.0000,0.0276,5119,10,185482,0.0276,0.0000
17.50,0.0440,494,0,60000,0.0082,0.9724,0.0295,429,0,60000,0.0072,0.9533,0.0108,2004,3,185482,0.0108,0.0000,0.0276,5119,10,185482,0.0276,0.0000
18.00,0.0440,494,0,60000,0.0082,0.9724,0.0295,429,0,60000,0.0072,0.9533,0.0142,2639,4,185482,0.0142,0.0000,0.0295,5479,9,185482,0.0295,0.0000
18.50,0.0440,494,0,60000,0.0082,0.9724,0.0295,429,0,60000,0.0072,0.9533,0.0151,2799,4,185482,0.0151,0.0000,0.0295,5479,9,185482,0.0295,0.0000
19.00,0.0440,494,0,60000,0.0082,0.9724,0.0382,549,0,60000,0.0092,0.9632,0.0151,2799,4,185482,0.0151,0.0000,0.0309,5724,9,185482,0.0309,0.0000
19.50,0.0440,494,0,60000,0.0082,0.9724,0.0382,549,0,60000,0.0092,0.9632,0.0160,2959,4,185482,0.0160,0.0000,0.0309,5724,9,185482,0.0309,0.0000
20.00,0.0440,494,0,60000,0.0082,0.9724,0.0574,597,0,60000,0.0100,0.8444,0.0160,2959,4,185482,0.0160,0.0000,0.0366,6791,9,185482,0.0366,0.0000
20.50,0.0440,494,0,60000,0.0082,0.9724,0.0574,597,0,60000,0.0100,0.8444,0.0205,3809,5,185482,0.0205,0.0000,0.0366,6791,9,185482,0.0366,0.0000
21.00,0.0440,494,0,60000,0.0082,0.9724,0.0574,597,0,60000,0.0100,0.8444,0.0205,3809,5,185482,0.0205,0.0000,0.0388,7189,10,185482,0.0388,0.0000
21.50,0.0440,494,0,60000,0.0082,0.9724,0.0574,597,0,60000,0.0100,0.8444,0.0216,4009,5,185482,0.0216,0.0000,0.0388,7189,10,185482,0.0388,0.0000
22.00,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0216,4009,5,185482,0.0216,0.0000,0.0409,7589,10,185482,0.0409,0.0000
22.50,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0266,4930,6,185482,0.0266,0.0000,0.0409,7589,10,185482,0.0409,0.0000
23.00,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0266,4930,6,185482,0.0266,0.0000,0.0431,7989,10,185482,0.0431,0.0000
23.50,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0279,5170,6,185482,0.0279,0.0000,0.0431,7989,10,185482,0.0431,0.0000
24.00,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0279,5170,6,185482,0.0279,0.0000,0.0403,7477,9,185482,0.0403,0.0000
24.50,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0292,5410,6,185482,0.0292,0.0000,0.0403,7477,9,185482,0.0403,0.0000
25.00,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0292,5410,6,185482,0.0292,0.0000,0.0423,7837,9,185482,0.0423,0.0000
25.50,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0305,5650,6,185482,0.0305,0.0000,0.0423,7837,9,185482,0.0423,0.0000
26.00,0.0545,675,0,60000,0.0112,0.9740,0.0574,597,0,60000,0.0100,0.8444,0.0305,5650,6,185482,0.0305,0.0000,0.0423,7837,9,185482,0.0423,0.0000
26.50,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0366,6788,6,185482,0.0366,0.0000,0.0442,8197,9,185482,0.0442,0.0000
27.00,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0366,6788,6,185482,0.0366,0.0000,0.0442,8197,9,185482,0.0442,0.0000
27.50,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0381,7068,7,185482,0.0381,0.0000,0.0461,8557,9,185482,0.0461,0.0000
28.00,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0381,7068,7,185482,0.0381,0.0000,0.0461,8557,9,185482,0.0461,0.0000
28.50,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0326,6040,6,185482,0.0326,0.0000,0.0481,8917,9,185482,0.0481,0.0000
29.00,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0326,6040,6,185482,0.0326,0.0000,0.0481,8917,9,185482,0.0481,0.0000
29.50,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0278,5164,5,185482,0.0278,0.0000,0.0323,5990,6,185482,0.0323,0.0000
30.00,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0278,5164,5,185482,0.0278,0.0000,0.0323,5990,6,185482,0.0323,0.0000
30.50,0.0645,880,0,60000,0.0147,0.9800,0.0574,597,0,60000,0.0100,0.8444,0.0171,3166,3,185482,0.0171,0.0000,0.0282,5223,5,185482,0.0282,0.0000
31.00,0.0747,1291,0,60000,0.0215,0.7886,0.0574,597,0,60000,0.0100,0.8444,0.0171,3166,3,185482,0.0171,0.0000,0.0282,5223,5,185482,0.0282,0.0000
31.50,0.0747,1291,0,60000,0.0215,0.7886,0.0574,597,0,60000,0.0100,0.8444,0.0177,3286,3,185482,0.0177,0.0000,0.0205,3811,2,185482,0.0205,0.0000
32.00,0.1235,2145,0,60000,0.0357,0.9792,0.0769,1097,0,60000,0.0183,0.9682,0.0177,3286,3,185482,0.0177,0.0000,0.0205,3811,2,185482,0.0205,0.0000
32.50,0.1235,2145,0,60000,0.0357,0.9792,0.0769,1097,0,60000,0.0183,0.9682,0.0185,3430,3,185482,0.0185,0.0000,0.0391,7258,4,185482,0.0391,0.0000
