elapsed_s,gpu0_gb,gpu2_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0684,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
4.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0684,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
5.0,0.0,0.0241,0.0241,0.0,0.0241,0.0,0.0,0,0,0,0.0684,0.0241,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
6.0,0.0,0.0241,0.0241,0.0,0.0241,0.0,0.0,0,0,0,0.0684,0.0241,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
7.0,0.0,0.0241,0.0241,0.0,0.0241,0.0,0.0,0,0,0,0.0684,0.0241,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
8.0,0.0,0.0241,0.0241,0.0,0.0241,0.0,0.0,0,0,0,0.1013,0.0241,0.0,0.0,0.0,0.0,2,0,2,0,21,0,0,71,0,2,0
9.0,0.0,0.0438,0.0438,0.0,0.0438,0.0,0.0,0,0,0,0.1013,0.0438,0.0,0.0,0.0,0.0,2,0,2,0,21,0,0,71,0,2,0
10.0,0.0,0.084,0.084,0.0,0.084,0.0,0.0,0,0,0,0.1013,0.084,0.0,0.0,0.0,0.0,2,0,2,0,21,0,0,71,0,2,0
11.0,0.0,0.084,0.084,0.0,0.084,0.0,0.0,0,0,0,0.1013,0.084,0.0,0.0,0.0,0.0,2,0,2,0,21,0,0,71,0,2,0
12.0,0.0,0.1468,0.1468,0.0,0.1468,0.0,0.0,0,0,0,0.1096,0.1468,0.0,0.0,0.0,0.0,3,0,3,0,21,0,0,118,0,2,0
13.0,0.0,0.1739,0.1739,0.0,0.1739,0.0,0.0,0,0,0,0.1925,0.1739,0.0,0.0,0.0,0.0,4,0,4,0,22,0,0,389,0,2,0
14.0,0.0,0.2939,0.2939,0.0,0.2939,0.0,0.0,0,0,0,0.1925,0.2939,0.0,0.0,0.0,0.0,4,0,4,0,22,0,0,389,0,2,0
15.0,0.0,0.2939,0.2939,0.0,0.2939,0.0,0.0,0,0,0,0.2397,0.2939,0.0,0.0,0.0,0.0,5,0,5,0,22,0,0,736,0,2,0
16.0,0.0,0.2939,0.2939,0.0,0.2939,0.0,0.0,0,0,0,0.2397,0.2939,0.0,0.0,0.0,0.0,5,0,5,0,22,0,0,736,0,2,0
17.0,0.0,0.2939,0.2939,0.0,0.2939,0.0,0.0,0,0,0,0.3958,0.2939,0.0,0.0,0.0,0.0,7,2,5,0,22,0,0,1578,0,2,0
18.0,0.0,0.5437,0.5437,0.0,0.5437,0.0,0.0,0,0,0,0.3958,0.5437,0.0,0.0,0.0,0.0,7,2,5,0,22,0,0,1578,0,2,0
19.0,0.0,0.5437,0.5437,0.0,0.5437,0.0,0.0,0,0,0,0.3958,0.5437,0.0,0.0,0.0,0.0,7,2,5,0,22,0,0,1578,0,2,0
20.0,0.0,0.6353,0.6353,0.0,0.6353,0.0,0.0,0,0,0,0.4838,0.6353,0.0,0.0,0.0,0.0,8,3,5,0,22,0,0,2139,0,2,0
21.0,0.1003,0.7345,0.8348,0.0,0.8348,0.0,0.0,0,0,0,0.6619,0.8348,0.0,0.0,0.0,0.0,10,4,6,0,22,0,0,3375,0,2,0
22.0,0.1003,0.7345,0.8348,0.0,0.8348,0.0,0.0,0,0,0,0.6619,0.8348,0.0,0.0,0.0,0.0,10,4,6,0,22,0,0,3375,0,2,0
23.0,0.1003,0.7345,0.8348,0.0,0.8348,0.0,0.0,0,0,0,0.7484,0.8348,0.0,0.0,0.0,0.0,11,4,7,0,22,0,0,4017,0,2,0
24.0,0.1003,0.7345,0.8348,0.0,0.8348,0.0,0.0,0,0,0,0.9136,0.8348,0.0,0.0,0.0,0.0,13,6,7,0,22,0,0,5238,0,2,0
25.0,0.1003,0.7345,0.8348,0.0,0.8348,0.0,0.0,0,0,0,0.9136,0.8348,0.0,0.0,0.0,0.0,13,6,7,0,22,0,0,5238,0,2,0
26.0,0.1003,0.7345,0.8348,0.0,0.8348,0.0,0.0,0,0,0,0.9136,0.8348,0.0,0.0,0.0,0.0,13,6,7,0,22,0,0,5238,0,2,0
27.0,0.1003,0.8507,0.9509,0.0,0.9509,0.0,0.0,0,0,0,0.9136,0.9509,0.0,0.0,0.0,0.0,13,6,7,0,22,0,0,5238,0,2,0
28.0,0.1003,0.8507,0.9509,0.0,0.9509,0.0,0.0,0,0,0,0.9136,0.9509,0.0,0.0,0.0,0.0,13,6,7,0,22,0,0,5238,0,2,0
29.0,0.1003,1.273,1.3732,0.0,1.3732,0.0,0.0,0,0,0,0.9136,1.3732,0.0,0.0,0.0,0.0,13,6,7,0,22,0,0,5238,0,2,0
30.0,0.1003,1.5587,1.659,0.0,1.659,0.0,0.0,0,0,0,1.0283,1.659,0.0,0.0,0.0,0.0,14,7,7,0,22,0,0,6088,0,2,0
31.0,0.5306,1.5587,2.0893,0.0,2.0893,0.0,0.0,0,0,0,1.0283,2.0893,0.0,0.0,0.0,0.0,14,7,7,0,22,0,0,6088,0,2,0
32.0,0.5306,1.5587,2.0893,0.0,2.0893,0.0,0.0,0,0,0,1.7258,2.0893,0.0,0.0,0.0,0.0,19,10,9,0,22,0,0,11301,0,2,0
33.0,1.0213,1.5587,2.58,0.0,2.58,0.0,0.0,0,0,0,1.8066,2.58,0.0,0.0,0.0,0.0,20,11,9,0,22,0,0,11904,0,2,0
34.0,1.1752,1.5587,2.7339,0.0,2.7339,0.0,0.0,0,0,0,1.976,2.7339,0.0,0.0,0.0,0.0,22,12,10,0,22,0,0,13060,0,2,0
35.0,1.3508,1.5587,2.9095,0.0,2.9095,0.0,0.0,0,0,0,2.1188,2.9095,0.0,0.0,0.0,0.0,23,13,10,0,22,0,0,14120,0,2,0
36.0,1.3508,1.7286,3.0794,0.0,3.0794,0.0,0.0,0,0,0,2.3554,3.0794,0.0,0.0,0.0,0.0,25,14,11,0,22,0,0,15561,0,2,0
37.0,1.3508,1.7286,3.0794,0.0,3.0794,0.0,0.0,0,0,0,2.4508,3.0794,0.0,0.0,0.0,0.0,26,14,12,0,22,0,0,16259,0,2,0
38.0,1.5203,1.7286,3.2489,0.0,3.2489,0.0,0.0,0,0,0,2.6157,3.2489,0.0,0.0,0.0,0.0,27,14,13,0,22,0,0,17496,0,2,0
39.0,1.5203,1.7286,3.2489,0.0,3.2489,0.0,0.0,0,0,0,2.7794,3.2489,0.0,0.0,0.0,0.0,28,14,14,0,22,0,0,18717,0,2,0
40.0,1.7059,1.7286,3.4345,0.0,3.4345,0.0,0.0,0,0,0,2.7794,3.4345,0.0,0.0,0.0,0.0,28,14,14,0,22,0,0,18717,0,2,0
41.0,1.7059,1.7286,3.4345,0.0,3.4345,0.0,0.0,0,0,0,2.858,3.4345,0.0,0.0,0.0,0.0,29,15,14,0,22,0,0,19293,0,2,0
42.0,1.7059,1.7286,3.4345,0.0,3.4345,0.0,0.0,0,0,0,2.858,3.4345,0.0,0.0,0.0,0.0,29,15,14,0,22,0,0,19293,0,2,0
43.0,1.7059,1.7286,3.4345,0.0,3.4345,0.0,0.0,0,0,0,3.044,3.4345,0.0,0.0,0.0,0.0,30,16,14,0,22,0,0,20672,0,2,0
44.0,1.7059,1.9195,3.6255,0.0,3.6255,0.0,0.0,0,0,0,3.044,3.6255,0.0,0.0,0.0,0.0,30,16,14,0,22,0,0,20672,0,2,0
45.0,1.7059,2.1268,3.8327,0.0,3.8327,0.0,0.0,0,0,0,3.044,3.8327,0.0,0.0,0.0,0.0,30,16,14,0,22,0,0,20672,0,2,0
46.0,1.7059,2.3328,4.0387,0.0,4.0387,0.0,0.0,0,0,0,3.135,4.0387,0.0,0.0,0.0,0.0,31,16,15,0,22,0,0,21346,0,2,0
47.0,1.7059,2.3328,4.0387,0.0,4.0387,0.0,0.0,0,0,0,3.135,4.0387,0.0,0.0,0.0,0.0,31,16,15,0,22,0,0,21346,0,2,0
48.0,1.7059,2.5572,4.2631,0.0,4.2631,0.0,0.0,0,0,0,3.2025,4.2631,0.0,0.0,0.0,0.0,32,16,16,0,22,0,0,21842,0,2,0
49.0,1.7059,2.7979,4.5038,0.0,4.5038,0.0,0.0,0,0,0,3.2594,4.5038,0.0,0.0,0.0,0.0,33,16,17,0,22,0,0,22251,0,2,0
50.0,1.7059,2.7979,4.5038,0.0,4.5038,0.0,0.0,0,0,0,3.3072,4.5038,0.0,0.0,0.0,0.0,34,17,17,0,22,0,0,22602,0,2,0
51.0,1.7059,3.0233,4.7292,0.0,4.7292,0.0,0.0,0,0,0,3.3072,4.7292,0.0,0.0,0.0,0.0,34,17,17,0,22,0,0,22602,0,2,0
52.0,1.7059,3.2643,4.9703,0.0,4.9703,0.0,0.0,0,0,0,3.3847,4.9703,0.0,0.0,0.0,0.0,35,18,17,0,22,0,0,23178,0,2,0
53.0,1.7059,3.7565,5.4624,0.0,5.4624,0.0,0.0,0,0,0,3.3847,5.4624,0.0,0.0,0.0,0.0,35,18,17,0,22,0,0,23178,0,2,0
54.0,1.7059,3.9322,5.6381,0.0,5.6381,0.0,0.0,0,0,0,3.6137,5.6381,0.0,0.0,0.0,0.0,36,19,17,0,23,0,0,24861,0,2,0
55.0,1.7059,3.9322,5.6381,0.0,5.6381,0.0,0.0,0,0,0,3.7135,5.6381,0.0,0.0,0.0,0.0,37,20,17,0,23,0,0,25611,0,2,0
56.0,1.9599,3.9322,5.8921,0.0,5.8921,0.0,0.0,0,0,0,3.8948,5.8921,0.0,0.0,0.0,0.0,39,20,19,0,23,0,0,26936,0,2,0
57.0,1.9599,3.9322,5.8921,0.0,5.8921,0.0,0.0,0,0,0,3.8948,5.8921,0.0,0.0,0.0,0.0,39,20,19,0,23,0,0,26936,0,2,0
58.0,2.2379,3.9322,6.1701,0.0,6.1701,0.0,0.0,0,0,0,4.1454,6.1701,0.0,0.0,0.0,0.0,40,21,19,0,23,0,0,28835,0,2,0
59.0,2.2379,3.9322,6.1701,0.0,6.1701,0.0,0.0,0,0,0,4.3958,6.1701,0.0,0.0,0.0,0.0,41,22,19,0,25,0,0,30726,0,2,0
60.0,2.2379,3.9322,6.1701,0.0,6.1701,0.0,0.0,0,0,0,4.6562,6.1701,0.0,0.0,0.0,0.0,42,23,19,0,25,0,0,32691,0,2,0
61.0,2.5183,3.9322,6.4504,0.0,6.4504,0.0,0.0,0,0,0,4.9329,6.4504,0.0,0.0,0.0,0.0,43,24,19,0,26,0,0,34749,0,2,0
62.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,4.9329,7.0006,0.0,0.0,0.0,0.0,43,24,19,0,26,0,0,34749,0,2,0
63.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,4.9329,7.0006,0.0,0.0,0.0,0.0,43,24,19,0,26,0,0,34749,0,2,0
64.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,5.2646,7.0006,0.0,0.0,0.0,0.0,47,27,20,0,26,0,0,37197,0,2,0
65.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,5.2688,7.0006,0.0,0.0,0.0,0.0,47,27,20,0,27,0,0,37197,0,2,0
66.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,5.2715,7.0006,0.0,0.0,0.0,0.0,47,27,20,0,28,0,0,37197,0,2,0
67.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,5.477,7.0006,0.0,0.0,0.0,0.0,48,27,21,0,28,0,0,38694,0,2,0
68.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,5.7811,7.0006,0.0,0.0,0.0,0.0,49,27,22,0,28,0,0,40958,0,2,0
69.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,6.0872,7.0006,0.0,0.0,0.0,0.0,51,29,22,0,28,0,0,43251,0,2,0
70.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,6.0872,7.0006,0.0,0.0,0.0,0.0,51,29,22,0,28,0,0,43251,0,2,0
71.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,6.0872,7.0006,0.0,0.0,0.0,0.0,51,29,22,0,28,0,0,43251,0,2,0
72.0,3.0684,3.9322,7.0006,0.0,7.0006,0.0,0.0,0,0,0,6.1026,7.0006,0.0,0.0,0.0,0.0,52,29,23,0,28,0,0,43339,0,2,0
