elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0135,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0,0,0,2,0
4.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0683,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
5.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0683,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
6.0,0.0,0.0,0.0014,0.0178,0.0193,0.0,0.0193,0.0,0.0,0,0,0,0.0683,0.0014,0.0178,0.0,0.0,0.9252,0,0,0,0,21,0,0,0,0,2,0
7.0,0.0,0.0,0.0014,0.0178,0.0193,0.0,0.0193,0.0,0.0,0,0,0,0.0683,0.0014,0.0178,0.0,0.0,0.9252,0,0,0,0,21,0,0,0,0,2,0
8.0,0.0,0.0,0.0014,0.0178,0.0193,0.0,0.0193,0.0,0.0,0,0,0,0.0683,0.0014,0.0178,0.0,0.0,0.9252,0,0,0,0,21,0,0,0,0,2,0
9.0,0.0,0.0,0.0343,0.0178,0.0522,0.0,0.0522,0.0,0.0,0,0,0,0.1001,0.0343,0.0178,0.0,0.0,0.3417,1,0,1,0,21,0,0,83,0,2,0
10.0,0.0,0.0,0.0343,0.0178,0.0522,0.0,0.0522,0.0,0.0,0,0,0,0.1001,0.0343,0.0178,0.0,0.0,0.3417,1,0,1,0,21,0,0,83,0,2,0
11.0,0.0,0.0,0.0343,0.0733,0.1076,0.0,0.1076,0.0,0.0,0,0,0,0.1001,0.0343,0.0733,0.0,0.0,0.6809,1,0,1,0,21,0,0,83,0,2,0
12.0,0.0,0.0,0.0343,0.0733,0.1076,0.0,0.1076,0.0,0.0,0,0,0,0.1294,0.0343,0.0733,0.0,0.0,0.6809,2,1,1,0,21,0,0,289,0,2,0
13.0,0.0,0.0,0.0343,0.0733,0.1076,0.0,0.1076,0.0,0.0,0,0,0,0.1294,0.0343,0.0733,0.0,0.0,0.6809,2,1,1,0,21,0,0,289,0,2,0
14.0,0.0,0.0,0.0343,0.0733,0.1076,0.0,0.1076,0.0,0.0,0,0,0,0.1692,0.0343,0.0733,0.0,0.0,0.6809,3,1,2,0,21,0,0,580,0,2,0
15.0,0.0,0.0,0.1004,0.0733,0.1737,0.0,0.1737,0.0,0.0,0,0,0,0.1692,0.1004,0.0733,0.0,0.0,0.4219,3,1,2,0,21,0,0,580,0,2,0
16.0,0.0,0.0,0.173,0.1524,0.3255,0.0,0.3255,0.0,0.0,0,0,0,0.1692,0.173,0.1524,0.0,0.0,0.4684,3,1,2,0,21,0,0,580,0,2,0
17.0,0.0,0.0,0.173,0.2311,0.4041,0.0,0.4041,0.0,0.0,0,0,0,0.1692,0.173,0.2311,0.0,0.0,0.5718,3,1,2,0,21,0,0,580,0,2,0
18.0,0.0,0.0,0.173,0.2311,0.4041,0.0,0.4041,0.0,0.0,0,0,0,0.2323,0.173,0.2311,0.0,0.0,0.5718,4,2,2,0,21,0,0,1040,0,2,0
19.0,0.0,0.0,0.173,0.2311,0.4041,0.0,0.4041,0.0,0.0,0,0,0,0.3763,0.173,0.2311,0.0,0.0,0.5718,6,2,4,0,21,0,0,2048,0,2,0
20.0,0.0,0.0,0.2629,0.2311,0.494,0.0,0.494,0.0,0.0,0,0,0,0.4511,0.2629,0.2311,0.0,0.0,0.4678,7,2,5,0,21,0,0,2573,0,2,0
21.0,0.0,0.0,0.2629,0.2311,0.494,0.0,0.494,0.0,0.0,0,0,0,0.4511,0.2629,0.2311,0.0,0.0,0.4678,7,2,5,0,21,0,0,2573,0,2,0
22.0,0.0,0.0,0.2629,0.339,0.6019,0.0,0.6019,0.0,0.0,0,0,0,0.5346,0.2629,0.339,0.0,0.0,0.5632,8,3,5,0,21,0,0,3210,0,2,0
23.0,0.0,0.0,0.2629,0.339,0.6019,0.0,0.6019,0.0,0.0,0,0,0,0.5491,0.2629,0.339,0.0,0.0,0.5632,8,3,5,0,21,0,0,3210,0,2,0
24.0,0.0,0.0,0.2629,0.339,0.6019,0.0,0.6019,0.0,0.0,0,0,0,0.5491,0.2629,0.339,0.0,0.0,0.5632,8,3,5,0,21,0,0,3210,0,2,0
25.0,0.0,0.0,0.2629,0.339,0.6019,0.0,0.6019,0.0,0.0,0,0,0,0.6205,0.2629,0.339,0.0,0.0,0.5632,9,3,6,0,21,0,0,3737,0,2,0
26.0,0.0,0.0,0.2629,0.339,0.6019,0.0,0.6019,0.0,0.0,0,0,0,0.6205,0.2629,0.339,0.0,0.0,0.5632,9,3,6,0,21,0,0,3737,0,2,0
27.0,0.0,0.0,0.3933,0.339,0.7323,0.0,0.7323,0.0,0.0,0,0,0,0.6205,0.3933,0.339,0.0,0.0,0.4629,9,3,6,0,21,0,0,3737,0,2,0
28.0,0.0,0.0,0.5101,0.5896,1.0997,0.0,1.0997,0.0,0.0,0,0,0,0.6205,0.5101,0.5896,0.0,0.0,0.5361,9,3,6,0,21,0,0,3737,0,2,0
29.0,0.0,0.0,0.9334,1.0166,1.95,0.0,1.95,0.0,0.0,0,0,0,0.6205,0.9334,1.0166,0.0,0.0,0.5213,9,3,6,0,21,0,0,3737,0,2,0
30.0,0.0,0.0,1.0739,1.0166,2.0905,0.0,2.0905,0.0,0.0,0,0,0,0.7491,1.0739,1.0166,0.0,0.0,0.4863,10,3,7,0,21,0,0,4696,0,2,0
31.0,0.0,0.0,1.0739,1.0166,2.0905,0.0,2.0905,0.0,0.0,0,0,0,0.956,1.0739,1.0166,0.0,0.0,0.4863,12,4,8,0,21,0,0,6249,0,2,0
32.0,0.0,0.0,1.0739,1.0166,2.0905,0.0,2.0905,0.0,0.0,0,0,0,2.0878,1.0739,1.0166,0.0,0.0,0.4863,19,7,12,0,21,1,0,12353,0,2,0
33.0,0.0,0.0,1.0739,1.0166,2.0905,0.0,2.0905,0.0,0.0,0,0,0,2.0878,1.0739,1.0166,0.0,0.0,0.4863,19,7,12,0,21,1,0,12353,0,2,0
34.0,0.0,0.0,1.0739,1.1655,2.2394,0.0,2.2394,0.0,0.0,0,0,0,2.0878,1.0739,1.1655,0.0,0.0,0.5205,19,7,12,0,21,1,0,12353,0,2,0
35.0,0.0,0.0,1.2246,1.1655,2.3901,0.0,2.3901,0.0,0.0,0,0,0,2.0878,1.2246,1.1655,0.0,0.0,0.4876,19,7,12,0,21,1,0,12353,0,2,0
36.0,0.0,0.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,2.0878,1.3107,1.3107,0.0,0.0,0.5,19,7,12,0,21,1,0,12353,0,2,0
37.0,0.0,0.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,2.2341,1.3107,1.3107,0.0,0.0,0.5,20,7,13,0,21,1,0,13453,0,2,0
