elapsed_s,gpu0_gb,gpu2_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0515,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,11,0,0,0,0,2,0
4.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0682,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
5.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0682,0.0123,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
6.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0682,0.0303,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
7.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0682,0.0303,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
8.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0769,0.0303,0.0,0.0,0.0,0.0,1,0,1,0,21,0,0,47,0,2,0
9.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.1111,0.0499,0.0,0.0,0.0,0.0,2,0,2,0,21,0,0,148,0,2,0
10.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.1111,0.0499,0.0,0.0,0.0,0.0,2,0,2,0,21,0,0,148,0,2,0
11.0,0.0402,0.0495,0.0898,0.0,0.0898,0.0,0.0,0,0,0,0.1111,0.098,0.0402,0.0,0.0,0.291,2,0,2,0,21,0,0,148,0,2,0
12.0,0.1001,0.0495,0.1497,0.0,0.1497,0.0,0.0,0,0,0,0.1265,0.098,0.1001,0.0,0.0,0.5053,3,0,3,0,21,0,0,249,0,2,0
13.0,0.1277,0.1058,0.2334,0.0,0.2334,0.0,0.0,0,0,0,0.2083,0.1543,0.1277,0.0,0.0,0.4528,4,0,4,0,22,0,0,511,0,2,0
14.0,0.1277,0.1628,0.2905,0.0,0.2905,0.0,0.0,0,0,0,0.2956,0.2784,0.1277,0.0,0.0,0.3144,5,0,5,0,22,0,0,842,0,2,0
15.0,0.1277,0.1628,0.2905,0.0,0.2905,0.0,0.0,0,0,0,0.3399,0.2784,0.1277,0.0,0.0,0.3144,6,0,6,0,22,0,0,1167,0,2,0
16.0,0.1924,0.1628,0.3552,0.0,0.3552,0.0,0.0,0,0,0,0.3941,0.2784,0.1924,0.0,0.0,0.4087,7,0,7,0,22,0,0,1560,0,2,0
17.0,0.1924,0.1628,0.3552,0.0,0.3552,0.0,0.0,0,0,0,0.5209,0.2784,0.2644,0.0,0.0,0.4871,9,0,9,0,22,0,0,2435,0,2,0
18.0,0.1924,0.241,0.4335,0.0,0.4335,0.0,0.0,0,0,0,0.5827,0.3566,0.3449,0.0,0.0,0.4916,10,0,10,0,22,0,0,2893,0,2,0
19.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.6508,0.4451,0.3449,0.0,0.0,0.4365,11,0,11,0,22,0,0,3391,0,2,0
20.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.8137,0.4451,0.3449,0.0,0.0,0.4365,13,0,13,0,22,0,0,4478,0,2,0
21.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.8137,0.4451,0.3449,0.0,0.0,0.4365,13,0,13,0,22,0,0,4478,0,2,0
22.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.8971,0.4451,0.3449,0.0,0.0,0.4365,14,0,14,0,22,0,0,5096,0,2,0
23.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.8971,0.4451,0.3449,0.0,0.0,0.4365,14,0,14,0,22,0,0,5096,0,2,0
24.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.8971,0.5605,0.3449,0.0,0.0,0.3809,14,0,14,0,22,0,0,5096,0,2,0
25.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.8971,0.5605,0.3449,0.0,0.0,0.3809,14,0,14,0,22,0,0,5096,0,2,0
26.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.8971,0.5605,0.3449,0.0,0.0,0.3809,14,0,14,0,22,0,0,5096,0,2,0
27.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.9758,0.5605,0.3449,0.0,0.0,0.3809,15,0,15,0,22,0,0,5679,0,2,0
28.0,0.1924,0.3295,0.5219,0.0,0.5219,0.0,0.0,0,0,0,0.9758,0.5605,0.3449,0.0,0.0,0.3809,15,0,15,0,22,0,0,5679,0,2,0
29.0,0.3616,0.3295,0.6911,0.0,0.6911,0.0,0.0,0,0,0,0.9758,0.5605,0.5141,0.0,0.0,0.4784,15,0,15,0,22,0,0,5679,0,2,0
30.0,0.6459,0.617,1.2629,0.0,1.2629,0.0,0.0,0,0,0,0.9758,0.8479,0.7984,0.0,0.0,0.485,15,0,15,0,22,0,0,5679,0,2,0
31.0,0.783,0.8959,1.6789,0.0,1.6789,0.0,0.0,0,0,0,0.9758,1.1268,0.9355,0.0,0.0,0.4536,15,0,15,0,22,0,0,5679,0,2,0
32.0,1.0664,1.0311,2.0975,0.0,2.0975,0.0,0.0,0,0,0,1.0984,1.2621,1.2188,0.0,0.0,0.4913,16,0,16,0,22,0,0,6268,0,2,0
33.0,1.0664,1.1747,2.2411,0.0,2.2411,0.0,0.0,0,0,0,1.5841,1.4056,1.2188,0.0,0.0,0.4644,20,0,20,0,22,0,0,9882,0,2,0
34.0,1.0664,1.1747,2.2411,0.0,2.2411,0.0,0.0,0,0,0,2.0559,1.4056,1.2188,0.0,0.0,0.4644,24,0,24,0,22,0,0,13390,0,2,0
35.0,1.0664,1.3361,2.4025,0.0,2.4025,0.0,0.0,0,0,0,2.3475,1.5671,1.2188,0.0,0.0,0.4375,26,0,26,0,22,0,0,15472,0,2,0
36.0,1.0664,1.4972,2.5636,0.0,2.5636,0.0,0.0,0,0,0,2.4284,1.7282,1.2188,0.0,0.0,0.4136,27,0,27,0,22,0,0,16059,0,2,0
37.0,1.0664,1.4972,2.5636,0.0,2.5636,0.0,0.0,0,0,0,2.4284,1.7282,1.2188,0.0,0.0,0.4136,27,0,27,0,22,0,0,16059,0,2,0
