elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,142788.0,29164.0,42364.0,28898.0,42362.0,67872.4,56044.4,15132.6,13131.3,0.0,23450.2,0.0,16244.3,25020.4,18799.6,45231.9,106931.6,128652.3,91322.6,148
1.1,142788.0,29164.0,42364.0,28898.0,42362.0,67872.7,56044.7,15132.9,13131.7,0.0,23450.2,0.0,17026.3,25020.4,19581.6,46013.9,106149.6,128652.3,91323.0,148
2.1,143118.0,29474.0,42364.0,28918.0,42362.0,67872.9,56044.9,15133.1,13131.9,0.0,23450.2,0.0,17604.4,25020.4,20161.6,46594.0,105569.5,128652.3,91323.1,148
3.1,143120.0,29474.0,42364.0,28920.0,42362.0,68019.4,56085.8,15277.8,13172.7,0.0,23450.4,0.0,16806.2,25020.2,19477.1,45909.2,106254.1,128652.3,91469.7,148
4.1,143120.0,29474.0,42364.0,28920.0,42362.0,68020.8,56086.6,15279.1,13173.5,0.0,23450.4,0.0,16809.0,25020.2,19481.7,45913.9,106249.4,128652.3,91471.2,148
5.1,143120.0,29474.0,42364.0,28920.0,42362.0,68021.4,56087.1,15279.7,13174.0,0.0,23450.7,0.0,16809.6,25020.5,19483.6,45916.1,106247.5,128652.3,91472.1,148
6.2,143120.0,29474.0,42364.0,28920.0,42362.0,68021.7,56087.4,15280.1,13174.4,0.0,23450.7,0.0,16809.9,25020.5,19486.3,45918.7,106244.8,128652.3,91472.4,148
7.2,143122.0,29474.0,42364.0,28920.0,42364.0,68029.7,56094.3,15286.9,13181.3,0.0,23450.7,0.0,16816.5,25020.5,19494.2,45926.6,106236.9,128652.3,91480.4,148
8.3,143122.0,29474.0,42364.0,28920.0,42364.0,68035.2,56095.8,15292.3,13182.7,0.0,23450.7,0.0,16818.6,25020.3,19501.3,45933.6,106229.8,128652.3,91485.9,148
9.3,143122.0,29474.0,42364.0,28920.0,42364.0,68035.4,56096.0,15292.5,13182.9,0.0,23450.7,0.0,16818.9,25020.3,19501.7,45934.0,106229.4,128652.3,91486.1,148
10.4,143086.0,29436.0,42364.0,28920.0,42366.0,68100.4,56096.9,15357.5,13183.8,0.0,23450.7,0.0,16819.2,25020.3,19504.3,45936.6,106226.9,128652.3,91551.1,148
11.4,143088.0,29436.0,42366.0,28920.0,42366.0,68105.3,56097.8,15362.3,13184.7,0.0,23450.7,0.0,16820.3,25020.2,19578.1,46010.3,106153.0,128652.3,91556.0,148
12.4,143108.0,29436.0,42366.0,28940.0,42366.0,68110.1,56098.3,15366.9,13185.3,0.0,23450.7,0.0,16821.4,25020.2,19582.6,46014.8,106148.5,128652.3,91560.8,148
13.4,143148.0,29476.0,42366.0,28940.0,42366.0,68110.2,56098.5,15367.0,13185.4,0.0,23450.7,0.0,16821.5,25020.2,19583.0,46015.1,106148.1,128652.3,91561.0,148
14.5,143150.0,29478.0,42366.0,28940.0,42366.0,68110.4,56098.6,15367.2,13185.6,0.0,23450.7,0.0,16818.6,25020.2,19584.3,46016.4,106146.8,128652.3,91561.2,148
15.5,143152.0,29478.0,42366.0,28942.0,42366.0,68112.5,56100.7,15369.3,13187.6,0.0,23450.7,0.0,16822.8,25020.4,19595.4,46027.7,106135.7,128652.3,91563.3,148
16.5,143152.0,29478.0,42366.0,28942.0,42366.0,68113.4,56101.5,15370.1,13188.5,0.0,23450.8,0.0,16824.4,25020.4,19594.2,46026.6,106136.9,128652.3,91564.1,148
