t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,,,,,,,,,,,,
3.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,0.0052,691,8,132333,0.0052,0.0000,0.0061,801,8,132333,0.0061,0.0000
4.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,0.0052,691,8,132333,0.0052,0.0000,0.0061,801,8,132333,0.0061,0.0000
5.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,0.0067,893,7,132333,0.0067,0.0000,0.0085,1121,8,132333,0.0085,0.0000
5.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,0.0067,893,7,132333,0.0067,0.0000,0.0085,1121,8,132333,0.0085,0.0000
6.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,0.0076,1012,6,132333,0.0076,0.0000,0.0109,1441,8,132333,0.0109,0.0000
6.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,0.0076,1012,6,132333,0.0076,0.0000,0.0109,1441,8,132333,0.0109,0.0000
7.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4860,0.0095,1252,6,132333,0.0095,0.0000,0.0133,1761,8,132333,0.0133,0.0000
7.50,0.0056,83,0,60000,0.0014,0.8058,0.0015,75,0,60000,0.0013,0.4860,0.0095,1252,6,132333,0.0095,0.0000,0.0133,1761,8,132333,0.0133,0.0000
8.00,0.0056,83,0,60000,0.0014,0.8058,0.0015,75,0,60000,0.0013,0.4860,0.0113,1492,6,132333,0.0113,0.0000,0.0167,2211,9,132333,0.0167,0.0000
8.50,0.0056,83,0,60000,0.0014,0.8058,0.0052,136,0,60000,0.0023,0.4595,0.0113,1492,6,132333,0.0113,0.0000,0.0167,2211,9,132333,0.0167,0.0000
9.00,0.0056,83,0,60000,0.0014,0.8058,0.0052,136,0,60000,0.0023,0.4595,0.0154,2043,7,132333,0.0154,0.0000,0.0181,2401,8,132333,0.0181,0.0000
9.50,0.0056,83,0,60000,0.0014,0.8058,0.0052,136,0,60000,0.0023,0.4595,0.0154,2043,7,132333,0.0154,0.0000,0.0181,2401,8,132333,0.0181,0.0000
10.00,0.0056,83,0,60000,0.0014,0.8058,0.0052,136,0,60000,0.0023,0.4595,0.0176,2323,7,132333,0.0176,0.0000,0.0206,2721,8,132333,0.0206,0.0000
10.50,0.0056,83,0,60000,0.0014,0.8058,0.0052,136,0,60000,0.0023,0.4595,0.0176,2323,7,132333,0.0176,0.0000,0.0206,2721,8,132333,0.0206,0.0000
11.00,0.0056,83,0,60000,0.0014,0.8058,0.0052,136,0,60000,0.0023,0.4595,0.0197,2603,7,132333,0.0197,0.0000,0.0202,2671,7,132333,0.0202,0.0000
11.50,0.0056,83,0,60000,0.0014,0.8058,0.0095,150,0,60000,0.0025,0.9036,0.0231,3057,8,132333,0.0231,0.0000,0.0202,2671,7,132333,0.0202,0.0000
12.00,0.0056,83,0,60000,0.0014,0.8058,0.0095,150,0,60000,0.0025,0.9036,0.0231,3057,8,132333,0.0231,0.0000,0.0223,2951,7,132333,0.0223,0.0000
12.50,0.0056,83,0,60000,0.0014,0.8058,0.0098,36,0,60000,0.0006,0.0945,0.0206,2728,7,132333,0.0206,0.0000,0.0223,2951,7,132333,0.0223,0.0000
13.00,0.0056,83,0,60000,0.0014,0.8058,0.0098,36,0,60000,0.0006,0.0945,0.0206,2728,7,132333,0.0206,0.0000,0.0172,2270,5,132333,0.0172,0.0000
13.50,0.0056,83,0,60000,0.0014,0.8058,0.0098,36,0,60000,0.0006,0.0945,0.0256,3384,7,132333,0.0256,0.0000,0.0172,2270,5,132333,0.0172,0.0000
14.00,0.0115,364,0,60000,0.0061,0.5207,0.0098,36,0,60000,0.0006,0.0945,0.0256,3384,7,132333,0.0256,0.0000,0.0199,2634,4,132333,0.0199,0.0000
14.50,0.0115,364,0,60000,0.0061,0.5207,0.0098,36,0,60000,0.0006,0.0945,0.0238,3149,6,132333,0.0238,0.0000,0.0199,2634,4,132333,0.0199,0.0000
15.00,0.0115,364,0,60000,0.0061,0.5207,0.0098,36,0,60000,0.0006,0.0945,0.0238,3149,6,132333,0.0238,0.0000,0.0174,2304,4,132333,0.0174,0.0000
15.50,0.0235,423,0,60000,0.0070,0.9614,0.0302,518,0,60000,0.0086,0.9755,0.0279,3688,6,132333,0.0279,0.0000,0.0186,2464,4,132333,0.0186,0.0000
16.00,0.0235,423,0,60000,0.0070,0.9614,0.0302,518,0,60000,0.0086,0.9755,0.0279,3688,6,132333,0.0279,0.0000,0.0186,2464,4,132333,0.0186,0.0000
16.50,0.0235,423,0,60000,0.0070,0.9614,0.0302,518,0,60000,0.0086,0.9755,0.0300,3968,7,132333,0.0300,0.0000,0.0241,3191,5,132333,0.0241,0.0000
17.00,0.0309,475,0,60000,0.0079,0.9714,0.0387,531,0,60000,0.0089,0.8734,0.0300,3968,7,132333,0.0300,0.0000,0.0241,3191,5,132333,0.0241,0.0000
17.50,0.0390,509,0,60000,0.0085,0.9604,0.0387,531,0,60000,0.0089,0.8734,0.0360,4768,8,132333,0.0360,0.0000,0.0296,3922,5,132333,0.0296,0.0000
18.00,0.0482,566,0,60000,0.0094,0.9248,0.0387,531,0,60000,0.0089,0.8734,0.0360,4768,8,132333,0.0360,0.0000,0.0296,3922,5,132333,0.0296,0.0000
18.50,0.0482,566,0,60000,0.0094,0.9248,0.0387,531,0,60000,0.0089,0.8734,0.0384,5088,8,132333,0.0384,0.0000,0.0309,4091,7,132333,0.0309,0.0000
19.00,0.0482,566,0,60000,0.0094,0.9248,0.0387,531,0,60000,0.0089,0.8734,0.0384,5088,8,132333,0.0384,0.0000,0.0309,4091,7,132333,0.0309,0.0000
19.50,0.0482,566,0,60000,0.0094,0.9248,0.0387,531,0,60000,0.0089,0.8734,0.0354,4682,7,132333,0.0354,0.0000,0.0327,4331,6,132333,0.0327,0.0000
20.00,0.0482,566,0,60000,0.0094,0.9248,0.0494,605,0,60000,0.0101,0.8462,0.0354,4682,7,132333,0.0354,0.0000,0.0327,4331,6,132333,0.0327,0.0000
20.50,0.0482,566,0,60000,0.0094,0.9248,0.0494,605,0,60000,0.0101,0.8462,0.0375,4962,7,132333,0.0375,0.0000,0.0344,4551,6,132333,0.0344,0.0000
21.00,0.0482,566,0,60000,0.0094,0.9248,0.0494,605,0,60000,0.0101,0.8462,0.0375,4962,7,132333,0.0375,0.0000,0.0344,4551,6,132333,0.0344,0.0000
21.50,0.0595,693,0,60000,0.0115,0.9844,0.0618,691,0,60000,0.0115,0.9746,0.0333,4411,6,132333,0.0333,0.0000,0.0362,4791,6,132333,0.0362,0.0000
22.00,0.0595,693,0,60000,0.0115,0.9844,0.0618,691,0,60000,0.0115,0.9746,0.0333,4411,6,132333,0.0333,0.0000,0.0362,4791,6,132333,0.0362,0.0000
22.50,0.0595,693,0,60000,0.0115,0.9844,0.0618,691,0,60000,0.0115,0.9746,0.0407,5388,7,132333,0.0407,0.0000,0.0436,5770,7,132333,0.0436,0.0000
23.00,0.0595,693,0,60000,0.0115,0.9844,0.0618,691,0,60000,0.0115,0.9746,0.0407,5388,7,132333,0.0407,0.0000,0.0436,5770,7,132333,0.0436,0.0000
23.50,0.0717,757,0,60000,0.0126,0.9730,0.0618,691,0,60000,0.0115,0.9746,0.0428,5668,7,132333,0.0428,0.0000,0.0516,6828,7,132333,0.0516,0.0000
24.00,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0428,5668,7,132333,0.0428,0.0000,0.0516,6828,7,132333,0.0516,0.0000
24.50,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0513,6789,8,132333,0.0513,0.0000,0.0540,7147,8,132333,0.0540,0.0000
25.00,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0513,6789,8,132333,0.0513,0.0000,0.0540,7147,8,132333,0.0540,0.0000
25.50,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0537,7109,8,132333,0.0537,0.0000,0.0564,7467,8,132333,0.0564,0.0000
26.00,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0537,7109,8,132333,0.0537,0.0000,0.0564,7467,8,132333,0.0564,0.0000
26.50,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0561,7429,8,132333,0.0561,0.0000,0.0588,7787,8,132333,0.0588,0.0000
27.00,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0561,7429,8,132333,0.0561,0.0000,0.0588,7787,8,132333,0.0588,0.0000
27.50,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0516,6826,8,132333,0.0516,0.0000,0.0613,8107,8,132333,0.0613,0.0000
28.00,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0516,6826,8,132333,0.0516,0.0000,0.0613,8107,8,132333,0.0613,0.0000
28.50,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0371,4916,5,132333,0.0371,0.0000,0.0540,7142,7,132333,0.0540,0.0000
29.00,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0371,4916,5,132333,0.0371,0.0000,0.0540,7142,7,132333,0.0540,0.0000
29.50,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0387,5116,5,132333,0.0387,0.0000,0.0561,7422,7,132333,0.0561,0.0000
30.00,0.0848,807,0,60000,0.0135,0.9782,0.0618,691,0,60000,0.0115,0.9746,0.0387,5116,5,132333,0.0387,0.0000,0.0561,7422,7,132333,0.0561,0.0000
30.50,0.0999,922,0,60000,0.0154,0.9798,0.0618,691,0,60000,0.0115,0.9746,0.0241,3195,3,132333,0.0241,0.0000,0.0496,6559,6,132333,0.0496,0.0000
31.00,0.1097,1267,0,60000,0.0211,0.7855,0.0618,691,0,60000,0.0115,0.9746,0.0241,3195,3,132333,0.0241,0.0000,0.0496,6559,6,132333,0.0496,0.0000
31.50,0.1329,1083,0,60000,0.0181,0.9792,0.0798,1097,0,60000,0.0183,0.9682,0.0410,5424,4,132333,0.0410,0.0000,0.0632,8365,7,132333,0.0632,0.0000
32.00,0.1329,1083,0,60000,0.0181,0.9792,0.0798,1097,0,60000,0.0183,0.9682,0.0410,5424,4,132333,0.0410,0.0000,0.0632,8365,7,132333,0.0632,0.0000
32.50,0.1329,1083,0,60000,0.0181,0.9792,0.0798,1097,0,60000,0.0183,0.9682,0.0336,4446,5,132333,0.0336,0.0000,0.0470,6216,5,132333,0.0470,0.0000
