elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0674,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,11,0,0,0,0,2,0
4.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0683,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
5.0,0.0,0.0,0.0123,0.0,0.0123,0.0,0.0123,0.0,0.0,0,0,0,0.0683,0.0123,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
6.0,0.0,0.0,0.0301,0.0,0.0301,0.0,0.0301,0.0,0.0,0,0,0,0.0683,0.0301,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
7.0,0.0,0.0,0.0301,0.0,0.0301,0.0,0.0301,0.0,0.0,0,0,0,0.0683,0.0301,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
8.0,0.0,0.0,0.0301,0.0,0.0301,0.0,0.0301,0.0,0.0,0,0,0,0.0771,0.0301,0.0,0.0,0.0,0.0,1,0,1,0,21,0,0,47,0,2,0
9.0,0.0,0.0,0.0498,0.0,0.0498,0.0,0.0498,0.0,0.0,0,0,0,0.1089,0.0498,0.0,0.0,0.0,0.0,2,1,1,0,21,0,0,130,0,2,0
10.0,0.0,0.0,0.0498,0.0,0.0498,0.0,0.0498,0.0,0.0,0,0,0,0.1089,0.0498,0.0,0.0,0.0,0.0,2,1,1,0,21,0,0,130,0,2,0
11.0,0.0,0.0,0.0498,0.0,0.0498,0.0,0.0498,0.0,0.0,0,0,0,0.1089,0.0498,0.0,0.0,0.0,0.0,2,1,1,0,21,0,0,130,0,2,0
12.0,0.0477,0.0,0.0498,0.0,0.0975,0.0,0.0975,0.0,0.0,0,0,0,0.1243,0.0975,0.0,0.0,0.0,0.0,3,2,1,0,21,0,0,231,0,2,0
13.0,0.1032,0.0,0.0498,0.0,0.153,0.0,0.153,0.0,0.0,0,0,0,0.1695,0.153,0.0,0.0,0.0,0.0,3,2,1,0,22,0,0,231,0,2,0
14.0,0.2551,0.0,0.0498,0.0,0.3049,0.0,0.3049,0.0,0.0,0,0,0,0.1695,0.3049,0.0,0.0,0.0,0.0,3,2,1,0,22,0,0,231,0,2,0
15.0,0.3869,0.0,0.0498,0.0667,0.5034,0.0,0.5034,0.0,0.0,0,0,0,0.2564,0.4367,0.0667,0.0,0.0,0.1325,4,3,1,0,22,0,0,559,0,2,0
16.0,0.3869,0.0,0.124,0.0667,0.5776,0.0,0.5776,0.0,0.0,0,0,0,0.4262,0.5109,0.0667,0.0,0.0,0.1155,7,4,3,0,22,0,0,1810,0,2,0
17.0,0.3869,0.0,0.124,0.146,0.6569,0.0,0.6569,0.0,0.0,0,0,0,0.5592,0.5109,0.146,0.0,0.0,0.2223,9,5,4,0,22,0,0,2733,0,2,0
18.0,0.3869,0.0,0.124,0.146,0.6569,0.0,0.6569,0.0,0.0,0,0,0,0.6239,0.5109,0.146,0.0,0.0,0.2223,10,5,5,0,22,0,0,3206,0,2,0
19.0,0.3869,0.0,0.2148,0.2366,0.8383,0.0,0.8383,0.0,0.0,0,0,0,0.6994,0.6018,0.2366,0.0,0.0,0.2822,11,5,6,0,22,0,0,3736,0,2,0
