elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,135620.0,26604.0,41340.0,26338.0,41338.0,67869.8,56046.0,15124.9,13123.8,0.0,23396.8,0.0,16133.0,24965.8,18686.7,45060.9,107048.0,128652.3,91266.7,148
1.0,135620.0,26604.0,41340.0,26338.0,41338.0,67870.0,56046.2,15125.0,13124.0,0.0,23396.9,0.0,16958.0,24965.8,19515.0,45889.2,106219.6,128652.3,91266.9,148
2.0,135968.0,26948.0,41340.0,26342.0,41338.0,67870.2,56046.4,15125.3,13124.2,0.0,23396.9,0.0,17540.7,24965.8,20099.3,46473.6,105635.3,128652.3,91267.1,148
3.1,135970.0,26948.0,41340.0,26342.0,41340.0,68013.6,56084.2,15266.8,13162.0,0.0,23396.9,0.0,16781.0,24966.0,19467.7,45842.1,106266.9,128652.3,91410.5,148
4.1,135970.0,26948.0,41340.0,26342.0,41340.0,68018.8,56084.8,15271.9,13162.6,0.0,23396.9,0.0,16786.3,24965.6,19468.3,45842.4,106266.3,128652.3,91415.7,148
5.1,135972.0,26948.0,41340.0,26344.0,41340.0,68019.2,56085.1,15272.4,13162.9,0.0,23397.2,0.0,16785.3,24965.8,19469.7,45844.0,106264.9,128652.3,91416.4,148
6.1,135972.0,26948.0,41340.0,26344.0,41340.0,68019.5,56085.3,15272.6,13163.1,0.0,23397.2,0.0,16786.2,24965.8,19470.8,45845.0,106263.9,128652.3,91416.6,148
7.2,135974.0,26950.0,41340.0,26344.0,41340.0,68024.8,56089.8,15277.0,13167.6,0.0,23397.2,0.0,16789.9,24965.9,19479.1,45853.4,106255.6,128652.3,91422.1,148
8.2,135974.0,26950.0,41340.0,26344.0,41340.0,68030.5,56095.4,15282.6,13173.2,0.0,23397.3,0.0,16790.9,24965.7,19484.6,45858.8,106250.0,128652.3,91427.8,148
9.3,135976.0,26952.0,41340.0,26344.0,41340.0,68030.7,56095.5,15282.8,13173.3,0.0,23397.3,0.0,16795.4,24965.7,19492.1,45866.3,106242.5,128652.3,91427.9,148
10.3,135976.0,26952.0,41340.0,26344.0,41340.0,68030.9,56095.8,15283.0,13173.6,0.0,23397.3,0.0,16795.6,24965.6,19492.0,45866.2,106242.6,128652.3,91428.2,148
11.4,135976.0,26952.0,41340.0,26344.0,41340.0,68031.4,56095.9,15283.2,13173.7,0.0,23397.3,0.0,16795.9,24965.6,19493.1,45867.2,106241.6,128652.3,91428.6,148
12.4,135976.0,26952.0,41340.0,26344.0,41340.0,68031.5,56096.0,15283.3,13173.9,0.0,23397.3,0.0,16796.3,24965.7,19494.7,45868.8,106239.9,128652.3,91428.8,148
