t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,,,,,,,,,,,,
3.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,0.0037,618,7,165101,0.0037,0.0000,0.0053,872,9,165101,0.0053,0.0000
4.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,0.0037,618,7,165101,0.0037,0.0000,0.0053,872,9,165101,0.0053,0.0000
5.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,0.0054,898,7,165101,0.0054,0.0000,0.0067,1114,8,165101,0.0067,0.0000
5.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,0.0054,898,7,165101,0.0054,0.0000,0.0067,1114,8,165101,0.0067,0.0000
6.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,0.0071,1178,7,165101,0.0071,0.0000,0.0077,1272,7,165101,0.0077,0.0000
6.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,0.0071,1178,7,165101,0.0071,0.0000,0.0077,1272,7,165101,0.0077,0.0000
7.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4518,0.0088,1458,7,165101,0.0088,0.0000,0.0094,1552,7,165101,0.0094,0.0000
7.50,0.0067,82,0,60000,0.0014,0.8039,0.0015,75,0,60000,0.0013,0.4518,0.0088,1458,7,165101,0.0088,0.0000,0.0094,1552,7,165101,0.0094,0.0000
8.00,0.0067,82,0,60000,0.0014,0.8039,0.0015,75,0,60000,0.0013,0.4518,0.0105,1738,7,165101,0.0105,0.0000,0.0111,1832,7,165101,0.0111,0.0000
8.50,0.0085,136,0,60000,0.0023,0.4595,0.0015,75,0,60000,0.0013,0.4518,0.0105,1738,7,165101,0.0105,0.0000,0.0111,1832,7,165101,0.0111,0.0000
9.00,0.0085,136,0,60000,0.0023,0.4595,0.0015,75,0,60000,0.0013,0.4518,0.0141,2330,8,165101,0.0141,0.0000,0.0128,2112,7,165101,0.0128,0.0000
9.50,0.0085,136,0,60000,0.0023,0.4595,0.0015,75,0,60000,0.0013,0.4518,0.0141,2330,8,165101,0.0141,0.0000,0.0128,2112,7,165101,0.0128,0.0000
10.00,0.0085,136,0,60000,0.0023,0.4595,0.0015,75,0,60000,0.0013,0.4518,0.0161,2650,8,165101,0.0161,0.0000,0.0145,2392,7,165101,0.0145,0.0000
10.50,0.0112,103,0,60000,0.0017,0.8655,0.0015,75,0,60000,0.0013,0.4518,0.0161,2650,8,165101,0.0161,0.0000,0.0145,2392,7,165101,0.0145,0.0000
11.00,0.0112,103,0,60000,0.0017,0.8655,0.0015,75,0,60000,0.0013,0.4518,0.0180,2970,8,165101,0.0180,0.0000,0.0148,2439,7,165101,0.0148,0.0000
11.50,0.0114,36,0,60000,0.0006,0.0945,0.0015,75,0,60000,0.0013,0.4518,0.0180,2970,8,165101,0.0180,0.0000,0.0148,2439,7,165101,0.0148,0.0000
12.00,0.0114,36,0,60000,0.0006,0.0945,0.0015,75,0,60000,0.0013,0.4518,0.0199,3288,8,165101,0.0199,0.0000,0.0154,2544,6,165101,0.0154,0.0000
12.50,0.0114,36,0,60000,0.0006,0.0945,0.0015,75,0,60000,0.0013,0.4518,0.0199,3288,8,165101,0.0199,0.0000,0.0154,2544,6,165101,0.0154,0.0000
13.00,0.0114,36,0,60000,0.0006,0.0945,0.0015,75,0,60000,0.0013,0.4518,0.0219,3608,8,165101,0.0219,0.0000,0.0107,1768,4,165101,0.0107,0.0000
13.50,0.0221,351,0,60000,0.0059,0.5117,0.0015,75,0,60000,0.0013,0.4518,0.0219,3608,8,165101,0.0219,0.0000,0.0088,1453,3,165101,0.0088,0.0000
14.00,0.0221,351,0,60000,0.0059,0.5117,0.0015,75,0,60000,0.0013,0.4518,0.0251,4141,8,165101,0.0251,0.0000,0.0088,1453,3,165101,0.0088,0.0000
14.50,0.0221,351,0,60000,0.0059,0.5117,0.0081,384,0,60000,0.0064,0.9576,0.0251,4141,8,165101,0.0251,0.0000,0.0120,1976,4,165101,0.0120,0.0000
15.00,0.0221,351,0,60000,0.0059,0.5117,0.0081,384,0,60000,0.0064,0.9576,0.0270,4461,8,165101,0.0270,0.0000,0.0120,1976,4,165101,0.0120,0.0000
15.50,0.0340,488,0,60000,0.0081,0.8637,0.0163,506,0,60000,0.0084,0.9750,0.0290,4781,8,165101,0.0290,0.0000,0.0161,2663,5,165101,0.0161,0.0000
16.00,0.0418,435,0,60000,0.0073,0.9667,0.0163,506,0,60000,0.0084,0.9750,0.0290,4781,8,165101,0.0290,0.0000,0.0161,2663,5,165101,0.0161,0.0000
16.50,0.0418,435,0,60000,0.0073,0.9667,0.0238,474,0,60000,0.0079,0.9576,0.0267,4401,7,165101,0.0267,0.0000,0.0239,3941,7,165101,0.0239,0.0000
17.00,0.0418,435,0,60000,0.0073,0.9667,0.0238,474,0,60000,0.0079,0.9576,0.0267,4401,7,165101,0.0267,0.0000,0.0239,3941,7,165101,0.0239,0.0000
17.50,0.0418,435,0,60000,0.0073,0.9667,0.0238,474,0,60000,0.0079,0.9576,0.0243,4015,6,165101,0.0243,0.0000,0.0217,3584,6,165101,0.0217,0.0000
18.00,0.0418,435,0,60000,0.0073,0.9667,0.0238,474,0,60000,0.0079,0.9576,0.0243,4015,6,165101,0.0243,0.0000,0.0217,3584,6,165101,0.0217,0.0000
18.50,0.0418,435,0,60000,0.0073,0.9667,0.0238,474,0,60000,0.0079,0.9576,0.0216,3561,5,165101,0.0216,0.0000,0.0232,3824,6,165101,0.0232,0.0000
19.00,0.0418,435,0,60000,0.0073,0.9667,0.0330,570,0,60000,0.0095,0.9645,0.0216,3561,5,165101,0.0216,0.0000,0.0232,3824,6,165101,0.0232,0.0000
19.50,0.0512,598,0,60000,0.0100,0.8446,0.0330,570,0,60000,0.0095,0.9645,0.0228,3761,5,165101,0.0228,0.0000,0.0239,3942,6,165101,0.0239,0.0000
20.00,0.0734,617,0,60000,0.0103,0.9778,0.0330,570,0,60000,0.0095,0.9645,0.0228,3761,5,165101,0.0228,0.0000,0.0239,3942,6,165101,0.0239,0.0000
20.50,0.0734,617,0,60000,0.0103,0.9778,0.0330,570,0,60000,0.0095,0.9645,0.0274,4520,6,165101,0.0274,0.0000,0.0298,4921,7,165101,0.0298,0.0000
21.00,0.0734,617,0,60000,0.0103,0.9778,0.0437,655,0,60000,0.0109,0.9835,0.0274,4520,6,165101,0.0274,0.0000,0.0298,4921,7,165101,0.0298,0.0000
21.50,0.0734,617,0,60000,0.0103,0.9778,0.0437,655,0,60000,0.0109,0.9835,0.0331,5457,7,165101,0.0331,0.0000,0.0315,5201,7,165101,0.0315,0.0000
22.00,0.0734,617,0,60000,0.0103,0.9778,0.0548,691,0,60000,0.0115,0.9746,0.0331,5457,7,165101,0.0331,0.0000,0.0315,5201,7,165101,0.0315,0.0000
22.50,0.0734,617,0,60000,0.0103,0.9778,0.0548,691,0,60000,0.0115,0.9746,0.0392,6478,8,165101,0.0392,0.0000,0.0332,5481,7,165101,0.0332,0.0000
23.00,0.0734,617,0,60000,0.0103,0.9778,0.0548,691,0,60000,0.0115,0.9746,0.0392,6478,8,165101,0.0392,0.0000,0.0332,5481,7,165101,0.0332,0.0000
23.50,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0412,6798,8,165101,0.0412,0.0000,0.0397,6559,7,165101,0.0397,0.0000
24.00,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0412,6798,8,165101,0.0412,0.0000,0.0397,6559,7,165101,0.0397,0.0000
24.50,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0431,7118,8,165101,0.0431,0.0000,0.0417,6879,8,165101,0.0417,0.0000
25.00,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0431,7118,8,165101,0.0431,0.0000,0.0417,6879,8,165101,0.0417,0.0000
25.50,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0451,7438,8,165101,0.0451,0.0000,0.0436,7199,8,165101,0.0436,0.0000
26.00,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0451,7438,8,165101,0.0451,0.0000,0.0436,7199,8,165101,0.0436,0.0000
26.50,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0470,7758,8,165101,0.0470,0.0000,0.0455,7519,8,165101,0.0455,0.0000
27.00,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0470,7758,8,165101,0.0470,0.0000,0.0455,7519,8,165101,0.0455,0.0000
27.50,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0489,8078,8,165101,0.0489,0.0000,0.0417,6881,7,165101,0.0417,0.0000
28.00,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0489,8078,8,165101,0.0489,0.0000,0.0417,6881,7,165101,0.0417,0.0000
28.50,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0304,5023,5,165101,0.0304,0.0000,0.0368,6072,6,165101,0.0368,0.0000
29.00,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0304,5023,5,165101,0.0304,0.0000,0.0368,6072,6,165101,0.0368,0.0000
29.50,0.0817,780,0,60000,0.0130,0.9774,0.0548,691,0,60000,0.0115,0.9746,0.0316,5223,5,165101,0.0316,0.0000,0.0316,5225,5,165101,0.0316,0.0000
30.00,0.0817,780,0,60000,0.0130,0.9774,0.0700,932,0,60000,0.0155,0.9739,0.0316,5223,5,165101,0.0316,0.0000,0.0316,5225,5,165101,0.0316,0.0000
30.50,0.0817,780,0,60000,0.0130,0.9774,0.0700,932,0,60000,0.0155,0.9739,0.0259,4269,4,165101,0.0259,0.0000,0.0256,4224,4,165101,0.0256,0.0000
31.00,0.0817,780,0,60000,0.0130,0.9774,0.0909,1262,0,60000,0.0210,0.7848,0.0259,4269,4,165101,0.0259,0.0000,0.0256,4224,4,165101,0.0256,0.0000
31.50,0.0972,963,0,60000,0.0160,0.9601,0.1315,2167,0,60000,0.0361,0.9682,0.0329,5437,5,165101,0.0329,0.0000,0.0427,7054,5,165101,0.0427,0.0000
32.00,0.0972,963,0,60000,0.0160,0.9601,0.1315,2167,0,60000,0.0361,0.9682,0.0329,5437,5,165101,0.0329,0.0000,0.0427,7054,5,165101,0.0427,0.0000
32.50,0.1137,1082,0,60000,0.0180,0.9881,0.1315,2167,0,60000,0.0361,0.9682,0.0341,5637,5,165101,0.0341,0.0000,0.0508,8383,6,165101,0.0508,0.0000
