elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0726,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
4.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0683,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
5.0,0.0,0.0,0.0014,0.0107,0.0122,0.0,0.0122,0.0,0.0,0,0,0,0.0683,0.0014,0.0107,0.0,0.0,0.8817,0,0,0,0,21,0,0,0,0,2,0
6.0,0.0,0.0,0.0193,0.0107,0.03,0.0,0.03,0.0,0.0,0,0,0,0.0683,0.0193,0.0107,0.0,0.0,0.3581,0,0,0,0,21,0,0,0,0,2,0
7.0,0.0,0.0,0.0193,0.0107,0.03,0.0,0.03,0.0,0.0,0,0,0,0.0683,0.0193,0.0107,0.0,0.0,0.3581,0,0,0,0,21,0,0,0,0,2,0
8.0,0.0,0.0,0.0328,0.0107,0.0435,0.0,0.0435,0.0,0.0,0,0,0,0.0752,0.0328,0.0107,0.0,0.0,0.247,1,0,1,0,21,0,0,33,0,2,0
9.0,0.0,0.0,0.0328,0.0107,0.0435,0.0,0.0435,0.0,0.0,0,0,0,0.1071,0.0328,0.0107,0.0,0.0,0.247,2,0,2,0,21,0,0,116,0,2,0
10.0,0.0,0.0,0.0328,0.0107,0.0435,0.0,0.0435,0.0,0.0,0,0,0,0.1071,0.0328,0.0107,0.0,0.0,0.247,2,0,2,0,21,0,0,116,0,2,0
11.0,0.0,0.0,0.0788,0.0107,0.0895,0.0,0.0895,0.0,0.0,0,0,0,0.1093,0.0788,0.0107,0.0,0.0,0.1201,3,0,3,0,21,0,0,117,0,2,0
12.0,0.0,0.0,0.1497,0.0107,0.1604,0.0,0.1604,0.0,0.0,0,0,0,0.1545,0.1497,0.0107,0.0,0.0,0.067,3,0,3,0,22,0,0,117,0,2,0
13.0,0.0,0.0,0.28,0.0107,0.2907,0.0,0.2907,0.0,0.0,0,0,0,0.1545,0.28,0.0107,0.0,0.0,0.037,3,0,3,0,22,0,0,117,0,2,0
14.0,0.0,0.0,0.3991,0.0107,0.4099,0.0,0.4099,0.0,0.0,0,0,0,0.2368,0.3991,0.0107,0.0,0.0,0.0262,4,0,4,0,22,0,0,410,0,2,0
15.0,0.0,0.0,0.3991,0.0107,0.4099,0.0,0.4099,0.0,0.0,0,0,0,0.2835,0.3991,0.0107,0.0,0.0,0.0262,5,1,4,0,22,0,0,749,0,2,0
16.0,0.0,0.0,0.3991,0.0107,0.4099,0.0,0.4099,0.0,0.0,0,0,0,0.4603,0.3991,0.0107,0.0,0.0,0.0262,8,2,6,0,22,0,0,1993,0,2,0
17.0,0.0,0.0,0.3991,0.1638,0.563,0.0,0.563,0.0,0.0,0,0,0,0.5204,0.3991,0.1638,0.0,0.0,0.291,9,3,6,0,22,0,0,2430,0,2,0
18.0,0.0,0.0,0.3991,0.4134,0.8125,0.0,0.8125,0.0,0.0,0,0,0,0.5204,0.3991,0.4134,0.0,0.0,0.5088,9,3,6,0,22,0,0,2430,0,2,0
19.0,0.0,0.0,0.4897,0.4134,0.9031,0.0,0.9031,0.0,0.0,0,0,0,0.5204,0.4897,0.4134,0.0,0.0,0.4578,9,3,6,0,22,0,0,2430,0,2,0
20.0,0.0,0.0,0.4897,0.4134,0.9031,0.0,0.9031,0.0,0.0,0,0,0,0.7636,0.4897,0.4134,0.0,0.0,0.4578,12,3,9,0,22,0,0,4109,0,2,0
21.0,0.0,0.0,0.4897,0.5156,1.0053,0.0,1.0053,0.0,0.0,0,0,0,0.9241,0.4897,0.5156,0.0,0.0,0.5129,14,3,11,0,22,0,0,5308,0,2,0
22.0,0.0,0.0,0.4897,0.5156,1.0053,0.0,1.0053,0.0,0.0,0,0,0,1.0123,0.4897,0.5156,0.0,0.0,0.5129,15,4,11,0,22,0,0,5963,0,2,0
23.0,0.0,0.0,0.4897,0.5156,1.0053,0.0,1.0053,0.0,0.0,0,0,0,1.0123,0.4897,0.5156,0.0,0.0,0.5129,15,4,11,0,22,0,0,5963,0,2,0
24.0,0.0,0.0,0.4897,0.5156,1.0053,0.0,1.0053,0.0,0.0,0,0,0,1.0781,0.4897,0.5156,0.0,0.0,0.5129,16,4,12,0,22,0,0,6447,0,2,0
25.0,0.0,0.0,0.4897,0.5156,1.0053,0.0,1.0053,0.0,0.0,0,0,0,1.0781,0.4897,0.5156,0.0,0.0,0.5129,16,4,12,0,22,0,0,6447,0,2,0
26.0,0.0,0.0,0.4897,0.5156,1.0053,0.0,1.0053,0.0,0.0,0,0,0,1.0781,0.4897,0.5156,0.0,0.0,0.5129,16,4,12,0,22,0,0,6447,0,2,0
27.0,0.0,0.0,0.4897,0.6378,1.1275,0.0,1.1275,0.0,0.0,0,0,0,1.0781,0.4897,0.6378,0.0,0.0,0.5657,16,4,12,0,22,0,0,6447,0,2,0
28.0,0.0,0.0,0.4897,0.8032,1.2929,0.0,1.2929,0.0,0.0,0,0,0,1.0781,0.4897,0.8032,0.0,0.0,0.6212,16,4,12,0,22,0,0,6447,0,2,0
29.0,0.0,0.0,0.4897,1.2152,1.7049,0.0,1.7049,0.0,0.0,0,0,0,1.0781,0.4897,1.2152,0.0,0.0,0.7128,16,4,12,0,22,0,0,6447,0,2,0
30.0,0.0,0.0,0.6315,1.2152,1.8467,0.0,1.8467,0.0,0.0,0,0,0,1.1988,0.6315,1.2152,0.0,0.0,0.658,17,4,13,0,22,0,0,7343,0,2,0
31.0,0.0,0.0,1.0659,1.2152,2.281,0.0,2.281,0.0,0.0,0,0,0,1.4048,1.0659,1.2152,0.0,0.0,0.5327,18,4,14,0,22,0,0,8569,0,2,0
32.0,0.0,0.0,1.0659,1.2152,2.281,0.0,2.281,0.0,0.0,0,0,0,1.8085,1.0659,1.3721,0.0,0.0,0.5628,21,4,17,0,22,0,0,11550,0,2,0
33.0,0.0,0.0,1.0659,1.2152,2.281,0.0,2.281,0.0,0.0,0,0,0,1.9348,1.0659,1.3721,0.0,0.0,0.5628,22,4,18,0,22,0,0,12500,0,2,0
34.0,0.0,0.0,1.0659,1.2152,2.281,0.0,2.281,0.0,0.0,0,0,0,2.3307,1.0659,1.3721,0.0,0.0,0.5628,25,6,19,0,22,0,0,15360,0,2,0
35.0,0.0,0.0,1.0659,1.2152,2.281,0.0,2.281,0.0,0.0,0,0,0,2.4163,1.0659,1.3721,0.0,0.0,0.5628,26,6,20,0,22,0,0,15992,0,2,0
36.0,0.0,0.0,1.0659,1.2152,2.281,0.0,2.281,0.0,0.0,0,0,0,2.4163,1.0659,1.5371,0.0,0.0,0.5905,26,6,20,0,22,0,0,15992,0,2,0
37.0,0.0,0.0,1.0659,1.2152,2.281,0.0,2.281,0.0,0.0,0,0,0,2.4163,1.0659,1.7072,0.0,0.0,0.6156,26,6,20,0,22,0,0,15992,0,2,0
