elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,135620.0,26606.0,41340.0,26336.0,41338.0,67878.9,56057.5,15142.9,13140.8,0.0,23427.3,0.0,16212.0,24995.5,18766.2,45172.2,106966.4,128652.3,91306.1,148
1.1,135620.0,26606.0,41340.0,26336.0,41338.0,67879.0,56057.7,15143.1,13141.0,0.0,23427.3,0.0,17021.4,24995.6,19580.6,45986.8,106151.9,128652.3,91306.3,148
2.1,135986.0,26896.0,41340.0,26412.0,41338.0,67879.2,56057.9,15143.3,13141.2,0.0,23427.3,0.0,17613.7,24995.7,20176.1,46582.3,105556.5,128652.3,91306.5,148
3.2,135970.0,26876.0,41342.0,26412.0,41340.0,68095.8,56104.7,15358.1,13188.0,0.0,23427.5,0.0,16816.8,24996.0,19492.8,45899.3,106239.7,128652.3,91523.3,148
4.2,135970.0,26876.0,41342.0,26412.0,41340.0,68105.6,56106.0,15367.6,13189.3,0.0,23427.6,0.0,16820.5,24996.1,19573.4,45980.0,106159.2,128652.3,91533.2,148
5.3,135972.0,26876.0,41342.0,26414.0,41340.0,68106.0,56106.5,15368.1,13189.7,0.0,23427.7,0.0,16819.8,24996.3,19576.3,45983.1,106156.3,128652.3,91533.7,148
6.3,135992.0,26896.0,41342.0,26414.0,41340.0,68110.5,56110.0,15371.6,13193.3,0.0,23427.7,0.0,16823.0,24996.3,19584.1,45991.0,106148.4,128652.3,91538.2,148
7.3,135992.0,26896.0,41342.0,26414.0,41340.0,68112.1,56111.3,15373.0,13194.5,0.0,23427.7,0.0,16824.7,24996.3,19588.8,45995.6,106143.8,128652.3,91539.8,148
8.4,135992.0,26896.0,41342.0,26414.0,41340.0,68112.4,56111.4,15373.2,13194.7,0.0,23427.7,0.0,16825.0,24996.2,19590.9,45997.6,106141.7,128652.3,91540.1,148
9.4,135992.0,26896.0,41342.0,26414.0,41340.0,68112.5,56111.6,15373.3,13194.8,0.0,23427.7,0.0,16825.3,24996.2,19591.7,45998.5,106140.8,128652.3,91540.2,148
10.4,135992.0,26896.0,41342.0,26414.0,41340.0,68112.6,56111.7,15373.5,13195.0,0.0,23427.7,0.0,16825.3,24996.2,19594.4,46001.2,106138.1,128652.3,91540.3,148
11.5,135992.0,26896.0,41342.0,26414.0,41340.0,68114.4,56113.5,15375.3,13196.8,0.0,23427.7,0.0,16827.1,24996.2,19596.5,46003.2,106136.1,128652.3,91542.2,148
12.6,135992.0,26896.0,41342.0,26414.0,41340.0,68115.8,56114.8,15376.6,13198.1,0.0,23427.7,0.0,16827.4,24996.2,19596.8,46003.5,106135.7,128652.3,91543.5,148
13.6,135992.0,26896.0,41342.0,26414.0,41340.0,68115.9,56114.9,15376.6,13198.1,0.0,23427.7,0.0,16829.1,24996.2,19597.6,46004.3,106135.0,128652.3,91543.6,148
14.7,136038.0,26918.0,41362.0,26418.0,41340.0,68115.9,56114.9,15376.7,13198.2,0.0,23427.7,0.0,16828.7,24996.2,19597.0,46003.7,106135.6,128652.3,91543.6,148
15.7,136098.0,26918.0,41382.0,26418.0,41380.0,68124.5,56123.4,15385.2,13206.7,0.0,23427.7,0.0,16836.6,24995.9,19610.2,46016.6,106122.3,128652.3,91552.2,148
16.7,136098.0,26918.0,41382.0,26418.0,41380.0,68124.6,56123.5,15385.3,13206.8,0.0,23427.8,0.0,16837.5,24995.9,19613.5,46019.9,106119.1,128652.3,91552.4,148
17.7,136098.0,26918.0,41382.0,26418.0,41380.0,68124.8,56123.6,15385.4,13206.9,0.0,23427.8,0.0,16837.5,24995.9,19615.7,46022.2,106116.9,128652.3,91552.5,148
18.8,136098.0,26918.0,41382.0,26418.0,41380.0,68129.0,56127.6,15389.4,13210.9,0.0,23427.8,0.0,16838.1,24995.9,19612.6,46019.0,106120.0,128652.3,91556.7,148
19.8,136098.0,26918.0,41382.0,26418.0,41380.0,68129.3,56127.9,15389.7,13211.2,0.0,23427.8,0.0,16842.3,24995.9,19618.3,46024.8,106114.2,128652.3,91557.0,148
20.8,136098.0,26918.0,41382.0,26418.0,41380.0,68129.4,56128.1,15389.9,13211.3,0.0,23427.9,0.0,16842.3,24996.0,19620.7,46027.2,106111.9,128652.3,91557.3,148
21.9,136098.0,26918.0,41382.0,26418.0,41380.0,68129.4,56128.1,15389.9,13211.4,0.0,23427.9,0.0,16842.2,24996.0,19620.1,46026.6,106112.4,128652.3,91557.3,148
22.9,136098.0,26918.0,41382.0,26418.0,41380.0,68129.5,56128.2,15390.0,13211.5,0.0,23427.9,0.0,16842.2,24996.0,19619.7,46026.2,106112.8,128652.3,91557.4,148
23.9,136098.0,26918.0,41382.0,26418.0,41380.0,68130.4,56129.0,15390.8,13212.3,0.0,23427.9,0.0,16843.0,24996.0,19618.3,46024.8,106114.2,128652.3,91558.3,148
24.9,136098.0,26918.0,41382.0,26418.0,41380.0,68130.6,56129.2,15391.0,13212.5,0.0,23427.9,0.0,16843.4,24996.0,19617.4,46024.0,106115.1,128652.3,91558.5,148
25.9,136098.0,26918.0,41382.0,26418.0,41380.0,68130.6,56129.3,15391.1,13212.6,0.0,23427.9,0.0,16843.5,24996.0,19619.2,46025.7,106113.3,128652.3,91558.5,148
26.9,136098.0,26918.0,41382.0,26418.0,41380.0,68130.7,56129.3,15391.0,13212.6,0.0,23427.9,0.0,16846.5,24996.0,19625.6,46032.2,106106.9,128652.3,91558.6,148
27.9,136098.0,26918.0,41382.0,26418.0,41380.0,68130.7,56129.4,15391.1,13212.7,0.0,23428.0,0.0,16861.0,24996.0,19640.2,46046.7,106092.4,128652.3,91558.7,148
29.0,136100.0,26918.0,41382.0,26418.0,41382.0,68130.9,56129.6,15391.3,13212.9,0.0,23428.0,0.0,16847.0,24996.0,19623.3,46029.9,106109.2,128652.3,91558.9,148
30.0,136100.0,26918.0,41382.0,26418.0,41382.0,68135.0,56129.7,15395.4,13213.0,0.0,23428.0,0.0,16847.2,24996.0,19626.6,46033.2,106105.9,128652.3,91562.9,148
