t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0012,58,0,60000,0.0010,0.2930,0.0010,57,0,60000,0.0009,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
3.50,0.0012,58,0,60000,0.0010,0.2930,0.0010,57,0,60000,0.0009,0.0000,0.0019,307,4,165101,0.0019,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0012,58,0,60000,0.0010,0.2930,0.0010,57,0,60000,0.0009,0.0000,0.0019,307,4,165101,0.0019,0.0000,0.0053,872,11,165101,0.0053,0.0000
4.50,0.0012,58,0,60000,0.0010,0.2930,0.0010,57,0,60000,0.0009,0.0000,0.0022,359,3,165101,0.0022,0.0000,0.0053,872,11,165101,0.0053,0.0000
5.00,0.0012,58,0,60000,0.0010,0.2930,0.0010,57,0,60000,0.0009,0.0000,0.0022,359,3,165101,0.0022,0.0000,0.0073,1203,10,165101,0.0073,0.0000
5.50,0.0012,58,0,60000,0.0010,0.2930,0.0010,57,0,60000,0.0009,0.0000,0.0029,479,3,165101,0.0029,0.0000,0.0073,1203,10,165101,0.0073,0.0000
6.00,0.0012,58,0,60000,0.0010,0.2930,0.0010,57,0,60000,0.0009,0.0000,0.0029,479,3,165101,0.0029,0.0000,0.0097,1603,10,165101,0.0097,0.0000
6.50,0.0012,58,0,60000,0.0010,0.2930,0.0069,154,0,60000,0.0026,0.9222,0.0046,766,3,165101,0.0046,0.0000,0.0097,1603,10,165101,0.0097,0.0000
7.00,0.0012,58,0,60000,0.0010,0.2930,0.0077,82,0,60000,0.0014,0.8039,0.0046,766,3,165101,0.0046,0.0000,0.0121,2003,10,165101,0.0121,0.0000
7.50,0.0046,92,0,60000,0.0015,0.3651,0.0077,82,0,60000,0.0014,0.8039,0.0072,1181,5,165101,0.0072,0.0000,0.0153,2526,11,165101,0.0153,0.0000
8.00,0.0046,92,0,60000,0.0015,0.3651,0.0077,82,0,60000,0.0014,0.8039,0.0072,1181,5,165101,0.0072,0.0000,0.0153,2526,11,165101,0.0153,0.0000
8.50,0.0046,92,0,60000,0.0015,0.3651,0.0077,82,0,60000,0.0014,0.8039,0.0084,1381,5,165101,0.0084,0.0000,0.0153,2526,11,165101,0.0153,0.0000
9.00,0.0046,92,0,60000,0.0015,0.3651,0.0077,82,0,60000,0.0014,0.8039,0.0084,1381,5,165101,0.0084,0.0000,0.0154,2538,9,165101,0.0154,0.0000
9.50,0.0046,92,0,60000,0.0015,0.3651,0.0077,82,0,60000,0.0014,0.8039,0.0096,1581,5,165101,0.0096,0.0000,0.0176,2898,9,165101,0.0176,0.0000
10.00,0.0046,92,0,60000,0.0015,0.3651,0.0077,82,0,60000,0.0014,0.8039,0.0096,1581,5,165101,0.0096,0.0000,0.0176,2898,9,165101,0.0176,0.0000
10.50,0.0046,92,0,60000,0.0015,0.3651,0.0077,82,0,60000,0.0014,0.8039,0.0108,1781,5,165101,0.0108,0.0000,0.0197,3258,9,165101,0.0197,0.0000
11.00,0.0046,92,0,60000,0.0015,0.3651,0.0112,237,0,60000,0.0040,0.9331,0.0108,1781,5,165101,0.0108,0.0000,0.0197,3258,9,165101,0.0197,0.0000
11.50,0.0046,92,0,60000,0.0015,0.3651,0.0123,149,0,60000,0.0025,0.9030,0.0120,1981,5,165101,0.0120,0.0000,0.0236,3894,10,165101,0.0236,0.0000
12.00,0.0046,92,0,60000,0.0015,0.3651,0.0123,149,0,60000,0.0025,0.9030,0.0120,1981,5,165101,0.0120,0.0000,0.0236,3894,10,165101,0.0236,0.0000
12.50,0.0046,92,0,60000,0.0015,0.3651,0.0123,149,0,60000,0.0025,0.9030,0.0144,2377,6,165101,0.0144,0.0000,0.0233,3845,9,165101,0.0233,0.0000
13.00,0.0046,92,0,60000,0.0015,0.3651,0.0126,36,0,60000,0.0006,0.0945,0.0168,2774,6,165101,0.0168,0.0000,0.0233,3845,9,165101,0.0233,0.0000
13.50,0.0046,92,0,60000,0.0015,0.3651,0.0126,36,0,60000,0.0006,0.0945,0.0168,2774,6,165101,0.0168,0.0000,0.0167,2752,6,165101,0.0167,0.0000
14.00,0.0046,92,0,60000,0.0015,0.3651,0.0126,36,0,60000,0.0006,0.0945,0.0183,3014,6,165101,0.0183,0.0000,0.0167,2752,6,165101,0.0167,0.0000
14.50,0.0046,92,0,60000,0.0015,0.3651,0.0126,36,0,60000,0.0006,0.0945,0.0183,3014,6,165101,0.0183,0.0000,0.0151,2485,5,165101,0.0151,0.0000
15.00,0.0046,92,0,60000,0.0015,0.3651,0.0126,36,0,60000,0.0006,0.0945,0.0197,3254,6,165101,0.0197,0.0000,0.0151,2485,5,165101,0.0151,0.0000
15.50,0.0135,432,0,60000,0.0072,0.5632,0.0126,36,0,60000,0.0006,0.0945,0.0197,3254,6,165101,0.0197,0.0000,0.0163,2685,5,165101,0.0163,0.0000
16.00,0.0256,428,0,60000,0.0071,0.9532,0.0325,964,0,60000,0.0161,0.9667,0.0221,3653,6,165101,0.0221,0.0000,0.0163,2685,5,165101,0.0163,0.0000
16.50,0.0256,428,0,60000,0.0071,0.9532,0.0325,964,0,60000,0.0161,0.9667,0.0221,3653,6,165101,0.0221,0.0000,0.0232,3836,7,165101,0.0232,0.0000
17.00,0.0256,428,0,60000,0.0071,0.9532,0.0325,964,0,60000,0.0161,0.9667,0.0199,3287,5,165101,0.0199,0.0000,0.0232,3836,7,165101,0.0232,0.0000
17.50,0.0256,428,0,60000,0.0071,0.9532,0.0402,494,0,60000,0.0082,0.9724,0.0199,3287,5,165101,0.0199,0.0000,0.0203,3352,7,165101,0.0203,0.0000
18.00,0.0256,428,0,60000,0.0071,0.9532,0.0402,494,0,60000,0.0082,0.9724,0.0211,3487,5,165101,0.0211,0.0000,0.0203,3352,7,165101,0.0203,0.0000
18.50,0.0346,555,0,60000,0.0092,0.9635,0.0402,494,0,60000,0.0082,0.9724,0.0211,3487,5,165101,0.0211,0.0000,0.0253,4172,7,165101,0.0253,0.0000
19.00,0.0346,555,0,60000,0.0092,0.9635,0.0500,610,0,60000,0.0102,0.9299,0.0263,4343,5,165101,0.0263,0.0000,0.0253,4172,7,165101,0.0253,0.0000
19.50,0.0346,555,0,60000,0.0092,0.9635,0.0575,569,0,60000,0.0095,0.9777,0.0263,4343,5,165101,0.0263,0.0000,0.0305,5043,8,165101,0.0305,0.0000
20.00,0.0346,555,0,60000,0.0092,0.9635,0.0671,602,0,60000,0.0100,0.8455,0.0277,4581,6,165101,0.0277,0.0000,0.0305,5043,8,165101,0.0305,0.0000
20.50,0.0450,637,0,60000,0.0106,0.9725,0.0671,602,0,60000,0.0100,0.8455,0.0277,4581,6,165101,0.0277,0.0000,0.0370,6103,9,165101,0.0370,0.0000
21.00,0.0450,637,0,60000,0.0106,0.9725,0.0671,602,0,60000,0.0100,0.8455,0.0243,4005,5,165101,0.0243,0.0000,0.0370,6103,9,165101,0.0370,0.0000
21.50,0.0450,637,0,60000,0.0106,0.9725,0.0671,602,0,60000,0.0100,0.8455,0.0243,4005,5,165101,0.0243,0.0000,0.0392,6477,9,165101,0.0392,0.0000
22.00,0.0450,637,0,60000,0.0106,0.9725,0.0671,602,0,60000,0.0100,0.8455,0.0255,4205,5,165101,0.0255,0.0000,0.0392,6477,9,165101,0.0392,0.0000
22.50,0.0450,637,0,60000,0.0106,0.9725,0.0671,602,0,60000,0.0100,0.8455,0.0255,4205,5,165101,0.0255,0.0000,0.0414,6837,9,165101,0.0414,0.0000
23.00,0.0450,637,0,60000,0.0106,0.9725,0.0671,602,0,60000,0.0100,0.8455,0.0267,4405,5,165101,0.0267,0.0000,0.0414,6837,9,165101,0.0414,0.0000
23.50,0.0544,795,0,60000,0.0132,0.9779,0.0671,602,0,60000,0.0100,0.8455,0.0267,4405,5,165101,0.0267,0.0000,0.0436,7197,9,165101,0.0436,0.0000
24.00,0.0544,795,0,60000,0.0132,0.9779,0.0671,602,0,60000,0.0100,0.8455,0.0329,5431,6,165101,0.0329,0.0000,0.0436,7197,9,165101,0.0436,0.0000
24.50,0.0653,672,0,60000,0.0112,0.9810,0.0671,602,0,60000,0.0100,0.8455,0.0329,5431,6,165101,0.0329,0.0000,0.0458,7557,9,165101,0.0458,0.0000
25.00,0.0653,672,0,60000,0.0112,0.9810,0.0671,602,0,60000,0.0100,0.8455,0.0386,6370,7,165101,0.0386,0.0000,0.0458,7557,9,165101,0.0458,0.0000
25.50,0.0653,672,0,60000,0.0112,0.9810,0.0671,602,0,60000,0.0100,0.8455,0.0386,6370,7,165101,0.0386,0.0000,0.0421,6959,8,165101,0.0421,0.0000
26.00,0.0653,672,0,60000,0.0112,0.9810,0.0671,602,0,60000,0.0100,0.8455,0.0403,6650,7,165101,0.0403,0.0000,0.0421,6959,8,165101,0.0421,0.0000
26.50,0.0653,672,0,60000,0.0112,0.9810,0.0671,602,0,60000,0.0100,0.8455,0.0403,6650,7,165101,0.0403,0.0000,0.0441,7279,8,165101,0.0441,0.0000
27.00,0.0653,672,0,60000,0.0112,0.9810,0.0671,602,0,60000,0.0100,0.8455,0.0420,6930,7,165101,0.0420,0.0000,0.0441,7279,8,165101,0.0441,0.0000
27.50,0.0653,672,0,60000,0.0112,0.9810,0.0671,602,0,60000,0.0100,0.8455,0.0420,6930,7,165101,0.0420,0.0000,0.0460,7599,8,165101,0.0460,0.0000
28.00,0.0653,672,0,60000,0.0112,0.9810,0.0671,602,0,60000,0.0100,0.8455,0.0437,7210,7,165101,0.0437,0.0000,0.0460,7599,8,165101,0.0460,0.0000
28.50,0.0806,948,0,60000,0.0158,0.9773,0.0671,602,0,60000,0.0100,0.8455,0.0437,7210,7,165101,0.0437,0.0000,0.0480,7919,8,165101,0.0480,0.0000
29.00,0.0806,948,0,60000,0.0158,0.9773,0.0671,602,0,60000,0.0100,0.8455,0.0304,5022,5,165101,0.0304,0.0000,0.0480,7919,8,165101,0.0480,0.0000
29.50,0.0806,948,0,60000,0.0158,0.9773,0.0671,602,0,60000,0.0100,0.8455,0.0304,5022,5,165101,0.0304,0.0000,0.0430,7105,7,165101,0.0430,0.0000
30.00,0.0806,948,0,60000,0.0158,0.9773,0.0671,602,0,60000,0.0100,0.8455,0.0316,5222,5,165101,0.0316,0.0000,0.0430,7105,7,165101,0.0430,0.0000
30.50,0.0806,948,0,60000,0.0158,0.9773,0.0671,602,0,60000,0.0100,0.8455,0.0316,5222,5,165101,0.0316,0.0000,0.0320,5289,5,165101,0.0320,0.0000
31.00,0.0806,948,0,60000,0.0158,0.9773,0.0671,602,0,60000,0.0100,0.8455,0.0328,5422,5,165101,0.0328,0.0000,0.0320,5289,5,165101,0.0320,0.0000
31.50,0.0806,948,0,60000,0.0158,0.9773,0.0860,1086,0,60000,0.0181,0.9891,0.0328,5422,5,165101,0.0328,0.0000,0.0332,5489,5,165101,0.0332,0.0000
32.00,0.0987,1097,0,60000,0.0183,0.9682,0.1239,1307,0,60000,0.0218,0.7907,0.0407,6727,7,165101,0.0407,0.0000,0.0332,5489,5,165101,0.0332,0.0000
