elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0683,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
4.0,0.0202,0.0,0.0014,0.0,0.0216,0.0,0.0216,0.0,0.0,0,0,0,0.0683,0.0216,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
5.0,0.0202,0.0228,0.0014,0.0,0.0444,0.0,0.0444,0.0,0.0,0,0,0,0.0683,0.0216,0.0228,0.0,0.0,0.5133,0,0,0,0,21,0,0,0,0,2,0
6.0,0.0202,0.0228,0.0014,0.0,0.0444,0.0,0.0444,0.0,0.0,0,0,0,0.0683,0.0216,0.0228,0.0,0.0,0.5133,0,0,0,0,21,0,0,0,0,2,0
7.0,0.0202,0.0228,0.0014,0.0,0.0444,0.0,0.0444,0.0,0.0,0,0,0,0.0855,0.0216,0.0228,0.0,0.0,0.5133,1,0,1,0,21,0,0,118,0,2,0
8.0,0.0202,0.0228,0.0014,0.0,0.0444,0.0,0.0444,0.0,0.0,0,0,0,0.1207,0.0216,0.0228,0.0,0.0,0.5133,3,0,3,0,21,0,0,207,0,2,0
9.0,0.0512,0.0423,0.0014,0.0,0.095,0.0,0.095,0.0,0.0,0,0,0,0.1207,0.0527,0.0423,0.0,0.0,0.4455,3,0,3,0,21,0,0,207,0,2,0
10.0,0.0512,0.0423,0.0014,0.0,0.095,0.0,0.095,0.0,0.0,0,0,0,0.1207,0.0527,0.0423,0.0,0.0,0.4455,3,0,3,0,21,0,0,207,0,2,0
11.0,0.0512,0.0423,0.0014,0.0,0.095,0.0,0.095,0.0,0.0,0,0,0,0.1207,0.0527,0.0423,0.0,0.0,0.4455,3,0,3,0,21,0,0,207,0,2,0
12.0,0.0512,0.0423,0.0014,0.0,0.095,0.0,0.095,0.0,0.0,0,0,0,0.1564,0.0527,0.0423,0.0,0.0,0.4455,5,0,5,0,21,0,0,446,0,2,0
13.0,0.0798,0.099,0.0014,0.0,0.1802,0.0,0.1802,0.0,0.0,0,0,0,0.1564,0.0813,0.099,0.0,0.0,0.5491,5,0,5,0,21,0,0,446,0,2,0
14.0,0.2569,0.099,0.0014,0.0,0.3573,0.0,0.3573,0.0,0.0,0,0,0,0.1564,0.2583,0.099,0.0,0.0,0.277,5,0,5,0,21,0,0,446,0,2,0
15.0,0.3217,0.099,0.0014,0.0,0.4221,0.0,0.4221,0.0,0.0,0,0,0,0.2016,0.3231,0.099,0.0,0.0,0.2345,5,0,5,0,22,0,0,446,0,2,0
16.0,0.3944,0.099,0.0014,0.0,0.4948,0.0,0.4948,0.0,0.0,0,0,0,0.3487,0.3958,0.099,0.0,0.0,0.2,7,1,6,0,22,0,0,1212,0,2,0
17.0,0.3944,0.1779,0.076,0.08,0.7282,0.0,0.7282,0.0,0.0,0,0,0,0.4622,0.4704,0.2578,0.0,0.0,0.354,9,1,8,0,22,0,0,1986,0,2,0
18.0,0.3944,0.2614,0.076,0.08,0.8117,0.0,0.8117,0.0,0.0,0,0,0,0.5226,0.4704,0.3413,0.0,0.0,0.4205,10,1,9,0,22,0,0,2433,0,2,0
19.0,0.3944,0.2614,0.076,0.08,0.8117,0.0,0.8117,0.0,0.0,0,0,0,0.5932,0.4704,0.3413,0.0,0.0,0.4205,11,2,9,0,22,0,0,2951,0,2,0
20.0,0.3944,0.2614,0.076,0.08,0.8117,0.0,0.8117,0.0,0.0,0,0,0,0.7289,0.4704,0.3413,0.0,0.0,0.4205,13,3,10,0,22,0,0,3927,0,2,0
21.0,0.3944,0.3656,0.076,0.08,0.9159,0.0,0.9159,0.0,0.0,0,0,0,0.81,0.4704,0.4455,0.0,0.0,0.4864,14,3,11,0,22,0,0,4528,0,2,0
22.0,0.3944,0.4536,0.076,0.08,1.004,0.0,1.004,0.0,0.0,0,0,0,0.8985,0.4704,0.5336,0.0,0.0,0.5315,15,3,12,0,22,0,0,5093,0,2,0
23.0,0.3944,0.4536,0.076,0.08,1.004,0.0,1.004,0.0,0.0,0,0,0,0.8985,0.4704,0.5336,0.0,0.0,0.5315,15,3,12,0,22,0,0,5093,0,2,0
24.0,0.3944,0.4536,0.076,0.08,1.004,0.0,1.004,0.0,0.0,0,0,0,0.972,0.4704,0.5336,0.0,0.0,0.5315,16,3,13,0,22,0,0,5636,0,2,0
25.0,0.3944,0.4536,0.076,0.08,1.004,0.0,1.004,0.0,0.0,0,0,0,1.0571,0.4704,0.5336,0.0,0.0,0.5315,17,3,14,0,22,0,0,6272,0,2,0
26.0,0.3944,0.5779,0.076,0.08,1.1283,0.0,1.1283,0.0,0.0,0,0,0,1.0571,0.4704,0.6579,0.0,0.0,0.5831,17,3,14,0,22,0,0,6272,0,2,0
27.0,0.3944,0.5779,0.076,0.08,1.1283,0.0,1.1283,0.0,0.0,0,0,0,1.0571,0.4704,0.6579,0.0,0.0,0.5831,17,3,14,0,22,0,0,6272,0,2,0
28.0,0.3944,0.5779,0.076,0.08,1.1283,0.0,1.1283,0.0,0.0,0,0,0,1.0571,0.4704,0.6579,0.0,0.0,0.5831,17,3,14,0,22,0,0,6272,0,2,0
29.0,0.3944,0.9975,0.076,0.08,1.5478,0.0,1.5478,0.0,0.0,0,0,0,1.1794,0.4704,1.0774,0.0,0.0,0.6961,18,3,15,0,22,0,0,7183,0,2,0
30.0,0.3944,0.9975,0.076,0.2513,1.7191,0.0,1.7191,0.0,0.0,0,0,0,1.1794,0.4704,1.2487,0.0,0.0,0.7264,18,3,15,0,22,0,0,7183,0,2,0
31.0,0.3944,0.9975,0.076,0.2513,1.7191,0.0,1.7191,0.0,0.0,0,0,0,1.1794,0.4704,1.2487,0.0,0.0,0.7264,18,3,15,0,22,0,0,7183,0,2,0
32.0,0.3944,1.1485,0.076,0.5223,2.1412,0.0,2.1412,0.0,0.0,0,0,0,1.4588,0.4704,1.6708,0.0,0.0,0.7803,20,3,17,0,22,0,0,9267,0,2,0
33.0,0.3944,1.1485,0.076,0.5223,2.1412,0.0,2.1412,0.0,0.0,0,0,0,1.8661,0.4704,1.6708,0.0,0.0,0.7803,23,3,20,0,22,0,0,11963,0,2,0
34.0,0.3944,1.1485,0.076,0.6662,2.2851,0.0,2.2851,0.0,0.0,0,0,0,1.9448,0.4704,1.8147,0.0,0.0,0.7941,24,3,21,0,22,0,0,12545,0,2,0
35.0,0.3944,1.1485,0.076,0.6662,2.2851,0.0,2.2851,0.0,0.0,0,0,0,1.9448,0.4704,1.8147,0.0,0.0,0.7941,24,3,21,0,22,0,0,12545,0,2,0
36.0,0.7223,1.3073,0.076,0.6662,2.7719,0.0,2.7719,0.0,0.0,0,0,0,2.2365,0.7984,1.9736,0.0,0.0,0.712,26,3,23,0,22,0,0,14722,0,2,0
37.0,0.7223,1.3073,0.076,0.8452,2.9508,0.0,2.9508,0.0,0.0,0,0,0,2.2365,0.7984,2.1525,0.0,0.0,0.7294,26,3,23,0,22,0,0,14722,0,2,0
