elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,135488.0,26606.0,41296.0,26336.0,41250.0,67777.6,55961.5,15040.5,13046.8,0.0,23891.6,0.0,16810.3,25459.4,19353.0,46239.5,106363.0,128652.3,91669.2,148
1.0,135488.0,26606.0,41296.0,26336.0,41250.0,67778.1,55962.0,15041.1,13047.3,0.0,23891.6,0.0,17505.6,25459.4,20076.8,46963.3,105639.2,128652.3,91669.8,148
2.0,136070.0,27020.0,41296.0,26504.0,41250.0,67778.4,55962.3,15041.3,13047.6,0.0,23891.6,0.0,18088.5,25459.4,20660.9,47547.4,105055.1,128652.3,91670.0,148
3.1,136018.0,26876.0,41342.0,26504.0,41296.0,67934.5,56012.8,15195.6,13098.1,0.0,23891.6,0.0,17290.4,25458.9,19998.1,46884.0,105717.9,128652.3,91826.1,148
4.1,136018.0,26876.0,41342.0,26504.0,41296.0,68012.8,56014.5,15273.6,13099.8,0.0,23891.7,0.0,17296.3,25457.8,20081.4,46966.3,105634.6,128652.3,91904.5,148
5.2,136018.0,26876.0,41342.0,26504.0,41296.0,68013.5,56014.9,15274.3,13100.2,0.0,23891.9,0.0,17297.2,25458.1,20081.8,46966.9,105634.2,128652.3,91905.4,148
6.2,136020.0,26878.0,41342.0,26504.0,41296.0,68013.7,56015.2,15274.5,13100.5,0.0,23891.9,0.0,17297.6,25458.1,20082.3,46967.4,105633.7,128652.3,91905.6,148
7.2,136088.0,26898.0,41342.0,26506.0,41342.0,68018.9,56019.1,15278.5,13104.5,0.0,23891.9,0.0,17300.6,25458.2,20086.6,46971.9,105629.4,128652.3,91910.8,148
8.2,136088.0,26898.0,41342.0,26506.0,41342.0,68027.2,56021.4,15286.7,13106.8,0.0,23891.9,0.0,17304.2,25458.3,20102.1,46987.4,105613.9,128652.3,91919.1,148
9.3,136088.0,26898.0,41342.0,26506.0,41342.0,68027.6,56021.6,15287.0,13106.9,0.0,23891.9,0.0,17304.4,25458.3,20103.4,46988.7,105612.6,128652.3,91919.5,148
10.3,136088.0,26898.0,41342.0,26506.0,41342.0,68027.7,56021.7,15287.0,13107.0,0.0,23891.9,0.0,17304.6,25458.3,20103.9,46989.3,105612.0,128652.3,91919.6,148
