t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0176,1040,0,60000,0.0173,0.6667,0.0010,58,0,60000,0.0010,0.0000,,,,,,,,,,,,
3.50,0.0176,1040,0,60000,0.0173,0.6667,0.0010,58,0,60000,0.0010,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0176,1040,0,60000,0.0173,0.6667,0.0010,58,0,60000,0.0010,0.0000,0.0127,2363,20,185482,0.0127,0.0000,0.0070,1305,11,185482,0.0070,0.0000
4.50,0.0176,1040,0,60000,0.0173,0.6667,0.0010,58,0,60000,0.0010,0.0000,0.0127,2363,20,185482,0.0127,0.0000,0.0070,1305,11,185482,0.0070,0.0000
5.00,0.0176,1040,0,60000,0.0173,0.6667,0.0010,58,0,60000,0.0010,0.0000,0.0164,3043,19,185482,0.0164,0.0000,0.0088,1631,10,185482,0.0088,0.0000
5.50,0.0176,1040,0,60000,0.0173,0.6667,0.0010,58,0,60000,0.0010,0.0000,0.0164,3043,19,185482,0.0164,0.0000,0.0088,1631,10,185482,0.0088,0.0000
6.00,0.0176,1040,0,60000,0.0173,0.6667,0.0010,58,0,60000,0.0010,0.0000,0.0205,3803,19,185482,0.0205,0.0000,0.0092,1714,8,185482,0.0092,0.0000
6.50,0.0176,1040,0,60000,0.0173,0.6667,0.0010,58,0,60000,0.0010,0.0000,0.0205,3803,19,185482,0.0205,0.0000,0.0092,1714,8,185482,0.0092,0.0000
7.00,0.0151,82,0,60000,0.0014,0.8039,0.0175,88,0,60000,0.0015,0.7040,0.0235,4350,18,185482,0.0235,0.0000,0.0110,2034,8,185482,0.0110,0.0000
7.50,0.0166,103,0,60000,0.0017,0.7687,0.0175,88,0,60000,0.0015,0.7040,0.0235,4350,18,185482,0.0235,0.0000,0.0110,2034,8,185482,0.0110,0.0000
8.00,0.0182,123,0,60000,0.0021,0.8092,0.0175,88,0,60000,0.0015,0.7040,0.0281,5220,19,185482,0.0281,0.0000,0.0143,2644,10,185482,0.0143,0.0000
8.50,0.0200,136,0,60000,0.0023,0.4595,0.0175,88,0,60000,0.0015,0.7040,0.0281,5220,19,185482,0.0281,0.0000,0.0143,2644,10,185482,0.0143,0.0000
9.00,0.0200,136,0,60000,0.0023,0.4595,0.0175,88,0,60000,0.0015,0.7040,0.0298,5528,18,185482,0.0298,0.0000,0.0145,2682,8,185482,0.0145,0.0000
9.50,0.0253,190,0,60000,0.0032,0.8297,0.0175,88,0,60000,0.0015,0.7040,0.0298,5528,18,185482,0.0298,0.0000,0.0145,2682,8,185482,0.0145,0.0000
10.00,0.0253,190,0,60000,0.0032,0.8297,0.0175,88,0,60000,0.0015,0.7040,0.0308,5707,16,185482,0.0308,0.0000,0.0175,3245,9,185482,0.0175,0.0000
10.50,0.0253,190,0,60000,0.0032,0.8297,0.0175,88,0,60000,0.0015,0.7040,0.0308,5707,16,185482,0.0308,0.0000,0.0175,3245,9,185482,0.0175,0.0000
11.00,0.0253,190,0,60000,0.0032,0.8297,0.0175,88,0,60000,0.0015,0.7040,0.0299,5542,14,185482,0.0299,0.0000,0.0194,3605,9,185482,0.0194,0.0000
11.50,0.0335,426,0,60000,0.0071,0.9704,0.0217,290,0,60000,0.0048,0.7817,0.0299,5542,14,185482,0.0299,0.0000,0.0194,3605,9,185482,0.0194,0.0000
12.00,0.0345,181,0,60000,0.0030,0.7939,0.0243,197,0,60000,0.0033,0.8834,0.0299,5542,14,185482,0.0299,0.0000,0.0246,4565,10,185482,0.0246,0.0000
12.50,0.0363,36,0,60000,0.0006,0.2057,0.0243,197,0,60000,0.0033,0.8834,0.0307,5694,14,185482,0.0307,0.0000,0.0246,4565,10,185482,0.0246,0.0000
13.00,0.0363,36,0,60000,0.0006,0.2057,0.0292,307,0,60000,0.0051,0.9475,0.0307,5694,14,185482,0.0307,0.0000,0.0280,5187,12,185482,0.0280,0.0000
13.50,0.0363,36,0,60000,0.0006,0.2057,0.0292,307,0,60000,0.0051,0.9475,0.0338,6268,14,185482,0.0338,0.0000,0.0280,5187,12,185482,0.0280,0.0000
14.00,0.0440,355,0,60000,0.0059,0.5145,0.0359,419,0,60000,0.0070,0.9699,0.0338,6268,14,185482,0.0338,0.0000,0.0297,5518,11,185482,0.0297,0.0000
14.50,0.0440,355,0,60000,0.0059,0.5145,0.0415,358,0,60000,0.0060,0.9521,0.0356,6601,13,185482,0.0356,0.0000,0.0297,5518,11,185482,0.0297,0.0000
15.00,0.0440,355,0,60000,0.0059,0.5145,0.0540,512,0,60000,0.0085,0.8366,0.0356,6601,13,185482,0.0356,0.0000,0.0281,5214,10,185482,0.0281,0.0000
15.50,0.0440,355,0,60000,0.0059,0.5145,0.0540,512,0,60000,0.0085,0.8366,0.0463,8596,16,185482,0.0463,0.0000,0.0281,5214,10,185482,0.0281,0.0000
16.00,0.0440,355,0,60000,0.0059,0.5145,0.0540,512,0,60000,0.0085,0.8366,0.0463,8596,16,185482,0.0463,0.0000,0.0303,5614,10,185482,0.0303,0.0000
16.50,0.0633,520,0,60000,0.0087,0.8710,0.0680,437,0,60000,0.0073,0.9626,0.0458,8503,15,185482,0.0458,0.0000,0.0303,5614,10,185482,0.0303,0.0000
17.00,0.0633,520,0,60000,0.0087,0.8710,0.0680,437,0,60000,0.0073,0.9626,0.0458,8503,15,185482,0.0458,0.0000,0.0301,5592,9,185482,0.0301,0.0000
17.50,0.0722,494,0,60000,0.0082,0.9724,0.0720,253,0,60000,0.0042,0.8972,0.0512,9493,17,185482,0.0512,0.0000,0.0301,5592,9,185482,0.0301,0.0000
18.00,0.0722,494,0,60000,0.0082,0.9724,0.0720,253,0,60000,0.0042,0.8972,0.0512,9493,17,185482,0.0512,0.0000,0.0315,5841,9,185482,0.0315,0.0000
18.50,0.0810,552,0,60000,0.0092,0.9200,0.0720,253,0,60000,0.0042,0.8972,0.0490,9081,15,185482,0.0490,0.0000,0.0315,5841,9,185482,0.0315,0.0000
19.00,0.0810,552,0,60000,0.0092,0.9200,0.0720,253,0,60000,0.0042,0.8972,0.0490,9081,15,185482,0.0490,0.0000,0.0367,6813,10,185482,0.0367,0.0000
19.50,0.0901,550,0,60000,0.0092,0.9649,0.0720,253,0,60000,0.0042,0.8972,0.0466,8651,13,185482,0.0466,0.0000,0.0367,6813,10,185482,0.0367,0.0000
20.00,0.0968,419,0,60000,0.0070,0.9189,0.0819,605,0,60000,0.0101,0.8462,0.0466,8651,13,185482,0.0466,0.0000,0.0421,7805,11,185482,0.0421,0.0000
20.50,0.1064,586,0,60000,0.0098,0.9750,0.0932,1285,0,60000,0.0214,0.9294,0.0466,8651,13,185482,0.0466,0.0000,0.0421,7805,11,185482,0.0421,0.0000
21.00,0.1167,639,0,60000,0.0106,0.9481,0.0932,1285,0,60000,0.0214,0.9294,0.0522,9674,14,185482,0.0522,0.0000,0.0518,9603,13,185482,0.0518,0.0000
21.50,0.1167,639,0,60000,0.0106,0.9481,0.1019,696,0,60000,0.0116,0.9817,0.0522,9674,14,185482,0.0522,0.0000,0.0518,9603,13,185482,0.0518,0.0000
22.00,0.1167,639,0,60000,0.0106,0.9481,0.1019,696,0,60000,0.0116,0.9817,0.0588,10899,15,185482,0.0588,0.0000,0.0546,10123,13,185482,0.0546,0.0000
22.50,0.1167,639,0,60000,0.0106,0.9481,0.1141,672,0,60000,0.0112,0.9739,0.0588,10899,15,185482,0.0588,0.0000,0.0546,10123,13,185482,0.0546,0.0000
23.00,0.1167,639,0,60000,0.0106,0.9481,0.1141,672,0,60000,0.0112,0.9739,0.0585,10850,14,185482,0.0585,0.0000,0.0633,11744,15,185482,0.0633,0.0000
23.50,0.1270,640,0,60000,0.0107,0.9624,0.1141,672,0,60000,0.0112,0.9739,0.0585,10850,14,185482,0.0585,0.0000,0.0633,11744,15,185482,0.0633,0.0000
24.00,0.1270,640,0,60000,0.0107,0.9624,0.1141,672,0,60000,0.0112,0.9739,0.0489,9072,12,185482,0.0489,0.0000,0.0528,9797,12,185482,0.0528,0.0000
24.50,0.1270,640,0,60000,0.0107,0.9624,0.1261,741,0,60000,0.0123,0.9724,0.0489,9072,12,185482,0.0489,0.0000,0.0528,9797,12,185482,0.0528,0.0000
25.00,0.1270,640,0,60000,0.0107,0.9624,0.1261,741,0,60000,0.0123,0.9724,0.0480,8908,11,185482,0.0480,0.0000,0.0528,9797,12,185482,0.0528,0.0000
25.50,0.1270,640,0,60000,0.0107,0.9624,0.1261,741,0,60000,0.0123,0.9724,0.0480,8908,11,185482,0.0480,0.0000,0.0596,11055,13,185482,0.0596,0.0000
26.00,0.1270,640,0,60000,0.0107,0.9624,0.1305,645,0,60000,0.0107,0.9457,0.0541,10035,12,185482,0.0541,0.0000,0.0596,11055,13,185482,0.0596,0.0000
26.50,0.1270,640,0,60000,0.0107,0.9624,0.1779,1979,0,60000,0.0330,0.9844,0.0541,10035,12,185482,0.0541,0.0000,0.0624,11575,13,185482,0.0624,0.0000
27.00,0.1534,899,0,60000,0.0150,0.9804,0.1779,1979,0,60000,0.0330,0.9844,0.0820,15217,17,185482,0.0820,0.0000,0.0624,11575,13,185482,0.0624,0.0000
27.50,0.1534,899,0,60000,0.0150,0.9804,0.1849,628,0,60000,0.0105,0.9676,0.0820,15217,17,185482,0.0820,0.0000,0.0605,11226,12,185482,0.0605,0.0000
28.00,0.1534,899,0,60000,0.0150,0.9804,0.1849,628,0,60000,0.0105,0.9676,0.0831,15415,17,185482,0.0831,0.0000,0.0605,11226,12,185482,0.0605,0.0000
28.50,0.1534,899,0,60000,0.0150,0.9804,0.1849,628,0,60000,0.0105,0.9676,0.0831,15415,17,185482,0.0831,0.0000,0.0631,11706,12,185482,0.0631,0.0000
29.00,0.1534,899,0,60000,0.0150,0.9804,0.1849,628,0,60000,0.0105,0.9676,0.0831,15415,17,185482,0.0831,0.0000,0.0631,11706,12,185482,0.0631,0.0000
29.50,0.1534,899,0,60000,0.0150,0.9804,0.2095,843,0,60000,0.0140,0.9848,0.0718,13326,13,185482,0.0718,0.0000,0.0483,8963,9,185482,0.0483,0.0000
30.00,0.1534,899,0,60000,0.0150,0.9804,0.2097,38,0,60000,0.0006,0.6786,0.0718,13326,13,185482,0.0718,0.0000,0.0483,8963,9,185482,0.0483,0.0000
30.50,0.1585,462,0,60000,0.0077,0.9565,0.2097,38,0,60000,0.0006,0.6786,0.0693,12851,13,185482,0.0693,0.0000,0.0558,10354,10,185482,0.0558,0.0000
31.00,0.1585,462,0,60000,0.0077,0.9565,0.2100,649,0,60000,0.0108,0.9311,0.0693,12851,13,185482,0.0693,0.0000,0.0558,10354,10,185482,0.0558,0.0000
31.50,0.1585,462,0,60000,0.0077,0.9565,0.2100,649,0,60000,0.0108,0.9311,0.0568,10528,11,185482,0.0568,0.0000,0.0562,10428,10,185482,0.0562,0.0000
32.00,0.1589,51,0,60000,0.0008,0.0551,0.2100,649,0,60000,0.0108,0.9311,0.0568,10528,11,185482,0.0568,0.0000,0.0562,10428,10,185482,0.0562,0.0000
32.50,0.2021,1106,0,60000,0.0184,0.1279,0.2285,1098,0,60000,0.0183,0.0318,0.0703,13044,12,185482,0.0703,0.0000,0.0648,12018,11,185482,0.0648,0.0000
