elapsed_s,gpu0_gb,gpu2_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.2489,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
4.0,0.0115,0.0014,0.013,0.0,0.013,0.0,0.0,0,0,0,0.2489,0.013,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0358,0.0014,0.0372,0.0,0.0372,0.0,0.0,0,0,0,0.2489,0.0372,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0697,0.0014,0.0712,0.0,0.0712,0.0,0.0,0,0,0,0.2489,0.0712,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
7.0,0.0946,0.0014,0.0961,0.0,0.0961,0.0,0.0,0,0,0,0.2489,0.0961,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
8.0,0.0946,0.0014,0.0961,0.0,0.0961,0.0,0.0,0,0,0,0.2894,0.0961,0.0,0.0,0.0,0.0,4,3,1,0,37,0,0,192,0,2,0
9.0,0.0946,0.0768,0.1714,0.0,0.1714,0.0,0.0,0,0,0,0.3213,0.1714,0.0,0.0,0.0,0.0,5,4,1,0,37,0,0,275,0,2,0
10.0,0.0946,0.1902,0.2848,0.0,0.2848,0.0,0.0,0,0,0,0.3466,0.2848,0.0,0.0,0.0,0.0,6,5,1,0,37,0,0,429,0,2,0
11.0,0.0946,0.2304,0.3251,0.0,0.3251,0.0,0.0,0,0,0,0.3466,0.3251,0.0,0.0,0.0,0.0,6,5,1,0,37,0,0,429,0,2,0
12.0,0.0946,0.3788,0.4734,0.0,0.4734,0.0,0.0,0,0,0,0.4594,0.4734,0.0,0.0,0.0,0.0,10,7,3,0,37,0,0,1154,0,2,0
13.0,0.0946,0.5218,0.6164,0.0,0.6164,0.0,0.0,0,0,0,0.4982,0.6164,0.0,0.0,0.0,0.0,12,7,5,0,38,0,0,1246,0,2,0
14.0,0.0946,0.6849,0.7795,0.0,0.7795,0.0,0.0,0,0,0,0.536,0.7795,0.0,0.0,0.0,0.0,13,8,5,0,38,0,0,1517,0,2,0
15.0,0.0946,0.8509,0.9456,0.0,0.9456,0.0,0.0,0,0,0,0.7627,0.9456,0.0,0.0,0.0,0.0,17,11,6,0,38,0,0,2881,0,2,0
16.0,0.167,0.8509,1.0179,0.0,1.0179,0.0,0.0,0,0,0,0.8276,1.0179,0.0,0.0,0.0,0.0,18,12,6,0,38,0,0,3219,0,2,0
17.0,0.2391,0.9058,1.1449,0.0,1.1449,0.0,0.0,0,0,0,1.0452,1.1449,0.0,0.0,0.0,0.0,22,14,8,0,38,0,0,4735,0,2,0
18.0,0.3953,0.9851,1.3805,0.0,1.3805,0.0,0.0,0,0,0,1.1391,1.3805,0.0,0.0,0.0,0.0,24,15,9,0,38,0,0,5409,0,2,0
19.0,0.3953,0.9851,1.3805,0.0,1.3805,0.0,0.0,0,0,0,1.2131,1.3805,0.0,0.0,0.0,0.0,25,16,9,0,38,0,0,5925,0,2,0
20.0,0.3953,1.2921,1.6874,0.0,1.6874,0.0,0.0,0,0,0,1.2804,1.6874,0.0,0.0,0.0,0.0,26,17,9,0,38,0,0,6419,0,2,0
21.0,0.3953,1.2921,1.6874,0.0,1.6874,0.0,0.0,0,0,0,1.5778,1.6874,0.0,0.0,0.0,0.0,30,19,11,0,38,0,0,8480,0,2,0
22.0,0.3953,1.3107,1.706,0.0,1.706,0.0,0.0,0,0,0,1.6613,1.706,0.0,0.0,0.0,0.0,31,19,12,0,38,0,0,9082,0,2,0
23.0,0.3953,1.3107,1.706,0.0,1.706,0.0,0.0,0,0,0,1.8216,1.706,0.0,0.0,0.0,0.0,34,22,12,0,38,0,0,10244,0,2,0
24.0,0.3953,1.3107,1.706,0.0,1.706,0.0,0.0,0,0,0,1.9017,1.706,0.0,0.0,0.0,0.0,35,22,13,0,38,0,0,10830,0,2,0
25.0,0.3953,1.3107,1.706,0.0,1.706,0.0,0.0,0,0,0,1.9017,1.706,0.0,0.0,0.0,0.0,35,22,13,0,38,0,0,10830,0,2,0
26.0,0.3953,1.3107,1.706,0.0,1.706,0.0,0.0,0,0,0,1.9968,1.706,0.0,0.0,0.0,0.0,36,23,13,0,38,0,0,11534,0,2,0
27.0,0.6333,1.3107,1.9441,0.0,1.9441,0.0,0.0,0,0,0,2.1585,1.9441,0.0,0.0,0.0,0.0,38,24,14,0,38,0,0,12668,0,2,0
28.0,0.6333,1.3107,1.9441,0.0,1.9441,0.0,0.0,0,0,0,2.6659,1.9441,0.0,0.0,0.0,0.0,44,29,15,0,38,0,0,16406,0,2,0
29.0,0.7809,1.3107,2.0916,0.0,2.0916,0.0,0.0,0,0,0,2.6659,2.0916,0.0,0.0,0.0,0.0,44,29,15,0,38,0,0,16406,0,2,0
30.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,2.8605,2.6214,0.0,0.0,0.0,0.0,46,29,17,0,39,0,0,17838,0,2,0
31.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,2.9009,2.6214,0.0,0.0,0.0,0.0,47,30,17,0,39,0,0,18125,0,2,0
32.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,2.9072,2.6214,0.0,0.0,0.0,0.0,47,30,17,0,39,1,0,18125,0,2,0
33.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,3.648,2.6214,0.0,0.0,0.0,0.0,48,30,18,0,45,1,0,18890,0,2,0
34.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,3.689,2.6214,0.0,0.0,0.0,0.0,48,30,18,0,46,2,0,18890,0,2,0
35.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.1458,2.6214,0.0,0.0,0.0,0.0,48,30,18,0,50,2,0,18890,0,2,0
36.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.479,2.6214,0.0,0.0,0.0,0.0,51,31,20,0,50,2,0,21169,0,2,0
37.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.6102,2.6214,0.0,0.0,0.0,0.0,52,31,21,0,51,2,0,21672,0,2,0
38.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.8325,2.6214,0.0,0.0,0.0,0.0,53,32,21,0,51,2,0,23168,0,2,0
39.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.8325,2.6214,0.0,0.0,0.0,0.0,53,32,21,0,51,2,0,23168,0,2,0
40.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.9387,2.6214,0.0,0.0,0.0,0.0,54,32,22,0,51,2,0,23922,0,2,0
41.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.9418,2.6214,0.0,0.0,0.0,0.0,54,32,22,0,52,2,0,23922,0,2,0
42.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.5953,2.6214,0.0,0.0,0.0,0.0,56,32,24,0,54,2,0,25791,0,2,0
43.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.8303,2.6214,0.0,0.0,0.0,0.0,59,33,26,0,54,2,0,27482,0,2,0
44.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.839,2.6214,0.0,0.0,0.0,0.0,60,33,27,0,54,2,0,27522,0,2,0
45.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.942,2.6214,0.0,0.0,0.0,0.0,61,34,27,0,54,2,0,28289,0,2,0
46.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.1871,2.6214,0.0,0.0,0.0,0.0,63,35,28,0,54,2,0,30104,0,2,0
47.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.2323,2.6214,0.0,0.0,0.0,0.0,64,35,29,0,54,2,0,30429,0,2,0
48.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.2376,2.6214,0.0,0.0,0.0,0.0,65,35,30,0,54,2,0,30430,0,2,0
49.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.3698,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,54,2,0,31426,0,2,0
50.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.3698,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,54,2,0,31426,0,2,0
51.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.3698,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,54,2,0,31426,0,2,0
52.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.4246,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,56,2,0,31426,0,2,0
53.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.6988,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,58,3,0,31426,0,2,0
54.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,6.9819,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,60,5,0,31426,0,2,0
55.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.3261,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,62,6,0,31426,0,2,0
56.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.4123,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,63,7,0,31426,0,2,0
57.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,7.6871,2.6214,0.0,0.0,0.0,0.0,66,35,31,0,64,8,0,31426,0,2,0
58.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.0206,2.6214,0.0,0.0,0.0,0.0,68,36,32,0,65,8,0,33514,0,2,0
59.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.0215,2.6214,0.0,0.0,0.0,0.0,68,36,32,0,68,8,0,33514,0,2,0
60.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.0936,2.6214,0.0,0.0,0.0,0.0,68,36,32,0,69,8,0,33514,0,2,0
61.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.3606,2.6214,0.0,0.0,0.0,0.0,68,36,32,0,72,8,0,33514,0,2,0
62.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.6501,2.6214,0.0,0.0,0.0,0.0,68,36,32,0,74,8,0,33514,0,2,0
63.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.1646,2.6214,0.0,0.0,0.0,0.0,70,37,33,0,74,8,0,36436,0,2,0
64.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.3103,2.6214,0.0,0.0,0.0,0.0,72,39,33,0,74,8,0,37517,0,2,0
65.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.3103,2.6214,0.0,0.0,0.0,0.0,72,39,33,0,74,8,0,37517,0,2,0
66.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.4473,2.6214,0.0,0.0,0.0,0.0,73,39,34,0,74,8,0,38539,0,2,0
67.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.6065,2.6214,0.0,0.0,0.0,0.0,75,39,36,0,74,8,0,39701,0,2,0
68.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.6179,2.6214,0.0,0.0,0.0,0.0,76,40,36,0,74,8,0,39768,0,2,0
69.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.6179,2.6214,0.0,0.0,0.0,0.0,76,40,36,0,74,8,0,39768,0,2,0
70.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.6179,2.6214,0.0,0.0,0.0,0.0,76,40,36,0,74,8,0,39768,0,2,0
71.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.8257,2.6214,0.0,0.0,0.0,0.0,76,40,36,0,77,8,0,39768,0,2,0
72.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,10.1822,2.6214,0.0,0.0,0.0,0.0,76,40,36,0,79,9,0,39768,0,2,0
