elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,171584.0,44654.0,41296.0,44384.0,41250.0,67772.7,55958.2,15034.3,13042.5,0.0,23916.2,0.0,16752.3,25486.2,19329.5,46244.0,106385.3,128652.3,91688.9,148
1.1,171584.0,44654.0,41296.0,44384.0,41250.0,67772.9,55958.4,15034.5,13042.7,0.0,23916.2,0.0,17533.0,25486.3,20115.1,47029.7,105599.7,128652.3,91689.1,148
2.1,172102.0,45028.0,41296.0,44528.0,41250.0,67773.1,55958.6,15034.7,13042.8,0.0,23916.2,0.0,18117.5,25486.3,20700.9,47615.4,105014.0,128652.3,91689.3,148
3.2,172102.0,45028.0,41296.0,44528.0,41250.0,67931.7,56011.0,15191.1,13095.3,0.0,23916.3,0.0,17327.9,25485.7,20048.6,46962.6,105666.2,128652.3,91847.9,148
4.2,172102.0,45028.0,41296.0,44528.0,41250.0,67933.2,56012.0,15192.5,13096.3,0.0,23916.4,0.0,17328.1,25484.2,20044.3,46956.8,105670.5,128652.3,91849.5,148
5.2,172102.0,45028.0,41296.0,44528.0,41250.0,67933.7,56012.5,15193.0,13096.8,0.0,23916.5,0.0,17329.3,25484.5,20046.0,46958.8,105668.8,128652.3,91850.2,148
6.2,172102.0,45028.0,41296.0,44528.0,41250.0,67933.9,56012.7,15193.2,13097.0,0.0,23916.5,0.0,17329.1,25484.5,20046.9,46959.6,105667.9,128652.3,91850.4,148
7.3,172102.0,45028.0,41296.0,44528.0,41250.0,67935.0,56013.7,15194.3,13098.0,0.0,23916.5,0.0,17329.9,25484.4,20049.3,46961.9,105665.5,128652.3,91851.5,148
8.3,172104.0,45028.0,41296.0,44530.0,41250.0,67935.1,56013.9,15194.4,13098.2,0.0,23916.6,0.0,17330.4,25484.5,20050.6,46963.4,105664.2,128652.3,91851.7,148
9.3,172150.0,45028.0,41296.0,44530.0,41296.0,67935.3,56014.0,15194.6,13098.3,0.0,23916.6,0.0,17330.7,25484.5,20051.7,46964.5,105663.1,128652.3,91851.9,148
10.3,172150.0,45028.0,41296.0,44530.0,41296.0,67942.2,56014.9,15201.4,13099.2,0.0,23916.6,0.0,17331.8,25484.5,20059.4,46972.2,105655.4,128652.3,91858.9,148
11.3,172154.0,45032.0,41296.0,44530.0,41296.0,67947.3,56019.9,15206.4,13104.2,0.0,23916.7,0.0,17331.6,25484.6,20059.7,46972.5,105655.1,128652.3,91863.9,148
12.4,172154.0,45032.0,41296.0,44530.0,41296.0,67948.2,56020.2,15206.8,13104.5,0.0,23916.7,0.0,17336.8,25484.2,20067.1,46979.6,105647.7,128652.3,91864.9,148
13.4,172154.0,45032.0,41296.0,44530.0,41296.0,67953.5,56025.1,15211.6,13109.4,0.0,23916.7,0.0,17341.8,25484.3,20071.2,46983.7,105643.6,128652.3,91870.1,148
14.5,172174.0,45032.0,41316.0,44530.0,41296.0,67953.6,56025.3,15211.8,13109.6,0.0,23916.7,0.0,17342.0,25484.0,20073.3,46985.5,105641.5,128652.3,91870.3,148
