t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0002,25,0,204790,0.0001,0.3333,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
3.50,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,0.0092,1702,17,185482,0.0092,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,0.0092,1702,17,185482,0.0092,0.0000,0.0105,1940,15,185482,0.0105,0.0000
4.50,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,0.0092,1702,17,185482,0.0092,0.0000,0.0105,1940,15,185482,0.0105,0.0000
5.00,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,0.0117,2176,15,185482,0.0117,0.0000,0.0137,2540,15,185482,0.0137,0.0000
5.50,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,0.0150,2776,15,185482,0.0150,0.0000,0.0137,2540,15,185482,0.0137,0.0000
6.00,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,0.0150,2776,15,185482,0.0150,0.0000,0.0169,3140,15,185482,0.0169,0.0000
6.50,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,0.0182,3376,15,185482,0.0182,0.0000,0.0169,3140,15,185482,0.0169,0.0000
7.00,0.0041,831,0,204790,0.0041,0.1825,0.0002,46,0,204789,0.0002,0.0000,0.0182,3376,15,185482,0.0182,0.0000,0.0202,3740,15,185482,0.0202,0.0000
7.50,0.0073,90,0,204790,0.0004,0.3600,0.0002,46,0,204789,0.0002,0.0000,0.0235,4352,17,185482,0.0235,0.0000,0.0202,3740,15,185482,0.0202,0.0000
8.00,0.0073,90,0,204790,0.0004,0.3600,0.0002,46,0,204789,0.0002,0.0000,0.0235,4352,17,185482,0.0235,0.0000,0.0234,4340,15,185482,0.0234,0.0000
8.50,0.0073,90,0,204790,0.0004,0.3600,0.0002,46,0,204789,0.0002,0.0000,0.0235,4352,17,185482,0.0235,0.0000,0.0234,4340,15,185482,0.0234,0.0000
9.00,0.0073,90,0,204790,0.0004,0.3600,0.0002,46,0,204789,0.0002,0.0000,0.0263,4876,16,185482,0.0263,0.0000,0.0266,4940,15,185482,0.0266,0.0000
9.50,0.0073,90,0,204790,0.0004,0.3600,0.0002,46,0,204789,0.0002,0.0000,0.0263,4876,16,185482,0.0263,0.0000,0.0266,4940,15,185482,0.0266,0.0000
10.00,0.0073,90,0,204790,0.0004,0.3600,0.0002,46,0,204789,0.0002,0.0000,0.0280,5192,15,185482,0.0280,0.0000,0.0299,5540,15,185482,0.0299,0.0000
10.50,0.0073,90,0,204790,0.0004,0.3600,0.0002,46,0,204789,0.0002,0.0000,0.0280,5192,15,185482,0.0280,0.0000,0.0299,5540,15,185482,0.0299,0.0000
11.00,0.0073,90,0,204790,0.0004,0.3600,0.0002,46,0,204789,0.0002,0.0000,0.0312,5792,15,185482,0.0312,0.0000,0.0302,5609,14,185482,0.0302,0.0000
11.50,0.0083,149,0,204790,0.0007,0.9030,0.0002,46,0,204789,0.0002,0.0000,0.0312,5792,15,185482,0.0312,0.0000,0.0302,5609,14,185482,0.0302,0.0000
12.00,0.0083,149,0,204790,0.0007,0.9030,0.0002,46,0,204789,0.0002,0.0000,0.0345,6392,15,185482,0.0345,0.0000,0.0342,6345,15,185482,0.0342,0.0000
12.50,0.0097,307,0,204790,0.0015,0.7912,0.0002,46,0,204789,0.0002,0.0000,0.0345,6392,15,185482,0.0345,0.0000,0.0342,6345,15,185482,0.0342,0.0000
13.00,0.0115,499,0,204790,0.0024,0.9746,0.0025,36,0,204789,0.0002,0.2057,0.0408,7569,16,185482,0.0408,0.0000,0.0340,6298,14,185482,0.0340,0.0000
13.50,0.0115,499,0,204790,0.0024,0.9746,0.0025,36,0,204789,0.0002,0.2057,0.0408,7569,16,185482,0.0408,0.0000,0.0340,6298,14,185482,0.0340,0.0000
14.00,0.0115,499,0,204790,0.0024,0.9746,0.0025,36,0,204789,0.0002,0.2057,0.0473,8781,18,185482,0.0473,0.0000,0.0368,6818,13,185482,0.0368,0.0000
14.50,0.0115,499,0,204790,0.0024,0.9746,0.0025,36,0,204789,0.0002,0.2057,0.0473,8781,18,185482,0.0473,0.0000,0.0368,6818,13,185482,0.0368,0.0000
15.00,0.0115,499,0,204790,0.0024,0.9746,0.0025,36,0,204789,0.0002,0.2057,0.0458,8504,16,185482,0.0458,0.0000,0.0396,7338,13,185482,0.0396,0.0000
15.50,0.0115,499,0,204790,0.0024,0.9746,0.0025,36,0,204789,0.0002,0.2057,0.0458,8504,16,185482,0.0458,0.0000,0.0396,7338,13,185482,0.0396,0.0000
16.00,0.0115,499,0,204790,0.0024,0.9746,0.0051,429,0,204789,0.0021,0.9662,0.0375,6950,11,185482,0.0375,0.0000,0.0424,7858,13,185482,0.0424,0.0000
16.50,0.0115,499,0,204790,0.0024,0.9746,0.0051,429,0,204789,0.0021,0.9662,0.0375,6950,11,185482,0.0375,0.0000,0.0424,7858,13,185482,0.0424,0.0000
17.00,0.0115,499,0,204790,0.0024,0.9746,0.0051,429,0,204789,0.0021,0.9662,0.0306,5674,9,185482,0.0306,0.0000,0.0452,8378,13,185482,0.0452,0.0000
17.50,0.0137,481,0,204790,0.0023,0.9582,0.0051,429,0,204789,0.0021,0.9662,0.0306,5674,9,185482,0.0306,0.0000,0.0452,8378,13,185482,0.0452,0.0000
18.00,0.0149,252,0,204790,0.0012,0.8968,0.0097,593,0,204789,0.0029,0.9785,0.0317,5888,9,185482,0.0317,0.0000,0.0523,9698,15,185482,0.0523,0.0000
18.50,0.0204,582,0,204790,0.0028,0.8832,0.0121,523,0,204789,0.0026,0.9614,0.0317,5888,9,185482,0.0317,0.0000,0.0523,9698,15,185482,0.0523,0.0000
19.00,0.0204,582,0,204790,0.0028,0.8832,0.0146,547,0,204789,0.0027,0.9768,0.0438,8133,12,185482,0.0438,0.0000,0.0589,10916,16,185482,0.0589,0.0000
19.50,0.0233,568,0,204790,0.0028,0.9709,0.0146,547,0,204789,0.0027,0.9768,0.0438,8133,12,185482,0.0438,0.0000,0.0589,10916,16,185482,0.0589,0.0000
20.00,0.0260,567,0,204790,0.0028,0.8375,0.0146,547,0,204789,0.0027,0.9768,0.0458,8493,12,185482,0.0458,0.0000,0.0589,10916,16,185482,0.0589,0.0000
20.50,0.0293,645,0,204790,0.0031,0.9334,0.0146,547,0,204789,0.0027,0.9768,0.0458,8493,12,185482,0.0458,0.0000,0.0673,12492,17,185482,0.0673,0.0000
21.00,0.0293,645,0,204790,0.0031,0.9334,0.0146,547,0,204789,0.0027,0.9768,0.0458,8493,12,185482,0.0458,0.0000,0.0673,12492,17,185482,0.0673,0.0000
21.50,0.0293,645,0,204790,0.0031,0.9334,0.0146,547,0,204789,0.0027,0.9768,0.0488,9046,12,185482,0.0488,0.0000,0.0710,13172,17,185482,0.0710,0.0000
22.00,0.0293,645,0,204790,0.0031,0.9334,0.0146,547,0,204789,0.0027,0.9768,0.0488,9046,12,185482,0.0488,0.0000,0.0710,13172,17,185482,0.0710,0.0000
22.50,0.0293,645,0,204790,0.0031,0.9334,0.0154,334,0,204789,0.0016,0.9176,0.0423,7851,10,185482,0.0423,0.0000,0.0682,12650,16,185482,0.0682,0.0000
23.00,0.0293,645,0,204790,0.0031,0.9334,0.0189,712,0,204789,0.0035,0.9753,0.0423,7851,10,185482,0.0423,0.0000,0.0682,12650,16,185482,0.0682,0.0000
23.50,0.0323,603,0,204790,0.0029,0.9496,0.0189,712,0,204789,0.0035,0.9753,0.0422,7825,10,185482,0.0422,0.0000,0.0738,13688,17,185482,0.0738,0.0000
24.00,0.0323,603,0,204790,0.0029,0.9496,0.0189,712,0,204789,0.0035,0.9753,0.0422,7825,10,185482,0.0422,0.0000,0.0738,13688,17,185482,0.0738,0.0000
24.50,0.0351,797,0,204790,0.0039,0.9779,0.0286,832,0,204789,0.0041,0.9846,0.0479,8893,11,185482,0.0479,0.0000,0.0816,15144,16,185482,0.0816,0.0000
25.00,0.0351,797,0,204790,0.0039,0.9779,0.0286,832,0,204789,0.0041,0.9846,0.0479,8893,11,185482,0.0479,0.0000,0.0816,15144,16,185482,0.0816,0.0000
25.50,0.0351,797,0,204790,0.0039,0.9779,0.0286,832,0,204789,0.0041,0.9846,0.0595,11037,13,185482,0.0595,0.0000,0.0853,15822,17,185482,0.0853,0.0000
26.00,0.0351,797,0,204790,0.0039,0.9779,0.0341,1146,0,204789,0.0056,0.9845,0.0595,11037,13,185482,0.0595,0.0000,0.0853,15822,17,185482,0.0853,0.0000
26.50,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0686,12733,14,185482,0.0686,0.0000,0.0853,15822,17,185482,0.0853,0.0000
27.00,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0686,12733,14,185482,0.0686,0.0000,0.0912,16922,18,185482,0.0912,0.0000
27.50,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0717,13293,14,185482,0.0717,0.0000,0.0912,16922,18,185482,0.0912,0.0000
28.00,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0717,13293,14,185482,0.0717,0.0000,0.0951,17642,18,185482,0.0951,0.0000
28.50,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0691,12813,13,185482,0.0691,0.0000,0.0951,17642,18,185482,0.0951,0.0000
29.00,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0691,12813,13,185482,0.0691,0.0000,0.0963,17862,17,185482,0.0963,0.0000
29.50,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0665,12336,12,185482,0.0665,0.0000,0.0963,17862,17,185482,0.0963,0.0000
30.00,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0665,12336,12,185482,0.0665,0.0000,0.0467,8653,10,185482,0.0467,0.0000
30.50,0.0358,402,0,204790,0.0020,0.9617,0.0341,1146,0,204789,0.0056,0.9845,0.0665,12336,12,185482,0.0665,0.0000,0.0467,8653,10,185482,0.0467,0.0000
31.00,0.0358,402,0,204790,0.0020,0.9617,0.0342,364,0,204789,0.0018,0.7552,0.0576,10682,10,185482,0.0576,0.0000,0.0467,8653,10,185482,0.0467,0.0000
31.50,0.0358,402,0,204790,0.0020,0.9617,0.0348,483,0,204789,0.0024,0.0352,0.0576,10682,10,185482,0.0576,0.0000,0.0328,6088,5,185482,0.0328,0.0000
32.00,0.0358,402,0,204790,0.0020,0.9617,0.0397,1515,0,204789,0.0074,0.0537,0.0654,12134,10,185482,0.0654,0.0000,0.0328,6088,5,185482,0.0328,0.0000
