elapsed_s,gpu0_gb,gpu2_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.1877,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
4.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.2489,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0,0.024,0.024,0.0,0.024,0.0,0.0,0,0,0,0.2489,0.024,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0,0.024,0.024,0.0,0.024,0.0,0.0,0,0,0,0.2489,0.024,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
7.0,0.0,0.024,0.024,0.0,0.024,0.0,0.0,0,0,0,0.2489,0.024,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
8.0,0.0,0.024,0.024,0.0,0.024,0.0,0.0,0,0,0,0.2855,0.024,0.0,0.0,0.0,0.0,2,0,2,0,37,0,0,99,0,2,0
9.0,0.0,0.0435,0.0435,0.0,0.0435,0.0,0.0,0,0,0,0.2855,0.0435,0.0,0.0,0.0,0.0,2,0,2,0,37,0,0,99,0,2,0
10.0,0.0,0.0838,0.0838,0.0,0.0838,0.0,0.0,0,0,0,0.2855,0.0838,0.0,0.0,0.0,0.0,2,0,2,0,37,0,0,99,0,2,0
11.0,0.0,0.1492,0.1492,0.0,0.1492,0.0,0.0,0,0,0,0.2855,0.1492,0.0,0.0,0.0,0.0,2,0,2,0,37,0,0,99,0,2,0
12.0,0.0,0.1492,0.1492,0.0,0.1492,0.0,0.0,0,0,0,0.2937,0.1492,0.0,0.0,0.0,0.0,3,0,3,0,37,0,0,146,0,2,0
13.0,0.0,0.1492,0.1492,0.0,0.1492,0.0,0.0,0,0,0,0.3399,0.1492,0.0,0.0,0.0,0.0,4,0,4,0,37,0,0,417,0,2,0
14.0,0.0,0.232,0.232,0.0,0.232,0.0,0.0,0,0,0,0.3961,0.232,0.0,0.0,0.0,0.0,5,0,5,0,38,0,0,694,0,2,0
15.0,0.0,0.295,0.295,0.0,0.295,0.0,0.0,0,0,0,0.3961,0.295,0.0,0.0,0.0,0.0,5,0,5,0,38,0,0,694,0,2,0
16.0,0.0,0.6108,0.6108,0.0,0.6108,0.0,0.0,0,0,0,0.3961,0.6108,0.0,0.0,0.0,0.0,5,0,5,0,38,0,0,694,0,2,0
17.0,0.0,0.8332,0.8332,0.0,0.8332,0.0,0.0,0,0,0,0.4483,0.8332,0.0,0.0,0.0,0.0,6,1,5,0,38,0,0,1077,0,2,0
18.0,0.0,0.9921,0.9921,0.0,0.9921,0.0,0.0,0,0,0,0.5698,0.9921,0.0,0.0,0.0,0.0,8,2,6,0,38,0,0,1969,0,2,0
19.0,0.0,0.9921,0.9921,0.0,0.9921,0.0,0.0,0,0,0,0.8854,0.9921,0.0,0.0,0.0,0.0,13,4,9,0,38,0,0,4189,0,2,0
20.0,0.0,1.0359,1.0359,0.0,1.0359,0.0,0.0,0,0,0,1.1057,1.0359,0.0,0.0,0.0,0.0,16,5,11,0,38,0,0,5730,0,2,0
21.0,0.0,1.2082,1.2082,0.0,1.2082,0.0,0.0,0,0,0,1.1865,1.2082,0.0,0.0,0.0,0.0,17,5,12,0,38,0,0,6300,0,2,0
22.0,0.0,1.2082,1.2082,0.0,1.2082,0.0,0.0,0,0,0,1.1865,1.2082,0.0,0.0,0.0,0.0,17,5,12,0,38,0,0,6300,0,2,0
23.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.2112,1.3107,0.0,0.0,0.0,0.0,18,6,12,0,38,0,0,6459,0,2,0
24.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.3807,1.3107,0.0,0.0,0.0,0.0,20,7,13,0,38,0,0,7702,0,2,0
25.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.7152,1.3107,0.0,0.0,0.0,0.0,23,9,14,0,38,0,0,10176,0,2,0
26.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.7152,1.3107,0.0,0.0,0.0,0.0,23,9,14,0,38,0,0,10176,0,2,0
27.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.881,1.3107,0.0,0.0,0.0,0.0,25,10,15,0,38,0,0,11407,0,2,0
28.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.881,1.3107,0.0,0.0,0.0,0.0,25,10,15,0,38,0,0,11407,0,2,0
29.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.881,1.3107,0.0,0.0,0.0,0.0,25,10,15,0,38,0,0,11407,0,2,0
30.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.881,1.3107,0.0,0.0,0.0,0.0,25,10,15,0,38,0,0,11407,0,2,0
31.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,1.881,1.3107,0.0,0.0,0.0,0.0,25,10,15,0,38,0,0,11407,0,2,0
32.0,0.0,1.3107,1.3107,0.0,1.3107,0.0,0.0,0,0,0,2.0295,1.3107,0.0,0.0,0.0,0.0,25,10,15,0,40,0,0,11407,0,2,0
33.0,0.2912,1.3107,1.602,0.0,1.602,0.0,0.0,0,0,0,2.2884,1.602,0.0,0.0,0.0,0.0,25,10,15,0,42,0,0,11407,0,2,0
34.0,0.5822,1.3107,1.8929,0.0,1.8929,0.0,0.0,0,0,0,4.1045,1.8929,0.0,0.0,0.0,0.0,34,15,19,0,46,0,0,20367,0,2,0
35.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.1045,2.6214,0.0,0.0,0.0,0.0,34,15,19,0,46,0,0,20367,0,2,0
36.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.2444,2.6214,0.0,0.0,0.0,0.0,34,15,19,0,47,0,0,20367,0,2,0
37.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,4.5516,2.6214,0.0,0.0,0.0,0.0,35,15,20,0,48,0,0,21405,0,2,0
38.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.5734,2.6214,0.0,0.0,0.0,0.0,41,20,21,0,51,0,0,27101,0,2,0
39.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,5.7272,2.6214,0.0,0.0,0.0,0.0,42,20,22,0,52,0,0,28208,0,2,0
