elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,171584.0,44652.0,41296.0,44386.0,41250.0,67799.1,55975.5,15058.5,13061.2,0.0,24788.3,0.0,15792.9,26353.0,18330.6,46145.9,107350.2,128652.3,92587.4,148
1.1,171584.0,44652.0,41296.0,44386.0,41250.0,67799.5,55975.9,15058.8,13061.6,0.0,24788.4,0.0,16600.3,26353.1,19142.7,46958.1,106538.1,128652.3,92587.9,148
2.1,172318.0,45000.0,41296.0,44772.0,41250.0,67799.6,55976.1,15059.0,13061.8,0.0,24788.4,0.0,17210.9,26353.1,19755.5,47570.9,105925.3,128652.3,92588.0,148
3.2,172352.0,44922.0,41362.0,44772.0,41296.0,68020.6,56020.3,15277.0,13106.0,0.0,24788.5,0.0,16408.8,26353.6,19159.4,46975.2,106521.4,128652.3,92809.0,148
4.2,172352.0,44922.0,41362.0,44772.0,41296.0,68028.9,56022.0,15285.2,13107.7,0.0,24788.7,0.0,16415.8,26353.8,19162.2,46978.3,106518.6,128652.3,92817.6,148
5.2,172352.0,44922.0,41362.0,44772.0,41296.0,68029.3,56022.3,15285.6,13108.0,0.0,24788.7,0.0,16416.6,26353.8,19163.3,46979.4,106517.6,128652.3,92818.0,148
6.2,172356.0,44926.0,41362.0,44772.0,41296.0,68033.0,56025.9,15289.2,13111.6,0.0,24788.7,0.0,16417.4,26354.0,19167.3,46983.6,106513.5,128652.3,92821.7,148
7.2,172360.0,44926.0,41362.0,44776.0,41296.0,68034.6,56027.2,15290.5,13112.9,0.0,24788.7,0.0,16421.4,26353.6,19175.1,46991.0,106505.7,128652.3,92823.3,148
8.2,172360.0,44926.0,41362.0,44776.0,41296.0,68035.0,56027.5,15290.9,13113.2,0.0,24788.7,0.0,16419.4,26353.5,19175.0,46990.8,106505.8,128652.3,92823.7,148
9.2,172452.0,45018.0,41362.0,44776.0,41296.0,68035.1,56027.6,15291.0,13113.3,0.0,24788.7,0.0,16419.0,26353.6,19176.9,46992.7,106503.9,128652.3,92823.8,148
10.2,172452.0,45018.0,41362.0,44776.0,41296.0,68043.2,56035.7,15299.1,13121.4,0.0,24788.7,0.0,16427.0,26353.6,19186.9,47002.8,106493.9,128652.3,92831.9,148
