elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,171716.0,44652.0,41340.0,44386.0,41338.0,67910.3,56074.0,15164.1,13161.9,0.0,24806.5,0.0,15904.0,26373.8,18453.5,46290.5,107226.4,128652.3,92716.7,148
1.0,171716.0,44652.0,41340.0,44386.0,41338.0,67910.6,56074.4,15164.4,13162.2,0.0,24806.5,0.0,16708.2,26373.8,19263.0,47100.0,106416.9,128652.3,92717.1,148
2.1,172510.0,45208.0,41340.0,44624.0,41338.0,67910.8,56074.5,15164.6,13162.4,0.0,24806.5,0.0,17309.5,26373.9,19865.3,47702.3,105814.6,128652.3,92717.2,148
3.1,172512.0,45208.0,41340.0,44624.0,41340.0,68075.5,56132.5,15326.3,13220.3,0.0,24806.6,0.0,16529.3,26373.3,19324.7,47161.2,106355.2,128652.3,92882.1,148
4.2,172512.0,45208.0,41340.0,44624.0,41340.0,68081.0,56133.4,15331.7,13221.2,0.0,24806.7,0.0,16533.8,26373.6,19230.9,47067.7,106448.9,128652.3,92887.7,148
5.2,172512.0,45208.0,41340.0,44624.0,41340.0,68081.5,56133.7,15332.1,13221.5,0.0,24806.8,0.0,16533.4,26373.7,19230.6,47067.6,106449.2,128652.3,92888.3,148
6.3,172512.0,45208.0,41340.0,44624.0,41340.0,68081.7,56133.9,15332.3,13221.8,0.0,24806.8,0.0,16533.7,26373.7,19233.4,47070.3,106446.5,128652.3,92888.5,148
7.3,172514.0,45208.0,41340.0,44626.0,41340.0,68087.4,56139.1,15337.5,13226.9,0.0,24806.8,0.0,16540.8,26373.7,19243.1,47080.1,106436.8,128652.3,92894.3,148
8.3,172514.0,45208.0,41340.0,44626.0,41340.0,68087.9,56139.5,15337.9,13227.3,0.0,24806.8,0.0,16542.8,26373.6,19246.3,47083.1,106433.5,128652.3,92894.7,148
9.3,172514.0,45208.0,41340.0,44626.0,41340.0,68088.0,56139.6,15338.1,13227.5,0.0,24806.8,0.0,16543.2,26373.6,19246.8,47083.7,106433.0,128652.3,92894.9,148
10.4,172516.0,45210.0,41340.0,44626.0,41340.0,68090.4,56141.9,15340.4,13229.8,0.0,24806.8,0.0,16543.3,26373.6,19249.1,47085.9,106430.8,128652.3,92897.3,148
11.5,172518.0,45212.0,41340.0,44626.0,41340.0,68092.1,56143.6,15342.1,13231.5,0.0,24806.9,0.0,16546.9,26372.9,19257.9,47094.0,106422.0,128652.3,92899.0,148
12.5,172518.0,45212.0,41340.0,44626.0,41340.0,68094.4,56146.0,15344.4,13233.8,0.0,24806.9,0.0,16550.3,26372.9,19257.9,47094.0,106421.9,128652.3,92901.3,148
13.5,172538.0,45212.0,41340.0,44626.0,41360.0,68094.7,56146.2,15344.6,13234.0,0.0,24807.0,0.0,16550.6,26373.0,19254.1,47090.3,106425.8,128652.3,92901.7,148
14.6,172538.0,45212.0,41340.0,44626.0,41360.0,68094.8,56146.3,15344.8,13234.2,0.0,24807.0,0.0,16550.4,26373.0,19253.6,47089.9,106426.2,128652.3,92901.8,148
15.6,172558.0,45212.0,41360.0,44626.0,41360.0,68094.9,56146.5,15344.9,13234.3,0.0,24807.0,0.0,16550.6,26372.7,19252.7,47088.7,106427.1,128652.3,92902.0,148
16.6,172558.0,45212.0,41360.0,44626.0,41360.0,68095.5,56147.0,15345.4,13234.8,0.0,24807.0,0.0,16550.9,26372.7,19254.9,47090.9,106424.9,128652.3,92902.6,148
17.6,172558.0,45212.0,41360.0,44626.0,41360.0,68095.6,56147.1,15345.5,13234.9,0.0,24807.1,0.0,16551.4,26372.7,19249.6,47085.6,106430.2,128652.3,92902.7,148
18.6,172558.0,45212.0,41360.0,44626.0,41360.0,68095.8,56147.2,15345.7,13235.1,0.0,24807.1,0.0,16551.8,26372.8,19251.8,47087.9,106428.0,128652.3,92902.8,148
19.6,172558.0,45212.0,41360.0,44626.0,41360.0,68097.0,56148.4,15346.9,13236.3,0.0,24807.1,0.0,16552.5,26372.8,19248.4,47084.4,106431.5,128652.3,92904.0,148
20.6,172558.0,45212.0,41360.0,44626.0,41360.0,68097.3,56148.8,15347.2,13236.6,0.0,24807.1,0.0,16553.1,26372.8,19252.5,47088.5,106427.3,128652.3,92904.4,148
21.6,172558.0,45212.0,41360.0,44626.0,41360.0,68100.4,56151.8,15350.3,13239.7,0.0,24807.1,0.0,16553.5,26372.8,19251.3,47087.4,106428.5,128652.3,92907.4,148
22.7,172558.0,45212.0,41360.0,44626.0,41360.0,68101.5,56153.0,15351.4,13240.8,0.0,24807.1,0.0,16557.7,26373.3,19260.1,47096.6,106419.8,128652.3,92908.6,148
23.7,172558.0,45212.0,41360.0,44626.0,41360.0,68102.4,56153.8,15352.3,13241.7,0.0,24807.1,0.0,16558.3,26373.0,19260.2,47096.5,106419.6,128652.3,92909.5,148
24.7,172558.0,45212.0,41360.0,44626.0,41360.0,68105.6,56157.0,15355.5,13244.9,0.0,24807.1,0.0,16561.9,26372.7,19267.9,47103.9,106411.9,128652.3,92912.7,148
25.7,172558.0,45212.0,41360.0,44626.0,41360.0,68105.7,56157.1,15355.6,13245.0,0.0,24807.1,0.0,16562.2,26372.7,19267.3,47103.3,106412.5,128652.3,92912.8,148
26.8,172292.0,44924.0,41382.0,44626.0,41360.0,68106.0,56157.4,15355.9,13245.3,0.0,24807.1,0.0,16562.7,26373.1,19264.6,47100.9,106415.2,128652.3,92913.1,148
27.8,172314.0,44924.0,41382.0,44626.0,41382.0,68181.8,56161.4,15431.7,13249.2,0.0,24807.1,0.0,16566.2,26373.0,19345.4,47181.7,106334.4,128652.3,92988.9,148
28.8,172356.0,44966.0,41382.0,44626.0,41382.0,68182.0,56161.5,15431.9,13249.4,0.0,24807.1,0.0,16566.8,26373.2,19345.0,47181.5,106334.8,128652.3,92989.1,148
29.8,172360.0,44970.0,41382.0,44626.0,41382.0,68183.6,56163.2,15433.6,13251.1,0.0,24807.1,0.0,16568.1,26373.0,19347.7,47183.9,106332.1,128652.3,92990.8,148
