t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0037,745,0,204790,0.0036,0.6000,0.0053,1078,0,204789,0.0053,0.1607,,,,,,,,,,,,
3.50,0.0037,745,0,204790,0.0036,0.6000,0.0053,1078,0,204789,0.0053,0.1607,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0037,745,0,204790,0.0036,0.6000,0.0053,1078,0,204789,0.0053,0.1607,0.0085,1576,14,185482,0.0085,0.0000,0.0146,2699,15,185482,0.0146,0.0000
4.50,0.0037,745,0,204790,0.0036,0.6000,0.0053,1078,0,204789,0.0053,0.1607,0.0085,1576,14,185482,0.0085,0.0000,0.0146,2699,15,185482,0.0146,0.0000
5.00,0.0037,745,0,204790,0.0036,0.6000,0.0053,1078,0,204789,0.0053,0.1607,0.0115,2136,14,185482,0.0115,0.0000,0.0157,2919,12,185482,0.0157,0.0000
5.50,0.0037,745,0,204790,0.0036,0.6000,0.0053,1078,0,204789,0.0053,0.1607,0.0115,2136,14,185482,0.0115,0.0000,0.0157,2919,12,185482,0.0157,0.0000
6.00,0.0037,745,0,204790,0.0036,0.6000,0.0053,1078,0,204789,0.0053,0.1607,0.0137,2545,13,185482,0.0137,0.0000,0.0183,3399,12,185482,0.0183,0.0000
6.50,0.0037,745,0,204790,0.0036,0.6000,0.0168,1152,0,204789,0.0056,0.2125,0.0137,2545,13,185482,0.0137,0.0000,0.0183,3399,12,185482,0.0183,0.0000
7.00,0.0022,64,0,204790,0.0003,0.6465,0.0168,1152,0,204789,0.0056,0.2125,0.0225,4178,14,185482,0.0225,0.0000,0.0198,3679,11,185482,0.0198,0.0000
7.50,0.0022,64,0,204790,0.0003,0.6465,0.0193,127,0,204789,0.0006,0.7056,0.0225,4178,14,185482,0.0225,0.0000,0.0198,3679,11,185482,0.0198,0.0000
8.00,0.0022,64,0,204790,0.0003,0.6465,0.0199,113,0,204789,0.0006,0.5355,0.0246,4570,15,185482,0.0246,0.0000,0.0249,4616,14,185482,0.0249,0.0000
8.50,0.0022,64,0,204790,0.0003,0.6465,0.0199,113,0,204789,0.0006,0.5355,0.0246,4570,15,185482,0.0246,0.0000,0.0249,4616,14,185482,0.0249,0.0000
9.00,0.0022,64,0,204790,0.0003,0.6465,0.0199,113,0,204789,0.0006,0.5355,0.0279,5170,15,185482,0.0279,0.0000,0.0279,5176,14,185482,0.0279,0.0000
9.50,0.0029,176,0,204790,0.0009,0.9263,0.0199,113,0,204789,0.0006,0.5355,0.0279,5170,15,185482,0.0279,0.0000,0.0279,5176,14,185482,0.0279,0.0000
10.00,0.0029,176,0,204790,0.0009,0.9263,0.0211,449,0,204789,0.0022,0.8032,0.0250,4628,13,185482,0.0250,0.0000,0.0354,6570,13,185482,0.0354,0.0000
10.50,0.0046,417,0,204790,0.0020,0.4025,0.0211,449,0,204789,0.0022,0.8032,0.0250,4628,13,185482,0.0250,0.0000,0.0354,6570,13,185482,0.0354,0.0000
11.00,0.0046,417,0,204790,0.0020,0.4025,0.0211,449,0,204789,0.0022,0.8032,0.0255,4725,10,185482,0.0255,0.0000,0.0342,6339,12,185482,0.0342,0.0000
11.50,0.0046,417,0,204790,0.0020,0.4025,0.0211,449,0,204789,0.0022,0.8032,0.0255,4725,10,185482,0.0255,0.0000,0.0342,6339,12,185482,0.0342,0.0000
12.00,0.0046,417,0,204790,0.0020,0.4025,0.0211,449,0,204789,0.0022,0.8032,0.0256,4742,9,185482,0.0256,0.0000,0.0342,6339,12,185482,0.0342,0.0000
12.50,0.0092,362,0,204790,0.0018,0.9551,0.0211,449,0,204789,0.0022,0.8032,0.0256,4742,9,185482,0.0256,0.0000,0.0248,4600,8,185482,0.0248,0.0000
13.00,0.0110,369,0,204790,0.0018,0.9365,0.0261,503,0,204789,0.0025,0.8666,0.0318,5898,11,185482,0.0318,0.0000,0.0248,4600,8,185482,0.0248,0.0000
13.50,0.0124,318,0,204790,0.0016,0.5824,0.0279,342,0,204789,0.0017,0.9120,0.0318,5898,11,185482,0.0318,0.0000,0.0300,5560,10,185482,0.0300,0.0000
14.00,0.0124,318,0,204790,0.0016,0.5824,0.0298,383,0,204789,0.0019,0.2618,0.0503,9321,15,185482,0.0503,0.0000,0.0300,5560,10,185482,0.0300,0.0000
14.50,0.0186,1461,0,204790,0.0071,0.8794,0.0298,383,0,204789,0.0019,0.2618,0.0503,9321,15,185482,0.0503,0.0000,0.0343,6361,11,185482,0.0343,0.0000
15.00,0.0207,312,0,204790,0.0015,0.8914,0.0298,383,0,204789,0.0019,0.2618,0.0499,9251,17,185482,0.0499,0.0000,0.0343,6361,11,185482,0.0343,0.0000
15.50,0.0207,312,0,204790,0.0015,0.8914,0.0298,383,0,204789,0.0019,0.2618,0.0499,9251,17,185482,0.0499,0.0000,0.0353,6554,11,185482,0.0353,0.0000
16.00,0.0207,312,0,204790,0.0015,0.8914,0.0298,383,0,204789,0.0019,0.2618,0.0556,10317,18,185482,0.0556,0.0000,0.0353,6554,11,185482,0.0353,0.0000
16.50,0.0207,312,0,204790,0.0015,0.8914,0.0298,383,0,204789,0.0019,0.2618,0.0556,10317,18,185482,0.0556,0.0000,0.0279,5166,9,185482,0.0279,0.0000
17.00,0.0207,312,0,204790,0.0015,0.8914,0.0365,1393,0,204789,0.0068,0.9879,0.0556,10317,18,185482,0.0556,0.0000,0.0279,5166,9,185482,0.0279,0.0000
17.50,0.0207,312,0,204790,0.0015,0.8914,0.0365,1393,0,204789,0.0068,0.9879,0.0574,10654,18,185482,0.0574,0.0000,0.0317,5883,8,185482,0.0317,0.0000
18.00,0.0232,512,0,204790,0.0025,0.9394,0.0365,1393,0,204789,0.0068,0.9879,0.0574,10654,18,185482,0.0574,0.0000,0.0317,5883,8,185482,0.0317,0.0000
18.50,0.0303,1455,0,204790,0.0071,0.9871,0.0406,1224,0,204789,0.0060,0.6606,0.0579,10737,14,185482,0.0579,0.0000,0.0330,6113,8,185482,0.0330,0.0000
19.00,0.0329,557,0,204790,0.0027,0.8155,0.0406,1224,0,204789,0.0060,0.6606,0.0579,10737,14,185482,0.0579,0.0000,0.0330,6113,8,185482,0.0330,0.0000
19.50,0.0336,36,0,204790,0.0002,0.0973,0.0406,1224,0,204789,0.0060,0.6606,0.0601,11149,14,185482,0.0601,0.0000,0.0384,7123,10,185482,0.0384,0.0000
20.00,0.0398,598,0,204790,0.0029,0.9708,0.0406,1224,0,204789,0.0060,0.6606,0.0601,11149,14,185482,0.0601,0.0000,0.0384,7123,10,185482,0.0384,0.0000
20.50,0.0426,622,0,204790,0.0030,0.9496,0.0466,925,0,204789,0.0045,0.9725,0.0656,12163,14,185482,0.0656,0.0000,0.0357,6624,9,185482,0.0357,0.0000
21.00,0.0436,719,0,204790,0.0035,0.9386,0.0494,721,0,204789,0.0035,0.4762,0.0656,12163,14,185482,0.0656,0.0000,0.0357,6624,9,185482,0.0357,0.0000
21.50,0.0436,719,0,204790,0.0035,0.9386,0.0494,721,0,204789,0.0035,0.4762,0.0698,12942,16,185482,0.0698,0.0000,0.0498,9244,10,185482,0.0498,0.0000
22.00,0.0436,719,0,204790,0.0035,0.9386,0.0557,532,0,204789,0.0026,0.9517,0.0698,12942,16,185482,0.0698,0.0000,0.0498,9244,10,185482,0.0498,0.0000
22.50,0.0466,597,0,204790,0.0029,0.9476,0.0570,605,0,204789,0.0030,0.9209,0.0767,14223,16,185482,0.0767,0.0000,0.0551,10226,11,185482,0.0551,0.0000
23.00,0.0477,533,0,204790,0.0026,0.9450,0.0570,605,0,204789,0.0030,0.9209,0.0767,14223,16,185482,0.0767,0.0000,0.0551,10226,11,185482,0.0551,0.0000
23.50,0.0477,533,0,204790,0.0026,0.9450,0.0570,605,0,204789,0.0030,0.9209,0.0767,14223,16,185482,0.0767,0.0000,0.0443,8208,9,185482,0.0443,0.0000
24.00,0.0511,715,0,204790,0.0035,0.9754,0.0570,605,0,204789,0.0030,0.9209,0.0795,14737,16,185482,0.0795,0.0000,0.0443,8208,9,185482,0.0443,0.0000
24.50,0.0536,525,0,204790,0.0026,0.9563,0.0570,605,0,204789,0.0030,0.9209,0.0795,14737,16,185482,0.0795,0.0000,0.0462,8568,9,185482,0.0462,0.0000
25.00,0.0536,525,0,204790,0.0026,0.9563,0.0570,605,0,204789,0.0030,0.9209,0.0818,15170,17,185482,0.0818,0.0000,0.0462,8568,9,185482,0.0462,0.0000
25.50,0.0536,525,0,204790,0.0026,0.9563,0.0570,605,0,204789,0.0030,0.9209,0.0818,15170,17,185482,0.0818,0.0000,0.0481,8928,9,185482,0.0481,0.0000
26.00,0.0536,525,0,204790,0.0026,0.9563,0.0570,605,0,204789,0.0030,0.9209,0.0810,15027,15,185482,0.0810,0.0000,0.0481,8928,9,185482,0.0481,0.0000
26.50,0.0661,3029,0,204790,0.0148,0.9627,0.0616,705,0,204789,0.0034,0.9792,0.0810,15027,15,185482,0.0810,0.0000,0.0560,10388,10,185482,0.0560,0.0000
27.00,0.0661,3029,0,204790,0.0148,0.9627,0.0654,785,0,204789,0.0038,0.9800,0.0780,14459,14,185482,0.0780,0.0000,0.0560,10388,10,185482,0.0560,0.0000
27.50,0.0661,3029,0,204790,0.0148,0.9627,0.0654,785,0,204789,0.0038,0.9800,0.0780,14459,14,185482,0.0780,0.0000,0.0628,11646,12,185482,0.0628,0.0000
28.00,0.0661,3029,0,204790,0.0148,0.9627,0.0654,785,0,204789,0.0038,0.9800,0.0780,14459,14,185482,0.0780,0.0000,0.0628,11646,12,185482,0.0628,0.0000
28.50,0.0661,3029,0,204790,0.0148,0.9627,0.0695,887,0,204789,0.0043,0.9878,0.0703,13039,13,185482,0.0703,0.0000,0.0628,11646,12,185482,0.0628,0.0000
29.00,0.0767,775,0,204790,0.0038,0.8324,0.0695,887,0,204789,0.0043,0.9878,0.0703,13039,13,185482,0.0703,0.0000,0.0702,13024,12,185482,0.0702,0.0000
29.50,0.0767,775,0,204790,0.0038,0.8324,0.0724,615,0,204789,0.0030,0.9793,0.0709,13149,13,185482,0.0709,0.0000,0.0702,13024,12,185482,0.0702,0.0000
30.00,0.0767,775,0,204790,0.0038,0.8324,0.0724,615,0,204789,0.0030,0.9793,0.0709,13149,13,185482,0.0709,0.0000,0.0764,14172,13,185482,0.0764,0.0000
30.50,0.0774,90,0,204790,0.0004,0.0456,0.0755,1176,0,204789,0.0057,0.9046,0.0504,9352,9,185482,0.0504,0.0000,0.0764,14172,13,185482,0.0764,0.0000
31.00,0.0774,90,0,204790,0.0004,0.0456,0.0755,1176,0,204789,0.0057,0.9046,0.0504,9352,9,185482,0.0504,0.0000,0.0746,13833,12,185482,0.0746,0.0000
31.50,0.0774,90,0,204790,0.0004,0.0456,0.0755,1176,0,204789,0.0057,0.9046,0.0586,10878,9,185482,0.0586,0.0000,0.0746,13833,12,185482,0.0746,0.0000
32.00,0.0866,564,0,204790,0.0028,0.6218,0.0761,657,0,204789,0.0032,0.7065,0.0586,10878,9,185482,0.0586,0.0000,0.0751,13929,12,185482,0.0751,0.0000
32.50,0.0883,1474,0,204790,0.0072,0.7807,0.0761,657,0,204789,0.0032,0.7065,0.0606,11238,9,185482,0.0606,0.0000,0.0751,13929,12,185482,0.0751,0.0000
