elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.3144,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,34,0,0,0,0,2,0
4.0,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.4951,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0,0.0,0.0485,0.0,0.0485,0.0,0.0485,0.0,0.0,0,0,0,0.4951,0.0485,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0,0,0,0.4951,0.08,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
7.0,0.0,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0,0,0,0.5019,0.08,0.0,0.0,0.0,0.0,1,0,1,0,37,0,0,17,0,2,0
8.0,0.0,0.0,0.1106,0.0,0.1106,0.0,0.1106,0.0,0.0,0,0,0,0.5506,0.1106,0.0,0.0,0.0,0.0,4,1,3,0,37,0,0,204,0,2,0
9.0,0.0,0.0,0.2361,0.0,0.2361,0.0,0.2361,0.0,0.0,0,0,0,0.5754,0.2361,0.0,0.0,0.0,0.0,6,1,5,0,37,0,0,361,0,2,0
10.0,0.0,0.0,0.3123,0.0,0.3123,0.0,0.3123,0.0,0.0,0,0,0,0.5754,0.3123,0.0,0.0,0.0,0.0,6,1,5,0,37,0,0,361,0,2,0
11.0,0.0,0.0,0.385,0.0,0.385,0.0,0.385,0.0,0.0,0,0,0,0.6004,0.385,0.0,0.0,0.0,0.0,7,1,6,0,37,0,0,532,0,2,0
12.0,0.0,0.0,0.5679,0.0,0.5679,0.0,0.5679,0.0,0.0,0,0,0,0.7394,0.5679,0.0,0.0,0.0,0.0,11,3,8,0,37,0,0,1409,0,2,0
13.0,0.0,0.0,0.7222,0.0,0.7222,0.0,0.7222,0.0,0.0,0,0,0,0.7756,0.7222,0.0,0.0,0.0,0.0,13,4,9,0,37,0,0,1649,0,2,0
14.0,0.0,0.0,0.9739,0.0,0.9739,0.0,0.9739,0.0,0.0,0,0,0,0.952,0.9739,0.0,0.0,0.0,0.0,17,4,13,0,37,0,0,2836,0,2,0
15.0,0.0,0.0,1.0178,0.0,1.0178,0.0,1.0178,0.0,0.0,0,0,0,1.001,1.0178,0.0,0.0,0.0,0.0,18,5,13,0,37,0,0,3177,0,2,0
16.0,0.0,0.0,1.1483,0.0,1.1483,0.0,1.1483,0.0,0.0,0,0,0,1.136,1.1483,0.0,0.0,0.0,0.0,21,5,16,0,37,0,0,4119,0,2,0
17.0,0.0,0.0,1.1939,0.1974,1.3913,0.0,1.3913,0.0,0.0,0,0,0,1.1883,1.1939,0.1974,0.0,0.0,0.1419,22,5,17,0,37,0,0,4498,0,2,0
18.0,0.0,0.0,1.2553,0.2906,1.5459,0.0,1.5459,0.0,0.0,0,0,0,1.3641,1.2553,0.2906,0.0,0.0,0.188,25,6,19,0,37,0,0,5628,0,2,0
19.0,0.0,0.0,1.2553,0.4632,1.7185,0.0,1.7185,0.0,0.0,0,0,0,1.4544,1.2553,0.4632,0.0,0.0,0.2695,26,6,20,0,37,0,0,6089,0,2,0
