t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0094,1917,0,204790,0.0094,0.4320,0.0005,90,0,204789,0.0004,0.2122,,,,,,,,,,,,
3.50,0.0094,1917,0,204790,0.0094,0.4320,0.0005,90,0,204789,0.0004,0.2122,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0094,1917,0,204790,0.0094,0.4320,0.0005,90,0,204789,0.0004,0.2122,0.0141,2323,14,165101,0.0141,0.0000,0.0134,2214,16,165101,0.0134,0.0000
4.50,0.0094,1917,0,204790,0.0094,0.4320,0.0005,90,0,204789,0.0004,0.2122,0.0141,2323,14,165101,0.0141,0.0000,0.0134,2214,16,165101,0.0134,0.0000
5.00,0.0094,1917,0,204790,0.0094,0.4320,0.0005,90,0,204789,0.0004,0.2122,0.0175,2883,14,165101,0.0175,0.0000,0.0165,2729,15,165101,0.0165,0.0000
5.50,0.0094,1917,0,204790,0.0094,0.4320,0.0005,90,0,204789,0.0004,0.2122,0.0175,2883,14,165101,0.0175,0.0000,0.0165,2729,15,165101,0.0165,0.0000
6.00,0.0094,1917,0,204790,0.0094,0.4320,0.0005,90,0,204789,0.0004,0.2122,0.0209,3443,14,165101,0.0209,0.0000,0.0192,3173,14,165101,0.0192,0.0000
6.50,0.0087,49,0,204790,0.0002,0.7903,0.0005,90,0,204789,0.0004,0.2122,0.0209,3443,14,165101,0.0209,0.0000,0.0192,3173,14,165101,0.0192,0.0000
7.00,0.0091,109,0,204790,0.0005,0.6646,0.0005,90,0,204789,0.0004,0.2122,0.0223,3687,13,165101,0.0223,0.0000,0.0219,3618,14,165101,0.0219,0.0000
7.50,0.0096,97,0,204790,0.0005,0.7405,0.0005,90,0,204789,0.0004,0.2122,0.0223,3687,13,165101,0.0223,0.0000,0.0219,3618,14,165101,0.0219,0.0000
8.00,0.0096,97,0,204790,0.0005,0.7405,0.0005,90,0,204789,0.0004,0.2122,0.0264,4360,14,165101,0.0264,0.0000,0.0246,4060,13,165101,0.0246,0.0000
8.50,0.0096,97,0,204790,0.0005,0.7405,0.0057,126,0,204789,0.0006,0.8873,0.0264,4360,14,165101,0.0264,0.0000,0.0246,4060,13,165101,0.0246,0.0000
9.00,0.0096,97,0,204790,0.0005,0.7405,0.0057,126,0,204789,0.0006,0.8873,0.0298,4920,14,165101,0.0298,0.0000,0.0288,4749,14,165101,0.0288,0.0000
9.50,0.0113,171,0,204790,0.0008,0.9194,0.0057,126,0,204789,0.0006,0.8873,0.0298,4920,14,165101,0.0298,0.0000,0.0288,4749,14,165101,0.0288,0.0000
10.00,0.0113,171,0,204790,0.0008,0.9194,0.0061,167,0,204789,0.0008,0.8930,0.0367,6051,15,165101,0.0367,0.0000,0.0312,5145,14,165101,0.0312,0.0000
10.50,0.0115,86,0,204790,0.0004,0.8190,0.0061,167,0,204789,0.0008,0.8930,0.0367,6051,15,165101,0.0367,0.0000,0.0312,5145,14,165101,0.0312,0.0000
11.00,0.0115,86,0,204790,0.0004,0.8190,0.0061,167,0,204789,0.0008,0.8930,0.0366,6040,14,165101,0.0366,0.0000,0.0354,5840,15,165101,0.0354,0.0000
11.50,0.0115,86,0,204790,0.0004,0.8190,0.0061,167,0,204789,0.0008,0.8930,0.0366,6040,14,165101,0.0366,0.0000,0.0354,5840,15,165101,0.0354,0.0000
12.00,0.0115,86,0,204790,0.0004,0.8190,0.0061,167,0,204789,0.0008,0.8930,0.0327,5393,11,165101,0.0327,0.0000,0.0354,5840,15,165101,0.0354,0.0000
12.50,0.0115,86,0,204790,0.0004,0.8190,0.0077,333,0,204789,0.0016,0.9024,0.0327,5393,11,165101,0.0327,0.0000,0.0303,4998,13,165101,0.0303,0.0000
13.00,0.0115,86,0,204790,0.0004,0.8190,0.0077,333,0,204789,0.0016,0.9024,0.0377,6224,12,165101,0.0377,0.0000,0.0303,4998,13,165101,0.0303,0.0000
13.50,0.0115,86,0,204790,0.0004,0.8190,0.0079,190,0,204789,0.0009,0.9360,0.0377,6224,12,165101,0.0377,0.0000,0.0324,5354,11,165101,0.0324,0.0000
14.00,0.0118,408,0,204790,0.0020,0.7757,0.0079,190,0,204789,0.0009,0.9360,0.0377,6224,12,165101,0.0377,0.0000,0.0324,5354,11,165101,0.0324,0.0000
14.50,0.0148,364,0,204790,0.0018,0.9655,0.0100,469,0,204789,0.0023,0.9771,0.0439,7244,13,165101,0.0439,0.0000,0.0288,4763,10,165101,0.0288,0.0000
15.00,0.0148,364,0,204790,0.0018,0.9655,0.0135,740,0,204789,0.0036,0.6520,0.0439,7244,13,165101,0.0439,0.0000,0.0288,4763,10,165101,0.0288,0.0000
15.50,0.0154,291,0,204790,0.0014,0.8792,0.0161,287,0,204789,0.0014,0.8723,0.0604,9979,16,165101,0.0604,0.0000,0.0370,6106,12,165101,0.0370,0.0000
16.00,0.0154,291,0,204790,0.0014,0.8792,0.0163,36,0,204789,0.0002,0.7826,0.0604,9979,16,165101,0.0604,0.0000,0.0370,6106,12,165101,0.0370,0.0000
16.50,0.0156,36,0,204790,0.0002,0.8182,0.0164,207,0,204789,0.0010,0.4570,0.0549,9063,16,165101,0.0549,0.0000,0.0401,6616,12,165101,0.0401,0.0000
17.00,0.0194,808,0,204790,0.0039,0.9528,0.0164,207,0,204789,0.0010,0.4570,0.0549,9063,16,165101,0.0549,0.0000,0.0401,6616,12,165101,0.0401,0.0000
17.50,0.0194,808,0,204790,0.0039,0.9528,0.0164,207,0,204789,0.0010,0.4570,0.0584,9638,16,165101,0.0584,0.0000,0.0444,7335,12,165101,0.0444,0.0000
18.00,0.0194,808,0,204790,0.0039,0.9528,0.0164,207,0,204789,0.0010,0.4570,0.0584,9638,16,165101,0.0584,0.0000,0.0444,7335,12,165101,0.0444,0.0000
18.50,0.0194,808,0,204790,0.0039,0.9528,0.0164,207,0,204789,0.0010,0.4570,0.0623,10278,16,165101,0.0623,0.0000,0.0473,7815,12,165101,0.0473,0.0000
19.00,0.0194,808,0,204790,0.0039,0.9528,0.0226,1054,0,204789,0.0051,0.9031,0.0623,10278,16,165101,0.0623,0.0000,0.0473,7815,12,165101,0.0473,0.0000
19.50,0.0194,808,0,204790,0.0039,0.9528,0.0226,1054,0,204789,0.0051,0.9031,0.0521,8606,14,165101,0.0521,0.0000,0.0533,8801,12,165101,0.0533,0.0000
20.00,0.0210,454,0,204790,0.0022,0.9619,0.0231,36,0,204789,0.0002,0.2278,0.0521,8606,14,165101,0.0521,0.0000,0.0533,8801,12,165101,0.0533,0.0000
20.50,0.0210,454,0,204790,0.0022,0.9619,0.0267,100,0,204789,0.0005,0.8547,0.0553,9125,12,165101,0.0553,0.0000,0.0538,8875,13,165101,0.0538,0.0000
21.00,0.0210,454,0,204790,0.0022,0.9619,0.0267,100,0,204789,0.0005,0.8547,0.0553,9125,12,165101,0.0553,0.0000,0.0538,8875,13,165101,0.0538,0.0000
21.50,0.0210,454,0,204790,0.0022,0.9619,0.0267,100,0,204789,0.0005,0.8547,0.0582,9605,12,165101,0.0582,0.0000,0.0476,7857,12,165101,0.0476,0.0000
22.00,0.0240,643,0,204790,0.0031,0.9684,0.0273,140,0,204789,0.0007,0.8917,0.0582,9605,12,165101,0.0582,0.0000,0.0476,7857,12,165101,0.0476,0.0000
22.50,0.0322,2074,0,204790,0.0101,0.9141,0.0273,140,0,204789,0.0007,0.8917,0.0582,9605,12,165101,0.0582,0.0000,0.0512,8455,12,165101,0.0512,0.0000
23.00,0.0327,83,0,204790,0.0004,0.8469,0.0307,1130,0,204789,0.0055,0.9620,0.0708,11681,12,165101,0.0708,0.0000,0.0512,8455,12,165101,0.0512,0.0000
23.50,0.0327,83,0,204790,0.0004,0.8469,0.0343,735,0,204789,0.0036,0.9735,0.0708,11681,12,165101,0.0708,0.0000,0.0593,9795,14,165101,0.0593,0.0000
24.00,0.0327,83,0,204790,0.0004,0.8469,0.0343,735,0,204789,0.0036,0.9735,0.0742,12252,14,165101,0.0742,0.0000,0.0593,9795,14,165101,0.0593,0.0000
24.50,0.0327,83,0,204790,0.0004,0.8469,0.0379,765,0,204789,0.0037,0.9671,0.0742,12252,14,165101,0.0742,0.0000,0.0592,9772,14,165101,0.0592,0.0000
25.00,0.0358,720,0,204790,0.0035,0.9207,0.0379,765,0,204789,0.0037,0.9671,0.0760,12549,13,165101,0.0760,0.0000,0.0592,9772,14,165101,0.0592,0.0000
25.50,0.0358,720,0,204790,0.0035,0.9207,0.0379,765,0,204789,0.0037,0.9671,0.0760,12549,13,165101,0.0760,0.0000,0.0592,9772,14,165101,0.0592,0.0000
26.00,0.0358,720,0,204790,0.0035,0.9207,0.0379,765,0,204789,0.0037,0.9671,0.0841,13884,14,165101,0.0841,0.0000,0.0626,10332,14,165101,0.0626,0.0000
26.50,0.0362,499,0,204790,0.0024,0.9633,0.0379,765,0,204789,0.0037,0.9671,0.0841,13884,14,165101,0.0841,0.0000,0.0626,10332,14,165101,0.0626,0.0000
27.00,0.0399,769,0,204790,0.0038,0.9470,0.0389,1347,0,204789,0.0066,0.9635,0.0761,12571,12,165101,0.0761,0.0000,0.0623,10292,12,165101,0.0623,0.0000
27.50,0.0411,252,0,204790,0.0012,0.9333,0.0389,1347,0,204789,0.0066,0.9635,0.0761,12571,12,165101,0.0761,0.0000,0.0623,10292,12,165101,0.0623,0.0000
28.00,0.0411,252,0,204790,0.0012,0.9333,0.0389,1347,0,204789,0.0066,0.9635,0.0636,10498,11,165101,0.0636,0.0000,0.0746,12321,14,165101,0.0746,0.0000
28.50,0.0411,252,0,204790,0.0012,0.9333,0.0389,1347,0,204789,0.0066,0.9635,0.0636,10498,11,165101,0.0636,0.0000,0.0746,12321,14,165101,0.0746,0.0000
29.00,0.0432,330,0,204790,0.0016,0.9565,0.0389,1347,0,204789,0.0066,0.9635,0.0694,11461,11,165101,0.0694,0.0000,0.0717,11835,13,165101,0.0717,0.0000
29.50,0.0483,1540,0,204790,0.0075,0.9684,0.0430,814,0,204789,0.0040,0.9772,0.0694,11461,11,165101,0.0694,0.0000,0.0717,11835,13,165101,0.0717,0.0000
30.00,0.0483,1540,0,204790,0.0075,0.9684,0.0430,814,0,204789,0.0040,0.9772,0.0694,11461,11,165101,0.0694,0.0000,0.0607,10027,12,165101,0.0607,0.0000
30.50,0.0524,971,0,204790,0.0047,0.9204,0.0443,902,0,204789,0.0044,0.9699,0.0581,9589,11,165101,0.0581,0.0000,0.0607,10027,12,165101,0.0607,0.0000
31.00,0.0524,971,0,204790,0.0047,0.9204,0.0468,1621,0,204789,0.0079,0.7911,0.0581,9589,11,165101,0.0581,0.0000,0.0483,7974,9,165101,0.0483,0.0000
31.50,0.0574,1023,0,204790,0.0050,0.9697,0.0468,1621,0,204789,0.0079,0.7911,0.0647,10675,9,165101,0.0647,0.0000,0.0483,7974,9,165101,0.0483,0.0000
32.00,0.0574,1023,0,204790,0.0050,0.9697,0.0468,1621,0,204789,0.0079,0.7911,0.0647,10675,9,165101,0.0647,0.0000,0.0409,6745,8,165101,0.0409,0.0000
32.50,0.0574,1023,0,204790,0.0050,0.9697,0.0539,1053,0,204789,0.0051,0.9741,0.0673,11107,10,165101,0.0673,0.0000,0.0409,6745,8,165101,0.0409,0.0000
