elapsed_s,gpu0_gb,gpu2_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.3214,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,31,0,0,0,0,2,0
4.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.3737,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
5.0,0.03,0.0014,0.0315,0.0,0.0315,0.0,0.0,0,0,0,0.3737,0.0315,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
6.0,0.1557,0.0014,0.1572,0.0,0.1572,0.0,0.0,0,0,0,0.3737,0.1572,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
7.0,0.215,0.0014,0.2164,0.0,0.2164,0.0,0.0,0,0,0,0.3737,0.2164,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
8.0,0.249,0.0014,0.2505,0.0,0.2505,0.0,0.0,0,0,0,0.4042,0.2505,0.0,0.0,0.0,0.0,4,2,2,0,37,0,0,120,0,2,0
9.0,0.249,0.0014,0.2505,0.0,0.2505,0.0,0.0,0,0,0,0.5209,0.2505,0.0,0.0,0.0,0.0,7,4,3,0,37,0,0,874,0,2,0
10.0,0.3248,0.0014,0.3262,0.0,0.3262,0.0,0.0,0,0,0,0.5816,0.3262,0.0,0.0,0.0,0.0,9,6,3,0,37,0,0,1238,0,2,0
11.0,0.4008,0.0014,0.4023,0.0,0.4023,0.0,0.0,0,0,0,0.6113,0.4023,0.0,0.0,0.0,0.0,11,8,3,0,37,0,0,1426,0,2,0
12.0,0.7054,0.0014,0.7069,0.0,0.7069,0.0,0.0,0,0,0,0.6495,0.7069,0.0,0.0,0.0,0.0,12,8,4,0,37,0,0,1621,0,2,0
13.0,0.7054,0.0014,0.7069,0.0,0.7069,0.0,0.0,0,0,0,0.6985,0.7069,0.0,0.0,0.0,0.0,14,9,5,0,37,0,0,1948,0,2,0
14.0,0.8888,0.0014,0.8902,0.0,0.8902,0.0,0.0,0,0,0,0.7615,0.8902,0.0,0.0,0.0,0.0,18,11,7,0,37,0,0,2205,0,2,0
15.0,0.9664,0.0014,0.9678,0.0,0.9678,0.0,0.0,0,0,0,0.8963,0.9678,0.0,0.0,0.0,0.0,20,12,8,0,37,0,0,2825,0,2,0
16.0,0.9664,0.0388,1.0052,0.0,1.0052,0.0,0.0,0,0,0,0.8963,1.0052,0.0,0.0,0.0,0.0,20,12,8,0,37,0,0,2825,0,2,0
17.0,1.0893,0.1645,1.2538,0.0,1.2538,0.0,0.0,0,0,0,1.0018,1.2538,0.0,0.0,0.0,0.0,23,13,10,0,40,0,0,3288,0,2,0
18.0,1.241,0.1645,1.4055,0.0,1.4055,0.0,0.0,0,0,0,1.076,1.4055,0.0,0.0,0.0,0.0,24,13,11,0,40,0,0,3843,0,2,0
19.0,1.3057,0.1645,1.4702,0.0,1.4702,0.0,0.0,0,0,0,1.1195,1.4702,0.0,0.0,0.0,0.0,25,14,11,0,40,0,0,4085,0,2,0
20.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,1.1195,1.4752,0.0,0.0,0.0,0.0,25,14,11,0,40,0,0,4085,0,2,0
21.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,1.2104,1.4752,0.0,0.0,0.0,0.0,28,15,13,0,40,0,0,4680,0,2,0
22.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,1.3537,1.4752,0.0,0.0,0.0,0.0,32,18,14,0,40,0,0,5666,0,2,0
23.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,1.3913,1.4752,0.0,0.0,0.0,0.0,33,19,14,0,40,0,0,5858,0,2,0
24.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,1.679,1.4752,0.0,0.0,0.0,0.0,37,21,16,0,40,0,0,7977,0,2,0
25.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,1.7806,1.4752,0.0,0.0,0.0,0.0,38,22,16,0,40,0,0,8660,0,2,0
26.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,1.9969,1.4752,0.0,0.0,0.0,0.0,41,22,19,0,40,0,0,10238,0,2,0
27.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,2.1856,1.4752,0.0,0.0,0.0,0.0,45,23,22,0,41,0,0,11496,0,2,0
28.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,2.4231,1.4752,0.0,0.0,0.0,0.0,48,26,22,0,41,0,0,13245,0,2,0
29.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,2.5415,1.4752,0.0,0.0,0.0,0.0,49,26,23,0,41,0,0,14102,0,2,0
30.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,2.5415,1.4752,0.0,0.0,0.0,0.0,49,26,23,0,41,0,0,14102,0,2,0
31.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,3.0186,1.4752,0.0,0.0,0.0,0.0,49,26,23,0,46,0,0,14102,0,2,0
32.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,3.1528,1.4752,0.0,0.0,0.0,0.0,49,26,23,0,47,0,0,14102,0,2,0
33.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,3.5746,1.4752,0.0,0.0,0.0,0.0,49,26,23,0,52,0,0,14102,0,2,0
34.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,4.3193,1.4752,0.0,0.0,0.0,0.0,50,27,23,0,56,0,0,15215,0,2,0
35.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,4.5057,1.4752,0.0,0.0,0.0,0.0,53,30,23,0,56,0,0,16399,0,2,0
36.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,4.6131,1.4752,0.0,0.0,0.0,0.0,55,30,25,0,56,0,0,17174,0,2,0
37.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,4.8176,1.4752,0.0,0.0,0.0,0.0,56,31,25,0,57,0,0,18609,0,2,0
38.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,4.8225,1.4752,0.0,0.0,0.0,0.0,57,32,25,0,57,0,0,18628,0,2,0
39.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,4.8409,1.4752,0.0,0.0,0.0,0.0,58,32,26,0,57,0,0,18728,0,2,0
40.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,4.8836,1.4752,0.0,0.0,0.0,0.0,59,33,26,0,57,0,0,19026,0,2,0
41.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,5.18,1.4752,0.0,0.0,0.0,0.0,62,35,27,0,57,0,0,21198,0,2,0
42.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,5.1971,1.4752,0.0,0.0,0.0,0.0,63,35,28,0,57,0,0,21312,0,2,0
43.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,5.2007,1.4752,0.0,0.0,0.0,0.0,63,35,28,0,58,0,0,21312,0,2,0
44.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,5.3905,1.4752,0.0,0.0,0.0,0.0,65,35,30,0,58,0,0,22730,0,2,0
45.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,5.5943,1.4752,0.0,0.0,0.0,0.0,67,36,31,0,59,0,0,24204,0,2,0
46.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,5.6691,1.4752,0.0,0.0,0.0,0.0,68,37,31,0,59,0,0,24751,0,2,0
47.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,5.6922,1.4752,0.0,0.0,0.0,0.0,69,37,32,0,59,0,0,24800,0,2,0
48.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,5.7484,1.4752,0.0,0.0,0.0,0.0,70,38,32,0,59,0,0,25199,0,2,0
49.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,6.0367,1.4752,0.0,0.0,0.0,0.0,72,39,33,0,59,0,0,27332,0,2,0
50.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,6.0367,1.4752,0.0,0.0,0.0,0.0,72,39,33,0,59,0,0,27332,0,2,0
51.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,6.1901,1.4752,0.0,0.0,0.0,0.0,72,39,33,0,62,0,0,27332,0,2,0
52.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,6.1911,1.4752,0.0,0.0,0.0,0.0,72,39,33,0,63,0,0,27332,0,2,0
53.0,1.3107,0.1645,1.4752,0.0,1.4752,0.0,0.0,0,0,0,6.4848,1.4752,0.0,0.0,0.0,0.0,72,39,33,0,65,0,0,27332,0,2,0
54.0,1.3107,0.3549,1.6657,0.0,1.6657,0.0,0.0,0,0,0,7.236,1.6657,0.0,0.0,0.0,0.0,72,39,33,0,70,0,0,27332,0,2,0
55.0,1.3107,1.1013,2.412,0.0,2.412,0.0,0.0,0,0,0,7.4615,2.412,0.0,0.0,0.0,0.0,75,40,35,0,71,0,0,28004,0,2,0
56.0,1.3107,1.2836,2.5943,0.0,2.5943,0.0,0.0,0,0,0,7.7913,2.5943,0.0,0.0,0.0,0.0,77,42,35,0,71,0,0,30466,0,2,0
57.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.0742,2.6214,0.0,0.0,0.0,0.0,78,43,35,0,72,0,0,31489,0,2,0
58.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.5125,2.6214,0.0,0.0,0.0,0.0,80,45,35,0,73,0,0,33552,0,2,0
59.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.5969,2.6214,0.0,0.0,0.0,0.0,82,45,37,0,75,0,0,34056,0,2,0
60.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.7129,2.6214,0.0,0.0,0.0,0.0,83,45,38,0,77,0,0,34900,0,2,0
61.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.766,2.6214,0.0,0.0,0.0,0.0,83,45,38,0,78,0,0,34900,0,2,0
62.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,8.766,2.6214,0.0,0.0,0.0,0.0,83,45,38,0,78,0,0,34900,0,2,0
63.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.1358,2.6214,0.0,0.0,0.0,0.0,84,46,38,0,80,0,0,35923,0,2,0
64.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.1436,2.6214,0.0,0.0,0.0,0.0,84,46,38,0,80,1,0,35923,0,2,0
65.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.1436,2.6214,0.0,0.0,0.0,0.0,84,46,38,0,80,1,0,35923,0,2,0
66.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.5684,2.6214,0.0,0.0,0.0,0.0,86,47,39,0,81,1,0,38070,0,2,0
67.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.706,2.6214,0.0,0.0,0.0,0.0,87,48,39,0,81,1,0,39093,0,2,0
68.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.8349,2.6214,0.0,0.0,0.0,0.0,89,49,40,0,83,1,0,39853,0,2,0
69.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.8349,2.6214,0.0,0.0,0.0,0.0,89,49,40,0,83,1,0,39853,0,2,0
70.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.9253,2.6214,0.0,0.0,0.0,0.0,89,49,40,0,84,1,0,39853,0,2,0
71.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,9.9253,2.6214,0.0,0.0,0.0,0.0,89,49,40,0,84,1,0,39853,0,2,0
72.0,1.3107,1.3107,2.6214,0.0,2.6214,0.0,0.0,0,0,0,10.3608,2.6214,0.0,0.0,0.0,0.0,92,52,40,0,84,1,0,43107,0,2,0
