elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,147078.0,29974.0,28940.0,44240.0,43924.0,67544.7,55938.8,14805.3,13018.6,0.0,54337.8,0.0,16057.4,55981.2,18673.7,75643.9,107770.9,128652.3,121882.5,148
1.2,147146.0,29976.0,28940.0,44240.0,43990.0,67683.4,55973.0,14943.4,13052.8,0.0,54337.8,0.0,16111.0,55981.5,18831.5,75802.0,107613.1,128652.3,122021.3,148
2.2,147686.0,30246.0,28940.0,44240.0,44260.0,67777.9,55979.4,15037.9,13059.1,0.0,54337.8,0.0,16115.9,55981.5,18855.4,75825.9,107589.2,128652.3,122115.8,148
3.3,147688.0,30248.0,28940.0,44240.0,44260.0,67941.2,56017.5,15201.0,13097.3,0.0,54337.9,0.0,16155.1,55981.5,19140.1,76110.6,107304.5,128652.3,122279.0,148
4.3,147700.0,30248.0,28940.0,44252.0,44260.0,67945.6,56021.5,15205.1,13101.3,0.0,54338.1,0.0,16156.0,55982.2,19120.3,76091.5,107324.3,128652.3,122283.7,148
5.3,147700.0,30248.0,28940.0,44252.0,44260.0,67955.3,56031.0,15214.7,13110.7,0.0,54338.1,0.0,16170.8,55982.1,19134.4,76105.6,107310.2,128652.3,122293.4,148
6.3,147700.0,30248.0,28940.0,44252.0,44260.0,67962.7,56038.5,15222.2,13118.2,0.0,54338.2,0.0,16181.6,55982.2,19152.9,76124.0,107291.7,128652.3,122300.9,148
7.4,147700.0,30248.0,28940.0,44252.0,44260.0,67975.0,56050.7,15234.5,13130.5,0.0,54338.2,0.0,16188.2,55982.1,19157.4,76128.5,107287.2,128652.3,122313.1,148
8.4,147700.0,30248.0,28940.0,44252.0,44260.0,68013.0,56087.5,15272.4,13167.3,0.0,54338.2,0.0,16260.6,55982.1,19240.2,76211.3,107204.4,128652.3,122351.2,148
9.4,147700.0,30248.0,28940.0,44252.0,44260.0,68047.0,56119.4,15306.5,13199.1,0.0,54338.2,0.0,16299.8,55983.0,19283.4,76255.3,107161.2,128652.3,122385.3,148
10.5,147702.0,30248.0,28940.0,44254.0,44260.0,68072.0,56144.1,15331.2,13223.9,0.0,54338.3,0.0,16339.8,55983.4,19331.6,76304.0,107113.0,128652.3,122410.3,148
11.5,147702.0,30248.0,28940.0,44254.0,44260.0,68092.5,56161.2,15348.4,13241.0,0.0,54338.3,0.0,16371.6,55984.0,19367.0,76339.9,107077.6,128652.3,122430.8,148
12.6,147702.0,30248.0,28940.0,44254.0,44260.0,68096.1,56164.7,15351.8,13244.5,0.0,54338.3,0.0,16382.7,55984.1,19378.7,76351.8,107065.9,128652.3,122434.4,148
13.7,147704.0,30248.0,28940.0,44254.0,44262.0,68099.8,56164.9,15352.0,13244.7,0.0,54338.3,0.0,16384.6,55984.3,19415.2,76388.5,107029.4,128652.3,122438.1,148
14.7,147704.0,30248.0,28940.0,44254.0,44262.0,68100.1,56165.1,15352.2,13244.9,0.0,54338.3,0.0,16394.2,55985.3,19397.5,76371.8,107047.1,128652.3,122438.5,148
15.7,147704.0,30248.0,28940.0,44254.0,44262.0,68100.4,56165.4,15352.5,13245.1,0.0,54338.3,0.0,16394.6,55985.4,19399.9,76374.3,107044.7,128652.3,122438.8,148
16.8,147704.0,30248.0,28940.0,44254.0,44262.0,68100.6,56165.6,15352.7,13245.3,0.0,54338.3,0.0,16395.1,55985.7,19404.5,76379.3,107040.1,128652.3,122439.0,148
17.8,147704.0,30248.0,28940.0,44254.0,44262.0,68107.1,56172.0,15359.1,13251.7,0.0,54338.4,0.0,16397.0,55985.4,19407.9,76382.2,107036.7,128652.3,122445.4,148
18.8,147704.0,30248.0,28940.0,44254.0,44262.0,68107.3,56172.2,15359.3,13251.9,0.0,54338.4,0.0,16405.2,55985.2,19421.8,76396.1,107022.8,128652.3,122445.6,148
19.8,147704.0,30248.0,28940.0,44254.0,44262.0,68107.3,56172.2,15359.3,13252.0,0.0,54338.4,0.0,16405.3,55986.1,19427.5,76402.6,107017.1,128652.3,122445.7,148
20.8,147704.0,30248.0,28940.0,44254.0,44262.0,68107.3,56172.3,15359.4,13252.0,0.0,54338.4,0.0,16406.5,55986.5,19434.0,76409.5,107010.6,128652.3,122445.7,148
21.8,147704.0,30248.0,28940.0,44254.0,44262.0,68107.3,56172.3,15359.4,13252.0,0.0,54338.4,0.0,16406.5,55986.0,19437.5,76412.6,107007.1,128652.3,122445.7,148
22.9,147704.0,30248.0,28940.0,44254.0,44262.0,68107.4,56172.3,15359.4,13252.1,0.0,54338.4,0.0,16408.5,55985.9,19445.0,76419.9,106999.6,128652.3,122445.8,148
23.9,147704.0,30248.0,28940.0,44254.0,44262.0,68107.4,56172.3,15359.4,13252.1,0.0,54338.4,0.0,16408.9,55986.3,19447.0,76422.4,106997.6,128652.3,122445.8,148
24.9,147704.0,30248.0,28940.0,44254.0,44262.0,68117.2,56182.1,15369.3,13261.9,0.0,54338.4,0.0,16429.1,55986.7,19471.3,76447.0,106973.3,128652.3,122455.6,148
26.0,147704.0,30248.0,28940.0,44254.0,44262.0,68121.7,56186.6,15373.8,13266.4,0.0,54338.4,0.0,16423.2,55986.2,19464.4,76439.7,106980.1,128652.3,122460.1,148
27.0,147704.0,30248.0,28940.0,44254.0,44262.0,68121.8,56186.7,15373.8,13266.4,0.0,54338.4,0.0,16424.7,55986.2,19462.4,76437.6,106982.2,128652.3,122460.2,148
28.0,147704.0,30248.0,28940.0,44254.0,44262.0,68121.9,56186.8,15373.9,13266.5,0.0,54338.4,0.0,16425.2,55986.2,19458.4,76433.6,106986.2,128652.3,122460.3,148
29.1,147704.0,30248.0,28940.0,44254.0,44262.0,68121.9,56186.8,15373.9,13266.6,0.0,54338.4,0.0,16425.8,55986.3,19462.1,76437.4,106982.5,128652.3,122460.3,148
30.2,147704.0,30248.0,28940.0,44254.0,44262.0,68121.9,56186.8,15373.9,13266.6,0.0,54338.5,0.0,16426.2,55986.2,19459.4,76434.7,106985.1,128652.3,122460.3,148
31.2,147704.0,30248.0,28940.0,44254.0,44262.0,68122.0,56186.9,15374.0,13266.7,0.0,54338.5,0.0,16426.7,55986.0,19462.9,76437.9,106981.7,128652.3,122460.5,148
32.2,147704.0,30248.0,28940.0,44254.0,44262.0,68122.1,56187.0,15374.1,13266.7,0.0,54338.5,0.0,16427.0,55985.6,19465.9,76440.6,106978.7,128652.3,122460.6,148
33.3,147704.0,30248.0,28940.0,44254.0,44262.0,68124.0,56188.9,15376.0,13268.6,0.0,54338.5,0.0,16428.8,55985.6,19472.0,76446.7,106972.5,128652.3,122462.5,148
34.3,147704.0,30248.0,28940.0,44254.0,44262.0,68124.1,56189.0,15376.1,13268.7,0.0,54338.6,0.0,16429.7,55985.6,19469.8,76444.3,106974.8,128652.3,122462.6,148
35.4,147704.0,30248.0,28940.0,44254.0,44262.0,68124.1,56189.1,15376.2,13268.8,0.0,54338.6,0.0,16430.4,55985.5,19459.9,76434.4,106984.7,128652.3,122462.7,148
36.4,147704.0,30248.0,28940.0,44254.0,44262.0,68124.2,56189.1,15376.2,13268.9,0.0,54338.6,0.0,16430.4,55985.1,19460.2,76434.3,106984.3,128652.3,122462.7,148
37.4,147704.0,30248.0,28940.0,44254.0,44262.0,68124.2,56189.1,15376.3,13268.9,0.0,54338.7,0.0,16431.1,55985.7,19455.0,76429.7,106989.6,128652.3,122462.9,148
38.5,147704.0,30248.0,28940.0,44254.0,44262.0,68124.3,56189.3,15376.4,13269.0,0.0,54338.8,0.0,16433.0,55986.0,19458.1,76433.1,106986.5,128652.3,122463.1,148
39.5,147704.0,30248.0,28940.0,44254.0,44262.0,68124.4,56189.3,15376.4,13269.1,0.0,54338.8,0.0,16434.2,55986.1,19468.8,76443.9,106975.8,128652.3,122463.2,148
40.6,147704.0,30248.0,28940.0,44254.0,44262.0,68124.4,56189.4,15376.4,13269.1,0.0,54338.8,0.0,16434.3,55985.6,19468.7,76443.4,106975.8,128652.3,122463.2,148
41.6,147704.0,30248.0,28940.0,44254.0,44262.0,68124.4,56189.4,15376.5,13269.1,0.0,54338.8,0.0,16435.0,55985.7,19472.0,76446.7,106972.6,128652.3,122463.2,148
42.6,147704.0,30248.0,28940.0,44254.0,44262.0,68124.5,56189.5,15376.6,13269.2,0.0,54338.8,0.0,16432.8,55985.9,19471.9,76446.8,106972.6,128652.3,122463.4,148
43.6,147704.0,30248.0,28940.0,44254.0,44262.0,68124.6,56189.5,15376.6,13269.2,0.0,54338.8,0.0,16433.0,55985.5,19466.4,76440.9,106978.1,128652.3,122463.4,148
44.6,147704.0,30248.0,28940.0,44254.0,44262.0,68156.7,56218.0,15408.7,13297.7,0.0,54338.8,0.0,16461.4,55985.4,19495.8,76470.3,106948.8,128652.3,122495.5,148
45.6,147704.0,30248.0,28940.0,44254.0,44262.0,68156.7,56218.0,15408.7,13297.8,0.0,54338.8,0.0,16463.5,55985.9,19500.4,76475.3,106944.2,128652.3,122495.6,148
46.6,147704.0,30248.0,28940.0,44254.0,44262.0,68156.8,56218.1,15408.8,13297.8,0.0,54338.8,0.0,16464.4,55985.7,19502.0,76476.8,106942.5,128652.3,122495.6,148
