elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,146922.0,29592.0,28896.0,44240.0,44194.0,67631.7,55923.1,14894.2,13008.8,0.0,54327.8,0.0,16047.0,55979.5,18756.7,75725.0,107688.1,128652.3,121959.4,148
1.1,147552.0,30202.0,28896.0,44260.0,44194.0,67771.7,55958.2,15033.3,13043.8,0.0,54328.0,0.0,16098.0,55979.7,19021.0,75989.5,107423.8,128652.3,122099.7,148
2.1,147552.0,30202.0,28896.0,44260.0,44194.0,67900.6,55983.6,15162.1,13069.3,0.0,54328.2,0.0,16124.6,55979.9,19053.7,76022.5,107391.1,128652.3,122228.8,148
3.2,147620.0,30204.0,28896.0,44260.0,44260.0,67909.2,55992.1,15170.7,13077.7,0.0,54328.2,0.0,16134.7,55978.4,19066.0,76033.3,107378.8,128652.3,122237.5,148
4.2,147620.0,30204.0,28896.0,44260.0,44260.0,67923.1,55999.3,15184.2,13084.9,0.0,54328.5,0.0,16141.6,55978.9,19091.6,76059.3,107353.1,128652.3,122251.5,148
5.3,147620.0,30204.0,28896.0,44260.0,44260.0,67924.1,56000.0,15185.1,13085.7,0.0,54328.6,0.0,16143.6,55978.6,19085.6,76053.1,107359.1,128652.3,122252.7,148
6.3,147620.0,30204.0,28896.0,44260.0,44260.0,67928.4,56004.3,15189.4,13089.9,0.0,54328.6,0.0,16147.4,55978.6,19091.3,76058.8,107353.4,128652.3,122257.0,148
7.3,147620.0,30204.0,28896.0,44260.0,44260.0,67938.4,56013.1,15199.4,13098.7,0.0,54328.7,0.0,16155.0,55978.6,19114.0,76081.5,107330.7,128652.3,122267.0,148
8.4,147620.0,30204.0,28896.0,44260.0,44260.0,67988.2,56060.7,15249.2,13146.4,0.0,54328.9,0.0,16227.2,55976.1,19184.7,76149.6,107260.1,128652.3,122317.0,148
9.5,147620.0,30204.0,28896.0,44260.0,44260.0,68022.4,56094.7,15283.2,13180.4,0.0,54328.9,0.0,16283.0,55976.4,19245.5,76210.8,107199.2,128652.3,122351.3,148
10.5,147622.0,30204.0,28896.0,44262.0,44260.0,68042.2,56114.5,15303.0,13200.2,0.0,54328.9,0.0,16313.7,55976.5,19287.1,76252.4,107157.6,128652.3,122371.1,148
11.6,147622.0,30204.0,28896.0,44262.0,44260.0,68051.9,56120.8,15309.3,13206.5,0.0,54329.0,0.0,16328.8,55975.9,19305.7,76270.5,107139.0,128652.3,122380.9,148
12.6,147624.0,30204.0,28896.0,44262.0,44262.0,68060.7,56129.6,15318.1,13215.3,0.0,54329.0,0.0,16335.5,55976.2,19317.2,76282.2,107127.5,128652.3,122389.7,148
13.6,147624.0,30204.0,28896.0,44262.0,44262.0,68079.5,56144.7,15333.2,13230.4,0.0,54329.0,0.0,16369.4,55977.1,19358.6,76324.5,107086.1,128652.3,122408.6,148
14.6,147624.0,30204.0,28896.0,44262.0,44262.0,68080.1,56145.3,15333.8,13230.9,0.0,54329.1,0.0,16380.4,55977.1,19376.6,76342.6,107068.1,128652.3,122409.3,148
15.7,147624.0,30204.0,28896.0,44262.0,44262.0,68081.5,56146.6,15335.1,13232.3,0.0,54329.1,0.0,16381.3,55976.5,19380.5,76345.9,107064.2,128652.3,122410.6,148
16.8,147624.0,30204.0,28896.0,44262.0,44262.0,68083.1,56148.2,15336.8,13233.9,0.0,54329.2,0.0,16384.4,55976.9,19382.9,76348.6,107061.9,128652.3,122412.3,148
17.8,147624.0,30204.0,28896.0,44262.0,44262.0,68083.2,56148.3,15336.9,13234.0,0.0,54329.2,0.0,16388.2,55977.1,19394.4,76360.3,107050.3,128652.3,122412.3,148
18.9,147624.0,30204.0,28896.0,44262.0,44262.0,68083.5,56148.6,15337.1,13234.3,0.0,54329.2,0.0,16388.9,55977.2,19397.9,76364.0,107046.8,128652.3,122412.6,148
19.9,147624.0,30204.0,28896.0,44262.0,44262.0,68084.8,56149.9,15338.4,13235.6,0.0,54329.2,0.0,16390.2,55977.1,19396.0,76362.0,107048.7,128652.3,122413.9,148
21.0,147624.0,30204.0,28896.0,44262.0,44262.0,68084.9,56150.0,15338.5,13235.7,0.0,54329.2,0.0,16390.1,55977.1,19416.1,76382.1,107028.6,128652.3,122414.0,148
22.1,147624.0,30204.0,28896.0,44262.0,44262.0,68084.9,56150.1,15338.6,13235.8,0.0,54329.2,0.0,16391.6,55976.9,19394.5,76360.3,107050.2,128652.3,122414.1,148
23.1,147624.0,30204.0,28896.0,44262.0,44262.0,68085.0,56150.1,15338.7,13235.8,0.0,54329.2,0.0,16393.0,55977.1,19394.2,76360.2,107050.5,128652.3,122414.2,148
24.1,147624.0,30204.0,28896.0,44262.0,44262.0,68097.3,56162.4,15351.0,13248.1,0.0,54329.2,0.0,16405.9,55977.8,19416.6,76383.3,107028.1,128652.3,122426.5,148
25.1,147624.0,30204.0,28896.0,44262.0,44262.0,68098.3,56163.4,15352.0,13249.1,0.0,54329.2,0.0,16406.4,55977.5,19415.9,76382.3,107028.8,128652.3,122427.5,148
26.1,147624.0,30204.0,28896.0,44262.0,44262.0,68098.3,56163.5,15352.0,13249.1,0.0,54329.7,0.0,16407.8,55978.0,19425.6,76392.4,107019.1,128652.3,122428.1,148
27.1,147624.0,30204.0,28896.0,44262.0,44262.0,68098.4,56163.5,15352.1,13249.2,0.0,54329.9,0.0,16408.3,55978.1,19427.3,76394.3,107017.5,128652.3,122428.3,148
28.1,147624.0,30204.0,28896.0,44262.0,44262.0,68098.5,56163.7,15352.2,13249.3,0.0,54329.9,0.0,16408.8,55978.0,19432.2,76399.1,107012.6,128652.3,122428.4,148
29.2,147624.0,30204.0,28896.0,44262.0,44262.0,68098.7,56163.8,15352.4,13249.5,0.0,54330.0,0.0,16409.7,55978.2,19440.8,76407.9,107003.9,128652.3,122428.7,148
30.2,147624.0,30204.0,28896.0,44262.0,44262.0,68103.4,56168.6,15357.1,13254.2,0.0,54330.0,0.0,16415.5,55978.6,19445.3,76412.8,106999.4,128652.3,122433.5,148
31.3,147624.0,30204.0,28896.0,44262.0,44262.0,68105.7,56170.9,15359.4,13256.5,0.0,54330.0,0.0,16418.3,55977.8,19441.9,76408.6,107002.8,128652.3,122435.7,148
32.3,147624.0,30204.0,28896.0,44262.0,44262.0,68105.8,56170.9,15359.4,13256.6,0.0,54330.1,0.0,16419.3,55977.7,19447.0,76413.6,106997.7,128652.3,122435.8,148
33.4,147624.0,30204.0,28896.0,44262.0,44262.0,68106.1,56171.3,15359.8,13256.9,0.0,54330.1,0.0,16419.6,55977.3,19451.9,76418.1,106992.9,128652.3,122436.2,148
34.4,147624.0,30204.0,28896.0,44262.0,44262.0,68106.4,56171.5,15360.0,13257.2,0.0,54330.1,0.0,16420.3,55977.1,19437.2,76403.1,107007.5,128652.3,122436.4,148
35.5,147624.0,30204.0,28896.0,44262.0,44262.0,68138.6,56200.1,15392.3,13285.8,0.0,54331.4,0.0,16449.0,55978.0,19469.5,76436.4,106975.2,128652.3,122470.0,148
36.5,147624.0,30204.0,28896.0,44262.0,44262.0,68138.7,56200.2,15392.3,13285.8,0.0,54331.5,0.0,16449.8,55978.3,19478.4,76445.5,106966.3,128652.3,122470.2,148
37.6,147624.0,30204.0,28896.0,44262.0,44262.0,68138.7,56200.2,15392.4,13285.9,0.0,54331.5,0.0,16450.2,55978.2,19475.6,76442.7,106969.1,128652.3,122470.3,148
