elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,137490.0,25413.0,24787.0,43645.0,43645.0,66764.5,55754.4,14038.8,12843.4,0.0,73730.4,0.0,15910.2,75751.2,17704.6,94575.5,108609.4,128652.3,140494.9,148
1.0,137492.0,25415.0,24787.0,43645.0,43645.0,66776.2,55764.2,14049.4,12853.2,0.0,73730.4,0.0,15940.4,75751.4,17734.4,94605.4,108579.6,128652.3,140506.6,148
2.1,137492.0,25415.0,24787.0,43645.0,43645.0,66803.9,55791.5,14076.9,12880.6,0.0,73730.6,0.0,15968.6,75751.2,17774.3,94645.1,108539.7,128652.3,140534.5,148
3.2,137492.0,25415.0,24787.0,43645.0,43645.0,66809.9,55797.0,14082.6,12886.1,0.0,73730.6,0.0,15973.2,75751.2,17785.2,94656.1,108528.7,128652.3,140540.5,148
4.2,137494.0,25417.0,24787.0,43645.0,43645.0,66810.4,55797.3,14083.0,12886.4,0.0,73730.8,0.0,15975.7,75751.5,17790.1,94661.2,108523.9,128652.3,140541.2,148
5.2,137496.0,25417.0,24787.0,43645.0,43647.0,66813.4,55800.2,14085.9,12889.3,0.0,73730.8,0.0,15974.0,75751.4,17791.0,94662.0,108523.0,128652.3,140544.2,148
6.3,137496.0,25417.0,24787.0,43645.0,43647.0,66839.5,55826.4,14112.1,12915.5,0.0,73730.9,0.0,16022.0,75751.6,17854.7,94725.9,108459.2,128652.3,140570.4,148
7.3,137496.0,25417.0,24787.0,43645.0,43647.0,66856.9,55843.8,14129.5,12932.8,0.0,73730.9,0.0,16045.8,75751.7,17884.3,94755.6,108429.0,128652.3,140587.8,148
8.3,137496.0,25417.0,24787.0,43645.0,43647.0,66901.1,55884.5,14173.7,12973.5,0.0,73730.9,0.0,16100.9,75751.8,17946.3,94817.8,108367.6,128652.3,140632.0,148
9.3,137498.0,25417.0,24787.0,43647.0,43647.0,66920.0,55903.3,14192.6,12992.4,0.0,73731.0,0.0,16134.4,75751.7,17992.1,94863.4,108321.9,128652.3,140651.0,148
10.3,137500.0,25417.0,24787.0,43647.0,43649.0,66941.9,55924.9,14214.2,13014.0,0.0,73731.0,0.0,16162.8,75752.4,18024.2,94896.2,108289.8,128652.3,140672.9,148
11.3,137500.0,25417.0,24787.0,43647.0,43649.0,66960.8,55940.5,14229.7,13029.6,0.0,73731.0,0.0,16193.0,75752.7,18060.7,94933.1,108253.2,128652.3,140691.8,148
12.3,137500.0,25417.0,24787.0,43647.0,43649.0,66961.0,55940.7,14229.9,13029.8,0.0,73731.0,0.0,16194.6,75753.2,18065.2,94938.0,108248.8,128652.3,140692.0,148
13.3,137500.0,25417.0,24787.0,43647.0,43649.0,66966.8,55946.5,14235.7,13035.6,0.0,73731.0,0.0,16209.9,75753.3,18078.2,94951.2,108235.7,128652.3,140697.9,148
14.3,137500.0,25417.0,24787.0,43647.0,43649.0,66967.3,55947.0,14236.2,13036.1,0.0,73731.0,0.0,16214.5,75754.0,18091.0,94964.7,108223.0,128652.3,140698.4,148
15.3,137500.0,25417.0,24787.0,43647.0,43649.0,66968.7,55947.1,14236.1,13036.2,0.0,73731.0,0.0,16218.0,75754.2,18096.1,94969.9,108217.8,128652.3,140699.7,148
16.4,137500.0,25417.0,24787.0,43647.0,43649.0,66980.5,55956.7,14245.9,13045.8,0.0,73731.0,0.0,16226.6,75754.1,18113.0,94986.7,108201.0,128652.3,140711.5,148
17.4,137500.0,25417.0,24787.0,43647.0,43649.0,66980.6,55956.8,14246.0,13045.9,0.0,73731.0,0.0,16230.4,75754.8,18119.6,94994.1,108194.3,128652.3,140711.6,148
18.4,137500.0,25417.0,24787.0,43647.0,43649.0,66980.7,55956.9,14246.1,13046.0,0.0,73731.1,0.0,16231.4,75754.6,18119.5,94993.7,108194.5,128652.3,140711.8,148
19.4,137500.0,25417.0,24787.0,43647.0,43649.0,66986.4,55962.5,14251.8,13051.6,0.0,73731.1,0.0,16234.7,75755.3,18121.8,94996.7,108192.2,128652.3,140717.5,148
20.4,137500.0,25417.0,24787.0,43647.0,43649.0,66986.4,55962.6,14251.8,13051.6,0.0,73731.2,0.0,16235.5,75755.7,18118.4,94993.8,108195.5,128652.3,140717.5,148
21.4,137500.0,25417.0,24787.0,43647.0,43649.0,66986.4,55962.6,14251.9,13051.7,0.0,73731.2,0.0,16236.7,75755.3,18115.2,94990.2,108198.7,128652.3,140717.7,148
22.5,137500.0,25417.0,24787.0,43647.0,43649.0,66988.7,55964.9,14254.1,13054.0,0.0,73731.2,0.0,16237.6,75755.1,18116.2,94991.0,108197.7,128652.3,140719.9,148
23.5,137500.0,25417.0,24787.0,43647.0,43649.0,66992.0,55968.2,14257.4,13057.3,0.0,73731.2,0.0,16243.0,75755.5,18127.0,95002.2,108187.0,128652.3,140723.3,148
