t_s,P0_use,P0_used_tok,P0_running,P1_use,P1_used_tok,P1_running,D0_use,D0_used_tok,D0_running,D1_use,D1_used_tok,D1_running
# roles: P0:P P1:P D0:D D1:D
0.00,0.0000,0,0,0.0000,0,0,,,,,,
1.00,0.0000,0,0,0.0683,4096,0,,,,,,
2.00,0.0000,0,0,0.2048,12288,0,,,,,,
3.00,0.0000,0,0,0.2731,16384,0,,,,0.1521,31798,0
4.00,0.0000,0,0,0.3338,20028,0,0.1739,36351,0,0.1521,31798,0
5.00,0.0000,0,0,0.3150,18897,0,0.1739,36351,0,0.1521,31798,0
6.00,0.0000,0,0,0.2215,13290,0,0.1581,33056,0,0.1300,27165,0
7.00,0.0000,0,0,0.2367,14200,0,0.1069,22343,0,0.1300,27165,0
8.00,0.0000,0,0,0.2522,15135,0,0.1069,22343,0,0.1579,32999,0
9.00,0.0000,0,0,0.2631,15787,0,0.1069,22343,0,0.1682,35170,0
10.00,0.0000,0,0,0.2414,14483,0,0.1069,22343,0,0.1425,29790,0
11.00,0.0000,0,0,0.2890,17342,0,0.1069,22343,0,0.1586,33162,0
12.00,0.0000,0,0,0.2890,17342,0,0.1331,27823,0,0.1534,32059,0
13.00,0.0000,0,0,0.9088,54529,0,0.1498,31305,0,0.1534,32059,0
14.00,0.0000,0,0,0.9088,54529,0,0.1111,23229,0,0.1534,32059,0
15.00,0.0000,4,0,0.7087,42525,0,0.1111,23229,0,0.1554,32481,0
16.00,0.0000,4,0,0.6754,40521,0,0.0582,12157,0,0.1719,35934,0
17.00,0.0000,4,0,0.6235,37412,0,0.0806,16857,0,0.1601,33470,0
18.00,0.0000,4,0,0.5893,35355,0,0.0482,10070,0,0.1443,30166,0
19.00,0.0000,4,0,0.3870,23219,0,0.0489,10217,0,0.1231,25733,0
20.00,0.0000,4,0,0.6159,36953,0,0.0756,15809,0,0.0700,14638,0
21.00,0.0000,4,0,0.5681,34085,0,0.0995,20789,0,0.0700,14638,0
22.00,0.0000,4,0,0.5622,33731,0,0.0983,20547,0,0.0695,14522,0
