elapsed_s,gpu0_gb,gpu1_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0012,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,1.4148,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,19,0,0,0,0,2,0
2.0,0.0,0.4432,0.4432,0.0,0.4432,0.0,0.0,0,0,0,1.9403,0.4432,0.0,0.0,0.0,0.0,0,0,0,0,19,0,0,0,0,2,0
3.0,0.0,0.4432,0.4432,0.0,0.4432,0.0,0.0,0,0,0,1.9403,0.4432,0.0,0.0,0.0,0.0,0,0,0,0,19,0,0,0,0,2,0
4.0,0.0,0.8851,0.8851,0.0,0.8851,0.0,0.0,0,0,0,3.5509,0.8851,0.0,0.0,0.0,0.0,0,0,0,0,19,0,0,0,0,2,0
5.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,4.6246,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,19,0,0,0,0,2,0
6.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,5.6984,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,49,0,0,0,0,2,0
7.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,6.2352,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,49,0,0,0,0,2,0
8.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,7.309,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,79,0,0,0,0,2,0
9.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,6.6936,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,171,0,0,0,0,2,0
10.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,7.6183,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,229,0,0,0,0,2,0
11.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,7.4318,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,259,0,0,0,0,2,0
12.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,7.6728,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,319,0,0,0,0,2,0
13.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,7.2552,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,345,0,0,0,0,2,0
14.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,7.7734,1.9661,0.0,0.0,0.0,0.0,0,0,0,0,347,0,0,0,0,2,0
