elapsed_s,gpu0_gb,gpu1_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0012,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.8779,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.4394,0.4394,0.0,0.4394,0.0,0.0,0,0,0,1.4034,0.4394,0.0,0.0,0.0,0.0,0,0,0,0,19,0,0,0,0,2,0
3.0,0.0,0.4394,0.4394,0.0,0.4394,0.0,0.0,0,0,0,2.915,0.4394,0.0,0.0,0.0,0.0,0,0,0,0,19,0,0,0,0,2,0
4.0,0.0,0.4394,0.4394,0.0,0.4394,0.0,0.0,0,0,0,4.0879,0.4394,0.0,0.0,0.0,0.0,1,0,1,0,19,0,0,1,0,2,0
5.0,0.0,0.8811,0.8811,0.0,0.8811,0.0,0.0,0,0,0,4.6247,0.8811,0.0,0.0,0.0,0.0,1,0,1,0,19,0,0,1,0,2,0
6.0,0.0,3.4152,3.4152,0.0,3.4152,0.0,0.0,0,0,0,5.6985,3.4152,0.0,0.0,0.0,0.0,1,0,1,0,19,0,0,1,0,2,0
7.0,0.0,3.9322,3.9322,0.0,3.9322,0.0,0.0,0,0,0,6.7722,3.9322,0.0,0.0,0.0,0.0,1,0,1,0,19,0,0,1,0,2,0
8.0,0.0,3.9322,3.9322,0.0,3.9322,0.0,0.0,0,0,0,6.8599,3.9322,0.0,0.0,0.0,0.0,1,0,1,0,49,0,0,1,0,2,0
9.0,0.0,3.9322,3.9322,0.0,3.9322,0.0,0.0,0,0,0,7.8123,3.9322,0.0,0.0,0.0,0.0,1,0,1,0,79,0,0,1,0,2,0
10.0,0.0,3.9322,3.9322,0.0,3.9322,0.0,0.0,0,0,0,7.6473,3.9322,0.0,0.0,0.0,0.0,1,0,1,0,191,0,0,1,0,2,0
11.0,0.0,3.9322,3.9322,0.0,3.9322,0.0,0.0,0,0,0,7.136,3.9322,0.0,0.0,0.0,0.0,1,0,1,0,259,0,0,1,0,2,0
12.0,0.0,3.9322,3.9322,0.0,3.9322,0.0,0.0,0,0,0,7.3361,3.9322,0.0,0.0,0.0,0.0,1,0,1,0,289,0,0,1,0,2,0
13.0,0.0,3.9322,3.9322,0.0,3.9322,0.0,0.0,0,0,0,7.7921,3.9322,0.0,0.0,0.0,0.0,1,0,1,0,289,0,0,1,0,2,0
