elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,137528.0,24805.0,25433.0,43645.0,43645.0,84804.7,73783.4,32076.6,30878.3,0.0,54361.6,0.6,33896.2,56002.9,36107.4,93099.8,90336.7,128652.3,139166.3,148
1.2,137530.0,24805.0,25435.0,43645.0,43645.0,84822.5,73799.9,32093.7,30894.8,0.0,54361.8,0.6,33950.1,56003.1,36162.0,93154.5,90282.2,128652.3,139184.4,148
2.3,137530.0,24805.0,25435.0,43645.0,43645.0,84847.3,73824.2,32118.2,30919.1,0.0,54372.7,0.6,33974.4,56013.7,36197.8,93201.0,90246.3,128652.3,139220.0,148
3.6,137530.0,24805.0,25435.0,43645.0,43645.0,84869.6,73846.1,32140.2,30941.0,0.0,54782.8,0.6,33987.3,56423.8,36214.5,93627.8,90229.6,128652.3,139652.4,148
4.8,137530.0,24805.0,25435.0,43645.0,43645.0,84871.7,73847.9,32142.1,30942.9,0.0,55553.6,0.6,33999.9,57195.8,36234.4,94419.7,90209.7,128652.3,140425.3,148
5.9,137530.0,24805.0,25435.0,43645.0,43645.0,84875.7,73851.9,32146.0,30946.8,0.0,56277.2,0.6,34001.3,57927.4,36236.0,95152.8,90208.2,128652.3,141152.9,148
7.1,137532.0,24805.0,25435.0,43645.0,43647.0,84877.5,73853.6,32147.8,30948.5,0.0,56983.7,0.6,34002.1,58642.4,36245.4,95877.2,90198.8,128652.3,141861.2,148
8.2,137532.0,24805.0,25435.0,43645.0,43647.0,84878.5,73854.6,32148.8,30949.6,0.0,57697.0,0.6,34004.3,59364.0,36248.7,96602.2,90195.4,128652.3,142575.5,148
9.4,137532.0,24805.0,25435.0,43645.0,43647.0,84879.9,73855.9,32150.1,30950.9,0.0,58442.5,0.6,34006.3,60117.8,36261.7,97368.9,90182.4,128652.3,143322.3,148
10.6,137534.0,24805.0,25435.0,43647.0,43647.0,84916.4,73889.1,32186.6,30984.0,0.0,59168.4,5498.8,34039.2,60851.9,36306.0,98147.4,90138.1,128652.3,144084.8,148
11.8,137534.0,24805.0,25435.0,43647.0,43647.0,84916.7,73889.4,32187.0,30984.3,0.0,59948.3,5498.8,34040.7,61641.0,36308.5,98939.0,90135.6,128652.3,144865.0,148
13.0,137536.0,24805.0,25437.0,43647.0,43647.0,84919.1,73891.7,32189.3,30986.6,0.0,60695.0,5498.8,34042.8,62396.1,36309.6,99695.2,90134.5,128652.3,145614.1,148
14.2,137536.0,24805.0,25437.0,43647.0,43647.0,84920.2,73892.8,32190.4,30987.7,0.0,61032.8,5498.8,34043.6,62737.4,36316.5,100043.4,90127.6,128652.3,145953.1,148
15.4,137536.0,24805.0,25437.0,43647.0,43647.0,84941.9,73914.4,32212.0,31009.4,0.0,61622.3,5498.8,34061.7,63334.0,36384.3,100707.8,90059.8,128652.3,146564.2,148
16.7,137538.0,24805.0,25439.0,43647.0,43647.0,84958.5,73927.3,32228.6,31022.3,0.0,61939.7,5498.8,34080.1,63655.6,36352.9,100998.0,90091.2,128652.3,146898.2,148
17.9,137538.0,24805.0,25439.0,43647.0,43647.0,84986.5,73955.3,32256.5,31050.3,0.0,62454.2,5498.8,34106.4,64175.8,36377.4,101542.7,90066.6,128652.3,147440.7,148
