t_s,P0_use,P0_used_tok,P0_running,P1_use,P1_used_tok,P1_running,D0_use,D0_used_tok,D0_running,D1_use,D1_used_tok,D1_running
# roles: P0:P P1:P D0:D D1:D
0.00,0.0000,0,0,0.0000,0,0,,,,,,
1.00,0.1115,6689,0,0.0000,0,0,,,,,,
2.00,0.1783,10698,0,0.0000,0,0,,,,,,
3.00,0.1984,11906,0,0.0000,0,0,,,,,,
4.00,0.2667,16002,0,0.0000,0,0,0.1868,39058,0,0.1356,28353,0
5.00,0.1402,8414,0,0.0000,0,0,0.1868,39058,0,0.0975,20381,0
6.00,0.1914,11482,0,0.0000,0,0,0.1616,33784,0,0.0723,15117,0
7.00,0.1870,11218,0,0.0000,0,0,0.4096,85626,0,0.0723,15117,0
8.00,0.1490,8938,0,0.0000,0,0,0.6694,139927,0,0.0723,15117,0
9.00,0.2858,17147,0,0.0000,0,0,0.6694,139927,0,0.0723,15117,0
10.00,0.3314,19886,0,0.0000,0,0,0.6694,139927,0,0.0723,15117,0
11.00,0.1423,8537,0,0.0000,0,0,0.8149,170345,0,0.8158,170540,0
12.00,0.2105,12632,0,0.0000,0,0,0.8056,168403,0,0.8158,170540,0
13.00,0.2735,16408,0,0.0000,0,0,0.8056,168403,0,0.8158,170540,0
14.00,0.2996,17977,0,0.0000,0,0,0.8056,168403,0,0.8056,168399,0
15.00,0.2890,17339,0,0.0000,0,0,0.8056,168403,0,0.8056,168399,0
16.00,0.3886,23319,0,0.0000,0,0,0.8056,168405,0,0.8056,168399,0
17.00,0.4569,27413,0,0.0000,0,0,0.8056,168405,0,0.8056,168400,0
18.00,0.4830,28982,0,0.0000,0,0,0.8056,168405,0,0.8056,168400,0
19.00,0.6639,39836,0,0.0000,0,0,0.8056,168405,0,0.8056,168400,0
20.00,0.6854,41125,0,0.0000,0,0,0.8056,168407,0,0.8056,168400,0
21.00,0.7116,42695,0,0.0000,0,0,0.8056,168407,0,0.8056,168400,0
22.00,0.7431,42059,0,0.0000,0,0,0.8056,168407,0,0.8056,168394,0
