t_s,P0_use,P0_used_tok,P0_running,P1_use,P1_used_tok,P1_running,D0_use,D0_used_tok,D0_running,D1_use,D1_used_tok,D1_running
# roles: P0:P P1:P D0:D D1:D
0.00,0.0000,0,0,0.0000,0,0,,,,,,
1.00,0.1228,7366,0,0.0000,0,0,,,,,,
2.00,0.2051,12305,0,0.0000,0,0,0.1930,40339,0,,,
3.00,0.1976,9424,0,0.0000,0,0,0.1930,40339,0,,,
4.00,0.1382,8293,0,0.0000,0,0,0.1771,37027,0,,,
5.00,0.1855,11130,0,0.0000,0,0,0.1771,37027,0,0.1296,27095,0
6.00,0.1489,8931,0,0.0000,0,0,0.1771,37027,0,0.2647,55339,0
7.00,0.1635,9812,0,0.0000,0,0,0.2746,57404,0,0.6048,126428,0
8.00,0.2144,12863,0,0.0000,0,0,0.2746,57404,0,0.6048,126428,0
9.00,0.2603,15619,0,0.0000,0,0,0.8152,170400,0,0.6048,126428,0
10.00,0.3286,19715,0,0.0000,0,0,0.8152,170400,0,0.6048,126428,0
11.00,0.1975,11848,0,0.0000,0,0,0.8103,169387,0,0.8147,170302,0
12.00,0.1497,8983,0,0.0000,0,0,0.8056,168402,0,0.8109,169511,0
13.00,0.1391,8347,0,0.0000,0,0,0.8056,168402,0,0.8109,169511,0
14.00,0.1706,9918,0,0.0000,0,0,0.8056,168402,0,0.8109,169511,0
15.00,0.1547,9282,0,0.0000,0,0,0.8056,168402,0,0.8109,169511,0
16.00,0.1441,8645,0,0.0000,0,0,0.8056,168402,0,0.8109,169511,0
17.00,0.1388,8327,0,0.0000,0,0,0.8056,168402,0,0.8056,168405,0
18.00,0.1650,9898,0,0.0000,0,0,0.8056,168401,0,0.8056,168405,0
19.00,0.1543,9261,0,0.0000,0,0,0.8056,168401,0,0.8056,168405,0
20.00,0.1805,10830,0,0.0000,0,0,0.8056,168401,0,0.8056,168405,0
21.00,0.2067,12402,0,0.0000,0,0,0.8056,168401,0,0.8056,168405,0
22.00,0.1593,9559,0,0.0000,0,0,0.8056,168401,0,0.8056,168405,0
