t_s,P0_use,P0_used_tok,P0_running,P1_use,P1_used_tok,P1_running,D0_use,D0_used_tok,D0_running,D1_use,D1_used_tok,D1_running
# roles: P0:P P1:P D0:D D1:D
0.00,0.0000,0,0,0.0000,0,0,,,,,,
1.00,0.0000,0,0,0.1219,7316,0,,,,,,
2.00,0.0000,0,0,0.2051,12305,0,,,,,,
3.00,0.0000,0,0,0.1846,11075,0,0.2635,55072,0,,,
4.00,0.0000,0,0,0.1457,8741,0,0.2635,55072,0,0.0606,12678,0
5.00,0.0000,0,0,0.1535,9207,0,0.2638,55140,0,0.0606,12678,0
6.00,0.0000,0,0,0.1582,9489,0,0.1914,40011,0,0.0606,12678,0
7.00,0.0000,0,0,0.2264,13585,0,0.1518,31738,0,0.0606,12678,0
8.00,0.0000,0,0,0.1818,10907,0,0.1521,31798,0,0.0606,12678,0
9.00,0.0000,0,0,0.3188,19129,0,0.1079,22548,0,0.0606,12678,0
10.00,0.0000,0,0,0.2603,15616,0,0.1056,22084,0,0.0606,12678,0
11.00,0.0000,0,0,0.1670,10021,0,0.0754,15768,0,0.1562,32662,0
12.00,0.0000,0,0,0.2488,14931,0,0.0754,15768,0,0.1566,32727,0
13.00,0.0000,0,0,0.2273,13639,0,0.0754,15768,0,0.1230,25715,0
14.00,0.0000,0,0,0.1888,11325,0,0.0754,15768,0,0.1409,29455,0
15.00,0.0000,0,0,0.1695,10170,0,0.1720,35955,0,0.1409,29455,0
16.00,0.0000,0,0,0.2314,13886,0,0.1720,35955,0,0.0852,17800,0
17.00,0.0000,0,0,0.1486,8917,0,0.1203,25142,0,0.0852,17800,0
18.00,0.0000,0,0,0.1943,11656,0,0.1203,25142,0,0.0838,17524,0
19.00,0.0000,0,0,0.1782,10690,0,0.1576,32944,0,0.0838,17524,0
20.00,0.0000,0,0,0.1869,11214,0,0.1579,33003,0,0.0838,17524,0
21.00,0.0000,0,0,0.1802,10812,0,0.1579,33003,0,0.0945,19759,0
22.00,0.0000,0,0,0.1996,11979,0,0.0889,18585,0,0.0945,19759,0
23.00,0.0000,0,0,0.2095,12573,0,0.0889,18585,0,0.1036,21656,0
24.00,0.0000,0,0,0.2004,12021,0,0.0725,15152,0,0.1036,21656,0
25.00,0.0000,0,0,0.3613,21675,0,0.0850,21376,0,0.1036,21656,0
26.00,0.0000,0,0,0.4622,27734,0,0.1023,21376,0,0.0829,17324,0
27.00,0.0000,0,0,0.3903,23419,0,0.0591,12348,0,0.0817,17086,0
28.00,0.0000,0,0,0.2516,15097,0,0.0463,9674,0,0.0549,11472,0
29.00,0.0000,0,0,0.0985,5912,0,0.0529,11058,0,0.0549,11472,0
30.00,0.0000,0,0,0.1494,8965,0,0.0533,11134,0,0.0503,10515,0
31.00,0.0000,0,0,0.2193,13161,0,0.0533,11134,0,0.0711,14859,0
32.00,0.0000,0,0,0.2193,13161,0,0.0533,11134,0,0.0454,9498,0
33.00,0.0000,0,0,0.2193,13161,0,0.0533,11134,0,0.0454,9498,0
34.00,0.0000,0,0,0.1727,10363,0,0.0293,6115,0,0.0454,9498,0
35.00,0.0000,0,0,0.2381,14285,0,0.0249,5211,0,0.0445,9303,0
36.00,0.0000,0,0,0.0980,5883,0,0.0249,5211,0,0.0445,9303,0
37.00,0.0000,0,0,0.0980,5883,0,0.0287,6004,0,0.0445,9303,0
38.00,0.0000,0,0,0.0980,5883,0,0.0287,6004,0,0.0445,9303,0
39.00,0.0000,0,0,0.1763,10577,0,0.0287,6004,0,0.0445,9303,0
40.00,0.0000,0,0,0.0996,5977,0,0.0287,6004,0,0.0515,10774,0
41.00,0.0000,0,0,0.0996,5977,0,0.0287,6004,0,0.0515,10774,0
42.00,0.0000,0,0,0.0996,5977,0,0.0287,6004,0,0.0515,10774,0
43.00,0.0000,0,0,0.0880,5280,0,0.0287,6004,0,0.0515,10774,0
44.00,0.0000,0,0,0.0911,5467,0,0.0268,5596,0,0.0257,5377,0
45.00,0.0000,0,0,0.1021,6126,0,0.0268,5596,0,0.0257,5377,0
46.00,0.0000,0,0,0.1021,6126,0,0.0298,6227,0,0.0257,5377,0
47.00,0.0000,0,0,0.1021,6126,0,0.0298,6227,0,0.0257,5377,0
48.00,0.0000,0,0,0.0894,5365,0,0.0298,6227,0,0.0263,5489,0
49.00,0.0000,0,0,0.0894,5365,0,0.0298,6227,0,0.0263,5489,0
50.00,0.0000,0,0,0.0894,5365,0,0.0298,6227,0,0.0263,5489,0
51.00,0.0000,0,0,0.0894,5365,0,0.0298,6227,0,0.0263,5489,0
