[2026-07-08 08:17:19] Idle KV parking [prefill] DIAG: recv=550 processed=550 backlog=0 | skip=0(0%) copy=550 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=529 already=5 nospace=20 (of 556) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:17:25] Idle KV parking [prefill] DIAG: recv=560 processed=560 backlog=0 | skip=0(0%) copy=560 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=539 already=5 nospace=20 (of 566) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:17:32] Idle KV parking [prefill] DIAG: recv=570 processed=570 backlog=0 | skip=0(0%) copy=570 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=550 already=5 nospace=20 (of 577) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:17:39] Idle KV parking [prefill] DIAG: recv=580 processed=580 backlog=0 | skip=0(0%) copy=580 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=562 already=5 nospace=20 (of 589) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:17:45] Idle KV parking [prefill] DIAG: recv=591 processed=590 backlog=1 | skip=0(0%) copy=590 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=570 already=5 nospace=20 (of 597) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:17:52] Idle KV parking [prefill] DIAG: recv=600 processed=600 backlog=0 | skip=0(0%) copy=600 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=580 already=5 nospace=20 (of 607) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:18:00] Idle KV parking [prefill] DIAG: recv=611 processed=610 backlog=1 | skip=0(0%) copy=610 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=591 already=5 nospace=20 (of 618) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:18:06] Idle KV parking [prefill] DIAG: recv=620 processed=620 backlog=0 | skip=0(0%) copy=620 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=600 already=5 nospace=21 (of 628) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:18:14] Idle KV parking [prefill] DIAG: recv=630 processed=630 backlog=0 | skip=0(0%) copy=630 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=609 already=5 nospace=22 (of 638) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:18:22] Idle KV parking [prefill] DIAG: recv=641 processed=640 backlog=1 | skip=0(0%) copy=640 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=619 already=6 nospace=22 (of 649) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:18:28] Idle KV parking [prefill] DIAG: recv=650 processed=650 backlog=0 | skip=0(0%) copy=650 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=627 already=6 nospace=22 (of 657) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:18:36] Idle KV parking [prefill] DIAG: recv=661 processed=660 backlog=1 | skip=0(0%) copy=660 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=637 already=6 nospace=22 (of 667) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:18:42] Idle KV parking [prefill] DIAG: recv=671 processed=670 backlog=1 | skip=0(0%) copy=670 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=646 already=6 nospace=22 (of 676) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
[2026-07-08 08:18:51] Idle KV parking [prefill] DIAG: recv=681 processed=680 backlog=1 | skip=0(0%) copy=680 avg-P-had=0.00 | survival=100% (32/32) | FETCH: hits=2 tok=59 avg=12.2ms | miss=657 already=6 nospace=22 (of 687) | H1(retain):skip↑had↑  H2(evict):survival↓  H3(no-match):survival↑reuse-flat
