t_s,P0_use,P0_used_tok,P0_running,P1_use,P1_used_tok,P1_running,D0_use,D0_used_tok,D0_running,D1_use,D1_used_tok,D1_running
# roles: P0:P P1:P D0:D D1:D
0.00,0.0000,1,0,0.0000,1,0,0.0000,0,0,0.0000,0,0
0.50,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0
1.00,0.0000,0,0,0.1670,3340,0,0.0000,0,0,0.0000,0,0
1.50,0.2048,4096,0,0.3683,7366,0,0.0000,0,0,0.0000,0,0
2.00,0.4096,8192,0,0.3683,7366,0,0.0000,0,0,0.0000,0,0
2.50,0.4096,8192,0,0.7735,15471,0,0.0000,0,0,0.0000,0,0
3.00,0.4096,8192,0,0.8157,16314,0,0.0000,0,0,0.7029,14058,0
3.50,0.4096,8192,0,0.4271,8543,0,0.0000,0,0,0.7029,14058,0
4.00,0.0035,70,0,0.6320,12639,0,0.8345,16689,0,0.7029,14058,0
4.50,0.0035,70,0,0.8367,16735,0,0.8345,16689,0,0.7029,14058,0
5.00,0.0035,70,0,0.5334,10669,0,0.8735,17470,0,0.7029,14058,0
5.50,0.0043,87,0,0.7382,14765,0,0.8735,17470,0,0.7580,15159,0
6.00,0.0043,87,0,0.7382,14765,0,0.8735,17470,0,0.7580,15159,0
6.50,0.0043,87,0,0.5857,11715,0,0.8735,17470,0,0.8535,17070,0
7.00,0.0035,70,0,0.7905,15811,0,0.7076,14151,0,0.8535,17070,0
7.50,0.2083,4166,0,0.6347,12694,0,0.7076,14151,0,0.8535,17070,0
8.00,0.4203,8405,0,0.6347,12694,0,0.7076,14151,0,0.8535,9581,0
8.50,0.4863,9726,0,0.4653,9307,0,0.7601,15202,0,0.4790,9581,0
9.00,0.4792,9583,0,0.4653,9307,0,0.7601,15202,0,0.4790,9581,0
9.50,0.5470,10940,0,0.2083,4166,0,0.7643,15287,0,0.4790,9581,0
10.16,0.4818,9636,0,0.2083,4166,0,0.7592,15184,0,0.4790,9581,0
10.66,0.6866,13732,0,0.2615,9326,0,0.7592,15184,0,0.4835,9671,0
11.16,0.6439,12878,0,0.4663,9326,0,0.8123,16246,0,0.4835,9671,0
11.66,0.6439,12878,0,0.4779,9558,0,0.8123,16246,0,0.4835,9671,0
12.16,0.4269,8539,0,0.4779,9558,0,0.8077,16155,0,0.4835,9671,0
12.66,0.4269,8539,0,0.4563,9127,0,0.8077,16155,0,0.8365,16729,0
13.16,0.4269,8539,0,0.6612,13223,0,0.8077,16155,0,0.8365,16729,0
13.66,0.4269,87,0,0.5345,10691,0,0.7789,15577,0,0.8365,16729,0
14.16,0.0043,87,0,0.4790,9581,0,0.7789,15577,0,0.8716,17431,0
14.66,0.0043,87,0,0.6838,13677,0,0.7789,15577,0,0.8716,17431,0
15.16,0.2092,4183,0,0.6838,13677,0,0.7826,15652,0,0.8716,17431,0
15.66,0.2092,5490,0,0.7478,14955,0,0.7826,15652,0,0.8716,17431,0
16.16,0.4793,9586,0,0.5940,11880,0,0.7305,14609,0,0.8716,17431,0
16.66,0.4916,9832,0,0.5940,11949,0,0.7305,14609,0,0.8716,17431,0
17.16,0.4254,8508,0,0.5975,11949,0,0.7305,14609,0,0.8716,17431,0
17.66,0.6302,12604,0,0.5383,10765,0,0.7358,14716,0,0.8722,17445,0
18.16,0.6302,12604,0,0.4448,8896,0,0.7358,14716,0,0.8722,15504,0
18.82,0.6302,12604,0,0.4448,8896,0,0.7385,14769,0,0.7752,15504,0
19.32,0.6302,12604,0,0.3735,7470,0,0.7385,14818,0,0.7014,14028,0
19.88,0.2100,4200,0,0.4131,8262,0,0.7409,14818,0,0.7014,14028,0
20.38,0.2751,5502,0,0.4131,8262,0,0.7409,14818,0,0.7014,14028,0
20.88,0.4799,9598,0,0.4131,8262,0,0.7409,14818,0,0.7014,14028,0
21.38,0.6847,13694,0,0.4131,8262,0,0.7110,14221,0,0.7014,14028,0
21.88,0.6847,13694,0,0.4131,8262,0,0.7110,14221,0,0.5523,11046,0
22.38,0.6879,13759,0,0.4131,8262,0,0.7137,14273,0,0.5523,11046,0
22.88,0.8928,17855,0,0.2092,4183,0,0.7137,14273,0,0.5523,11046,0
23.38,0.8928,17855,0,0.2092,4183,0,0.6634,13269,0,0.5523,11046,0
23.88,0.7152,14304,0,0.2092,4183,0,0.6634,13269,0,0.7886,15773,0
24.38,0.7152,14304,0,0.2092,4183,0,0.6634,13269,0,0.7886,15773,0
24.88,0.6456,12913,0,0.2744,5488,0,0.6634,13269,0,0.8213,16425,0
25.38,0.6456,12913,0,0.4792,9584,0,0.7246,14491,0,0.8213,16425,0
25.88,0.4812,9624,0,0.4131,8262,0,0.7246,14491,0,0.8233,16465,0
26.38,0.5444,10888,0,0.7719,15438,0,0.7246,14491,0,0.8233,16465,0
26.88,0.5980,11960,0,0.7719,15438,0,0.7246,14491,0,0.8233,16465,0
27.38,0.5980,11960,0,0.7719,15438,0,0.7200,14400,0,0.8485,16969,0
27.88,0.5980,6827,0,0.7719,15438,0,0.7200,14400,0,0.8485,16969,0
28.38,0.5462,10923,0,0.7719,15438,0,0.7174,14347,0,0.8485,16969,0
28.88,0.6016,12032,0,0.2083,4166,0,0.7174,14347,0,0.7313,14627,0
29.38,0.6391,12783,0,0.2083,4166,0,0.7139,14279,0,0.7313,14627,0
29.88,0.6391,12783,0,0.2083,4166,0,0.7139,14279,0,0.7313,14627,0
30.38,0.5755,11510,0,0.2083,4166,0,0.7139,14279,0,0.8572,17145,0
30.88,0.6204,12409,0,0.2083,4166,0,0.7139,14279,0,0.8572,17145,0
31.38,0.8253,16505,0,0.2083,4166,0,0.7280,14560,0,0.8572,17145,0
31.88,0.8253,16505,0,0.2083,4166,0,0.7280,14560,0,0.8662,17324,0
32.38,0.6278,12555,0,0.0035,70,0,0.7399,14799,0,0.8662,17324,0
32.88,0.6670,13340,0,0.4417,8835,0,0.7399,14799,0,0.8662,17012,0
33.38,0.6236,12472,0,0.4867,9733,0,0.7399,14799,0,0.8506,17012,0
33.88,0.6236,12472,0,0.2817,5633,0,0.7399,14799,0,0.8506,17012,0
34.38,0.6041,12082,0,0.2817,5633,0,0.7517,15034,0,0.8506,17012,0
34.88,0.6416,12832,0,0.2817,5633,0,0.7517,15034,0,0.8488,16975,0
35.38,0.6204,12409,0,0.2817,5633,0,0.7517,15034,0,0.8488,16975,0
35.88,0.8253,16505,0,0.2817,5633,0,0.7517,15034,0,0.8406,16812,0
36.38,0.8253,16505,0,0.2817,5633,0,0.7517,15034,0,0.8406,16812,0
36.88,0.6864,13727,0,0.2817,5633,0,0.7992,15984,0,0.6762,13524,0
37.38,0.6569,13137,0,0.2817,5633,0,0.7992,15984,0,0.6762,13524,0
37.88,0.6569,13137,0,0.2817,5633,0,0.8359,16719,0,0.6762,13524,0
38.38,0.8558,17116,0,0.2817,5633,0,0.8359,16719,0,0.6762,13524,0
38.88,0.8558,17116,0,0.2817,5633,0,0.8379,16759,0,0.8240,16480,0
39.38,0.7590,15180,0,0.2817,5633,0,0.8379,16759,0,0.8240,16480,0
39.88,0.5505,11011,0,0.2817,5633,0,0.8403,16805,0,0.8240,16480,0
40.38,0.4792,9584,0,0.2090,4180,0,0.8403,16805,0,0.7927,15854,0
40.88,0.6840,13680,0,0.4239,8477,0,0.8900,17800,0,0.7927,15854,0
41.38,0.5111,10222,0,0.4239,8477,0,0.8900,17800,0,0.7927,15854,0
41.88,0.7167,14335,0,0.4239,8477,0,0.8927,17854,0,0.7927,15854,0
42.38,0.7167,14335,0,0.4239,8477,0,0.8927,17854,0,0.7927,15854,0
42.88,0.6310,12619,0,0.4239,8477,0,0.8927,17854,0,0.7927,15854,0
43.38,0.5647,11294,0,0.0043,87,0,0.8927,17854,0,0.8657,17313,0
43.88,0.7695,15390,0,0.0043,87,0,0.8030,16060,0,0.8657,17313,0
44.38,0.7695,15390,0,0.0043,87,0,0.8030,16060,0,0.8657,17313,0
44.88,0.4860,9720,0,0.0043,87,0,0.6351,12701,0,0.7990,15980,0
45.38,0.4860,9720,0,0.0043,87,0,0.6351,12701,0,0.7990,15980,0
45.88,0.6908,13816,0,0.2090,4180,0,0.6351,12701,0,0.7990,14746,0
46.38,0.5638,11277,0,0.2090,4180,0,0.6351,12701,0,0.7373,14746,0
46.88,0.6069,12137,0,0.4937,9874,0,0.6351,12701,0,0.7373,14746,0
47.38,0.6069,12137,0,0.4937,9874,0,0.8558,17116,0,0.7373,14746,0
47.88,0.4988,9976,0,0.4937,9874,0,0.8558,17116,0,0.8123,16245,0
48.38,0.6196,12392,0,0.2404,4807,0,0.8558,17116,0,0.8123,16245,0
48.88,0.6196,12392,0,0.2404,4807,0,0.8558,17116,0,0.7871,15742,0
49.38,0.6512,13023,0,0.2404,4807,0,0.7780,15560,0,0.7871,15742,0
49.88,0.6512,13023,0,0.2404,4807,0,0.7780,15560,0,0.7871,15742,0
50.38,0.8456,16911,0,0.2404,4807,0,0.7700,15399,0,0.7871,15742,0
50.88,0.9304,18607,0,0.2404,4807,0,0.7700,15399,0,0.7871,15742,0
51.38,0.9304,18607,0,0.2404,4807,0,0.7700,15399,0,0.7871,15742,0
51.88,0.5020,14153,0,0.2781,5562,0,0.7700,15399,0,0.7871,15742,0
