elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,n_pids
0.0,175388.0,4103.0,2597.7,0.0,16882.5,0.0,77342.1,17139.9,81301.5,98509.7,46129.5,4
1.0,175616.0,4110.0,2604.6,0.0,16891.5,0.0,77433.3,17149.1,81394.2,98611.8,46036.5,4
2.0,175638.0,4110.1,2604.6,0.0,16892.3,0.0,77465.0,17149.8,81438.7,98657.4,45991.6,4
3.0,175638.0,4110.6,2605.0,0.0,16892.7,0.0,77466.8,17150.6,81442.6,98662.1,45987.5,4
4.0,175642.0,4111.6,2606.0,0.0,16892.8,0.0,77469.5,17151.0,81450.1,98669.9,45979.9,4
5.0,175646.0,4111.6,2606.0,0.0,16892.9,0.0,77477.4,17151.3,81470.1,98690.3,45959.8,4
6.0,175646.0,4111.7,2606.0,0.0,16892.9,0.0,77479.3,17151.2,81655.5,98875.6,45774.4,4
7.0,175646.0,4112.1,2606.4,0.0,16893.2,0.0,77499.5,17151.1,81501.1,98721.0,45929.1,4
8.0,175652.0,4112.3,2606.6,0.0,16897.6,0.0,77493.1,17155.9,81747.9,98974.1,45680.6,4
9.0,175672.0,4113.1,2607.4,0.0,16912.1,0.0,77507.5,17172.6,81491.8,98741.0,45929.3,4
10.0,175672.0,4113.1,2607.4,0.0,16912.6,0.0,77495.6,17173.3,81494.0,98743.9,45927.0,4
11.0,175672.0,4113.2,2607.5,0.0,16912.7,0.0,77507.0,17172.9,81576.4,98825.9,45844.9,4
12.0,175672.0,4113.2,2607.6,0.0,16912.8,0.0,77509.1,17172.7,81506.5,98755.9,45914.8,4
13.0,175674.0,4113.3,2607.6,0.0,16912.8,0.0,77509.0,17172.8,81504.6,98754.0,45916.7,4
14.0,175674.0,4113.3,2607.6,0.0,16913.2,0.0,77522.2,17173.6,81644.7,98894.8,45776.5,4
15.0,175676.0,4113.3,2607.6,0.0,16913.2,0.0,77523.4,17173.3,81532.7,98782.6,45888.6,4
16.0,175676.0,4113.3,2607.7,0.0,16913.2,0.0,77523.9,17173.6,81530.3,98780.5,45890.9,4
17.0,175678.0,4113.9,2608.2,0.0,16913.3,0.0,77523.9,17173.6,81544.1,98794.4,45877.0,4
18.0,175678.0,4113.9,2608.2,0.0,16913.3,0.0,77525.4,17173.5,81547.2,98797.4,45874.0,4
19.0,175678.0,4113.9,2608.2,0.0,16913.4,0.0,77525.5,17173.4,81554.1,98804.2,45867.2,4
20.0,175678.0,4114.0,2608.3,0.0,16913.4,0.0,77538.1,17173.1,81804.2,99054.0,45617.3,4
21.0,175678.0,4114.0,2608.3,0.0,16913.6,0.0,77531.7,17173.2,81785.8,99035.7,45635.7,4
22.0,175678.0,4114.0,2608.3,0.0,16913.6,0.0,77531.9,17173.6,81555.3,98805.6,45866.0,4
23.0,175678.0,4114.2,2608.5,0.0,16913.6,0.0,77546.9,17173.4,81576.1,98826.2,45845.3,4
24.0,175678.0,4114.4,2608.7,0.0,16913.7,0.0,77533.7,17173.6,81549.3,98799.5,45872.1,4
25.0,175678.0,4114.6,2608.9,0.0,16913.7,0.0,77534.1,17173.7,81547.5,98797.8,45873.8,4
26.0,175678.0,4114.7,2609.1,0.0,16918.2,0.0,77574.2,17178.4,81592.7,98847.7,45828.5,4
27.0,175682.0,4114.9,2609.3,0.0,16918.2,0.0,77560.8,17178.8,81673.2,98928.7,45747.8,4
28.0,175682.0,4115.0,2609.3,0.0,16918.2,0.0,77561.4,17179.0,81579.2,98834.9,45841.7,4
29.0,175682.0,4115.5,2609.8,0.0,16918.3,0.0,77582.8,17179.2,81599.7,98855.5,45821.2,4
30.0,175682.0,4115.5,2609.8,0.0,16918.3,0.0,77583.4,17179.1,81602.0,98857.7,45818.9,4
31.0,175682.0,4115.5,2609.8,0.0,16918.5,0.0,77598.1,17179.2,81614.4,98870.3,45806.6,4
32.0,175682.0,4115.5,2609.8,0.0,16918.5,0.0,77598.0,17179.3,81623.3,98879.3,45797.6,4
33.0,175682.0,4115.5,2609.8,0.0,16918.6,0.0,77583.7,17179.1,81610.4,98866.2,45810.6,4
34.0,175682.0,4115.5,2609.8,0.0,16918.6,0.0,77598.1,17179.3,81623.7,98879.6,45797.2,4
35.0,175682.0,4115.5,2609.8,0.0,16918.6,0.0,77584.9,17179.3,81614.7,98870.8,45806.2,4
36.0,175682.0,4115.6,2609.9,0.0,16918.6,0.0,77585.5,17179.5,81610.6,98866.8,45810.2,4
37.0,175682.0,4115.9,2610.3,0.0,16918.7,0.0,77587.7,17179.3,81600.4,98856.4,45820.5,4
38.0,175682.0,4115.9,2610.3,0.0,16918.7,0.0,77587.3,17179.2,81764.6,99020.4,45656.4,4
39.0,175682.0,4115.9,2610.3,0.0,16918.7,0.0,77587.3,17179.6,81607.0,98863.2,45813.9,4
40.0,175682.0,4116.0,2610.3,0.0,16918.7,0.0,77587.9,17180.2,81611.8,98868.8,45808.7,4
41.0,175682.0,4116.0,2610.3,0.0,16918.8,0.0,77585.5,17180.0,81614.9,98871.6,45805.7,4
42.0,175682.0,4116.0,2610.3,0.0,16918.8,0.0,77585.6,17179.7,81621.6,98878.0,45799.2,4
43.0,175682.0,4116.0,2610.3,0.0,16918.8,0.0,77586.7,17179.9,81619.9,98876.5,45800.8,4
44.0,175682.0,4116.4,2610.7,0.0,16918.8,0.0,77587.4,17179.8,81622.9,98879.4,45797.9,4
45.0,175682.0,4116.5,2610.8,0.0,16918.8,0.0,77607.6,17179.7,81673.4,98929.9,45747.4,4
46.0,175684.0,4116.7,2611.0,0.0,16918.8,0.0,77607.7,17179.6,81642.8,98899.0,45778.1,4
47.0,175684.0,4117.0,2611.3,0.0,16919.0,0.0,77608.4,17179.8,82011.2,99267.7,45409.7,4
48.0,175684.0,4117.0,2611.4,0.0,16919.1,0.0,77609.1,17179.9,81641.8,98898.5,45779.0,4
49.0,175684.0,4117.1,2611.4,0.0,16919.1,0.0,77609.4,17180.2,81640.7,98897.6,45780.0,4
50.0,175684.0,4117.3,2611.6,0.0,16919.2,0.0,77612.9,17180.6,81646.3,98903.6,45774.2,4
51.0,175686.0,4117.3,2611.6,0.0,16919.2,0.0,77631.8,17179.8,81659.7,98916.2,45761.3,4
52.0,175686.0,4117.3,2611.6,0.0,16919.2,0.0,77632.8,17180.1,81650.8,98907.7,45770.0,4
53.0,175686.0,4117.3,2611.6,0.0,16919.2,0.0,77647.2,17180.4,81663.0,98920.2,45757.6,4
