elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,n_pids
0.0,168926.0,4104.1,2598.2,0.0,16905.8,0.0,14801.8,17166.6,18560.6,35806.7,108857.5,4
1.0,169266.0,4111.1,2605.0,0.0,16914.3,0.0,14896.0,17175.3,18647.4,35902.2,108770.6,4
2.0,169920.0,4111.2,2605.1,0.0,16914.5,0.0,14962.3,17175.6,19005.9,36261.1,108411.9,4
3.0,170006.0,4111.6,2605.4,0.0,16914.5,0.0,14957.6,17175.0,19275.2,36529.7,108143.0,4
4.0,170072.0,4112.5,2606.3,0.0,16914.5,0.0,14971.1,17175.1,19069.8,36324.4,108348.4,4
5.0,170160.0,4112.6,2606.3,0.0,16915.2,0.0,14972.4,17175.6,18996.8,36251.9,108421.5,4
6.0,170162.0,4112.7,2606.4,0.0,16915.5,0.0,14976.7,17175.6,19004.8,36260.0,108413.5,4
7.0,170182.0,4113.2,2606.9,0.0,16916.2,0.0,14979.9,17175.9,19002.9,36258.5,108415.6,4
8.0,170184.0,4113.3,2607.0,0.0,16916.4,0.0,14983.3,17176.2,19139.7,36395.6,108278.7,4
9.0,170186.0,4113.6,2607.3,0.0,16916.8,0.0,14993.4,17176.9,19037.4,36294.2,108380.6,4
10.0,170186.0,4113.6,2607.3,0.0,16917.0,0.0,14995.8,17177.0,19018.1,36275.1,108399.9,4
11.0,170186.0,4114.1,2607.8,0.0,16917.0,0.0,14997.6,17177.5,19016.0,36273.4,108401.8,4
12.0,170186.0,4114.5,2608.2,0.0,16917.1,0.0,14998.5,17177.8,19127.6,36385.3,108290.1,4
13.0,170186.0,4115.1,2608.7,0.0,16917.1,0.0,14999.7,17177.5,19017.4,36274.9,108400.4,4
14.0,170186.0,4115.1,2608.8,0.0,16917.1,0.0,15000.4,17177.4,19031.1,36288.5,108386.7,4
15.0,170186.0,4115.1,2608.8,0.0,16917.1,0.0,15018.8,17177.3,19052.9,36310.1,108365.0,4
16.0,170188.0,4115.1,2608.8,0.0,16917.1,0.0,15005.2,17177.4,19041.2,36298.6,108376.6,4
17.0,170188.0,4115.1,2608.8,0.0,16917.1,0.0,15005.3,17177.6,19068.2,36325.8,108349.5,4
18.0,170188.0,4115.1,2608.8,0.0,16924.1,0.0,15005.8,17184.8,19043.8,36310.6,108371.8,4
19.0,170188.0,4115.1,2608.8,0.0,16924.4,0.0,15010.9,17185.0,19255.3,36522.4,108160.3,4
20.0,170190.0,4115.1,2608.8,0.0,16924.6,0.0,15011.4,17185.1,19096.9,36364.1,108318.7,4
21.0,170190.0,4115.2,2608.9,0.0,16924.6,0.0,15025.9,17185.6,19067.0,36334.8,108347.7,4
22.0,170190.0,4115.8,2609.4,0.0,16924.6,0.0,15012.7,17185.6,19049.7,36317.4,108365.7,4
23.0,170190.0,4115.9,2609.6,0.0,16924.6,0.0,15020.6,17185.5,19064.5,36332.1,108350.9,4
24.0,170190.0,4116.1,2609.8,0.0,16929.1,0.0,15038.6,17189.3,19083.0,36354.4,108332.7,4
25.0,170190.0,4116.4,2610.1,0.0,16929.1,0.0,15026.1,17189.5,19067.1,36338.6,108348.6,4
26.0,170192.0,4117.0,2610.7,0.0,16929.2,0.0,15031.5,17190.1,19083.7,36355.9,108331.7,4
27.0,170192.0,4117.5,2611.2,0.0,16929.2,0.0,15047.3,17190.0,19100.1,36372.3,108315.3,4
28.0,170192.0,4117.6,2611.3,0.0,16929.3,0.0,15038.1,17190.5,19095.3,36367.9,108320.0,4
29.0,170192.0,4117.9,2611.6,0.0,16929.3,0.0,15053.1,17190.3,19109.3,36381.7,108306.0,4
30.0,170194.0,4117.9,2611.6,0.0,16929.3,0.0,15056.4,17190.0,19256.3,36528.4,108158.5,4
31.0,170194.0,4117.9,2611.6,0.0,16929.3,0.0,15072.6,17190.4,19127.5,36400.0,108287.8,4
32.0,170194.0,4117.9,2611.6,0.0,16929.4,0.0,15073.9,17190.3,19132.5,36405.0,108282.9,4
33.0,170194.0,4118.0,2611.7,0.0,16929.4,0.0,15074.1,17190.5,19336.2,36608.9,108079.0,4
34.0,170194.0,4118.0,2611.7,0.0,16929.4,0.0,15074.3,17190.4,19132.3,36404.8,108283.1,4
35.0,170194.0,4118.0,2611.7,0.0,16929.4,0.0,15086.6,17190.5,19353.8,36626.5,108061.4,4
36.0,170194.0,4118.0,2611.7,0.0,16929.5,0.0,15087.9,17190.5,19136.2,36408.9,108279.0,4
37.0,170194.0,4118.0,2611.7,0.0,16929.5,0.0,15088.2,17190.2,19136.8,36409.1,108278.6,4
38.0,170194.0,4118.1,2611.8,0.0,16929.5,0.0,15089.2,17190.5,19185.6,36458.2,108229.7,4
39.0,170194.0,4118.7,2612.4,0.0,16929.5,0.0,15089.5,17190.3,19126.6,36399.1,108288.8,4
40.0,170194.0,4118.8,2612.5,0.0,16929.5,0.0,15089.9,17190.7,19127.6,36400.4,108287.6,4
41.0,170194.0,4119.0,2612.7,0.0,16929.5,0.0,15090.4,17190.7,19132.9,36405.7,108282.3,4
42.0,170194.0,4119.0,2612.7,0.0,16929.5,0.0,15091.1,17190.8,19131.4,36404.3,108283.8,4
43.0,170194.0,4119.1,2612.8,0.0,16933.2,0.0,15129.3,17194.5,19177.7,36454.3,108237.5,4
44.0,170194.0,4119.1,2612.8,0.0,16933.6,0.0,15130.0,17195.4,19205.5,36483.1,108209.3,4
45.0,170194.0,4119.1,2612.8,0.0,16933.6,0.0,15130.5,17195.7,19186.4,36464.3,108228.3,4
46.0,170194.0,4119.1,2612.8,0.0,16933.7,0.0,15132.1,17195.8,19185.7,36463.7,108229.0,4
47.0,170194.0,4119.1,2612.8,0.0,16933.7,0.0,15139.6,17196.1,19230.2,36508.4,108184.5,4
48.0,170194.0,4119.3,2613.0,0.0,16933.7,0.0,15139.9,17195.5,19197.1,36474.7,108217.8,4
49.0,170194.0,4119.8,2613.5,0.0,16935.2,0.0,15140.3,17197.5,19387.4,36667.4,108026.9,4
50.0,170194.0,4119.8,2613.5,0.0,16935.4,0.0,15148.7,17197.7,19513.3,36793.6,107900.9,4
51.0,170194.0,4119.8,2613.5,0.0,16935.5,0.0,15149.1,17198.7,19202.1,36483.5,108211.6,4
52.0,170194.0,4119.8,2613.5,0.0,16935.5,0.0,15150.2,17198.2,19414.3,36695.2,107999.7,4
53.0,170194.0,4119.8,2613.5,0.0,16935.5,0.0,15154.6,17198.4,19210.9,36491.9,108203.0,4
54.0,170194.0,4119.8,2613.5,0.0,16935.5,0.0,15196.2,17198.4,19254.5,36535.5,108159.4,4
55.0,170194.0,4119.8,2613.5,0.0,16935.5,0.0,15182.2,17198.3,19651.1,36932.0,107762.9,4
56.0,170194.0,4119.8,2613.5,0.0,16935.6,0.0,15205.0,17198.1,19247.0,36527.7,108167.1,4
