elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,n_pids
0.0,174364.0,4100.0,2597.8,0.0,17350.9,0.0,77298.2,17627.1,80837.0,98959.8,46157.1,4
1.0,175644.0,4106.9,2604.6,0.0,17359.3,0.0,77435.8,17635.5,80973.2,99104.5,46020.8,4
2.0,175758.0,4106.9,2604.6,0.0,17359.3,0.0,77475.1,17635.8,81025.7,99157.2,45968.3,4
3.0,175760.0,4107.1,2604.6,0.0,17359.6,0.0,77480.7,17635.5,81038.1,99169.4,45956.1,4
4.0,175780.0,4107.5,2604.9,0.0,17360.0,0.0,77482.9,17635.9,81055.1,99186.8,45939.1,4
5.0,175784.0,4108.6,2605.9,0.0,17360.2,0.0,77485.0,17636.1,81044.2,99176.1,45950.0,4
6.0,175788.0,4108.6,2606.0,0.0,17360.2,0.0,77486.0,17636.2,81044.3,99176.3,45949.8,4
7.0,175790.0,4108.6,2606.0,0.0,17360.6,0.0,77493.5,17636.4,81056.2,99188.4,45938.1,4
8.0,175792.0,4108.7,2606.0,0.0,17360.8,0.0,77516.0,17636.7,81375.4,99507.9,45618.8,4
9.0,175792.0,4109.7,2607.0,0.0,17360.9,0.0,77507.1,17636.8,81070.1,99202.7,45924.1,4
10.0,175792.0,4109.8,2607.1,0.0,17360.9,0.0,77507.5,17636.9,81072.0,99204.8,45922.1,4
11.0,175792.0,4109.9,2607.2,0.0,17360.9,0.0,77523.3,17636.9,81082.4,99215.1,45911.7,4
12.0,175792.0,4109.9,2607.3,0.0,17360.9,0.0,77513.5,17636.6,81068.0,99200.5,45926.3,4
13.0,175792.0,4110.3,2607.6,0.0,17361.0,0.0,77516.9,17636.7,81075.4,99207.9,45918.9,4
14.0,175792.0,4110.3,2607.7,0.0,17361.0,0.0,77519.1,17636.3,81073.4,99205.5,45921.1,4
15.0,175812.0,4110.8,2608.1,0.0,17361.1,0.0,77520.9,17636.5,81084.5,99216.8,45909.9,4
16.0,175816.0,4110.8,2608.1,0.0,17361.1,0.0,77526.2,17636.5,81089.5,99221.8,45904.9,4
17.0,175816.0,4110.8,2608.2,0.0,17361.1,0.0,77528.7,17636.1,81088.8,99220.8,45905.9,4
18.0,175816.0,4110.8,2608.2,0.0,17361.2,0.0,77530.9,17636.1,81095.0,99226.9,45899.6,4
19.0,175816.0,4110.9,2608.2,0.0,17361.3,0.0,77532.3,17636.4,81104.4,99236.7,45890.1,4
20.0,175816.0,4111.1,2608.4,0.0,17361.3,0.0,77534.7,17636.6,81102.2,99234.6,45892.3,4
21.0,175816.0,4111.4,2608.7,0.0,17361.3,0.0,77536.8,17636.3,81105.2,99237.2,45889.5,4
22.0,175816.0,4111.8,2609.1,0.0,17361.5,0.0,77540.4,17636.3,81112.8,99244.9,45881.9,4
23.0,175816.0,4111.9,2609.2,0.0,17361.6,0.0,77542.2,17636.6,81114.8,99247.1,45879.9,4
24.0,175816.0,4112.0,2609.3,0.0,17361.6,0.0,77543.6,17637.3,81340.4,99473.5,45653.9,4
25.0,175816.0,4112.0,2609.3,0.0,17361.7,0.0,77557.2,17637.3,81129.0,99262.1,45865.4,4
26.0,175816.0,4112.0,2609.3,0.0,17363.7,0.0,77570.2,17639.5,81160.6,99296.0,45833.6,4
27.0,175818.0,4112.0,2609.3,0.0,17363.9,0.0,77591.5,17639.4,81168.1,99303.3,45826.3,4
28.0,175820.0,4112.0,2609.4,0.0,17363.9,0.0,77592.6,17639.5,81193.3,99328.6,45801.1,4
29.0,175820.0,4112.1,2609.4,0.0,17363.9,0.0,77595.5,17639.1,81156.7,99291.7,45837.8,4
30.0,175820.0,4112.2,2609.5,0.0,17363.9,0.0,77596.4,17639.2,81187.9,99322.9,45806.6,4
31.0,175820.0,4112.2,2609.6,0.0,17363.9,0.0,77612.2,17639.4,81248.1,99383.3,45746.3,4
32.0,175820.0,4112.3,2609.6,0.0,17363.9,0.0,77599.2,17639.6,81172.0,99307.4,45822.3,4
33.0,175820.0,4112.3,2609.6,0.0,17364.0,0.0,77602.4,17639.8,81165.4,99301.1,45828.8,4
34.0,175820.0,4112.5,2609.8,0.0,17364.1,0.0,77604.7,17639.9,81177.0,99312.8,45817.2,4
35.0,175820.0,4112.7,2610.1,0.0,17364.1,0.0,77606.5,17639.8,81183.1,99318.7,45811.2,4
36.0,175820.0,4112.7,2610.1,0.0,17364.1,0.0,77608.7,17639.8,81183.9,99319.5,45810.4,4
37.0,175820.0,4112.7,2610.1,0.0,17364.1,0.0,77610.0,17640.0,81178.2,99314.0,45816.0,4
38.0,175820.0,4112.7,2610.1,0.0,17364.1,0.0,77627.6,17639.9,81239.6,99375.4,45754.6,4
39.0,175820.0,4112.8,2610.1,0.0,17364.1,0.0,77615.4,17640.0,81189.7,99325.6,45804.5,4
40.0,175820.0,4112.8,2610.1,0.0,17364.1,0.0,77616.4,17639.9,81193.3,99329.1,45800.9,4
41.0,175820.0,4112.8,2610.1,0.0,17364.2,0.0,77618.5,17639.8,81200.1,99335.9,45794.1,4
42.0,175820.0,4112.8,2610.1,0.0,17364.4,0.0,77634.2,17639.8,81206.8,99342.5,45787.6,4
43.0,175822.0,4112.8,2610.1,0.0,17364.6,0.0,77626.8,17640.1,81201.9,99337.8,45792.5,4
44.0,175822.0,4112.8,2610.2,0.0,17364.7,0.0,77646.9,17640.1,81261.9,99397.9,45732.5,4
45.0,175824.0,4112.9,2610.3,0.0,17365.4,0.0,77651.0,17640.3,81228.3,99364.5,45766.3,4
46.0,175824.0,4112.9,2610.3,0.0,17365.4,0.0,77664.1,17641.3,81314.1,99451.3,45680.1,4
47.0,175824.0,4112.9,2610.3,0.0,17365.4,0.0,77666.8,17640.6,81241.4,99377.9,45753.1,4
48.0,175824.0,4112.9,2610.3,0.0,17365.6,0.0,77668.6,17640.7,81244.0,99380.5,45750.6,4
49.0,175824.0,4113.0,2610.3,0.0,17365.6,0.0,77673.6,17641.0,81257.1,99394.0,45737.3,4
50.0,175824.0,4113.1,2610.4,0.0,17365.6,0.0,77706.4,17641.4,81471.5,99608.8,45522.7,4
51.0,175824.0,4113.1,2610.5,0.0,17365.8,0.0,77680.8,17641.6,81271.3,99408.7,45722.9,4
52.0,175824.0,4113.4,2610.7,0.0,17365.9,0.0,77713.9,17641.6,81299.5,99437.1,45694.7,4
53.0,175824.0,4113.6,2610.9,0.0,17372.4,0.0,77716.3,17647.7,81300.2,99445.8,45692.2,4
54.0,175824.0,4113.8,2611.1,0.0,17373.2,0.0,77716.5,17648.7,81449.4,99596.0,45542.9,4
55.0,175824.0,4114.1,2611.4,0.0,17373.5,0.0,77732.4,17649.1,81317.6,99464.6,45674.6,4
56.0,175826.0,4114.1,2611.5,0.0,17373.5,0.0,77719.2,17649.4,81296.4,99443.7,45695.7,4
57.0,175826.0,4114.1,2611.5,0.0,17373.5,0.0,77720.0,17649.6,81329.2,99476.7,45662.8,4
58.0,175826.0,4114.2,2611.5,0.0,17373.5,0.0,77725.1,17649.6,81304.8,99452.3,45687.2,4
59.0,175826.0,4114.2,2611.5,0.0,17373.5,0.0,77723.2,17648.7,81498.5,99645.1,45494.0,4
60.0,175826.0,4114.2,2611.5,0.0,17373.6,0.0,77723.7,17648.9,81304.9,99451.7,45687.5,4
61.0,175826.0,4114.2,2611.5,0.0,17373.6,0.0,77728.6,17648.9,81309.2,99456.1,45683.2,4
62.0,175826.0,4114.2,2611.5,0.0,17377.6,0.0,77762.5,17652.8,81341.8,99492.5,45650.7,4
63.0,175826.0,4114.2,2611.5,0.0,17377.8,0.0,77780.4,17652.9,81498.1,99648.9,45494.4,4
64.0,175826.0,4114.2,2611.5,0.0,17377.8,0.0,77781.2,17652.9,81356.7,99507.5,45635.8,4
65.0,175826.0,4114.3,2611.6,0.0,17382.3,0.0,77768.7,17658.0,81350.5,99507.1,45641.0,4
66.0,175826.0,4114.3,2611.6,0.0,17382.3,0.0,77784.0,17658.2,81370.0,99526.8,45621.4,4
67.0,175826.0,4114.5,2611.8,0.0,17382.3,0.0,77771.4,17658.6,81359.0,99516.2,45632.2,4
68.0,175826.0,4114.5,2611.8,0.0,17382.4,0.0,77773.4,17657.9,81360.3,99516.9,45631.2,4
69.0,175826.0,4114.5,2611.8,0.0,17382.4,0.0,77774.9,17657.8,81352.9,99509.3,45638.7,4
70.0,175826.0,4114.5,2611.8,0.0,17382.4,0.0,77775.6,17658.2,81351.9,99508.7,45639.5,4
71.0,175826.0,4114.5,2611.9,0.0,17382.4,0.0,77776.9,17657.5,81360.3,99516.5,45631.5,4
72.0,175826.0,4114.5,2611.9,0.0,17382.4,0.0,77778.4,17658.4,81363.6,99520.7,45627.7,4
73.0,175826.0,4114.5,2611.9,0.0,17382.4,0.0,77779.9,17657.9,81368.2,99524.8,45623.3,4
74.0,175826.0,4114.5,2611.9,0.0,17382.4,0.0,77794.7,17658.5,81386.1,99543.3,45605.1,4
75.0,175826.0,4114.5,2611.9,0.0,17382.5,0.0,77796.8,17658.9,81396.7,99554.2,45594.4,4
76.0,175826.0,4114.5,2611.9,0.0,17382.6,0.0,77797.6,17659.2,81393.6,99551.4,45597.4,4
77.0,175826.0,4114.5,2611.9,0.0,17387.5,0.0,77812.4,17665.6,81411.5,99576.0,45578.5,4
78.0,175826.0,4114.6,2611.9,0.0,17387.5,0.0,77798.7,17664.8,81397.9,99561.6,45592.5,4
79.0,175826.0,4114.6,2611.9,0.0,17387.5,0.0,77753.6,17664.9,81350.4,99514.1,45640.1,4
80.0,175826.0,4114.6,2611.9,0.0,17387.5,0.0,77837.8,17665.4,81442.1,99606.3,45548.1,4
81.0,175826.0,4114.6,2611.9,0.0,17387.6,0.0,77825.2,17663.7,81431.8,99594.4,45559.3,4
82.0,175826.0,4114.6,2611.9,0.0,17387.7,0.0,77826.2,17663.3,81422.4,99584.6,45568.8,4
83.0,175826.0,4114.6,2611.9,0.0,17387.7,0.0,77841.1,17663.9,81441.6,99604.3,45549.4,4
84.0,175826.0,4114.6,2611.9,0.0,17387.7,0.0,77835.5,17663.9,81431.4,99594.2,45559.6,4
85.0,175826.0,4114.6,2611.9,0.0,17387.7,0.0,77837.1,17664.3,81434.6,99597.8,45556.2,4
