elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,n_pids
0.0,175618.0,129258.6,118481.4,0.0,16931.4,9.4,77354.2,17189.4,81282.8,98551.7,46136.6,148
1.5,175618.0,129383.1,118581.0,0.0,16949.2,9.4,77505.0,17208.4,81432.3,98720.4,45986.4,148
3.1,175638.0,129426.3,118623.1,0.0,17587.1,9.4,77556.8,17868.5,81498.7,99449.0,45906.8,148
4.7,175648.0,129431.6,118628.2,0.0,19130.7,9.4,77560.7,19469.7,81502.5,101059.6,45868.6,148
6.3,175648.0,129433.8,118630.0,0.0,20023.4,9.4,77577.0,20395.7,81528.9,102015.1,45822.4,148
7.8,175648.0,129477.9,118642.0,0.0,21006.5,9.4,77583.0,21414.7,81534.0,103042.9,45805.4,148
9.4,175668.0,129495.8,118659.9,0.0,22430.3,9.4,77588.6,22891.0,81570.0,104561.1,45763.4,148
11.1,175668.0,129504.6,118668.6,0.0,23783.4,8135.1,77615.6,24294.6,81599.8,105999.8,45728.3,148
12.9,175668.0,129511.9,118675.9,0.0,25200.6,8135.1,77646.8,25766.8,81660.6,107538.3,45662.1,148
14.6,175670.0,129521.9,118685.7,0.0,25881.2,8135.1,77618.9,26476.1,81600.6,108190.3,45719.4,148
16.2,175672.0,129523.6,118687.4,0.0,26676.2,8135.1,77622.8,27303.8,81608.1,109028.9,45708.6,148
17.8,175674.0,129532.8,118696.5,0.0,27496.3,8135.1,77678.3,28157.8,81670.0,109949.1,45642.3,148
19.5,175674.0,129542.0,118705.7,0.0,28465.0,8135.1,77639.9,29167.1,81736.6,111029.0,45571.7,148
21.1,175674.0,129549.3,118713.1,0.0,29635.7,13607.5,77644.8,30386.9,81619.1,112135.8,45684.6,148
23.1,175676.0,129558.3,118722.0,0.0,30700.8,13607.5,77659.4,31497.5,81626.8,113258.8,45672.3,148
24.7,175676.0,129588.0,118748.3,0.0,31612.9,13607.5,77683.1,32448.8,81895.9,114483.4,45399.0,148
26.4,175676.0,129597.1,118757.4,0.0,32659.0,13607.5,77708.0,33539.9,82021.7,115705.4,45268.1,148
28.1,175676.0,129604.2,118764.5,0.0,33327.3,13607.5,77701.7,34237.0,81648.9,116032.0,45638.6,148
29.7,175676.0,129611.6,118771.9,0.0,34556.6,13607.5,77707.1,35519.4,81788.9,117458.9,45494.1,148
31.3,175676.0,129621.7,118782.0,0.0,36070.5,19978.9,77731.3,37097.5,81682.9,118937.1,45594.0,148
33.5,175678.0,129648.6,118805.5,0.0,37229.8,19978.9,77725.3,38307.4,81678.2,120147.3,45593.7,148
35.1,175678.0,129648.7,118805.6,0.0,38199.9,19978.9,77744.4,39319.2,81695.9,121180.3,45572.5,148
36.8,175678.0,129655.1,118812.0,0.0,38855.4,19978.9,77749.4,40003.5,81706.3,121877.6,45559.5,148
38.3,175678.0,129662.1,118818.9,0.0,39496.5,19978.9,77754.5,40670.2,81709.4,122549.7,45554.1,148
40.0,175680.0,129663.0,118819.9,0.0,40840.4,19978.9,77759.6,42071.0,81756.9,124002.9,45501.7,148
41.6,175680.0,129667.2,118824.1,0.0,41731.9,26037.1,77778.0,42998.3,81752.0,124929.1,45502.8,148
43.9,175680.0,129673.6,118830.5,0.0,42527.3,26037.1,77770.0,43841.4,81636.7,125663.2,45607.8,148
45.7,175680.0,129677.6,118834.5,0.0,42816.7,26037.1,77773.5,44157.8,81633.6,125982.8,45608.6,148
47.5,175680.0,129682.9,118839.8,0.0,43056.3,26037.1,77778.9,44427.1,81619.0,126243.0,45617.7,148
