elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,n_pids
0.0,174364.0,3345.5,2597.8,0.0,1181.5,0.5,77520.2,1446.9,81602.5,83060.2,45485.6,4
1.0,175616.0,3357.9,2604.6,0.0,1214.4,0.5,77652.0,1479.8,81736.7,83231.4,45330.8,4
2.0,175618.0,3358.6,2604.7,0.0,1216.6,0.5,77679.3,1481.9,81770.7,83267.6,45295.7,4
3.0,175618.0,3359.7,2604.7,0.0,1276.4,0.5,77745.4,1541.8,81843.2,83400.2,45193.1,4
4.0,175620.0,3360.1,2605.1,0.0,2168.4,0.5,77758.8,2466.8,81859.2,84344.2,45126.1,4
5.0,175642.0,3361.1,2606.1,0.0,3205.3,0.5,77746.8,3540.8,81857.6,85421.1,45104.6,4
6.0,175646.0,3361.2,2606.1,0.0,4354.8,0.5,77767.6,4733.5,81880.9,86641.4,45055.5,4
7.0,175648.0,3361.7,2606.1,0.0,5122.1,0.5,77759.3,5529.2,81880.9,87439.5,45038.9,4
8.0,175652.0,3361.9,2606.2,0.0,5902.5,0.5,77772.1,6337.6,81922.1,88291.9,44980.8,4
9.0,175672.0,3361.9,2606.3,0.0,6550.7,0.5,77778.4,7009.7,81928.8,88974.0,44958.9,4
10.0,175672.0,3362.0,2606.4,0.0,7083.7,6111.0,77784.3,7562.9,81930.9,89531.5,44944.5,4
11.0,175672.0,3362.0,2606.4,0.0,7810.1,6111.0,77793.3,8316.4,81941.9,90298.8,44917.2,4
12.0,175672.0,3362.2,2606.6,0.0,8289.9,6111.0,77797.5,8814.0,81954.8,90811.0,44893.7,4
13.0,175674.0,3362.2,2606.6,0.0,9063.3,6111.0,77807.5,9614.5,81956.5,91615.9,44875.7,4
14.0,175676.0,3362.6,2607.0,0.0,9688.0,6111.0,77828.6,10265.9,81970.5,92283.7,44846.0,4
15.0,175676.0,3363.1,2607.5,0.0,10358.4,6111.0,77825.2,10964.6,81967.6,92983.0,44831.2,4
16.0,175676.0,3363.1,2607.5,0.0,10645.8,6111.0,77827.5,11263.1,81965.8,93281.6,44825.6,4
17.0,175678.0,3363.1,2607.5,0.0,10916.7,6111.0,77850.8,11545.1,81987.8,93586.9,44796.7,4
18.0,175678.0,3363.3,2607.7,0.0,11954.0,6111.0,77838.1,12624.6,81974.6,94657.3,44784.7,4
19.0,175678.0,3363.3,2607.7,0.0,12628.2,6111.0,77841.4,13327.1,81978.9,95366.9,44763.4,4
20.0,175678.0,3363.6,2608.0,0.0,12942.1,11787.4,77852.9,13654.4,81978.6,95695.6,44755.4,4
21.0,175678.0,3363.8,2608.2,0.0,13700.1,11787.4,77857.3,14442.6,81987.2,96495.5,44728.6,4
22.0,175678.0,3364.1,2608.5,0.0,14104.4,11787.4,77871.1,14864.1,81997.8,96929.3,44707.7,4
23.0,175678.0,3364.2,2608.6,0.0,14599.6,11787.4,77862.1,15379.0,81986.2,97434.7,44707.3,4
24.0,175678.0,3364.2,2608.6,0.0,14992.2,11787.4,77865.2,15787.0,81988.4,97846.5,44695.8,4
25.0,175678.0,3364.2,2608.6,0.0,15614.3,11787.4,77868.8,16434.6,82002.5,98511.2,44666.0,4
26.0,175678.0,3364.3,2608.7,0.0,16576.4,11787.4,77898.1,17436.9,82033.2,99549.6,44609.8,4
27.0,175680.0,3364.3,2608.7,0.0,17413.3,11787.4,77900.5,18309.1,82029.9,100421.8,44592.1,4
28.0,175680.0,3364.6,2609.0,0.0,18022.0,11787.4,77904.5,18943.9,82029.5,101058.2,44577.4,4
29.0,175680.0,3365.0,2609.4,0.0,18474.1,11787.4,77940.1,19416.3,82057.6,101560.3,44537.7,4
30.0,175680.0,3365.9,2610.3,0.0,18931.5,17743.9,77933.8,19893.0,82058.3,102039.6,44525.4,4
31.0,175680.0,3365.9,2610.3,0.0,19483.5,17743.9,77936.2,20469.1,82178.7,102738.1,44390.9,4
32.0,175680.0,3365.9,2610.3,0.0,20028.9,17743.9,77939.5,21038.4,82056.5,103187.4,44499.0,4
33.0,175680.0,3365.9,2610.3,0.0,20711.8,17743.9,77940.8,21749.8,82056.0,103901.0,44482.5,4
34.0,175680.0,3365.9,2610.3,0.0,20935.9,17743.9,77941.9,21984.0,82055.9,104135.9,44476.8,4
35.0,175682.0,3365.9,2610.3,0.0,21604.3,17743.9,77943.4,22680.8,82046.7,104826.5,44468.7,4
36.0,175682.0,3365.9,2610.3,0.0,22117.3,17743.9,77961.5,23215.5,82070.2,105386.8,44432.3,4
37.0,175682.0,3365.9,2610.3,0.0,22409.1,17743.9,77948.7,23519.5,82163.5,105785.2,44331.8,4
38.0,175682.0,3366.5,2610.9,0.0,22889.1,17743.9,77951.5,24019.8,82060.9,106184.4,44422.7,4
39.0,175682.0,3367.1,2611.5,0.0,23437.5,17743.9,77962.2,24593.1,82058.1,106756.8,44411.1,4
40.0,175682.0,3367.1,2611.5,0.0,23954.5,22893.4,77957.0,25132.7,82059.9,107300.4,44395.9,4
41.0,175682.0,3367.2,2611.6,0.0,24805.0,22893.4,77960.1,26019.4,82051.6,108182.0,44382.9,4
42.0,175682.0,3367.2,2611.6,0.0,25530.3,22893.4,77977.6,26774.6,82079.3,108967.6,44337.5,4
43.0,175682.0,3367.2,2611.6,0.0,26157.7,22893.4,77964.1,27429.3,82067.5,109613.0,44333.2,4
44.0,175682.0,3367.7,2612.1,0.0,26990.4,22893.4,78006.1,28297.0,82107.0,110522.9,44273.5,4
45.0,175682.0,3367.8,2612.2,0.0,27945.1,22893.4,78008.0,29293.4,82111.7,111527.6,44248.9,4
46.0,175682.0,3368.1,2612.5,0.0,28371.5,22893.4,77970.7,29737.5,82079.3,111941.4,44279.1,4
47.0,175682.0,3368.3,2612.7,0.0,29355.9,22893.4,77987.0,30764.6,82086.6,112980.2,44267.5,4
48.0,175684.0,3368.6,2613.0,0.0,29750.5,22893.4,77993.3,31177.2,82089.3,113396.8,44263.4,4
49.0,175684.0,3369.1,2613.5,0.0,30180.4,22893.4,78044.4,31624.7,82144.3,113903.8,44204.0,4
50.0,175684.0,3369.2,2613.6,0.0,30686.3,29603.8,78053.5,32153.6,82312.5,114605.4,44031.3,4
51.0,175684.0,3369.3,2613.7,0.0,31537.6,29603.8,78000.6,33039.7,82098.6,115281.1,44241.7,4
52.0,175684.0,3369.3,2613.7,0.0,32540.0,29603.8,78035.3,34085.1,82121.7,116353.2,44215.0,4
53.0,175684.0,3369.3,2613.7,0.0,33305.2,29603.8,78048.5,34883.2,82132.8,117165.2,44201.1,4
54.0,175684.0,3369.3,2613.7,0.0,33876.0,29603.8,78068.4,35477.6,82150.0,117778.8,44181.9,4
55.0,175684.0,3369.3,2613.7,0.0,34731.9,29603.8,78124.8,36370.6,82205.9,118731.2,44122.6,4
56.0,175684.0,3369.3,2613.7,0.0,35300.5,29603.8,78071.6,36964.7,82159.6,119280.9,44166.9,4
57.0,175686.0,3369.3,2613.7,0.0,35997.5,29603.8,78072.5,37691.1,82208.6,120058.9,44115.3,4
58.0,175686.0,3369.3,2613.7,0.0,36950.9,29603.8,78080.0,38684.5,82178.6,121025.8,44141.8,4
59.0,175686.0,3369.5,2613.7,0.0,37591.3,29603.8,78122.2,39352.2,82215.6,121732.8,44102.5,4
60.0,175686.0,3370.1,2613.9,0.0,38310.4,37312.8,78123.8,40102.8,82223.3,122493.9,44091.9,4
61.1,175686.0,3370.1,2613.9,0.0,39199.0,37312.8,78099.5,41029.7,82334.7,123535.3,43977.5,4
62.1,175686.0,3370.1,2613.9,0.0,39815.3,37312.8,78091.1,41672.9,82189.1,124035.2,44120.8,4
63.1,175686.0,3370.1,2613.9,0.0,40471.1,37312.8,78089.1,42357.0,82188.6,124721.6,44118.5,4
64.1,175686.0,3370.1,2613.9,0.0,40976.7,37312.8,78137.3,42885.0,82238.6,125301.4,44066.8,4
65.1,175686.0,3370.7,2613.9,0.0,41250.7,37312.8,78141.0,43170.4,82238.4,125587.7,44065.8,4
66.1,175686.0,3370.7,2613.9,0.0,41339.6,37312.8,78102.3,43263.2,82190.4,125633.0,44113.3,4
67.1,175686.0,3370.7,2613.9,0.0,41886.0,37312.8,78102.7,43834.1,82192.4,126207.9,44109.3,4
68.1,175686.0,3338.6,2613.9,0.0,41916.3,37312.8,78117.6,43864.8,82117.9,126165.1,44182.8,4
69.1,175686.0,3338.6,2613.9,0.0,41965.7,37312.8,78200.5,43928.3,82260.1,126374.2,44975.7,4
70.1,175686.0,3338.8,2613.9,0.0,41960.9,42346.6,78189.4,43931.3,82213.9,126332.9,44856.0,4
71.4,175686.0,3338.8,2613.9,0.0,41754.4,42346.6,78169.8,43728.9,82214.1,126133.5,45029.0,4
72.4,175686.0,3338.8,2613.9,0.0,41904.8,42346.6,78170.7,43894.7,82218.0,126305.7,44999.1,4
73.4,175686.0,3338.8,2613.9,0.0,41501.5,42346.6,78211.8,43494.7,82503.9,126192.4,44539.8,4
74.4,175686.0,3338.8,2613.9,0.0,41805.6,42346.6,78152.3,43824.2,82186.8,126206.7,44599.1,4
75.4,175686.0,3338.8,2614.0,0.0,41795.2,42346.6,78193.3,43808.6,82406.1,126411.8,44814.4,4
76.4,175686.0,3338.9,2614.1,0.0,41822.0,42346.6,78154.1,43854.1,82317.6,126372.7,44899.0,4
77.4,175686.0,3338.9,2614.1,0.0,41933.8,42346.6,78154.7,43981.5,82160.1,126344.8,45070.3,4
78.4,175686.0,3338.9,2614.1,0.0,42036.1,42346.6,78169.0,44095.7,82191.4,126492.5,45012.8,4
79.4,175686.0,3338.9,2614.1,0.0,41966.6,42346.6,78194.3,44037.9,82240.4,126486.4,44985.1,4
80.4,175686.0,3338.9,2614.1,0.0,41952.3,49666.0,78154.7,44044.7,82154.0,126409.5,44844.8,4
81.8,175686.0,3338.9,2614.1,0.0,41797.7,49666.0,78154.9,43905.0,82148.8,126267.9,44806.8,4
82.8,175686.0,3338.9,2614.1,0.0,41988.6,49666.0,78154.9,44106.4,82160.6,126484.0,45020.0,4
83.8,175686.0,3338.9,2614.1,0.0,41855.8,49666.0,78212.5,43979.7,82225.1,126424.1,44633.2,4
84.8,175686.0,3338.9,2614.1,0.0,41871.9,49666.0,78211.9,44000.0,82216.2,126437.3,44996.3,4
85.8,175686.0,3338.9,2614.1,0.0,41976.6,49666.0,78173.2,44117.1,82185.6,126525.9,44992.8,4
86.8,175686.0,3338.9,2614.1,0.0,41844.7,49666.0,78187.1,43990.5,82202.5,126417.2,45006.9,4
87.8,175686.0,3338.9,2614.1,0.0,41955.2,49666.0,78187.1,44116.0,82175.0,126517.5,45032.1,4
88.8,175686.0,3338.9,2614.1,0.0,41845.9,49666.0,78212.5,44011.5,82212.1,126451.7,44993.4,4
89.8,175686.0,3338.9,2614.1,0.0,41778.7,49666.0,78212.2,43958.8,82195.7,126385.1,44815.3,4
90.8,175686.0,3338.9,2614.1,0.0,41865.6,55800.0,78191.8,44049.5,82189.5,126471.0,45004.1,4
92.4,175686.0,3338.9,2614.1,0.0,41898.6,55800.0,78169.2,44097.8,82152.3,126484.9,45046.4,4
93.4,175686.0,3338.9,2614.1,0.0,41898.6,55800.0,78210.2,44105.6,82211.4,126553.4,44985.8,4
94.4,175686.0,3338.9,2614.1,0.0,41789.9,55800.0,78208.1,43996.8,82220.8,126454.8,44971.5,4
95.4,175688.0,3338.9,2614.1,0.0,41870.9,55800.0,78208.2,44095.0,82221.0,126556.5,44972.2,4
96.4,175688.0,3338.9,2614.1,0.0,41891.7,55800.0,78209.5,44127.8,82198.9,126569.3,44988.1,4
97.4,175688.0,3338.9,2614.1,0.0,41872.0,55800.0,78168.8,44116.9,82167.2,126528.5,45021.3,4
98.4,175688.0,3338.9,2614.1,0.0,41927.0,55800.0,78169.4,44181.8,82131.7,126559.8,45055.6,4
99.4,175688.0,3338.9,2614.1,0.0,41834.5,55800.0,78209.2,44097.3,82215.8,126561.6,44957.3,4
100.4,175688.0,3338.9,2614.1,0.0,41641.7,55800.0,78169.1,43907.9,82169.0,126327.2,45014.3,4
101.4,175688.0,3338.9,2614.1,0.0,41778.7,61775.5,78231.0,44060.2,82234.3,126547.1,44942.7,4
103.1,175688.0,3338.9,2614.1,0.0,41776.2,61775.5,78203.2,44074.5,82190.5,126520.6,44987.4,4
104.1,175688.0,3338.9,2614.1,0.0,41744.1,61775.5,78217.4,44045.7,82207.6,126510.4,44960.9,4
105.1,175688.0,3338.9,2614.1,0.0,40889.1,61775.5,78182.0,43182.2,82150.5,125592.8,45023.0,4
106.1,175688.0,3338.9,2614.1,0.0,41266.9,61775.5,78221.2,43577.6,82208.7,126048.8,44962.4,4
107.1,175688.0,3338.9,2614.1,0.0,41564.8,61775.5,78182.1,43898.4,82176.8,126340.0,44956.0,4
108.1,175688.0,3338.9,2614.1,0.0,41803.8,61775.5,78220.9,44148.0,82190.9,126606.2,44971.3,4
109.1,175688.0,3338.9,2614.1,0.0,41706.0,61775.5,78279.1,44055.7,82258.8,126583.8,44905.4,4
110.1,175688.0,3338.9,2614.1,0.0,41667.9,61775.5,78279.2,44028.2,82269.2,126569.3,44892.5,4
111.1,175688.0,3338.9,2614.1,0.0,41646.2,61775.5,78316.1,44013.9,82317.9,126604.9,44842.6,4
112.1,175688.0,3338.9,2614.1,0.0,41638.1,67302.1,78302.3,44014.3,82295.9,126585.5,44862.4,4
113.9,175688.0,3338.9,2614.1,0.0,41674.9,67302.1,78300.9,44063.9,82248.7,126590.6,44906.8,4
114.9,175688.0,3338.9,2614.1,0.0,41655.1,67302.1,78261.7,44047.9,82227.0,126553.8,44927.7,4
115.9,175688.0,3338.9,2614.1,0.0,41624.0,67302.1,78300.3,44024.1,82271.5,126576.3,44881.3,4
116.9,175688.0,3338.9,2614.1,0.0,41634.7,67302.1,78305.0,44047.4,82279.9,126610.4,44862.5,4
117.9,175688.0,3338.9,2614.1,0.0,41657.5,67302.1,78231.0,44080.4,82212.2,126577.6,44928.4,4
118.9,175688.0,3338.9,2614.1,0.0,41478.5,67302.1,78298.0,43901.1,82286.3,126473.1,44861.6,4
119.9,175688.0,3338.9,2614.1,0.0,41624.3,67302.1,78258.1,44060.6,82200.8,126549.3,44940.9,4
120.9,175688.0,3338.9,2614.1,0.0,41601.1,67302.1,78297.4,44043.2,82260.9,126593.9,44882.9,4
121.9,175688.0,3339.0,2614.2,0.0,41609.0,67302.1,78258.3,44066.5,82235.8,126593.9,44878.2,4
122.9,175688.0,3339.1,2614.3,0.0,41599.4,72854.6,78258.2,44059.7,82226.9,126580.2,44913.1,4
124.9,175688.0,3339.1,2614.3,0.0,41566.6,72854.6,78304.0,44042.3,82285.7,126625.6,44846.3,4
125.9,175688.0,3339.1,2614.3,0.0,41483.6,72854.6,78303.0,43965.2,82274.0,126538.8,44860.0,4
126.9,175688.0,3339.1,2614.3,0.0,41519.0,72854.6,78304.5,44008.0,82272.7,126582.3,44859.3,4
127.9,175688.0,3339.1,2614.3,0.0,41414.6,72854.6,78238.9,43908.5,82205.7,126418.1,44748.0,4
128.9,175688.0,3339.1,2614.3,0.0,41520.7,72854.6,78283.0,44026.2,82268.0,126599.4,44860.4,4
129.9,175688.0,3339.1,2614.3,0.0,41510.4,72854.6,78284.1,44018.1,82259.2,126584.0,44867.7,4
130.9,175688.0,3339.1,2614.3,0.0,41493.5,72854.6,78284.1,44007.3,82269.9,126585.4,44855.4,4
131.9,175688.0,3339.1,2614.3,0.0,41534.1,72854.6,78305.0,44060.4,82288.5,126659.5,44829.9,4
132.9,175688.0,3339.1,2614.3,0.0,41556.5,72854.6,78251.1,44090.6,82230.9,126634.0,44890.2,4
133.9,175688.0,3339.1,2614.3,0.0,41556.4,78264.9,78290.3,44100.0,82204.8,126619.0,44914.6,4
136.0,175688.0,3339.1,2614.3,0.0,41503.6,78264.9,78264.0,44074.0,82208.6,126601.0,44894.6,4
137.0,175688.0,3339.1,2614.3,0.0,41465.5,78264.9,78289.5,44034.6,82240.9,126596.4,44871.7,4
138.0,175688.0,3339.1,2614.3,0.0,41435.4,78264.9,78297.5,44021.8,82246.9,126591.3,44828.1,4
139.0,175688.0,3338.8,2614.3,0.0,41454.0,78264.9,78308.1,44042.4,82254.8,126622.7,44845.3,4
140.0,175688.0,3338.8,2614.3,0.0,41420.3,78264.9,78267.0,44024.4,82211.3,126564.5,44877.5,4
141.0,175688.0,3338.8,2614.3,0.0,41329.8,78264.9,78337.4,43945.2,82273.3,126550.3,44816.5,4
142.0,175688.0,3338.8,2614.3,0.0,41368.6,78264.9,78323.2,43994.4,82235.4,126563.7,44840.4,4
143.0,175688.0,3338.8,2614.3,0.0,41088.0,78264.9,78283.5,43717.4,82202.3,126255.0,44895.9,4
144.0,175688.0,3338.8,2614.3,0.0,41035.6,84581.8,78323.1,43670.0,82241.1,126248.4,44855.2,4
146.2,175688.0,3338.8,2614.3,0.0,40801.0,84581.8,78324.8,43447.6,82242.8,126031.8,44841.4,4
147.2,175688.0,3338.8,2614.3,0.0,40752.2,84581.8,78323.8,43407.2,82227.8,125978.9,44853.9,4
148.2,175688.0,3338.8,2614.3,0.0,40498.9,84581.8,78284.0,43163.1,82381.1,125890.2,44498.5,4
149.2,175688.0,3338.8,2614.3,0.0,40382.2,84581.8,78323.9,43045.0,82240.0,125632.3,44847.8,4
