elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,167394.0,40706.0,40436.0,43150.0,43102.0,66104.6,54432.6,13402.0,11512.3,0.0,30532.2,0.0,13862.0,31526.3,17266.2,49170.7,109789.3,128652.3,96636.8,148
1.0,167396.0,40706.0,40436.0,43150.0,43104.0,66223.2,54447.8,13520.5,11527.5,0.0,30673.1,0.0,14625.8,31667.4,18138.2,50183.7,108917.3,128652.3,96896.3,148
2.1,167708.0,40996.0,40458.0,43150.0,43104.0,66223.9,54448.5,13521.2,11528.2,0.0,30673.1,0.0,15216.1,31667.4,18731.7,50777.2,108323.8,128652.3,96897.0,148
3.1,167708.0,40996.0,40458.0,43150.0,43104.0,66398.4,54514.3,13694.3,11594.0,0.0,30673.9,0.0,14573.8,31668.1,18207.4,50253.6,108848.0,128652.3,97072.3,148
4.1,167708.0,40996.0,40458.0,43150.0,43104.0,66399.0,54514.4,13694.7,11594.1,0.0,30674.8,0.0,14591.0,31669.7,18232.7,50280.7,108822.6,128652.3,97073.8,148
5.1,167708.0,40996.0,40458.0,43150.0,43104.0,66399.0,54514.4,13694.7,11594.1,0.0,30675.2,0.0,14591.6,31670.1,18233.2,50281.6,108822.1,128652.3,97074.2,148
6.2,167774.0,40996.0,40458.0,43150.0,43170.0,66406.0,54515.4,13701.8,11595.1,0.0,30675.2,0.0,14590.6,31670.2,18237.6,50286.0,108817.7,128652.3,97081.3,148
7.2,167774.0,40996.0,40458.0,43150.0,43170.0,66406.4,54515.6,13702.1,11595.3,0.0,30675.2,0.0,14591.2,31670.2,18239.4,50287.8,108815.9,128652.3,97081.6,148
8.2,167774.0,40996.0,40458.0,43150.0,43170.0,66406.4,54515.6,13702.1,11595.3,0.0,30675.2,0.0,14591.8,31670.1,18240.9,50289.4,108814.4,128652.3,97081.6,148
9.2,167790.0,41012.0,40458.0,43150.0,43170.0,66407.3,54516.5,13703.0,11596.1,0.0,30675.2,0.0,14591.8,31670.1,18241.3,50289.7,108814.0,128652.3,97082.5,148
10.3,167856.0,41012.0,40458.0,43150.0,43236.0,66414.2,54517.5,13709.9,11597.1,0.0,30675.2,0.0,14592.7,31670.0,18247.4,50295.7,108807.9,128652.3,97089.5,148
11.3,167856.0,41012.0,40458.0,43150.0,43236.0,66414.4,54517.5,13710.0,11597.1,0.0,30675.2,0.0,14593.7,31670.0,18249.9,50298.2,108805.4,128652.3,97089.6,148
12.3,167876.0,41012.0,40458.0,43170.0,43236.0,66414.5,54517.6,13710.1,11597.2,0.0,30675.3,0.0,14594.0,31670.1,18247.3,50295.7,108808.0,128652.3,97089.8,148
13.3,167876.0,41012.0,40458.0,43170.0,43236.0,66418.8,54520.7,13713.3,11600.3,0.0,30675.3,0.0,14594.9,31670.1,18249.3,50297.7,108806.0,128652.3,97094.1,148
14.3,167942.0,41012.0,40458.0,43236.0,43236.0,66418.8,54520.7,13713.4,11600.4,0.0,30675.4,0.0,14597.0,31670.1,18253.2,50301.6,108802.1,128652.3,97094.2,148
15.3,167964.0,41034.0,40458.0,43236.0,43236.0,66424.8,54520.8,13719.4,11600.5,0.0,30675.4,0.0,14597.1,31670.1,18259.3,50307.7,108796.0,128652.3,97100.2,148
16.3,167964.0,41034.0,40458.0,43236.0,43236.0,66416.8,54512.5,13711.1,11592.1,0.0,30675.4,0.0,14588.7,31670.1,18247.4,50295.8,108807.9,128652.3,97092.2,148
17.3,167984.0,41034.0,40478.0,43236.0,43236.0,66416.9,54512.5,13711.2,11592.2,0.0,30675.4,0.0,14588.8,31670.2,18248.3,50296.8,108807.0,128652.3,97092.4,148
18.3,167984.0,41034.0,40478.0,43236.0,43236.0,66429.5,54522.2,13720.9,11601.9,0.0,30675.4,0.0,14598.1,31669.9,18254.3,50302.5,108801.0,128652.3,97104.9,148
19.3,167984.0,41034.0,40478.0,43236.0,43236.0,66438.5,54531.3,13729.9,11611.0,0.0,30675.5,0.0,14601.1,31670.0,18259.3,50307.6,108796.0,128652.3,97114.0,148
20.3,167984.0,41034.0,40478.0,43236.0,43236.0,66438.6,54531.4,13730.0,11611.1,0.0,30675.5,0.0,14607.6,31669.7,18261.9,50309.9,108793.4,128652.3,97114.1,148
21.3,167984.0,41034.0,40478.0,43236.0,43236.0,66438.6,54531.4,13730.0,11611.1,0.0,30675.5,0.0,14607.8,31669.7,18262.4,50310.4,108792.9,128652.3,97114.1,148
22.3,167984.0,41034.0,40478.0,43236.0,43236.0,66438.7,54531.4,13730.1,11611.1,0.0,30675.5,0.0,14607.8,31669.7,18263.8,50311.8,108791.5,128652.3,97114.2,148
23.3,168058.0,41058.0,40528.0,43236.0,43236.0,66439.4,54532.2,13730.8,11611.9,0.0,30675.5,0.0,14607.9,31669.7,18267.0,50315.0,108788.3,128652.3,97114.9,148
24.4,168058.0,41058.0,40528.0,43236.0,43236.0,66431.5,54524.0,13722.9,11603.7,0.0,30675.6,0.0,14600.7,31670.1,18267.6,50316.0,108787.6,128652.3,97107.1,148
25.4,168058.0,41058.0,40528.0,43236.0,43236.0,66431.5,54524.0,13722.9,11603.7,0.0,30675.6,0.0,14600.6,31670.1,18268.2,50316.6,108787.1,128652.3,97107.1,148
26.4,168058.0,41058.0,40528.0,43236.0,43236.0,66431.5,54524.0,13722.9,11603.7,0.0,30675.6,0.0,14600.8,31670.1,18266.0,50314.4,108789.3,128652.3,97107.1,148
27.4,168058.0,41058.0,40528.0,43236.0,43236.0,66442.1,54534.6,13733.5,11614.3,0.0,30675.6,0.0,14611.7,31670.4,18282.3,50330.9,108773.0,128652.3,97117.7,148
28.4,168058.0,41058.0,40528.0,43236.0,43236.0,66442.1,54534.7,13733.5,11614.4,0.0,30675.6,0.0,14611.3,31670.1,18277.3,50325.7,108778.0,128652.3,97117.8,148
29.4,168058.0,41058.0,40528.0,43236.0,43236.0,66442.2,54534.7,13733.6,11614.4,0.0,30675.6,0.0,14611.6,31670.1,18280.0,50328.4,108775.2,128652.3,97117.8,148
30.4,168078.0,41078.0,40528.0,43236.0,43236.0,66442.2,54534.7,13733.6,11614.4,0.0,30675.6,0.0,14611.2,31670.1,18280.2,50328.5,108775.1,128652.3,97117.8,148
31.4,168078.0,41078.0,40528.0,43236.0,43236.0,66455.3,54547.9,13746.7,11627.6,0.0,30675.7,0.0,14616.2,31670.0,18286.8,50335.1,108768.5,128652.3,97131.0,148
32.4,168078.0,41078.0,40528.0,43236.0,43236.0,66442.2,54534.8,13733.6,11614.4,0.0,30675.7,0.0,14611.9,31670.0,18283.9,50332.2,108771.4,128652.3,97117.9,148
33.4,168106.0,41106.0,40528.0,43236.0,43236.0,66442.2,54534.8,13733.6,11614.4,0.0,30675.7,0.0,14611.6,31670.0,18283.4,50331.7,108771.9,128652.3,97117.9,148
34.4,168106.0,41106.0,40528.0,43236.0,43236.0,66452.6,54545.0,13743.8,11624.7,0.0,30675.7,0.0,14621.4,31670.0,18299.0,50347.4,108756.2,128652.3,97128.4,148
35.4,168156.0,41136.0,40548.0,43236.0,43236.0,66452.7,54545.0,13743.9,11624.7,0.0,30675.7,0.0,14622.1,31669.8,18299.4,50347.6,108755.8,128652.3,97128.4,148
36.4,168156.0,41136.0,40548.0,43236.0,43236.0,66443.4,54535.7,13734.5,11615.4,0.0,30675.7,0.0,14612.8,31669.4,18291.2,50339.0,108764.1,128652.3,97119.1,148
37.4,168156.0,41136.0,40548.0,43236.0,43236.0,66443.4,54535.8,13734.6,11615.4,0.0,30675.8,0.0,14612.9,31669.5,18293.7,50341.6,108761.5,128652.3,97119.2,148
38.4,168158.0,41136.0,40550.0,43236.0,43236.0,66443.4,54535.8,13734.6,11615.4,0.0,30675.8,0.0,14613.1,31669.5,18293.6,50341.4,108761.7,128652.3,97119.2,148
39.4,168158.0,41136.0,40550.0,43236.0,43236.0,66451.8,54544.2,13743.0,11623.8,0.0,30675.8,0.0,14621.3,31669.2,18299.0,50346.5,108756.3,128652.3,97127.6,148
40.4,168158.0,41136.0,40550.0,43236.0,43236.0,66451.8,54544.2,13743.0,11623.9,0.0,30675.9,0.0,14621.3,31669.2,18300.4,50347.9,108754.8,128652.3,97127.7,148
41.4,168158.0,41136.0,40550.0,43236.0,43236.0,66451.8,54544.2,13743.0,11623.9,0.0,30675.9,0.0,14621.3,31669.2,18301.1,50348.6,108754.1,128652.3,97127.7,148
42.4,168158.0,41136.0,40550.0,43236.0,43236.0,66451.9,54544.2,13743.1,11623.9,0.0,30676.0,0.0,14622.1,31669.3,18302.2,50349.8,108753.1,128652.3,97127.9,148
43.4,168158.0,41136.0,40550.0,43236.0,43236.0,66451.9,54544.3,13743.1,11623.9,0.0,30676.0,0.0,14621.4,31669.3,18300.1,50347.7,108755.2,128652.3,97127.9,148
44.4,168158.0,41136.0,40550.0,43236.0,43236.0,66452.0,54544.3,13743.1,11624.0,0.0,30676.0,0.0,14621.9,31669.3,18300.9,50348.6,108754.3,128652.3,97128.0,148
45.4,168158.0,41136.0,40550.0,43236.0,43236.0,66452.1,54544.4,13743.3,11624.1,0.0,30676.0,0.0,14622.0,31669.3,18303.3,50350.9,108752.0,128652.3,97128.1,148
46.4,168158.0,41136.0,40550.0,43236.0,43236.0,66457.7,54550.0,13748.9,11629.7,0.0,30676.0,0.0,14627.0,31669.3,18309.1,50356.8,108746.1,128652.3,97133.7,148
47.5,168158.0,41136.0,40550.0,43236.0,43236.0,66457.8,54550.1,13748.9,11629.8,0.0,30676.0,0.0,14627.2,31669.8,18301.7,50349.9,108753.5,128652.3,97133.8,148
48.5,168158.0,41136.0,40550.0,43236.0,43236.0,66457.8,54550.1,13749.0,11629.8,0.0,30676.0,0.0,14627.4,31669.8,18305.6,50353.7,108749.7,128652.3,97133.8,148
49.5,168158.0,41136.0,40550.0,43236.0,43236.0,66457.9,54550.2,13749.1,11629.9,0.0,30676.0,0.0,14627.5,31669.8,18302.5,50350.6,108752.8,128652.3,97133.9,148
50.5,168158.0,41136.0,40550.0,43236.0,43236.0,66458.1,54550.4,13749.3,11630.1,0.0,30676.0,0.0,14628.0,31669.7,18305.7,50353.7,108749.6,128652.3,97134.1,148
51.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.4,13737.2,11618.1,0.0,30676.0,0.0,14629.0,31669.7,18311.8,50359.8,108743.4,128652.3,97122.1,148
52.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.4,13737.2,11618.1,0.0,30676.2,0.0,14616.2,31669.8,18301.7,50349.9,108753.5,128652.3,97122.3,148
53.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.4,13737.2,11618.1,0.0,30676.2,0.0,14616.2,31669.8,18301.1,50349.2,108754.1,128652.3,97122.3,148
54.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.4,13737.2,11618.1,0.0,30676.2,0.0,14616.0,31669.8,18300.8,50349.0,108754.4,128652.3,97122.3,148
55.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.4,13737.2,11618.1,0.0,30676.2,0.0,14615.9,31669.8,18300.9,50349.1,108754.3,128652.3,97122.3,148
56.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.4,13737.3,11618.1,0.0,30676.2,0.0,14616.1,31669.8,18301.7,50349.8,108753.6,128652.3,97122.3,148
57.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.5,13737.3,11618.1,0.0,30676.3,0.0,14616.4,31669.8,18303.7,50351.8,108751.6,128652.3,97122.4,148
58.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.5,13737.3,11618.1,0.0,30676.3,0.0,14616.7,31669.8,18302.0,50350.1,108753.3,128652.3,97122.4,148
59.5,168158.0,41136.0,40550.0,43236.0,43236.0,66446.1,54538.5,13737.3,11618.1,0.0,30676.3,0.0,14616.7,31669.8,18302.8,50351.0,108752.4,128652.3,97122.4,148
