elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,149284.0,32131.0,32131.0,42511.0,42511.0,65215.4,54243.6,12526.5,11334.6,0.0,74742.6,0.0,13731.6,76066.8,16001.5,92854.8,110645.6,128652.3,139958.0,148
1.0,149284.0,32131.0,32131.0,42511.0,42511.0,65215.5,54243.7,12526.6,11334.7,0.0,74742.6,0.0,14575.4,76066.9,16849.0,93702.5,109798.0,128652.3,139958.1,148
2.0,149328.0,32153.0,32153.0,42511.0,42511.0,65215.5,54243.7,12526.6,11334.7,0.0,74742.6,0.0,15166.9,76066.9,17441.8,94295.2,109205.3,128652.3,139958.1,148
3.0,149328.0,32153.0,32153.0,42511.0,42511.0,65256.6,54277.5,12563.6,11368.5,0.0,74742.6,0.0,14417.3,76066.6,16701.2,93554.2,109945.9,128652.3,139999.2,148
4.0,149328.0,32153.0,32153.0,42511.0,42511.0,65257.2,54277.5,12564.0,11368.6,0.0,74742.6,0.0,14419.0,76066.6,16704.7,93557.8,109942.3,128652.3,139999.8,148
5.0,149328.0,32153.0,32153.0,42511.0,42511.0,65257.3,54277.6,12564.2,11368.6,0.0,74742.9,0.0,14418.0,76066.8,16705.4,93558.7,109941.7,128652.3,140000.2,148
6.0,149328.0,32153.0,32153.0,42511.0,42511.0,65257.4,54277.6,12564.2,11368.6,0.0,74742.9,0.0,14418.3,76066.8,16705.7,93559.1,109941.3,128652.3,140000.2,148
7.0,149330.0,32153.0,32155.0,42511.0,42511.0,65257.4,54277.6,12564.2,11368.6,0.0,74742.9,0.0,14418.2,76066.8,16706.0,93559.4,109941.1,128652.3,140000.2,148
8.0,149350.0,32153.0,32175.0,42511.0,42511.0,65257.5,54277.7,12564.3,11368.7,0.0,74742.9,0.0,14418.3,76066.8,16707.6,93560.9,109939.5,128652.3,140000.4,148
9.0,149350.0,32153.0,32175.0,42511.0,42511.0,65257.5,54277.7,12564.4,11368.7,0.0,74742.9,0.0,14418.4,76066.8,16710.0,93563.4,109937.0,128652.3,140000.4,148
