elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,136902.0,24807.0,24805.0,43645.0,43645.0,84759.0,73760.4,32043.1,30844.1,0.0,51710.0,0.6,33449.4,53023.2,35984.4,89774.1,90682.8,128652.3,136469.0,148
1.2,136902.0,24807.0,24805.0,43645.0,43645.0,84759.1,73760.5,32043.2,30844.2,0.0,51710.0,0.6,34361.3,53023.6,36896.7,90686.7,89770.5,128652.3,136469.1,148
2.3,136918.0,24821.0,24807.0,43645.0,43645.0,84761.3,73762.7,32045.2,30846.5,0.0,51710.0,0.6,34995.3,53023.7,37534.8,91324.9,89132.4,128652.3,136471.3,148
3.3,136918.0,24821.0,24807.0,43645.0,43645.0,84776.5,73775.1,32058.7,30859.0,0.0,51714.0,0.6,34113.7,53027.5,36657.9,90451.8,90009.3,128652.3,136490.5,148
4.4,136918.0,24821.0,24807.0,43645.0,43645.0,84776.6,73775.2,32058.8,30859.0,0.0,51714.2,0.6,34117.3,53027.9,36660.5,90454.9,90006.6,128652.3,136490.8,148
5.5,136918.0,24821.0,24807.0,43645.0,43645.0,84776.8,73775.3,32059.0,30859.1,0.0,51714.3,0.6,34118.0,53028.0,36661.0,90455.5,90006.2,128652.3,136491.2,148
6.7,136918.0,24821.0,24807.0,43645.0,43645.0,84777.8,73776.2,32059.9,30860.0,0.0,51714.3,0.6,34118.7,53028.1,36659.5,90454.1,90007.6,128652.3,136492.1,148
7.8,136934.0,24837.0,24807.0,43645.0,43645.0,84779.9,73778.4,32062.1,30862.2,0.0,51714.3,0.6,34118.7,53028.1,36659.8,90454.4,90007.3,128652.3,136494.3,148
8.9,136934.0,24837.0,24807.0,43645.0,43645.0,84793.5,73791.9,32075.6,30875.7,0.0,51742.4,0.6,34134.2,53056.2,36679.0,90501.7,89988.1,128652.3,136535.9,148
10.0,136934.0,24837.0,24807.0,43645.0,43645.0,84793.5,73791.9,32075.7,30875.8,0.0,51742.4,0.6,34134.3,53056.2,36679.6,90502.3,89987.5,128652.3,136536.0,148
11.0,136934.0,24837.0,24807.0,43645.0,43645.0,84793.7,73792.1,32075.8,30875.9,0.0,51742.4,32.8,34134.9,53056.2,36679.7,90502.4,89987.4,128652.3,136536.1,148
12.1,136934.0,24837.0,24807.0,43645.0,43645.0,84794.1,73792.3,32076.0,30876.2,0.0,51742.6,32.8,34134.8,53056.3,36681.9,90504.7,89985.3,128652.3,136536.6,148
13.2,136934.0,24837.0,24807.0,43645.0,43645.0,84794.1,73792.3,32076.1,30876.2,0.0,51742.6,32.8,34134.8,53056.3,36680.6,90503.4,89986.5,128652.3,136536.6,148
14.3,137004.0,24837.0,24877.0,43645.0,43645.0,84794.1,73792.3,32076.1,30876.2,0.0,51742.6,32.8,34135.4,53056.4,36686.6,90509.4,89980.6,128652.3,136536.7,148
15.4,137036.0,24837.0,24909.0,43645.0,43645.0,84822.2,73819.5,32103.2,30903.3,0.0,51749.6,32.8,34147.8,53063.4,36696.2,90526.1,89970.9,128652.3,136571.8,148
16.6,137036.0,24837.0,24909.0,43645.0,43645.0,84823.8,73821.1,32104.8,30904.9,0.0,51894.5,32.8,34164.0,53208.6,36717.6,90692.7,89949.5,128652.3,136718.3,148
17.7,137068.0,24869.0,24909.0,43645.0,43645.0,84823.8,73821.1,32104.8,30904.9,0.0,51895.4,32.8,34163.8,53209.6,36716.8,90692.8,89950.3,128652.3,136719.2,148
