elapsed_s,gpu0_gb,gpu1_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0461,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,11,0,0,0,0,2,0
4.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0472,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
5.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0472,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
6.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0472,0.0014,0.018,0.0,0.0,0.9257,0,0,0,0,13,0,0,0,0,2,0
7.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0472,0.0014,0.018,0.0,0.0,0.9257,0,0,0,0,13,0,0,0,0,2,0
8.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0472,0.0014,0.018,0.0,0.0,0.9257,0,0,0,0,13,0,0,0,0,2,0
9.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0814,0.0014,0.018,0.0,0.0,0.9257,1,0,1,0,13,0,0,101,0,2,0
10.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0814,0.0014,0.018,0.0,0.0,0.9257,1,0,1,0,13,0,0,101,0,2,0
11.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0814,0.0014,0.018,0.0,0.0,0.9257,1,0,1,0,13,0,0,101,0,2,0
12.0,0.018,0.0632,0.0811,0.0,0.0811,0.0,0.0,0,0,0,0.0814,0.0632,0.018,0.0,0.0,0.2213,1,0,1,0,13,0,0,101,0,2,0
13.0,0.018,0.1181,0.1361,0.0,0.1361,0.0,0.0,0,0,0,0.0814,0.1181,0.018,0.0,0.0,0.132,1,0,1,0,13,0,0,101,0,2,0
14.0,0.018,0.1835,0.2015,0.0,0.2015,0.0,0.0,0,0,0,0.0814,0.1835,0.018,0.0,0.0,0.0891,1,0,1,0,13,0,0,101,0,2,0
15.0,0.018,0.1835,0.2015,0.0,0.2015,0.0,0.0,0,0,0,0.1275,0.1835,0.018,0.0,0.0,0.0891,2,0,2,0,13,0,0,440,0,2,0
16.0,0.018,0.2556,0.2735,0.0,0.2735,0.0,0.0,0,0,0,0.2316,0.2556,0.018,0.0,0.0,0.0656,4,0,4,0,13,0,0,1219,0,2,0
17.0,0.018,0.3365,0.3544,0.0,0.3544,0.0,0.0,0,0,0,0.2417,0.3365,0.018,0.0,0.0,0.0507,4,0,4,0,13,0,0,1219,0,2,0
18.0,0.018,0.4169,0.4349,0.0,0.4349,0.0,0.0,0,0,0,0.2417,0.4169,0.018,0.0,0.0,0.0413,4,0,4,0,13,0,0,1219,0,2,0
19.0,0.018,0.4169,0.4349,0.0,0.4349,0.0,0.0,0,0,0,0.3099,0.4169,0.018,0.0,0.0,0.0413,5,0,5,0,13,0,0,1718,0,2,0
20.0,0.018,0.5103,0.5282,0.0,0.5282,0.0,0.0,0,0,0,0.4695,0.5103,0.018,0.0,0.0,0.034,7,0,7,0,13,0,0,2876,0,2,0
21.0,0.018,0.5103,0.5282,0.0,0.5282,0.0,0.0,0,0,0,0.4695,0.5103,0.018,0.0,0.0,0.034,7,0,7,0,13,0,0,2876,0,2,0
22.0,0.018,0.5103,0.5282,0.0,0.5282,0.0,0.0,0,0,0,0.4695,0.5103,0.018,0.0,0.0,0.034,7,0,7,0,13,0,0,2876,0,2,0
23.0,0.018,0.5103,0.5282,0.0,0.5282,0.0,0.0,0,0,0,0.5724,0.5103,0.018,0.0,0.0,0.034,8,0,8,0,13,0,0,3551,0,2,0
24.0,0.018,0.6335,0.6514,0.0,0.6514,0.0,0.0,0,0,0,0.5724,0.6335,0.018,0.0,0.0,0.0276,8,0,8,0,13,0,0,3551,0,2,0
25.0,0.018,0.6335,0.6514,0.0,0.6514,0.0,0.0,0,0,0,0.5724,0.6335,0.018,0.0,0.0,0.0276,8,0,8,0,13,0,0,3551,0,2,0
26.0,0.018,0.6335,0.6514,0.0,0.6514,0.0,0.0,0,0,0,0.5724,0.6335,0.018,0.0,0.0,0.0276,8,0,8,0,13,0,0,3551,0,2,0
27.0,0.018,0.6335,0.6514,0.0,0.6514,0.0,0.0,0,0,0,0.691,0.6335,0.018,0.0,0.0,0.0276,9,0,9,0,13,0,0,4438,0,2,0
28.0,0.018,0.6335,0.6514,0.0,0.6514,0.0,0.0,0,0,0,0.691,0.7565,0.018,0.0,0.0,0.0232,9,0,9,0,13,0,0,4438,0,2,0
29.0,0.018,0.6335,0.6514,0.0,0.6514,0.0,0.0,0,0,0,0.691,0.7565,0.018,0.0,0.0,0.0232,9,0,9,0,13,0,0,4438,0,2,0
30.0,0.018,0.6335,0.6514,0.0,0.6514,0.0,0.0,0,0,0,0.691,1.037,0.018,0.0,0.0,0.017,9,0,9,0,13,0,0,4438,0,2,0
31.0,0.018,0.6335,0.6514,0.0,0.6514,0.0,0.0,0,0,0,0.8105,1.037,0.018,0.0,0.0,0.017,10,0,10,0,13,0,0,5331,0,2,0
32.0,0.018,0.9377,0.9556,0.0,0.9556,0.0,0.0,0,0,0,0.8105,1.3413,0.018,0.0,0.0,0.0132,10,0,10,0,13,0,0,5331,0,2,0
33.0,0.018,0.9377,0.9556,0.0,0.9556,0.0,0.0,0,0,0,0.9459,1.3413,0.018,0.0,0.0,0.0132,11,0,11,0,13,0,0,6324,0,2,0
34.0,0.018,0.9377,0.9556,0.0,0.9556,0.0,0.0,0,0,0,1.0884,1.3413,0.018,0.0,0.0,0.0132,12,0,12,0,13,0,0,7398,0,2,0
35.0,0.018,0.9377,0.9556,0.0,0.9556,0.0,0.0,0,0,0,1.2684,1.513,0.018,0.0,0.0,0.0117,14,0,14,0,13,0,0,8725,0,2,0
36.0,0.018,0.9377,0.9556,0.0,0.9556,0.0,0.0,0,0,0,1.2684,1.513,0.018,0.0,0.0,0.0117,14,0,14,0,13,0,0,8725,0,2,0
37.0,0.018,0.9377,0.9556,0.0,0.9556,0.0,0.0,0,0,0,1.2684,1.6916,0.018,0.0,0.0,0.0105,14,0,14,0,13,0,0,8725,0,2,0
38.0,0.018,0.9377,0.9556,0.0,0.9556,0.0,0.0,0,0,0,1.3486,1.6916,0.018,0.0,0.0,0.0105,15,0,15,0,13,0,0,9213,0,2,0
