elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,151478.0,32673.0,32675.0,43065.0,43065.0,74368.0,63379.8,21683.7,20482.2,0.0,46109.5,0.8,23114.5,47411.5,25540.0,73672.3,101172.8,128652.3,120477.5,148
1.1,151478.0,32673.0,32675.0,43065.0,43065.0,74368.0,63379.8,21683.7,20482.2,0.0,46109.3,0.8,23972.4,47411.3,26401.2,74533.3,100311.6,128652.3,120477.3,148
2.1,151506.0,32677.0,32699.0,43065.0,43065.0,74368.2,63380.1,21683.9,20482.5,0.0,46109.3,0.8,24558.0,47411.4,26990.6,75122.7,99722.2,128652.3,120477.5,148
3.1,151506.0,32677.0,32699.0,43065.0,43065.0,74408.9,63416.8,21721.3,20519.2,0.0,46124.1,0.8,23825.3,47426.2,26281.0,74428.0,100431.8,128652.3,120533.0,148
4.1,151506.0,32677.0,32699.0,43065.0,43065.0,74409.4,63416.9,21721.7,20519.3,0.0,46124.1,0.8,23803.7,47426.2,26252.1,74399.1,100460.7,128652.3,120533.5,148
5.1,151506.0,32677.0,32699.0,43065.0,43065.0,74409.6,63416.9,21721.9,20519.4,0.0,46124.4,0.8,23803.8,47426.5,26251.5,74398.7,100461.4,128652.3,120534.0,148
6.2,151506.0,32677.0,32699.0,43065.0,43065.0,74409.7,63417.0,21722.0,20519.4,0.0,46124.4,0.8,23803.9,47426.5,26252.1,74399.3,100460.8,128652.3,120534.1,148
7.2,151506.0,32677.0,32699.0,43065.0,43065.0,74410.8,63418.1,21723.0,20520.5,0.0,46124.4,0.8,23805.0,47426.5,26255.8,74403.1,100457.0,128652.3,120535.2,148
8.2,151526.0,32677.0,32719.0,43065.0,43065.0,74418.3,63425.6,21730.6,20528.0,0.0,46124.4,0.8,23804.9,47426.5,26255.2,74402.5,100457.6,128652.3,120542.7,148
9.2,151526.0,32677.0,32719.0,43065.0,43065.0,74429.4,63436.7,21741.6,20539.1,0.0,46141.8,0.8,23823.8,47443.9,26270.7,74435.3,100442.2,128652.3,120571.2,148
10.2,151526.0,32677.0,32719.0,43065.0,43065.0,74429.4,63436.7,21741.7,20539.1,0.0,46143.7,36.6,23823.7,47445.8,26270.6,74437.2,100442.2,128652.3,120573.1,148
11.3,151526.0,32677.0,32719.0,43065.0,43065.0,74429.4,63436.7,21741.7,20539.1,0.0,46145.3,36.6,23823.7,47447.4,26271.1,74439.2,100441.8,128652.3,120574.7,148
